SMILES0,SMILES,gamma1,gamma2
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,OC(C)C(O)=O,-1.21630674,-0.27391279
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,10.53127409,1.09925509
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,OCC(O)C,-7.47991095,-1.80624474
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,O=C1CCO1,-2.40490264,-0.48235958
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.90161064,-0.47319655
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CCOCC,-10.65241444,-1.64893015
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,OCC,-9.79678679,-1.98808786
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CCCCCC=O,-4.25300929,-0.74270988
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CO,-10.51799554,-2.0783391
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,OC(C)C,-9.58659128,-1.94788782
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC(C)=O,-11.118848,-2.363199
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,OCCC,-8.02348752,-1.63484005
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,OCCCC,-7.73944096,-1.5590663
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,OCCCCC,-7.17822957,-1.43227458
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC1OC1,-9.17980161,-1.65983429
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CCC(C)(C)C,17.76426654,1.60503774
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC(C)(C)C(C)=O,-7.69486894,-1.50211062
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-6.58315112,-0.9177191
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,COC(C)(C)OC,-9.83535201,-2.01330578
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CCC1(CC)CCCCC1,17.82343826,1.86494313
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CCOC(C)(OCC)OCC,-11.51509124,-3.08440926
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC(C)CCCC(O)(C)CC,-7.26051915,-1.32589543
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CCC(C)C,17.87275387,1.52341577
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC(=C)C=C,11.66248398,0.68618018
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC(=C)C#C,7.99449283,0.25088499
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,OCC(C)C,-6.55134,-1.31173446
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC(C)C=O,-5.27425549,-0.97629897
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC(=C)C=O,-6.41549717,-1.24749984
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CCC(O)C,-8.0377229,-1.60730944
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CCC(C)=O,-9.86425167,-2.08385052
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,COC(C)=O,-6.40804875,-1.32160915
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC(C)C(C)C,17.84196531,1.62115787
OC(=O)c1cc(C(O)=O)c(C(O)=O)cc1C(O)=O,CC(C)C(O)=O,-0.51945477,-0.10939795
