SMILES0,SMILES,gamma1,gamma2
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OC(C)C(O)=O,-1.63677371,-0.37924864
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,9.67135162,1.45961864
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OCC(O)C,-8.23912634,-2.11796733
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,O=C1CCO1,-3.11023284,-0.60292235
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-3.50535607,-0.90907741
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCOCC,-11.81102092,-2.07926795
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OCC,-10.49949287,-2.2327676
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCCCCC=O,-5.7146903,-1.13308451
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CO,-10.9237483,-2.27445356
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OC(C)C,-10.45792855,-2.23740443
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(C)=O,-11.62980231,-2.74278245
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OCCC,-9.00155648,-1.90740148
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OCCCC,-8.82022427,-1.84783216
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OCCCCC,-8.34979268,-1.73377575
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC1OC1,-10.00971896,-2.01485094
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCC(C)(C)C,15.23896586,1.62660484
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(C)(C)C(C)=O,-8.90196544,-1.97471579
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-7.954853,-1.35944404
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,COC(C)(C)OC,-10.96821334,-2.52215846
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCC1(CC)CCCCC1,15.25053342,1.87486803
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCOC(C)(OCC)OCC,-12.41107569,-3.6185606
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(C)CCCC(O)(C)CC,-8.5977123,-1.70645207
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCC(C)C,15.31280132,1.53851613
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(=C)C=C,10.51122538,0.96116038
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(=C)C#C,7.94610314,0.69524737
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OCC(C)C,-7.66749155,-1.57457117
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(C)C=O,-6.55506735,-1.32539173
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(=C)C=O,-7.47388276,-1.57871513
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCC(O)C,-9.12045656,-1.92147062
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCC(C)=O,-10.66307197,-2.51392687
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,COC(C)=O,-7.4540962,-1.68920994
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(C)C(C)C,15.29114246,1.63744818
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(C)C(O)=O,-1.52144601,-0.32144503
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-5.92546737,-1.3669836
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OOC(C)(C)C(CC1)CCC1C,0.18257846,0.13209301
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCOC(C(O)(C)C)=O,-10.04134888,-2.23455809
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,COC(=O)C(C)=C,-4.58024356,-1.01801397
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.50776759,0.76174966
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,COc2cccc3c2C(=O)c1ccccc1C3=O,-6.9774252,-1.61304786
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-4.57647976,-0.85314575
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCOC(=O)c1ccccc1C(OCC)=O,-3.01717048,-0.70824346
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-2.27016361,-0.49430478
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-1.2036525,-0.25766553
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(C)CCOC(=O)c1ccccc1O,2.33795656,0.62379568
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,Oc2ccccc2C(OCCc1ccccc1)=O,2.59046819,0.66681549
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,O=C2c1ccccc1CO2,-5.23761558,-1.20178432
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OCC(O)C(O)C(O)CO,-7.41286686,-2.06187095
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCC(CC)C(O)=O,-0.78763406,-0.1343706
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-4.79086289,-0.95449875
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,COc1cc(C)ccc1C(C)(C)C,11.02981319,1.51500887
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC2CCC(CC1=C2CCC1C)=C(C)C,11.9636436,1.86276843
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,COC(=O)c1ccccc1C,-2.30521379,-0.37772209
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(=O)c1ccc(C)cc1C,-8.44122064,-1.64291411
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,Cc2c1ccccc1ccc2,9.68816903,1.17211768
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,O=C2CCCCC2C1CCCCC1,-6.97099461,-1.43672032
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-6.68465713,-1.66882968
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(C=O)c1ccccc1,-2.90654426,-0.48408038
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCC(O)c1ccccc1,-4.42151683,-0.80143432
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCOC(=O)c1ccccc1,-2.73936977,-0.55608488
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CC(OC(C)c2ccccc2)c1ccccc1,-5.92178732,-0.0862848
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.3116887,0.11485606
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCOC(=O)c(cc1)ccc1C,-3.142338,-0.65648781
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-50.92272779,-4.1870367
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,O=C(OCCc1ccccc1)c2ccccc2,-0.38199809,0.02334633
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCCc2cc1OCOc1cc2,6.35653609,1.06957119
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,COC(C1CCC(CC1)C(OC)=O)=O,-5.25771493,-1.38971659
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCCC1CCCCC1=O,-8.30606988,-1.88278648
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCOc1ccc(C=CC)cc1O,2.04392032,0.52046453
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCCC(O)C(CO)CC,-10.20477409,-2.44304168
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,Cc(ccc1C)cc1C,10.58888903,1.26484554
OC(=O)c1cc(C(O)=O)cc(C(O)=O)c1,CCOC(=O)C(OCC)=O,-3.39188783,-0.75727197
