SMILES0,SMILES,gamma1,gamma2
OC(=O)c1ccc(O)cc1O,OC(C)C(O)=O,-1.94220388,-0.49214416
OC(=O)c1ccc(O)cc1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.90472867,0.88118041
OC(=O)c1ccc(O)cc1O,OCC(O)C,-6.67592717,-1.84877964
OC(=O)c1ccc(O)cc1O,O=C1CCO1,-3.93384703,-0.90757856
OC(=O)c1ccc(O)cc1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-4.31092662,-0.99530182
OC(=O)c1ccc(O)cc1O,CCOCC,-9.83441302,-2.42822037
OC(=O)c1ccc(O)cc1O,OCC,-8.2701868,-2.12121255
OC(=O)c1ccc(O)cc1O,CCCCCC=O,-5.72707162,-1.48139057
OC(=O)c1ccc(O)cc1O,CO,-8.50256942,-2.11428774
OC(=O)c1ccc(O)cc1O,OC(C)C,-8.32281592,-2.18705118
OC(=O)c1ccc(O)cc1O,CC(C)=O,-9.92712754,-2.71692362
OC(=O)c1ccc(O)cc1O,OCCC,-7.27305069,-1.87840587
OC(=O)c1ccc(O)cc1O,OCCCC,-7.19806745,-1.87196533
OC(=O)c1ccc(O)cc1O,OCCCCC,-6.89708073,-1.80364917
OC(=O)c1ccc(O)cc1O,CC1OC1,-8.72747339,-2.22272885
OC(=O)c1ccc(O)cc1O,CCC(C)(C)C,8.60401537,1.2059123
OC(=O)c1ccc(O)cc1O,CC(C)(C)C(C)=O,-7.97188911,-2.1756733
OC(=O)c1ccc(O)cc1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-7.13066429,-1.80188103
OC(=O)c1ccc(O)cc1O,COC(C)(C)OC,-9.32274437,-2.62997528
OC(=O)c1ccc(O)cc1O,CCC1(CC)CCCCC1,8.55620047,1.32146696
OC(=O)c1ccc(O)cc1O,CCOC(C)(OCC)OCC,-10.23618506,-3.14029144
OC(=O)c1ccc(O)cc1O,CC(C)CCCC(O)(C)CC,-7.1934882,-1.96451702
OC(=O)c1ccc(O)cc1O,CCC(C)C,8.65636984,1.1597486
OC(=O)c1ccc(O)cc1O,CC(=C)C=C,5.47078556,0.68474988
OC(=O)c1ccc(O)cc1O,CC(=C)C#C,4.19917554,0.53017646
OC(=O)c1ccc(O)cc1O,OCC(C)C,-6.34476227,-1.63725562
OC(=O)c1ccc(O)cc1O,CC(C)C=O,-6.39630079,-1.6320329
OC(=O)c1ccc(O)cc1O,CC(=C)C=O,-6.92119113,-1.79317158
OC(=O)c1ccc(O)cc1O,CCC(O)C,-7.42495865,-1.957301
OC(=O)c1ccc(O)cc1O,CCC(C)=O,-9.1975588,-2.555214
OC(=O)c1ccc(O)cc1O,COC(C)=O,-7.05269063,-1.8737069
OC(=O)c1ccc(O)cc1O,CC(C)C(C)C,8.63136327,1.21236669
OC(=O)c1ccc(O)cc1O,CC(C)C(O)=O,-2.22374429,-0.55413929
OC(=O)c1ccc(O)cc1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-5.78437263,-1.66134957
OC(=O)c1ccc(O)cc1O,OOC(C)(C)C(CC1)CCC1C,-1.18560255,-0.29427501
OC(=O)c1ccc(O)cc1O,CCOC(C(O)(C)C)=O,-8.55316992,-2.39121538
OC(=O)c1ccc(O)cc1O,COC(=O)C(C)=C,-4.97120413,-1.34309876
OC(=O)c1ccc(O)cc1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.60418374,0.129075
OC(=O)c1ccc(O)cc1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-6.37707646,-1.59773265
OC(=O)c1ccc(O)cc1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-4.55253033,-1.3297724
OC(=O)c1ccc(O)cc1O,CCOC(=O)c1ccccc1C(OCC)=O,-3.91098448,-0.97417151
OC(=O)c1ccc(O)cc1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-3.41552496,-0.86145698
OC(=O)c1ccc(O)cc1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-2.70555127,-0.70269636
OC(=O)c1ccc(O)cc1O,CC(C)CCOC(=O)c1ccccc1O,-0.17630293,-0.02597374
OC(=O)c1ccc(O)cc1O,Oc2ccccc2C(OCCc1ccccc1)=O,0.09559765,0.04862516
OC(=O)c1ccc(O)cc1O,O=C2c1ccccc1CO2,-5.14109225,-1.32653356
OC(=O)c1ccc(O)cc1O,OCC(O)C(O)C(O)CO,-6.30825823,-1.6648217
OC(=O)c1ccc(O)cc1O,CCC(CC)C(O)=O,-1.7550357,-0.4337992
OC(=O)c1ccc(O)cc1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-4.43456945,-1.16968637
OC(=O)c1ccc(O)cc1O,COc1cc(C)ccc1C(C)(C)C,5.70996669,0.95998856
OC(=O)c1ccc(O)cc1O,CC2CCC(CC1=C2CCC1C)=C(C)C,6.30254241,1.17790202
OC(=O)c1ccc(O)cc1O,COC(=O)c1ccccc1C,-3.25895226,-0.81116908
OC(=O)c1ccc(O)cc1O,CC(=O)c1ccc(C)cc1C,-7.39573455,-1.91487645
OC(=O)c1ccc(O)cc1O,Cc2c1ccccc1ccc2,4.94434178,0.76171888
OC(=O)c1ccc(O)cc1O,O=C2CCCCC2C1CCCCC1,-6.61601041,-1.78835604
OC(=O)c1ccc(O)cc1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-6.11315734,-1.69002173
OC(=O)c1ccc(O)cc1O,CC(C=O)c1ccccc1,-3.61700992,-0.87575772
OC(=O)c1ccc(O)cc1O,CCC(O)c1ccccc1,-4.10754112,-1.00549952
OC(=O)c1ccc(O)cc1O,CCOC(=O)c1ccccc1,-3.58435497,-0.95504479
OC(=O)c1ccc(O)cc1O,CC(OC(C)c2ccccc2)c1ccccc1,-5.4522262,-0.70699243
OC(=O)c1ccc(O)cc1O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-1.43977306,-0.34477771
OC(=O)c1ccc(O)cc1O,CCOC(=O)c(cc1)ccc1C,-3.89962887,-1.05857333
OC(=O)c1ccc(O)cc1O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-35.43896099,-3.25704279
OC(=O)c1ccc(O)cc1O,O=C(OCCc1ccccc1)c2ccccc2,-1.91275012,-0.48055623
OC(=O)c1ccc(O)cc1O,CCCc2cc1OCOc1cc2,2.68302886,0.52301795
OC(=O)c1ccc(O)cc1O,COC(C1CCC(CC1)C(OC)=O)=O,-5.59582641,-1.41463057
OC(=O)c1ccc(O)cc1O,CCCC1CCCCC1=O,-7.55183199,-2.1286523
OC(=O)c1ccc(O)cc1O,CCOc1ccc(C=CC)cc1O,0.09367393,0.06168196
OC(=O)c1ccc(O)cc1O,CCCC(O)C(CO)CC,-8.33199226,-2.32679627
OC(=O)c1ccc(O)cc1O,Cc(ccc1C)cc1C,5.43498363,0.82971753
OC(=O)c1ccc(O)cc1O,CCOC(=O)C(OCC)=O,-4.34015048,-1.09039642
OC(=O)c1ccc(O)cc1O,CC1OC(C(C)OC1=O)=O,-1.93994728,-0.46851932
OC(=O)c1ccc(O)cc1O,CCCCC(=O)C(C)=O,-2.34951123,-0.5854507
OC(=O)c1ccc(O)cc1O,C=CCOC(=O)C(C)=C,-3.77827315,-0.98953339
OC(=O)c1ccc(O)cc1O,C1OC1c2ccccc2,-2.806903,-0.57550785
OC(=O)c1ccc(O)cc1O,CCC(C)CC,8.66847674,1.22295528
OC(=O)c1ccc(O)cc1O,CCC(CC)=O,-8.27267382,-2.31390541
OC(=O)c1ccc(O)cc1O,OCC(CO)=O,-4.79370943,-1.25731701
OC(=O)c1ccc(O)cc1O,COC(=O)C=C,-4.8820838,-1.30138962
OC(=O)c1ccc(O)cc1O,COC(CO)=O,-6.64749656,-1.74287509
OC(=O)c1ccc(O)cc1O,CC1CCCC1,8.65961874,1.19834612
OC(=O)c1ccc(O)cc1O,CC1CCCO1,-12.28390409,-3.45965417
OC(=O)c1ccc(O)cc1O,O=C1CCCO1,-7.9709192,-2.09188659
OC(=O)c1ccc(O)cc1O,CCCC(C)C(O)=O,-1.73082344,-0.43163962
OC(=O)c1ccc(O)cc1O,CCOC(C(C)C)=O,-5.60768504,-1.52242571
OC(=O)c1ccc(O)cc1O,CCOC(=O)C(C)=C,-5.26902966,-1.42740651
OC(=O)c1ccc(O)cc1O,CCOC(C(O)C)=O,-8.00794676,-2.2209342
OC(=O)c1ccc(O)cc1O,CC(C)C(OC(C(C)C)=O)=O,-2.51631526,-0.6275407
OC(=O)c1ccc(O)cc1O,CC(C)COC(C(C)C)=O,-5.10090375,-1.40979122
OC(=O)c1ccc(O)cc1O,CC(C)COC(=O)C(C)=C,-4.55492449,-1.25420516
OC(=O)c1ccc(O)cc1O,CCCCOC(C(C)C)=O,-4.93344468,-1.36476466
OC(=O)c1ccc(O)cc1O,CCCCOC(=O)C(C)=C,-4.78189948,-1.3149342
OC(=O)c1ccc(O)cc1O,CCC(CC)C=O,-5.46966928,-1.39246183
OC(=O)c1ccc(O)cc1O,OCC1CCCO1,-10.34095258,-3.0348007
OC(=O)c1ccc(O)cc1O,OCc1occc1,-5.09228708,-1.32654642
OC(=O)c1ccc(O)cc1O,O=Cc1occc1,-5.96522951,-1.59137101
OC(=O)c1ccc(O)cc1O,CC(C)(C)c1ccccc1,5.6747112,0.88675328
OC(=O)c1ccc(O)cc1O,OOC(C)(C)c(cc1)ccc1C(C)C,-1.26348874,-0.3065945
OC(=O)c1ccc(O)cc1O,CC(C)(C)c(cc1)ccc1C,5.92617151,0.9622041
OC(=O)c1ccc(O)cc1O,OC1CCC(CC1)C(C)(C)C,-6.85531139,-1.86120527
OC(=O)c1ccc(O)cc1O,CC(C)(C)C1CCC(CC1)=O,-8.32750335,-2.34987563
OC(=O)c1ccc(O)cc1O,CC(C)c1ccccc1,5.55454141,0.84346595
OC(=O)c1ccc(O)cc1O,COC(=O)c(ccc1)cc1C,-3.45905777,-0.92030486
OC(=O)c1ccc(O)cc1O,OC1CC(CC=C1C)C(C)=C,-5.58063515,-1.48243659
OC(=O)c1ccc(O)cc1O,CC(C)c1cc(C(C)C)ccc1,6.11660333,1.02405003
OC(=O)c1ccc(O)cc1O,CCCC(CCC)C(O)=O,-1.37778937,-0.34359847
OC(=O)c1ccc(O)cc1O,CC(C=O)c(cc1)ccc1C,-3.72119999,-0.90629057
OC(=O)c1ccc(O)cc1O,CC1CCC(C(C)C)CC1,8.67152226,1.36854006
OC(=O)c1ccc(O)cc1O,CC(C)c(cc1)ccc1C,5.80151897,0.92105232
OC(=O)c1ccc(O)cc1O,C=CC1CC=CCC1,5.60153254,0.8598561
OC(=O)c1ccc(O)cc1O,CCc1ccccc1,5.30919535,0.76996583
OC(=O)c1ccc(O)cc1O,C=Cc1ccccc1,4.7594233,0.67166619
