SMILES0,SMILES,gamma1,gamma2
OC(=O)c1oc(C(O)=O)cc1,OC(C)C(O)=O,-0.82108114,-0.20281679
OC(=O)c1oc(C(O)=O)cc1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.91830701,1.30006393
OC(=O)c1oc(C(O)=O)cc1,OCC(O)C,-4.85843741,-1.3343677
OC(=O)c1oc(C(O)=O)cc1,O=C1CCO1,-2.05332548,-0.46025097
OC(=O)c1oc(C(O)=O)cc1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.76059003,-0.46891471
OC(=O)c1oc(C(O)=O)cc1,CCOCC,-7.09877277,-1.45469989
OC(=O)c1oc(C(O)=O)cc1,OCC,-6.18512173,-1.52551378
OC(=O)c1oc(C(O)=O)cc1,CCCCCC=O,-3.08384038,-0.65750799
OC(=O)c1oc(C(O)=O)cc1,CO,-6.63923174,-1.61239484
OC(=O)c1oc(C(O)=O)cc1,OC(C)C,-6.08752231,-1.51447761
OC(=O)c1oc(C(O)=O)cc1,CC(C)=O,-7.75570476,-1.98661662
OC(=O)c1oc(C(O)=O)cc1,OCCC,-5.02201482,-1.23424067
OC(=O)c1oc(C(O)=O)cc1,OCCCC,-4.83086443,-1.18286932
OC(=O)c1oc(C(O)=O)cc1,OCCCCC,-4.43995349,-1.08669904
OC(=O)c1oc(C(O)=O)cc1,CC1OC1,-6.38241374,-1.4218641
OC(=O)c1oc(C(O)=O)cc1,CCC(C)(C)C,13.0535274,1.68048711
OC(=O)c1oc(C(O)=O)cc1,CC(C)(C)C(C)=O,-5.40598932,-1.30827294
OC(=O)c1oc(C(O)=O)cc1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-4.3599171,-0.90070254
OC(=O)c1oc(C(O)=O)cc1,COC(C)(C)OC,-6.72371496,-1.72245307
OC(=O)c1oc(C(O)=O)cc1,CCC1(CC)CCCCC1,13.01185493,1.84445809
OC(=O)c1oc(C(O)=O)cc1,CCOC(C)(OCC)OCC,-7.65960376,-2.35441494
