SMILES0,SMILES,gamma1,gamma2
OC(C(O)=O)C(O)=O,OC(C)C(O)=O,-0.89682529,-0.21640965
OC(C(O)=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.574218,1.09412026
OC(C(O)=O)C(O)=O,OCC(O)C,-4.37259391,-1.11705955
OC(C(O)=O)C(O)=O,O=C1CCO1,-2.61625028,-0.65746811
OC(C(O)=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.69049445,-0.451824
OC(C(O)=O)C(O)=O,CCOCC,-5.92544728,-1.22271432
OC(C(O)=O)C(O)=O,OCC,-5.26234943,-1.20984849
OC(C(O)=O)C(O)=O,CCCCCC=O,-2.6475066,-0.61775919
OC(C(O)=O)C(O)=O,CO,-5.93926695,-1.35864942
OC(C(O)=O)C(O)=O,OC(C)C,-5.08249794,-1.17899868
OC(C(O)=O)C(O)=O,CC(C)=O,-7.202665,-1.84864203
OC(C(O)=O)C(O)=O,OCCC,-4.03985573,-0.92386855
OC(C(O)=O)C(O)=O,OCCCC,-3.80111212,-0.86129749
OC(C(O)=O)C(O)=O,OCCCCC,-3.37002297,-0.76274559
OC(C(O)=O)C(O)=O,CC1OC1,-5.62470302,-1.29579074
OC(C(O)=O)C(O)=O,CCC(C)(C)C,8.48873936,1.68926498
OC(C(O)=O)C(O)=O,CC(C)(C)C(C)=O,-4.74873374,-1.1773345
OC(C(O)=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.16446263,-0.70627014
OC(C(O)=O)C(O)=O,COC(C)(C)OC,-5.76244497,-1.46044422
OC(C(O)=O)C(O)=O,CCC1(CC)CCCCC1,8.42345279,1.76722148
OC(C(O)=O)C(O)=O,CCOC(C)(OCC)OCC,-6.48610812,-1.85167695
OC(C(O)=O)C(O)=O,CC(C)CCCC(O)(C)CC,-3.17388976,-0.75936564
OC(C(O)=O)C(O)=O,CCC(C)C,8.59605182,1.66609845
OC(C(O)=O)C(O)=O,CC(=C)C=C,5.3992575,1.07667653
OC(C(O)=O)C(O)=O,CC(=C)C#C,3.76323424,0.76866307
OC(C(O)=O)C(O)=O,OCC(C)C,-2.98319813,-0.67632089
OC(C(O)=O)C(O)=O,CC(C)C=O,-3.45012256,-0.80096523
OC(C(O)=O)C(O)=O,CC(=C)C=O,-4.06001762,-0.97138681
OC(C(O)=O)C(O)=O,CCC(O)C,-3.98081487,-0.91740112
OC(C(O)=O)C(O)=O,CCC(C)=O,-6.27039763,-1.60350101
OC(C(O)=O)C(O)=O,COC(C)=O,-4.3423258,-1.08523924
OC(C(O)=O)C(O)=O,CC(C)C(C)C,8.53493128,1.70191948
OC(C(O)=O)C(O)=O,CC(C)C(O)=O,-0.04151889,0.01829574
OC(C(O)=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-2.35965068,-0.68267347
OC(C(O)=O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.43208349,0.35445752
OC(C(O)=O)C(O)=O,CCOC(C(O)(C)C)=O,-5.1777485,-1.32959214
OC(C(O)=O)C(O)=O,COC(=O)C(C)=C,-2.04290809,-0.50037869
OC(C(O)=O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.93788324,0.68950852
OC(C(O)=O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-3.60062887,-0.89189154
OC(C(O)=O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.48619665,-0.27015764
OC(C(O)=O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-1.37375099,-0.3476074
OC(C(O)=O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.54913665,-0.18752166
OC(C(O)=O)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.22313987,-0.04983692
OC(C(O)=O)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,2.51612469,0.6178783
OC(C(O)=O)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.20533398,0.56077808
OC(C(O)=O)C(O)=O,O=C2c1ccccc1CO2,-3.07753806,-0.77003937
OC(C(O)=O)C(O)=O,OCC(O)C(O)C(O)CO,-4.42582314,-1.14327902
OC(C(O)=O)C(O)=O,CCC(CC)C(O)=O,0.67365909,0.19086651
OC(C(O)=O)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.05269524,-0.25843281
OC(C(O)=O)C(O)=O,COc1cc(C)ccc1C(C)(C)C,5.58014882,1.27449416
OC(C(O)=O)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,6.9281742,1.56155789
OC(C(O)=O)C(O)=O,COC(=O)c1ccccc1C,-0.34614033,-0.03959635
OC(C(O)=O)C(O)=O,CC(=O)c1ccc(C)cc1C,-3.97919798,-0.91407103
OC(C(O)=O)C(O)=O,Cc2c1ccccc1ccc2,4.66579922,1.05793224
OC(C(O)=O)C(O)=O,O=C2CCCCC2C1CCCCC1,-3.08037352,-0.77611265
OC(C(O)=O)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-3.3267568,-0.88481227
OC(C(O)=O)C(O)=O,CC(C=O)c1ccccc1,-1.08519081,-0.21172345
OC(C(O)=O)C(O)=O,CCC(O)c1ccccc1,-1.07650822,-0.21125948
OC(C(O)=O)C(O)=O,CCOC(=O)c1ccccc1,-0.69462899,-0.15914767
OC(C(O)=O)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-1.53897746,0.01781405
OC(C(O)=O)C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.68578469,0.14506202
OC(C(O)=O)C(O)=O,CCOC(=O)c(cc1)ccc1C,-0.84707262,-0.21203976
OC(C(O)=O)C(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-31.92614354,-2.55700395
OC(C(O)=O)C(O)=O,O=C(OCCc1ccccc1)c2ccccc2,0.60594669,0.16796416
OC(C(O)=O)C(O)=O,CCCc2cc1OCOc1cc2,3.715931,0.89589293
OC(C(O)=O)C(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-2.94551049,-0.77078878
OC(C(O)=O)C(O)=O,CCCC1CCCCC1=O,-4.11562622,-1.0701547
OC(C(O)=O)C(O)=O,CCOc1ccc(C=CC)cc1O,2.01139159,0.53335646
OC(C(O)=O)C(O)=O,CCCC(O)C(CO)CC,-4.80062121,-1.21063508
OC(C(O)=O)C(O)=O,Cc(ccc1C)cc1C,5.40518227,1.19594968
OC(C(O)=O)C(O)=O,CCOC(=O)C(OCC)=O,-1.90105546,-0.47464768
OC(C(O)=O)C(O)=O,CC1OC(C(C)OC1=O)=O,-0.93626978,-0.23019523
OC(C(O)=O)C(O)=O,CCCCC(=O)C(C)=O,0.08533974,0.03696746
OC(C(O)=O)C(O)=O,C=CCOC(=O)C(C)=C,-0.8424116,-0.18517642
OC(C(O)=O)C(O)=O,C1OC1c2ccccc2,-0.35789424,0.01134319
OC(C(O)=O)C(O)=O,CCC(C)CC,8.59170667,1.71834131
OC(C(O)=O)C(O)=O,CCC(CC)=O,-5.13109603,-1.30605269
OC(C(O)=O)C(O)=O,OCC(CO)=O,-3.8018911,-0.96692741
OC(C(O)=O)C(O)=O,COC(=O)C=C,-2.24524449,-0.55464258
OC(C(O)=O)C(O)=O,COC(CO)=O,-4.56821787,-1.15186218
OC(C(O)=O)C(O)=O,CC1CCCC1,8.54927234,1.680716
OC(C(O)=O)C(O)=O,CC1CCCO1,-8.72039584,-2.10582741
OC(C(O)=O)C(O)=O,O=C1CCCO1,-5.82884243,-1.51883961
OC(C(O)=O)C(O)=O,CCCC(C)C(O)=O,0.69872499,0.19368549
OC(C(O)=O)C(O)=O,CCOC(C(C)C)=O,-2.38109469,-0.59720726
OC(C(O)=O)C(O)=O,CCOC(=O)C(C)=C,-2.0436029,-0.49893109
OC(C(O)=O)C(O)=O,CCOC(C(O)C)=O,-4.8784196,-1.24924964
OC(C(O)=O)C(O)=O,CC(C)C(OC(C(C)C)=O)=O,0.01163614,0.00497166
OC(C(O)=O)C(O)=O,CC(C)COC(C(C)C)=O,-1.72721438,-0.45187928
OC(C(O)=O)C(O)=O,CC(C)COC(=O)C(C)=C,-1.22802514,-0.31465212
OC(C(O)=O)C(O)=O,CCCCOC(C(C)C)=O,-1.58185694,-0.42060301
OC(C(O)=O)C(O)=O,CCCCOC(=O)C(C)=C,-1.42556194,-0.36518724
OC(C(O)=O)C(O)=O,CCC(CC)C=O,-2.25688087,-0.50576738
OC(C(O)=O)C(O)=O,OCC1CCCO1,-7.38204155,-1.95744143
OC(C(O)=O)C(O)=O,OCc1occc1,-2.91572093,-0.70140692
OC(C(O)=O)C(O)=O,O=Cc1occc1,-3.83093393,-0.97307671
OC(C(O)=O)C(O)=O,CC(C)(C)c1ccccc1,5.56112119,1.23755686
OC(C(O)=O)C(O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,1.02851116,0.26695782
OC(C(O)=O)C(O)=O,CC(C)(C)c(cc1)ccc1C,5.84743783,1.31261672
OC(C(O)=O)C(O)=O,OC1CCC(CC1)C(C)(C)C,-3.10036024,-0.74178824
OC(C(O)=O)C(O)=O,CC(C)(C)C1CCC(CC1)=O,-4.99613981,-1.32168704
OC(C(O)=O)C(O)=O,CC(C)c1ccccc1,5.45314322,1.20188749
OC(C(O)=O)C(O)=O,COC(=O)c(ccc1)cc1C,-0.61370109,-0.14244412
OC(C(O)=O)C(O)=O,OC1CC(CC=C1C)C(C)=C,-2.13893786,-0.4939024
OC(C(O)=O)C(O)=O,CC(C)c1cc(C(C)C)ccc1,6.04977034,1.36504787
OC(C(O)=O)C(O)=O,CCCC(CCC)C(O)=O,1.19208254,0.30346371
OC(C(O)=O)C(O)=O,CC(C=O)c(cc1)ccc1C,-0.95114084,-0.18409424
OC(C(O)=O)C(O)=O,CC1CCC(C(C)C)CC1,8.48656889,1.79160025
OC(C(O)=O)C(O)=O,CC(C)c(cc1)ccc1C,5.73622169,1.28013824
OC(C(O)=O)C(O)=O,C=CC1CC=CCC1,5.77947124,1.25425784
