SMILES0,SMILES,gamma1,gamma2
OC(C(O)C(O)=O)C(O)=O,OC(C)C(O)=O,-1.1061977,-0.25834917
OC(C(O)C(O)=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.15099106,1.94084873
OC(C(O)C(O)=O)C(O)=O,OCC(O)C,-5.95918339,-1.43135933
OC(C(O)C(O)=O)C(O)=O,O=C1CCO1,-2.59100263,-0.68448785
OC(C(O)C(O)=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.84840748,-0.25331226
OC(C(O)C(O)=O)C(O)=O,CCOCC,-7.46572681,-1.0477913
OC(C(O)C(O)=O)C(O)=O,OCC,-7.10739679,-1.40033368
OC(C(O)C(O)=O)C(O)=O,CCCCCC=O,-2.39768643,-0.36773523
OC(C(O)C(O)=O)C(O)=O,CO,-8.21218374,-1.6621501
OC(C(O)C(O)=O)C(O)=O,OC(C)C,-6.73649919,-1.29129125
OC(C(O)C(O)=O)C(O)=O,CC(C)=O,-9.19136764,-2.08561315
OC(C(O)C(O)=O)C(O)=O,OCCC,-5.29353542,-0.9940646
OC(C(O)C(O)=O)C(O)=O,OCCCC,-4.88562142,-0.86580879
OC(C(O)C(O)=O)C(O)=O,OCCCCC,-4.24005251,-0.71289089
OC(C(O)C(O)=O)C(O)=O,CC1OC1,-6.8399756,-1.29322419
OC(C(O)C(O)=O)C(O)=O,CCC(C)(C)C,11.53729521,2.42416964
OC(C(O)C(O)=O)C(O)=O,CC(C)(C)C(C)=O,-5.54589506,-1.09575676
OC(C(O)C(O)=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.45372909,-0.38473489
OC(C(O)C(O)=O)C(O)=O,COC(C)(C)OC,-7.1930842,-1.48243679
OC(C(O)C(O)=O)C(O)=O,CCC1(CC)CCCCC1,11.48745843,2.59781756
OC(C(O)C(O)=O)C(O)=O,CCOC(C)(OCC)OCC,-8.17314359,-2.23716749
OC(C(O)C(O)=O)C(O)=O,CC(C)CCCC(O)(C)CC,-3.7991155,-0.56786245
OC(C(O)C(O)=O)C(O)=O,CCC(C)C,11.65223491,2.36600911
OC(C(O)C(O)=O)C(O)=O,CC(=C)C=C,8.0110334,1.7094197
OC(C(O)C(O)=O)C(O)=O,CC(=C)C#C,5.92986854,1.34633739
OC(C(O)C(O)=O)C(O)=O,OCC(C)C,-3.70926406,-0.62644761
OC(C(O)C(O)=O)C(O)=O,CC(C)C=O,-3.56450933,-0.65837921
OC(C(O)C(O)=O)C(O)=O,CC(=C)C=O,-4.46120844,-0.89134193
OC(C(O)C(O)=O)C(O)=O,CCC(O)C,-5.10121606,-0.91994691
OC(C(O)C(O)=O)C(O)=O,CCC(C)=O,-7.79824164,-1.7137384
OC(C(O)C(O)=O)C(O)=O,COC(C)=O,-5.05283609,-1.11936603
OC(C(O)C(O)=O)C(O)=O,CC(C)C(C)C,11.59319751,2.44115928
OC(C(O)C(O)=O)C(O)=O,CC(C)C(O)=O,0.48453,0.17424266
OC(C(O)C(O)=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-1.86742601,-0.38568275
OC(C(O)C(O)=O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,3.01959276,0.79476324
OC(C(O)C(O)=O)C(O)=O,CCOC(C(O)(C)C)=O,-6.5100861,-1.31022079
OC(C(O)C(O)=O)C(O)=O,COC(=O)C(C)=C,-1.41938157,-0.26394596
OC(C(O)C(O)=O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,5.30416253,1.3155989
OC(C(O)C(O)=O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-3.70534526,-0.77984133
OC(C(O)C(O)=O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.25984945,0.10127177
OC(C(O)C(O)=O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.24507019,-0.03147864
OC(C(O)C(O)=O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.98661509,0.23365386
OC(C(O)C(O)=O)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.12580781,0.4373351
OC(C(O)C(O)=O)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,5.12528581,1.29839561
OC(C(O)C(O)=O)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.77983372,1.25822598
OC(C(O)C(O)=O)C(O)=O,O=C2c1ccccc1CO2,-2.99581116,-0.66480268
OC(C(O)C(O)=O)C(O)=O,OCC(O)C(O)C(O)CO,-6.0313871,-1.56213961
OC(C(O)C(O)=O)C(O)=O,CCC(CC)C(O)=O,1.61472763,0.46147149
OC(C(O)C(O)=O)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.49388986,0.02515125
OC(C(O)C(O)=O)C(O)=O,COc1cc(C)ccc1C(C)(C)C,8.27070071,2.10365856
OC(C(O)C(O)=O)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,9.9080787,2.44710547
OC(C(O)C(O)=O)C(O)=O,COC(=O)c1ccccc1C,1.24191084,0.41886568
OC(C(O)C(O)=O)C(O)=O,CC(=O)c1ccc(C)cc1C,-4.28768979,-0.64946115
OC(C(O)C(O)=O)C(O)=O,Cc2c1ccccc1ccc2,7.21859471,1.81500633
OC(C(O)C(O)=O)C(O)=O,O=C2CCCCC2C1CCCCC1,-3.15800562,-0.5202344
OC(C(O)C(O)=O)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-3.24032104,-0.7470576
OC(C(O)C(O)=O)C(O)=O,CC(C=O)c1ccccc1,0.23978518,0.19870249
OC(C(O)C(O)=O)C(O)=O,CCC(O)c1ccccc1,-0.39642183,0.10728977
OC(C(O)C(O)=O)C(O)=O,CCOC(=O)c1ccccc1,0.74485748,0.2553946
OC(C(O)C(O)=O)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.70382722,0.69593092
OC(C(O)C(O)=O)C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.88179756,0.71062688
OC(C(O)C(O)=O)C(O)=O,CCOC(=O)c(cc1)ccc1C,0.50835358,0.2021823
OC(C(O)C(O)=O)C(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-42.14476198,-3.09738174
OC(C(O)C(O)=O)C(O)=O,O=C(OCCc1ccccc1)c2ccccc2,2.80618211,0.75193174
OC(C(O)C(O)=O)C(O)=O,CCCc2cc1OCOc1cc2,6.21032223,1.60536433
OC(C(O)C(O)=O)C(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-2.85268393,-0.72761512
OC(C(O)C(O)=O)C(O)=O,CCCC1CCCCC1=O,-4.6464142,-0.92468124
OC(C(O)C(O)=O)C(O)=O,CCOc1ccc(C=CC)cc1O,4.35757868,1.15296578
OC(C(O)C(O)=O)C(O)=O,CCCC(O)C(CO)CC,-6.14592949,-1.32736012
OC(C(O)C(O)=O)C(O)=O,Cc(ccc1C)cc1C,8.08988287,1.95544621
OC(C(O)C(O)=O)C(O)=O,CCOC(=O)C(OCC)=O,-1.25646996,-0.25973983
OC(C(O)C(O)=O)C(O)=O,CC1OC(C(C)OC1=O)=O,-0.22918904,-0.06806184
OC(C(O)C(O)=O)C(O)=O,CCCCC(=O)C(C)=O,1.7655095,0.45497298
OC(C(O)C(O)=O)C(O)=O,C=CCOC(=O)C(C)=C,0.48134197,0.21334445
OC(C(O)C(O)=O)C(O)=O,C1OC1c2ccccc2,1.35781473,0.48384662
OC(C(O)C(O)=O)C(O)=O,CCC(C)CC,11.66126075,2.46654452
OC(C(O)C(O)=O)C(O)=O,CCC(CC)=O,-6.10639303,-1.28520418
OC(C(O)C(O)=O)C(O)=O,OCC(CO)=O,-5.27877982,-1.33628901
OC(C(O)C(O)=O)C(O)=O,COC(=O)C=C,-1.78100466,-0.38414357
OC(C(O)C(O)=O)C(O)=O,COC(CO)=O,-5.96185865,-1.40935551
OC(C(O)C(O)=O)C(O)=O,CC1CCCC1,11.58920379,2.39281618
OC(C(O)C(O)=O)C(O)=O,CC1CCCO1,-11.43994871,-2.13162859
OC(C(O)C(O)=O)C(O)=O,O=C1CCCO1,-7.25683528,-1.78198565
OC(C(O)C(O)=O)C(O)=O,CCCC(C)C(O)=O,1.66021973,0.46830457
OC(C(O)C(O)=O)C(O)=O,CCOC(C(C)C)=O,-2.02158903,-0.36406721
OC(C(O)C(O)=O)C(O)=O,CCOC(=O)C(C)=C,-1.44231629,-0.21881079
OC(C(O)C(O)=O)C(O)=O,CCOC(C(O)C)=O,-6.12264157,-1.28591157
OC(C(O)C(O)=O)C(O)=O,CC(C)C(OC(C(C)C)=O)=O,1.75912658,0.44668504
OC(C(O)C(O)=O)C(O)=O,CC(C)COC(C(C)C)=O,-1.02661575,-0.12938737
OC(C(O)C(O)=O)C(O)=O,CC(C)COC(=O)C(C)=C,-0.1858209,0.05912262
OC(C(O)C(O)=O)C(O)=O,CCCCOC(C(C)C)=O,-0.81402125,-0.09275473
OC(C(O)C(O)=O)C(O)=O,CCCCOC(=O)C(C)=C,-0.51237212,-0.00863024
OC(C(O)C(O)=O)C(O)=O,CCC(CC)C=O,-1.7912369,-0.21696424
OC(C(O)C(O)=O)C(O)=O,OCC1CCCO1,-9.7456874,-2.35111355
OC(C(O)C(O)=O)C(O)=O,OCc1occc1,-3.25839957,-0.63818224
OC(C(O)C(O)=O)C(O)=O,O=Cc1occc1,-4.39715544,-0.98989688
OC(C(O)C(O)=O)C(O)=O,CC(C)(C)c1ccccc1,8.24653207,2.01600725
OC(C(O)C(O)=O)C(O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,2.87478438,0.76510345
OC(C(O)C(O)=O)C(O)=O,CC(C)(C)c(cc1)ccc1C,8.58995217,2.12701863
OC(C(O)C(O)=O)C(O)=O,OC1CCC(CC1)C(C)(C)C,-3.74199295,-0.61082232
OC(C(O)C(O)=O)C(O)=O,CC(C)(C)C1CCC(CC1)=O,-5.91209131,-1.2651418
OC(C(O)C(O)=O)C(O)=O,CC(C)c1ccccc1,8.11754161,1.95854272
OC(C(O)C(O)=O)C(O)=O,COC(=O)c(ccc1)cc1C,0.86471314,0.27777765
OC(C(O)C(O)=O)C(O)=O,OC1CC(CC=C1C)C(C)=C,-2.04333866,-0.22859758
OC(C(O)C(O)=O)C(O)=O,CC(C)c1cc(C(C)C)ccc1,8.82657932,2.20817883
OC(C(O)C(O)=O)C(O)=O,CCCC(CCC)C(O)=O,2.45286997,0.65947039
OC(C(O)C(O)=O)C(O)=O,CC(C=O)c(cc1)ccc1C,0.41696822,0.25882409
OC(C(O)C(O)=O)C(O)=O,CC1CCC(C(C)C)CC1,11.55058732,2.6358115
OC(C(O)C(O)=O)C(O)=O,CC(C)c(cc1)ccc1C,8.45834833,2.07508873
OC(C(O)C(O)=O)C(O)=O,C=CC1CC=CCC1,8.49059075,1.98572034
OC(C(O)C(O)=O)C(O)=O,CCc1ccccc1,7.82575645,1.8477981
OC(C(O)C(O)=O)C(O)=O,C=Cc1ccccc1,6.90888466,1.65355776
OC(C(O)C(O)=O)C(O)=O,OCC1CCCCC1,-2.78737341,-0.40604708
OC(C(O)C(O)=O)C(O)=O,COc1ccccc1,4.7104379,1.14533994
OC(C(O)C(O)=O)C(O)=O,OCC1CCCCO1,-8.247403,-1.94346729
OC(C(O)C(O)=O)C(O)=O,OCC(CO1)OC1(C)C,-6.04125205,-1.474928
OC(C(O)C(O)=O)C(O)=O,Cc1cc(C=C)ccc1,7.30075635,1.79645879
OC(C(O)C(O)=O)C(O)=O,COc(ccc1)cc1C,5.02248939,1.26298123
OC(C(O)C(O)=O)C(O)=O,COC(=O)Cc1ccccc1,-0.52967275,-0.01582438
OC(C(O)C(O)=O)C(O)=O,COC(OC)Cc1ccccc1,-2.77558121,-0.35875972
OC(C(O)C(O)=O)C(O)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,1.96244877,0.55507468
OC(C(O)C(O)=O)C(O)=O,CC(C)COC(=O)Cc1ccccc1,0.05072095,0.10020296
OC(C(O)C(O)=O)C(O)=O,O=C(OCc2ccccc2)Cc1ccccc1,0.8056331,0.28971545
OC(C(O)C(O)=O)C(O)=O,CCc1cc(CC)cc(CC)c1,8.96800721,2.24103892
OC(C(O)C(O)=O)C(O)=O,CC(=O)Oc(ccc1)cc1O,0.64369426,0.18481589
OC(C(O)C(O)=O)C(O)=O,COC(OC)CC(OC)OC,-5.75150897,-1.43785476
OC(C(O)C(O)=O)C(O)=O,CCCCC(CC)COC(C)=O,-1.24426072,-0.22329354
OC(C(O)C(O)=O)C(O)=O,CCCCC(CC)COC(=O)C=C,1.19642869,0.34090277
OC(C(O)C(O)=O)C(O)=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-0.23660518,-0.30280715
OC(C(O)C(O)=O)C(O)=O,COC(CCc1ccccc1)=O,-0.20936824,0.04836761
OC(C(O)C(O)=O)C(O)=O,CC(C)C(OCc1ccccc1)=O,0.62870374,0.24012557
OC(C(O)C(O)=O)C(O)=O,CCCC(OCc1ccccc1)=O,0.77438908,0.28876649
OC(C(O)C(O)=O)C(O)=O,CC(C)CC(OCc1ccccc1)=O,1.3929466,0.43810465
OC(C(O)C(O)=O)C(O)=O,CC(OCCc1ccccc1)=O,-1.16110779,-0.14636604
OC(C(O)C(O)=O)C(O)=O,CC(C)C(OCCc1ccccc1)=O,0.82925306,0.29256634
OC(C(O)C(O)=O)C(O)=O,CC(C)C(OCCOc1ccccc1)=O,0.92240549,0.27663522
OC(C(O)C(O)=O)C(O)=O,CCCc1ccccc1,8.1245707,1.9717033
OC(C(O)C(O)=O)C(O)=O,CC(C)C(=O)Oc(cc1)ccc1C,1.53799908,0.45753519
OC(C(O)C(O)=O)C(O)=O,CCCc(cc1)ccc1OC,5.70504534,1.47884998
OC(C(O)C(O)=O)C(O)=O,CCCCC1OC(CC1)=O,-4.76502276,-1.12488758
OC(C(O)C(O)=O)C(O)=O,CCCCc1ccccc1,8.38159491,2.0717389
OC(C(O)C(O)=O)C(O)=O,O=COCc1ccccc1,0.51209411,0.20573235
OC(C(O)C(O)=O)C(O)=O,CCCCCC1OC(CC1)=O,-4.2854015,-1.01457376
