SMILES0,SMILES,gamma1,gamma2
OC(C(O)C(O)C(O)=O)C(O)C=O,OC(C)C(O)=O,-0.26656095,-0.06058768
OC(C(O)C(O)C(O)=O)C(O)C=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.124443,1.40025188
OC(C(O)C(O)C(O)=O)C(O)C=O,OCC(O)C,-3.02668815,-0.71080408
OC(C(O)C(O)C(O)=O)C(O)C=O,O=C1CCO1,-1.31880394,-0.34141502
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.01292318,-0.01979658
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOCC,-4.72180519,-0.64801601
OC(C(O)C(O)C(O)=O)C(O)C=O,OCC,-3.93083318,-0.76581402
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCCC=O,-1.19908328,-0.17256287
OC(C(O)C(O)C(O)=O)C(O)C=O,CO,-4.71438928,-0.91256189
OC(C(O)C(O)C(O)=O)C(O)C=O,OC(C)C,-3.68525658,-0.70265452
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)=O,-6.62274156,-1.47358741
OC(C(O)C(O)C(O)=O)C(O)C=O,OCCC,-2.58624264,-0.48273254
OC(C(O)C(O)C(O)=O)C(O)C=O,OCCCC,-2.23425814,-0.37983264
OC(C(O)C(O)C(O)=O)C(O)C=O,OCCCCC,-1.68893161,-0.24755021
OC(C(O)C(O)C(O)=O)C(O)C=O,CC1OC1,-4.74314754,-0.90095215
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC(C)(C)C,10.26212664,1.87179407
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)(C)C(C)=O,-3.57628891,-0.69064578
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.21757689,-0.01197446
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(C)(C)OC,-4.62095074,-0.92178884
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC1(CC)CCCCC1,10.24989881,2.04958013
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOC(C)(OCC)OCC,-5.10311813,-1.29016423
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)CCCC(O)(C)CC,-1.12406385,-0.05169422
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC(C)C,10.35580184,1.81591608
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(=C)C=C,6.85536194,1.17466023
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(=C)C#C,4.404721,0.79203748
OC(C(O)C(O)C(O)=O)C(O)C=O,OCC(C)C,-1.40670031,-0.22634158
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)C=O,-2.29340508,-0.44137734
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(=C)C=O,-2.82168455,-0.571472
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC(O)C,-2.44000593,-0.42873008
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC(C)=O,-5.47526384,-1.18528659
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(C)=O,-3.31783651,-0.7259065
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)C(C)C,10.31980872,1.88967934
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)C(O)=O,0.56936429,0.14343109
OC(C(O)C(O)C(O)=O)C(O)C=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.36928459,-0.01180073
OC(C(O)C(O)C(O)=O)C(O)C=O,OOC(C)(C)C(CC1)CCC1C,2.61750481,0.65193809
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOC(C(O)(C)C)=O,-3.8439999,-0.77505381
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(=O)C(C)=C,-0.42758619,-0.06869905
OC(C(O)C(O)C(O)=O)C(O)C=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.71263021,1.08073167
OC(C(O)C(O)C(O)=O)C(O)C=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.71181891,-0.35614182
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.94260108,0.50908415
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOC(=O)c1ccccc1C(OCC)=O,0.42925299,0.11284788
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.45408167,0.36115532
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.36707317,0.55168475
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)CCOC(=O)c1ccccc1O,4.76931233,1.10743848
OC(C(O)C(O)C(O)=O)C(O)C=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.35207844,1.02998111
OC(C(O)C(O)C(O)=O)C(O)C=O,O=C2c1ccccc1CO2,-1.42096421,-0.32592233
OC(C(O)C(O)C(O)=O)C(O)C=O,OCC(O)C(O)C(O)CO,-3.10480448,-0.79285976
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC(CC)C(O)=O,1.47178137,0.36745771
OC(C(O)C(O)C(O)=O)C(O)C=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.9090053,0.28792347
OC(C(O)C(O)C(O)=O)C(O)C=O,COc1cc(C)ccc1C(C)(C)C,7.1301419,1.53509216
OC(C(O)C(O)C(O)=O)C(O)C=O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.84018998,1.9312923
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(=O)c1ccccc1C,1.75898538,0.45052886
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(=O)c1ccc(C)cc1C,-2.18895603,-0.30094888
OC(C(O)C(O)C(O)=O)C(O)C=O,Cc2c1ccccc1ccc2,6.14791113,1.2602957
OC(C(O)C(O)C(O)=O)C(O)C=O,O=C2CCCCC2C1CCCCC1,-1.43254598,-0.16755081
OC(C(O)C(O)C(O)=O)C(O)C=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-1.40184913,-0.30262557
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C=O)c1ccccc1,0.84420381,0.23117071
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC(O)c1ccccc1,0.64064135,0.20927231
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOC(=O)c1ccccc1,1.35517886,0.3469883
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(OC(C)c2ccccc2)c1ccccc1,1.17566064,0.66012343
OC(C(O)C(O)C(O)=O)C(O)C=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.87282869,0.68438681
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOC(=O)c(cc1)ccc1C,1.21555766,0.33104423
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-28.44986316,-2.15999485
OC(C(O)C(O)C(O)=O)C(O)C=O,O=C(OCCc1ccccc1)c2ccccc2,2.8767832,0.7084556
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCc2cc1OCOc1cc2,5.28574463,1.14664914
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(C1CCC(CC1)C(OC)=O)=O,-1.57311909,-0.40008546
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCC1CCCCC1=O,-2.72369423,-0.4974307
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOc1ccc(C=CC)cc1O,3.23878642,0.79051381
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCC(O)C(CO)CC,-3.09216089,-0.6218563
OC(C(O)C(O)C(O)=O)C(O)C=O,Cc(ccc1C)cc1C,6.99232062,1.39720085
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOC(=O)C(OCC)=O,-0.42072534,-0.10856158
OC(C(O)C(O)C(O)=O)C(O)C=O,CC1OC(C(C)OC1=O)=O,0.34776897,0.05819379
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCC(=O)C(C)=O,1.79249041,0.39352592
OC(C(O)C(O)C(O)=O)C(O)C=O,C=CCOC(=O)C(C)=C,1.14977491,0.30174106
OC(C(O)C(O)C(O)=O)C(O)C=O,C1OC1c2ccccc2,1.68147855,0.403875
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC(C)CC,10.38880742,1.91567078
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC(CC)=O,-4.09236364,-0.84267695
OC(C(O)C(O)C(O)=O)C(O)C=O,OCC(CO)=O,-2.38545014,-0.58080107
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(=O)C=C,-0.73691541,-0.16765172
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(CO)=O,-3.34468224,-0.78029997
OC(C(O)C(O)C(O)=O)C(O)C=O,CC1CCCC1,10.28873308,1.8377961
OC(C(O)C(O)C(O)=O)C(O)C=O,CC1CCCO1,-7.91936894,-1.4605209
OC(C(O)C(O)C(O)=O)C(O)C=O,O=C1CCCO1,-4.98930761,-1.20149811
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCC(C)C(O)=O,1.49490293,0.3724141
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOC(C(C)C)=O,-0.85550701,-0.12325993
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOC(=O)C(C)=C,-0.32804546,-0.0056252
OC(C(O)C(O)C(O)=O)C(O)C=O,CCOC(C(O)C)=O,-3.6106619,-0.76538527
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)C(OC(C(C)C)=O)=O,1.78522263,0.40095801
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)COC(C(C)C)=O,0.04621941,0.10756868
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)COC(=O)C(C)=C,0.70839418,0.24271944
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCOC(C(C)C)=O,0.19984556,0.13406247
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCOC(=O)C(C)=C,0.47430004,0.19593328
OC(C(O)C(O)C(O)=O)C(O)C=O,CCC(CC)C=O,-0.74599583,-0.06468678
OC(C(O)C(O)C(O)=O)C(O)C=O,OCC1CCCO1,-6.45124151,-1.51238176
OC(C(O)C(O)C(O)=O)C(O)C=O,OCc1occc1,-1.38919222,-0.29001578
OC(C(O)C(O)C(O)=O)C(O)C=O,O=Cc1occc1,-2.28679938,-0.51039802
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)(C)c1ccccc1,7.11566476,1.44919992
OC(C(O)C(O)C(O)=O)C(O)C=O,OOC(C)(C)c(cc1)ccc1C(C)C,2.2817362,0.56865722
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)(C)c(cc1)ccc1C,7.46416743,1.56243086
OC(C(O)C(O)C(O)=O)C(O)C=O,OC1CCC(CC1)C(C)(C)C,-1.18989999,-0.10978364
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)(C)C1CCC(CC1)=O,-3.69876244,-0.76078857
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)c1ccccc1,6.98931427,1.39480936
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(=O)c(ccc1)cc1C,1.42675853,0.35764573
OC(C(O)C(O)C(O)=O)C(O)C=O,OC1CC(CC=C1C)C(C)=C,-0.2357194,0.0645832
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)c1cc(C(C)C)ccc1,7.69806309,1.64790984
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCC(CCC)C(O)=O,2.15617543,0.53984291
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C=O)c(cc1)ccc1C,1.0289784,0.29486113
OC(C(O)C(O)C(O)=O)C(O)C=O,CC1CCC(C(C)C)CC1,10.31071781,2.08864977
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)c(cc1)ccc1C,7.33085157,1.50976139
OC(C(O)C(O)C(O)=O)C(O)C=O,C=CC1CC=CCC1,7.41135168,1.4369777
OC(C(O)C(O)C(O)=O)C(O)C=O,CCc1ccccc1,6.70166731,1.29058716
OC(C(O)C(O)C(O)=O)C(O)C=O,C=Cc1ccccc1,5.83333943,1.11656368
OC(C(O)C(O)C(O)=O)C(O)C=O,OCC1CCCCC1,-0.63369184,-0.02315599
OC(C(O)C(O)C(O)=O)C(O)C=O,COc1ccccc1,4.0820467,0.80744265
OC(C(O)C(O)C(O)=O)C(O)C=O,OCC1CCCCO1,-5.09708943,-1.15264365
OC(C(O)C(O)C(O)=O)C(O)C=O,OCC(CO1)OC1(C)C,-3.6094674,-0.87138029
OC(C(O)C(O)C(O)=O)C(O)C=O,Cc1cc(C=C)ccc1,6.21183664,1.24100426
OC(C(O)C(O)C(O)=O)C(O)C=O,COc(ccc1)cc1C,4.39067751,0.91215284
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(=O)Cc1ccccc1,0.35718669,0.12177774
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(OC)Cc1ccccc1,-1.06199816,-0.09228163
OC(C(O)C(O)C(O)=O)C(O)C=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,2.1234579,0.52964566
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)COC(=O)Cc1ccccc1,0.8479866,0.25475301
OC(C(O)C(O)C(O)=O)C(O)C=O,O=C(OCc2ccccc2)Cc1ccccc1,1.36549953,0.36580126
OC(C(O)C(O)C(O)=O)C(O)C=O,CCc1cc(CC)cc(CC)c1,7.84640697,1.68549625
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(=O)Oc(ccc1)cc1O,0.28068819,0.07018009
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(OC)CC(OC)OC,-3.56965626,-0.86640679
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCC(CC)COC(C)=O,-0.01667447,0.08144739
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCC(CC)COC(=O)C=C,1.84558113,0.4959376
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.74813614,0.08790427
OC(C(O)C(O)C(O)=O)C(O)C=O,COC(CCc1ccccc1)=O,0.58608781,0.17672846
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)C(OCc1ccccc1)=O,1.2472969,0.33342287
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCC(OCc1ccccc1)=O,1.3558103,0.367317
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)CC(OCc1ccccc1)=O,1.82315232,0.48241623
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(OCCc1ccccc1)=O,-0.02955332,0.0565695
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)C(OCCc1ccccc1)=O,1.44782972,0.39571943
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)C(OCCOc1ccccc1)=O,1.35570732,0.34773907
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCc1ccccc1,6.98704056,1.40445436
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)C(=O)Oc(cc1)ccc1C,1.86101525,0.47024386
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCc(cc1)ccc1OC,5.02287229,1.11190028
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCC1OC(CC1)=O,-3.06535329,-0.71548292
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCc1ccccc1,7.23516714,1.50156707
OC(C(O)C(O)C(O)=O)C(O)C=O,O=COCc1ccccc1,1.03324315,0.24909534
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCCC1OC(CC1)=O,-2.6538855,-0.61338489
OC(C(O)C(O)C(O)=O)C(O)C=O,O=COCCc1ccccc1,1.10083345,0.27821848
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCCCCC1OC(CC1)=O,-1.89405662,-0.42805564
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCCC(CO)CC,0.50565453,0.24834017
OC(C(O)C(O)C(O)=O)C(O)C=O,COc(cc1)ccc1C,4.3054702,0.90114705
OC(C(O)C(O)C(O)=O)C(O)C=O,CC(C)COC(CCc1occc1)=O,1.69792697,0.44277167
OC(C(O)C(O)C(O)=O)C(O)C=O,CCc1ccc(CC)cc1,7.40176612,1.52922678
OC(C(O)C(O)C(O)=O)C(O)C=O,C=Cc1ccc(C=C)cc1,5.81555443,1.20059129
OC(C(O)C(O)C(O)=O)C(O)C=O,CCCC1OC(CC1)=O,-3.64270171,-0.86197541
OC(C(O)C(O)C(O)=O)C(O)C=O,OCC=C(C)C#C,-0.91814874,-0.19534881
