SMILES0,SMILES,gamma1,gamma2
OC(C)(C)C(O)=O,OC(C)C(O)=O,0.11416829,0.02478197
OC(C)(C)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.32391121,0.8470763
OC(C)(C)C(O)=O,OCC(O)C,-1.09033154,-0.27991915
OC(C)(C)C(O)=O,O=C1CCO1,0.83003164,0.17661265
OC(C)(C)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.36301095,0.08365743
OC(C)(C)C(O)=O,CCOCC,-2.0509975,-0.51958508
OC(C)(C)C(O)=O,OCC,-1.66708514,-0.4234114
OC(C)(C)C(O)=O,CCCCCC=O,-0.11701232,-0.05422332
OC(C)(C)C(O)=O,CO,-1.67097617,-0.41400088
OC(C)(C)C(O)=O,OC(C)C,-1.70836462,-0.44496063
OC(C)(C)C(O)=O,CC(C)=O,-2.36652904,-0.61252
OC(C)(C)C(O)=O,OCCC,-1.24908532,-0.31934775
OC(C)(C)C(O)=O,OCCCC,-1.18779426,-0.30993815
OC(C)(C)C(O)=O,OCCCCC,-1.02991572,-0.2733901
OC(C)(C)C(O)=O,CC1OC1,-1.63920401,-0.41125424
OC(C)(C)C(O)=O,CCC(C)(C)C,8.14067277,0.99875313
OC(C)(C)C(O)=O,CC(C)(C)C(C)=O,-1.26634141,-0.33890326
OC(C)(C)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.65262996,-0.1644463
OC(C)(C)C(O)=O,COC(C)(C)OC,-1.93784476,-0.52340924
OC(C)(C)C(O)=O,CCC1(CC)CCCCC1,8.07058157,1.06239949
OC(C)(C)C(O)=O,CCOC(C)(OCC)OCC,-2.38823148,-0.59501658
OC(C)(C)C(O)=O,CC(C)CCCC(O)(C)CC,-0.98257348,-0.29244176
OC(C)(C)C(O)=O,CCC(C)C,8.23185447,0.97905522
OC(C)(C)C(O)=O,CC(=C)C=C,5.92536673,0.71043608
OC(C)(C)C(O)=O,CC(=C)C#C,4.06466811,0.50864057
OC(C)(C)C(O)=O,OCC(C)C,-0.87114482,-0.22605404
OC(C)(C)C(O)=O,CC(C)C=O,-0.46047885,-0.14330115
OC(C)(C)C(O)=O,CC(=C)C=O,-0.67273814,-0.18570364
OC(C)(C)C(O)=O,CCC(O)C,-1.28502524,-0.33463347
OC(C)(C)C(O)=O,CCC(C)=O,-1.99822885,-0.52494313
OC(C)(C)C(O)=O,COC(C)=O,-0.83907502,-0.22746215
OC(C)(C)C(O)=O,CC(C)C(C)C,8.18061994,1.00645493
OC(C)(C)C(O)=O,CC(C)C(O)=O,0.09492682,0.02421424
OC(C)(C)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.05303534,-0.05967642
OC(C)(C)C(O)=O,OOC(C)(C)C(CC1)CCC1C,0.94053021,0.22372685
OC(C)(C)C(O)=O,CCOC(C(O)(C)C)=O,-1.68318507,-0.46261713
OC(C)(C)C(O)=O,COC(=O)C(C)=C,0.34908435,0.04025758
OC(C)(C)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.82854907,0.56957007
OC(C)(C)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.38061273,-0.09599073
OC(C)(C)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.23801477,-0.03279174
OC(C)(C)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.75809727,0.16407434
OC(C)(C)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.0841756,0.22555444
OC(C)(C)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.48614363,0.29880717
OC(C)(C)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,2.98338387,0.58324952
OC(C)(C)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.96259078,0.5933339
OC(C)(C)C(O)=O,O=C2c1ccccc1CO2,0.12414937,0.02288904
OC(C)(C)C(O)=O,OCC(O)C(O)C(O)CO,-1.08586918,-0.26221687
OC(C)(C)C(O)=O,CCC(CC)C(O)=O,0.34429962,0.08604563
OC(C)(C)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.17289221,-0.05796839
OC(C)(C)C(O)=O,COc1cc(C)ccc1C(C)(C)C,5.95130151,0.86458502
OC(C)(C)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,6.70700943,1.00516274
OC(C)(C)C(O)=O,COC(=O)c1ccccc1C,1.32728667,0.26889884
OC(C)(C)C(O)=O,CC(=O)c1ccc(C)cc1C,-0.83126991,-0.21695159
OC(C)(C)C(O)=O,Cc2c1ccccc1ccc2,5.42549249,0.77594632
OC(C)(C)C(O)=O,O=C2CCCCC2C1CCCCC1,-0.4450721,-0.14376918
OC(C)(C)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.36904663,-0.10684106
OC(C)(C)C(O)=O,CC(C=O)c1ccccc1,0.9935652,0.20355496
OC(C)(C)C(O)=O,CCC(O)c1ccccc1,-0.03671598,-0.00393976
OC(C)(C)C(O)=O,CCOC(=O)c1ccccc1,1.14004468,0.22632022
OC(C)(C)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.37434434,0.18476259
OC(C)(C)C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.0365905,0.42893023
OC(C)(C)C(O)=O,CCOC(=O)c(cc1)ccc1C,1.00754162,0.19583114
OC(C)(C)C(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-17.0253036,-1.24673797
OC(C)(C)C(O)=O,O=C(OCCc1ccccc1)c2ccccc2,1.96792049,0.41225831
OC(C)(C)C(O)=O,CCCc2cc1OCOc1cc2,4.03715085,0.68432657
OC(C)(C)C(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.23183493,-0.05687493
OC(C)(C)C(O)=O,CCCC1CCCCC1=O,-0.98602797,-0.28301638
OC(C)(C)C(O)=O,CCOc1ccc(C=CC)cc1O,1.78924191,0.39543588
OC(C)(C)C(O)=O,CCCC(O)C(CO)CC,-1.6607224,-0.45047452
OC(C)(C)C(O)=O,Cc(ccc1C)cc1C,5.92793006,0.81185306
OC(C)(C)C(O)=O,CCOC(=O)C(OCC)=O,0.53637902,0.10290387
OC(C)(C)C(O)=O,CC1OC(C(C)OC1=O)=O,1.0716936,0.24456593
OC(C)(C)C(O)=O,CCCCC(=O)C(C)=O,1.57317899,0.30784678
OC(C)(C)C(O)=O,C=CCOC(=O)C(C)=C,1.03999164,0.19861326
OC(C)(C)C(O)=O,C1OC1c2ccccc2,1.49972855,0.31099411
OC(C)(C)C(O)=O,CCC(C)CC,8.22852946,1.01720434
OC(C)(C)C(O)=O,CCC(CC)=O,-1.45992412,-0.39361803
OC(C)(C)C(O)=O,OCC(CO)=O,-0.26719091,-0.06040176
OC(C)(C)C(O)=O,COC(=O)C=C,0.3196267,0.03768822
OC(C)(C)C(O)=O,COC(CO)=O,-0.93219633,-0.23863223
OC(C)(C)C(O)=O,CC1CCCC1,8.17123011,0.99023823
OC(C)(C)C(O)=O,CC1CCCO1,-3.54760852,-0.98190262
OC(C)(C)C(O)=O,O=C1CCCO1,-1.34048742,-0.33908436
OC(C)(C)C(O)=O,CCCC(C)C(O)=O,0.34862382,0.08661481
OC(C)(C)C(O)=O,CCOC(C(C)C)=O,0.04890096,-0.02879459
