SMILES0,SMILES,gamma1,gamma2
OC(C)(C)CC(O)=O,OC(C)C(O)=O,-0.66573,-0.17026831
OC(C)(C)CC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.69741653,0.81541574
OC(C)(C)CC(O)=O,OCC(O)C,-0.07864589,-0.02051381
OC(C)(C)CC(O)=O,O=C1CCO1,1.78506139,0.3532926
OC(C)(C)CC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.55747048,0.32959862
OC(C)(C)CC(O)=O,CCOCC,-0.03924491,-0.03146724
OC(C)(C)CC(O)=O,OCC,-0.36618526,-0.09205453
OC(C)(C)CC(O)=O,CCCCCC=O,1.31035924,0.24636632
OC(C)(C)CC(O)=O,CO,-0.3901137,-0.09492533
OC(C)(C)CC(O)=O,OC(C)C,-0.32006013,-0.08228972
OC(C)(C)CC(O)=O,CC(C)=O,-0.67534628,-0.1905616
OC(C)(C)CC(O)=O,OCCC,-0.08130665,-0.0200985
OC(C)(C)CC(O)=O,OCCCC,0.03311182,0.00908374
OC(C)(C)CC(O)=O,OCCCCC,0.18386898,0.04734239
OC(C)(C)CC(O)=O,CC1OC1,-0.0244797,-0.0441164
OC(C)(C)CC(O)=O,CCC(C)(C)C,8.95350336,1.0160254
OC(C)(C)CC(O)=O,CC(C)(C)C(C)=O,0.4242681,0.05814577
OC(C)(C)CC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.08738299,0.24536818
OC(C)(C)CC(O)=O,COC(C)(C)OC,-0.04836871,-0.04881821
OC(C)(C)CC(O)=O,CCC1(CC)CCCCC1,8.89514142,1.08591137
OC(C)(C)CC(O)=O,CCOC(C)(OCC)OCC,-0.35078332,-0.08955006
OC(C)(C)CC(O)=O,CC(C)CCCC(O)(C)CC,0.50324427,0.11054938
OC(C)(C)CC(O)=O,CCC(C)C,9.05261054,0.99561959
OC(C)(C)CC(O)=O,CC(=C)C=C,6.40329885,0.67691296
OC(C)(C)CC(O)=O,CC(=C)C#C,3.68928723,0.35656004
OC(C)(C)CC(O)=O,OCC(C)C,0.15334123,0.03957069
OC(C)(C)CC(O)=O,CC(C)C=O,0.95433041,0.14916783
OC(C)(C)CC(O)=O,CC(=C)C=O,0.7432316,0.12204777
OC(C)(C)CC(O)=O,CCC(O)C,-0.00695362,-0.00175654
OC(C)(C)CC(O)=O,CCC(C)=O,-0.30708583,-0.10791862
OC(C)(C)CC(O)=O,COC(C)=O,0.54161954,0.07847262
OC(C)(C)CC(O)=O,CC(C)C(C)C,9.00193413,1.02517577
OC(C)(C)CC(O)=O,CC(C)C(O)=O,-0.48149089,-0.11742469
OC(C)(C)CC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.50940928,0.30175713
OC(C)(C)CC(O)=O,OOC(C)(C)C(CC1)CCC1C,0.75085363,0.18100862
OC(C)(C)CC(O)=O,CCOC(C(O)(C)C)=O,-0.0997847,-0.04181369
OC(C)(C)CC(O)=O,COC(=O)C(C)=C,1.63841528,0.29797451
OC(C)(C)CC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.0556082,0.55847775
OC(C)(C)CC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.95410474,0.21696129
OC(C)(C)CC(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.33631056,0.26174779
OC(C)(C)CC(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.87751778,0.388635
OC(C)(C)CC(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.27412734,0.46205682
OC(C)(C)CC(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.68298355,0.53152043
OC(C)(C)CC(O)=O,CC(C)CCOC(=O)c1ccccc1O,3.88145836,0.69813356
OC(C)(C)CC(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.65114976,0.67057027
OC(C)(C)CC(O)=O,O=C2c1ccccc1CO2,1.22417744,0.26639034
OC(C)(C)CC(O)=O,OCC(O)C(O)C(O)CO,-0.1961288,-0.04824579
OC(C)(C)CC(O)=O,CCC(CC)C(O)=O,-0.17936614,-0.04077315
OC(C)(C)CC(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.38872558,0.09100183
OC(C)(C)CC(O)=O,COc1cc(C)ccc1C(C)(C)C,6.48496369,0.84634948
OC(C)(C)CC(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,7.51755421,1.02693478
OC(C)(C)CC(O)=O,COC(=O)c1ccccc1C,2.45666878,0.47167498
OC(C)(C)CC(O)=O,CC(=O)c1ccc(C)cc1C,0.7915181,0.16645891
OC(C)(C)CC(O)=O,Cc2c1ccccc1ccc2,5.81154247,0.73630073
OC(C)(C)CC(O)=O,O=C2CCCCC2C1CCCCC1,1.26934249,0.24975879
OC(C)(C)CC(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.93371364,0.20698948
OC(C)(C)CC(O)=O,CC(C=O)c1ccccc1,2.05435443,0.39582272
OC(C)(C)CC(O)=O,CCC(O)c1ccccc1,0.32218641,0.08260367
OC(C)(C)CC(O)=O,CCOC(=O)c1ccccc1,2.31353668,0.44791227
OC(C)(C)CC(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,1.78083617,0.44051202
OC(C)(C)CC(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.80769058,0.56816869
OC(C)(C)CC(O)=O,CCOC(=O)c(cc1)ccc1C,2.27661008,0.44516948
OC(C)(C)CC(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-12.76750857,-0.73569785
OC(C)(C)CC(O)=O,O=C(OCCc1ccccc1)c2ccccc2,2.92310543,0.57316084
