SMILES0,SMILES,gamma1,gamma2
OC(C)=O,OC(C)C(O)=O,-0.05749018,-0.01525943
OC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.44044254,0.74736842
OC(C)=O,OCC(O)C,-0.82947951,-0.20741631
OC(C)=O,O=C1CCO1,0.58789165,0.13527425
OC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.34840985,0.0626081
OC(C)=O,CCOCC,-1.25050504,-0.34421704
OC(C)=O,OCC,-1.09648611,-0.29241601
OC(C)=O,CCCCCC=O,0.12637715,0.03120297
OC(C)=O,CO,-1.18065765,-0.31163555
OC(C)=O,OC(C)C,-1.08865853,-0.30071265
OC(C)=O,CC(C)=O,-1.6736883,-0.43878729
OC(C)=O,OCCC,-0.72581969,-0.19649815
OC(C)=O,OCCCC,-0.65532343,-0.1859706
OC(C)=O,OCCCCC,-0.51590776,-0.15614193
OC(C)=O,CC1OC1,-1.05904684,-0.25811798
OC(C)=O,CCC(C)(C)C,7.13463472,1.01071924
OC(C)=O,CC(C)(C)C(C)=O,-0.76059739,-0.20596249
OC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.35374198,-0.12172086
OC(C)=O,COC(C)(C)OC,-1.2533834,-0.35903931
OC(C)=O,CCC1(CC)CCCCC1,7.02759342,1.03943791
OC(C)=O,CCOC(C)(OCC)OCC,-1.65973855,-0.41901384
OC(C)=O,CC(C)CCCC(O)(C)CC,-0.46076977,-0.19244546
OC(C)=O,CCC(C)C,7.23149896,1.00441565
OC(C)=O,CC(=C)C=C,5.18073793,0.7210003
OC(C)=O,CC(=C)C#C,3.55024511,0.48399372
OC(C)=O,OCC(C)C,-0.41746411,-0.12151179
OC(C)=O,CC(C)C=O,-0.12349636,-0.02666459
OC(C)=O,CC(=C)C=O,-0.41178651,-0.09782395
OC(C)=O,CCC(O)C,-0.73289838,-0.20717292
OC(C)=O,CCC(C)=O,-1.36479873,-0.3624569
OC(C)=O,COC(C)=O,-0.50544766,-0.12516352
OC(C)=O,CC(C)C(C)C,7.16619297,1.01713531
OC(C)=O,CC(C)C(O)=O,0.25587193,0.06289042
OC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.07542102,-0.03589738
OC(C)=O,OOC(C)(C)C(CC1)CCC1C,1.02640806,0.23105228
OC(C)=O,CCOC(C(O)(C)C)=O,-1.19997279,-0.36426776
OC(C)=O,COC(=O)C(C)=C,0.42489564,0.09880395
OC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.26806035,0.48184906
OC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.51693682,-0.13737862
OC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.452669,-0.02215674
OC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.60090882,0.14087957
OC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.91900261,0.19309271
OC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.27075299,0.24777894
OC(C)=O,CC(C)CCOC(=O)c1ccccc1O,2.49147249,0.53678362
OC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.34406505,0.50964749
OC(C)=O,O=C2c1ccccc1CO2,-0.07013865,-0.01427468
OC(C)=O,OCC(O)C(O)C(O)CO,-0.97670037,-0.22555846
OC(C)=O,CCC(CC)C(O)=O,0.51096571,0.12017472
OC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.0403851,-0.03832995
OC(C)=O,COc1cc(C)ccc1C(C)(C)C,5.13413517,0.81983124
OC(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,5.7873218,0.95681154
OC(C)=O,COC(=O)c1ccccc1C,1.0926784,0.25995799
OC(C)=O,CC(=O)c1ccc(C)cc1C,-0.61403146,-0.16989972
OC(C)=O,Cc2c1ccccc1ccc2,4.61096411,0.71870014
OC(C)=O,O=C2CCCCC2C1CCCCC1,-0.09596557,-0.06299257
OC(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.47328672,-0.13592986
OC(C)=O,CC(C=O)c1ccccc1,0.7873571,0.19536626
OC(C)=O,CCC(O)c1ccccc1,0.01862028,0.00543356
OC(C)=O,CCOC(=O)c1ccccc1,0.95239752,0.22433768
OC(C)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.22406018,0.13948672
OC(C)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.47633344,0.32395295
OC(C)=O,CCOC(=O)c(cc1)ccc1C,0.8771061,0.20242057
OC(C)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-12.85052034,-1.08914044
OC(C)=O,O=C(OCCc1ccccc1)c2ccccc2,1.5178753,0.34957383
OC(C)=O,CCCc2cc1OCOc1cc2,3.41640193,0.6352953
OC(C)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.0789049,-0.02029453
OC(C)=O,CCCC1CCCCC1=O,-0.52315351,-0.16985916
OC(C)=O,CCOc1ccc(C=CC)cc1O,1.50949439,0.34617012
OC(C)=O,CCCC(O)C(CO)CC,-1.0790308,-0.31064847
OC(C)=O,Cc(ccc1C)cc1C,5.1254335,0.78805971
OC(C)=O,CCOC(=O)C(OCC)=O,0.49692179,0.11345006
OC(C)=O,CC1OC(C(C)OC1=O)=O,0.72637638,0.17108866
OC(C)=O,CCCCC(=O)C(C)=O,1.42935837,0.32417949
OC(C)=O,C=CCOC(=O)C(C)=C,0.91550692,0.21359559
OC(C)=O,C1OC1c2ccccc2,1.15963036,0.28571665
OC(C)=O,CCC(C)CC,7.20331818,1.02499155
OC(C)=O,CCC(CC)=O,-0.91391896,-0.24819063
OC(C)=O,OCC(CO)=O,-0.50969749,-0.1173664
OC(C)=O,COC(=O)C=C,0.34468109,0.08003323
OC(C)=O,COC(CO)=O,-0.81572409,-0.2092035
OC(C)=O,CC1CCCC1,7.1867808,1.01195669
OC(C)=O,CC1CCCO1,-2.44072563,-0.74430574
OC(C)=O,O=C1CCCO1,-0.98847627,-0.24556935
OC(C)=O,CCCC(C)C(O)=O,0.51458229,0.12023743
OC(C)=O,CCOC(C(C)C)=O,0.28309928,0.0572945
OC(C)=O,CCOC(=O)C(C)=C,0.40547386,0.09003894
