SMILES0,SMILES,gamma1,gamma2
OC(C)C(C)=O,OC(C)C(O)=O,-1.69711152,-0.44373096
OC(C)C(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.68998257,0.16775208
OC(C)C(C)=O,OCC(O)C,0.30544033,0.07694999
OC(C)C(C)=O,O=C1CCO1,0.65151966,0.15879739
OC(C)C(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.18620601,0.0418146
OC(C)C(C)=O,CCOCC,0.71238834,0.17729989
OC(C)C(C)=O,OCC,0.48023629,0.11755889
OC(C)C(C)=O,CCCCCC=O,0.47142978,0.11742411
OC(C)C(C)=O,CO,0.60028399,0.14409219
OC(C)C(C)=O,OC(C)C,0.48150005,0.1190682
OC(C)C(C)=O,CC(C)=O,-0.09484301,-0.02430593
OC(C)C(C)=O,OCCC,0.39035813,0.0988743
OC(C)C(C)=O,OCCCC,0.454085,0.11985967
OC(C)C(C)=O,OCCCCC,0.492434,0.13151153
OC(C)C(C)=O,CC1OC1,0.11765696,0.02737747
OC(C)C(C)=O,CCC(C)(C)C,2.80531309,0.6530667
OC(C)C(C)=O,CC(C)(C)C(C)=O,0.3736258,0.09241875
OC(C)C(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.85082993,0.20619461
OC(C)C(C)=O,COC(C)(C)OC,0.45769193,0.11352383
OC(C)C(C)=O,CCC1(CC)CCCCC1,2.74114298,0.65510743
OC(C)C(C)=O,CCOC(C)(OCC)OCC,0.51010055,0.13022561
OC(C)C(C)=O,CC(C)CCCC(O)(C)CC,0.83703536,0.2088066
OC(C)C(C)=O,CCC(C)C,2.8773744,0.65838395
OC(C)C(C)=O,CC(=C)C=C,1.22994104,0.28189543
OC(C)C(C)=O,CC(=C)C#C,-0.64917563,-0.1415188
OC(C)C(C)=O,OCC(C)C,0.25290833,0.07110009
OC(C)C(C)=O,CC(C)C=O,0.29515632,0.07146018
OC(C)C(C)=O,CC(=C)C=O,0.26174155,0.06381892
OC(C)C(C)=O,CCC(O)C,0.44494199,0.11374451
OC(C)C(C)=O,CCC(C)=O,0.05091345,0.01223896
OC(C)C(C)=O,COC(C)=O,0.16491617,0.03982498
OC(C)C(C)=O,CC(C)C(C)C,2.83639947,0.66161352
OC(C)C(C)=O,CC(C)C(O)=O,-1.87579005,-0.51058987
OC(C)C(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.63340132,0.14871508
OC(C)C(C)=O,OOC(C)(C)C(CC1)CCC1C,-1.26020379,-0.35016994
OC(C)C(C)=O,CCOC(C(O)(C)C)=O,0.23438273,0.05871199
OC(C)C(C)=O,COC(=O)C(C)=C,0.46561401,0.11485519
OC(C)C(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.03719555,-0.00652817
OC(C)C(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.26579987,0.06158675
OC(C)C(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.51823336,0.08261251
OC(C)C(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.27660282,0.06760597
OC(C)C(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.44820888,0.10375616
OC(C)C(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.59466944,0.12831274
OC(C)C(C)=O,CC(C)CCOC(=O)c1ccccc1O,0.87254543,0.21285933
OC(C)C(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.50227235,0.12411366
OC(C)C(C)=O,O=C2c1ccccc1CO2,0.29777235,0.07434489
OC(C)C(C)=O,OCC(O)C(O)C(O)CO,-0.0551777,-0.01323784
OC(C)C(C)=O,CCC(CC)C(O)=O,-1.81844231,-0.49389573
OC(C)C(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.60671525,-0.15031133
OC(C)C(C)=O,COc1cc(C)ccc1C(C)(C)C,1.22222335,0.29827417
OC(C)C(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.0843779,0.5028096
OC(C)C(C)=O,COC(=O)c1ccccc1C,0.59573882,0.14851653
OC(C)C(C)=O,CC(=O)c1ccc(C)cc1C,0.4634467,0.11518458
OC(C)C(C)=O,Cc2c1ccccc1ccc2,0.82853199,0.20268157
OC(C)C(C)=O,O=C2CCCCC2C1CCCCC1,0.82923209,0.20032669
OC(C)C(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.14610391,0.03546057
OC(C)C(C)=O,CC(C=O)c1ccccc1,0.34815137,0.08708705
OC(C)C(C)=O,CCC(O)c1ccccc1,-0.88895714,-0.2199441
OC(C)C(C)=O,CCOC(=O)c1ccccc1,0.57758026,0.14374023
OC(C)C(C)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.65057764,0.16075753
OC(C)C(C)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.28225822,0.06331261
OC(C)C(C)=O,CCOC(=O)c(cc1)ccc1C,0.63964936,0.15831791
OC(C)C(C)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-5.6400407,-0.19558374
OC(C)C(C)=O,O=C(OCCc1ccccc1)c2ccccc2,0.49357758,0.12117379
OC(C)C(C)=O,CCCc2cc1OCOc1cc2,0.44104026,0.11131439
OC(C)C(C)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.19694935,0.04820346
OC(C)C(C)=O,CCCC1CCCCC1=O,0.61520498,0.15138911
OC(C)C(C)=O,CCOc1ccc(C=CC)cc1O,-1.54237634,-0.37126627
OC(C)C(C)=O,CCCC(O)C(CO)CC,0.53002688,0.128957
OC(C)C(C)=O,Cc(ccc1C)cc1C,1.28573953,0.31058056
OC(C)C(C)=O,CCOC(=O)C(OCC)=O,0.26437032,0.06525648
OC(C)C(C)=O,CC1OC(C(C)OC1=O)=O,-0.12520543,-0.02767245
OC(C)C(C)=O,CCCCC(=O)C(C)=O,0.46285476,0.11460266
OC(C)C(C)=O,C=CCOC(=O)C(C)=C,0.59139998,0.14664436
OC(C)C(C)=O,C1OC1c2ccccc2,0.40746511,0.10051666
OC(C)C(C)=O,CCC(C)CC,2.87018273,0.67060488
OC(C)C(C)=O,CCC(CC)=O,0.26250224,0.06470179
OC(C)C(C)=O,OCC(CO)=O,0.11731477,0.0260811
OC(C)C(C)=O,COC(=O)C=C,0.34259549,0.08413501
OC(C)C(C)=O,COC(CO)=O,-0.0922639,-0.0232488
OC(C)C(C)=O,CC1CCCC1,2.84810685,0.65740803
OC(C)C(C)=O,CC1CCCO1,0.23082959,0.06201276
OC(C)C(C)=O,O=C1CCCO1,0.13658031,0.03385602
OC(C)C(C)=O,CCCC(C)C(O)=O,-1.83893773,-0.49923981
OC(C)C(C)=O,CCOC(C(C)C)=O,0.60612033,0.14958716
OC(C)C(C)=O,CCOC(=O)C(C)=C,0.62241418,0.15378671
OC(C)C(C)=O,CCOC(C(O)C)=O,0.07956528,0.02095307
OC(C)C(C)=O,CC(C)C(OC(C(C)C)=O)=O,0.55145515,0.13512148
OC(C)C(C)=O,CC(C)COC(C(C)C)=O,0.86523876,0.21124913
OC(C)C(C)=O,CC(C)COC(=O)C(C)=C,0.83917878,0.20643643
OC(C)C(C)=O,CCCCOC(C(C)C)=O,0.85269223,0.20830696
OC(C)C(C)=O,CCCCOC(=O)C(C)=C,0.82405524,0.20275929
OC(C)C(C)=O,CCC(CC)C=O,0.6185941,0.15191977
OC(C)C(C)=O,OCC1CCCO1,0.14639421,0.03593867
OC(C)C(C)=O,OCc1occc1,-0.82997606,-0.20524984
OC(C)C(C)=O,O=Cc1occc1,0.27203404,0.0677122
OC(C)C(C)=O,CC(C)(C)c1ccccc1,1.26169774,0.30686983
OC(C)C(C)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-1.49214773,-0.41300391
OC(C)C(C)=O,CC(C)(C)c(cc1)ccc1C,1.41869625,0.34491044
OC(C)C(C)=O,OC1CCC(CC1)C(C)(C)C,0.63763914,0.16313349
OC(C)C(C)=O,CC(C)(C)C1CCC(CC1)=O,0.43586339,0.10569955
OC(C)C(C)=O,CC(C)c1ccccc1,1.22623514,0.29716854
OC(C)C(C)=O,COC(=O)c(ccc1)cc1C,0.56461969,0.13971713
OC(C)C(C)=O,OC1CC(CC=C1C)C(C)=C,-0.13347134,-0.03162396
OC(C)C(C)=O,CC(C)c1cc(C(C)C)ccc1,1.50442068,0.36426792
OC(C)C(C)=O,CCCC(CCC)C(O)=O,-1.73033061,-0.47697321
OC(C)C(C)=O,CC(C=O)c(cc1)ccc1C,0.4364749,0.10902001
OC(C)C(C)=O,CC1CCC(C(C)C)CC1,2.78179635,0.66489005
OC(C)C(C)=O,CC(C)c(cc1)ccc1C,1.37745047,0.33476128
OC(C)C(C)=O,C=CC1CC=CCC1,1.49344661,0.35715769
OC(C)C(C)=O,CCc1ccccc1,1.13767465,0.27304606
OC(C)C(C)=O,C=Cc1ccccc1,0.72601685,0.17447552
OC(C)C(C)=O,OCC1CCCCC1,0.40435965,0.10829009
OC(C)C(C)=O,COc1ccccc1,0.54221473,0.13084782
OC(C)C(C)=O,OCC1CCCCO1,0.33462899,0.08272838
OC(C)C(C)=O,OCC(CO1)OC1(C)C,-0.03598853,-0.00742751
OC(C)C(C)=O,Cc1cc(C=C)ccc1,0.87447466,0.21264067
OC(C)C(C)=O,COc(ccc1)cc1C,0.66106149,0.16152289
OC(C)C(C)=O,COC(=O)Cc1ccccc1,0.32304569,0.08134195
OC(C)C(C)=O,COC(OC)Cc1ccccc1,0.38493989,0.09746468
OC(C)C(C)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,0.26567291,0.06654667
OC(C)C(C)=O,CC(C)COC(=O)Cc1ccccc1,0.46347553,0.11459419
OC(C)C(C)=O,O=C(OCc2ccccc2)Cc1ccccc1,0.24192151,0.06068948
OC(C)C(C)=O,CCc1cc(CC)cc(CC)c1,1.61594087,0.39089238
OC(C)C(C)=O,CC(=O)Oc(ccc1)cc1O,-2.71594561,-0.73693034
OC(C)C(C)=O,COC(OC)CC(OC)OC,0.25589268,0.06312076
OC(C)C(C)=O,CCCCC(CC)COC(C)=O,0.85215329,0.20385656
OC(C)C(C)=O,CCCCC(CC)COC(=O)C=C,0.9455881,0.22787149
OC(C)C(C)=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.76020486,0.147987
OC(C)C(C)=O,COC(CCc1ccccc1)=O,0.3545865,0.08821348
OC(C)C(C)=O,CC(C)C(OCc1ccccc1)=O,0.47418101,0.11691969
OC(C)C(C)=O,CCCC(OCc1ccccc1)=O,0.46612733,0.11594788
OC(C)C(C)=O,CC(C)CC(OCc1ccccc1)=O,0.50496287,0.12739879
OC(C)C(C)=O,CC(OCCc1ccccc1)=O,0.36853141,0.09198017
OC(C)C(C)=O,CC(C)C(OCCc1ccccc1)=O,0.55354246,0.13675688
OC(C)C(C)=O,CC(C)C(OCCOc1ccccc1)=O,0.2570404,0.06513743
OC(C)C(C)=O,CCCc1ccccc1,1.22965916,0.29838691
OC(C)C(C)=O,CC(C)C(=O)Oc(cc1)ccc1C,0.53716238,0.13196752
OC(C)C(C)=O,CCCc(cc1)ccc1OC,0.826342,0.20383193
OC(C)C(C)=O,CCCCC1OC(CC1)=O,0.18278835,0.04543998
OC(C)C(C)=O,CCCCc1ccccc1,1.31471982,0.32038213
OC(C)C(C)=O,O=COCc1ccccc1,0.20161301,0.05039039
OC(C)C(C)=O,CCCCCC1OC(CC1)=O,0.24173294,0.05914235
OC(C)C(C)=O,O=COCCc1ccccc1,0.22259336,0.05613578
OC(C)C(C)=O,CCCCCCCC1OC(CC1)=O,0.35814032,0.08516318
OC(C)C(C)=O,CCCCC(CO)CC,0.35429009,0.09550475
OC(C)C(C)=O,COc(cc1)ccc1C,0.66236751,0.16203947
OC(C)C(C)=O,CC(C)COC(CCc1occc1)=O,0.44595208,0.11087023
OC(C)C(C)=O,CCc1ccc(CC)cc1,1.41733248,0.34425517
OC(C)C(C)=O,C=Cc1ccc(C=C)cc1,0.63097037,0.15533052
OC(C)C(C)=O,CCCC1OC(CC1)=O,0.12362683,0.03095341
OC(C)C(C)=O,OCC=C(C)C#C,-1.28252485,-0.32170668
OC(C)C(C)=O,CCCC(C)CO,0.32436407,0.09251732
OC(C)C(C)=O,CCCC(O)C#C,-2.01900065,-0.50993927
OC(C)C(C)=O,CCOC(CC)=O,0.42843836,0.1062799
OC(C)C(C)=O,CCC(OC=C)=O,0.57191733,0.14010374
OC(C)C(C)=O,CCC(C)CC(C)=O,0.45689385,0.11354948
OC(C)C(C)=O,CCC(C)CC(O)=O,-1.88664629,-0.51278683
OC(C)C(C)=O,CCC(C)OC(C)=O,0.51283041,0.12690295
OC(C)C(C)=O,CCOC(CC(OCC)=O)=O,0.18139554,0.04576708
OC(C)C(C)=O,CCOC(CCC)=O,0.58446141,0.14455708
OC(C)C(C)=O,CCOC(C)OCC,0.56448214,0.14245422
OC(C)C(C)=O,CCOC(OCC)=O,0.38913214,0.09675391
OC(C)C(C)=O,CCCOC(CCC)=O,0.70039979,0.1726262
OC(C)C(C)=O,CC(C)CCOC(CC)=O,0.77343565,0.18927094
OC(C)C(C)=O,CCCCOC(=O)C=CC(OCCCC)=O,0.3114349,0.07365225
OC(C)C(C)=O,O=C1OCCOC(CCCCCCCCCCC1)=O,0.3276465,0.07932149
OC(C)C(C)=O,CCCCCCCCCCCC(OCCCC)=O,1.25738749,0.27453032
OC(C)C(C)=O,OCCC(C)CCCC(C)C,0.55336505,0.14105225
OC(C)C(C)=O,CC(C)CCOC(CCC)=O,0.85885168,0.20896984
OC(C)C(C)=O,CCCCCCC(OCC)=O,0.84539802,0.20502199
OC(C)C(C)=O,CCCC(OC(CCC)=O)=O,0.46375653,0.11372016
OC(C)C(C)=O,CCCCCCCC(OCC)=O,0.91197284,0.21915342
OC(C)C(C)=O,CCCCC(CC)=O,0.50639835,0.12488693
OC(C)C(C)=O,CCCOC(CC)=O,0.56430674,0.13992959
OC(C)C(C)=O,CC(C)COC(=O)C=C,0.62534164,0.15553204
OC(C)C(C)=O,CCCCCC(CC)=O,0.62647334,0.15377152
OC(C)C(C)=O,CCCCCC(OC)=O,0.62067505,0.15374734
OC(C)C(C)=O,CC(CCC=C(C)C)C=O,0.66188869,0.16411374
OC(C)C(C)=O,CCCCCCC(OC)=O,0.71834638,0.17628733
OC(C)C(C)=O,CCOCCOC(=O)C=C,0.23808805,0.05923638
OC(C)C(C)=O,C=CC2CC1OC1CC2,0.54567889,0.13562549
OC(C)C(C)=O,C1OC1C3CC2OC2CC3,0.15519554,0.03886678
OC(C)C(C)=O,CCC1OC1,0.34424563,0.08402033
OC(C)C(C)=O,C=CC(OCC1OC1)=O,0.24998891,0.06220155
OC(C)C(C)=O,CC(=C)C(OCC1OC1)=O,0.25034974,0.06240355
OC(C)C(C)=O,C=CCOCC1OC1,0.17989603,0.04495516
OC(C)C(C)=O,O=CC=C,0.26718532,0.06429774
OC(C)C(C)=O,OCC=C,-0.43627281,-0.09832745
OC(C)C(C)=O,OCC#C,-1.80062974,-0.45030001
OC(C)C(C)=O,COC=O,0.21350741,0.05090368
OC(C)C(C)=O,CC(C)(C)CC(C)=C,2.17272147,0.51938002
OC(C)C(C)=O,CC(C)(C)C=C(C)C,2.21999844,0.53107227
OC(C)C(C)=O,OC(C)CC(O)(C)C,0.52526688,0.12641194
OC(C)C(C)=O,COC(C)(C)CC(C)=O,0.18684648,0.04750889
OC(C)C(C)=O,OCCC(C)CCCC(O)(C)C,0.36407516,0.08559576
OC(C)C(C)=O,OC(C)(C)CCCC(C)CC=O,0.09924991,0.02353752
OC(C)C(C)=O,CCCC(C)C,2.86745033,0.67155099
OC(C)C(C)=O,CC(C)=CC=O,-0.01009598,-0.00262965
OC(C)C(C)=O,CCCC(C)=O,0.17133859,0.04252599
OC(C)C(C)=O,OCCC(O)C,0.48466713,0.11660109
OC(C)C(C)=O,COCC(O)C,0.22242224,0.05547849
OC(C)C(C)=O,CC(OC=C)=O,0.42520825,0.10327878
OC(C)C(C)=O,CC(C)CC(C)C,2.80413302,0.66377151
OC(C)C(C)=O,CC(C)CC(C)=O,0.34561148,0.08577038
OC(C)C(C)=O,OC(C)CC(C)C,0.49087663,0.13145207
OC(C)C(C)=O,CC(C)OC(C)C,0.72597883,0.1870182
OC(C)C(C)=O,CC(C)OC(C)=O,0.38879268,0.09644563
OC(C)C(C)=O,CC(OC(C)=C)=O,0.39225339,0.098061
OC(C)C(C)=O,CC(OC(C)=O)=O,0.31623414,0.07851335
OC(C)C(C)=O,O=C1C=CC(O1)=C,0.25895029,0.06484269
OC(C)C(C)=O,CC1OC(CC1)=O,0.0589715,0.01471301
OC(C)C(C)=O,CC1OC(OC1)=O,0.38797554,0.09691041
OC(C)C(C)=O,Cc1cc(C)ccc1,1.18960128,0.28511507
OC(C)C(C)=O,C=Cc1cc(C=C)ccc1,0.64903046,0.15964768
OC(C)C(C)=O,COC(CC(OC)=O)=O,0.20698803,0.05204728
OC(C)C(C)=O,CCOC(CC(C)C)=O,0.68123421,0.16757125
OC(C)C(C)=O,COCC(C)OC(C)=O,0.21643229,0.05490455
OC(C)C(C)=O,Cc1cc(C)cc(C)c1,1.34669877,0.32533034
