SMILES0,SMILES,gamma1,gamma2
OC(C)C(O)=O,OC(C)C(O)=O,0,0
OC(C)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.77361961,0.99665857
OC(C)C(O)=O,OCC(O)C,-1.24838049,-0.32124045
OC(C)C(O)=O,O=C1CCO1,0.80921098,0.14529193
OC(C)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.89511065,0.18471124
OC(C)C(O)=O,CCOCC,-1.76168477,-0.40982124
OC(C)C(O)=O,OCC,-1.71530338,-0.42606883
OC(C)C(O)=O,CCCCCC=O,0.37101969,0.06238869
OC(C)C(O)=O,CO,-1.95608593,-0.47868644
OC(C)C(O)=O,OC(C)C,-1.63655752,-0.41533868
OC(C)C(O)=O,CC(C)=O,-2.43211502,-0.62130023
OC(C)C(O)=O,OCCC,-1.12140542,-0.27888748
OC(C)C(O)=O,OCCCC,-0.98838266,-0.25161978
OC(C)C(O)=O,OCCCCC,-0.76710455,-0.20224314
OC(C)C(O)=O,CC1OC1,-1.45997718,-0.35139277
OC(C)C(O)=O,CCC(C)(C)C,9.91406989,1.20385845
OC(C)C(O)=O,CC(C)(C)C(C)=O,-0.9632206,-0.2556146
OC(C)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.19716406,-0.04983471
OC(C)C(O)=O,COC(C)(C)OC,-1.69366623,-0.45036798
OC(C)C(O)=O,CCC1(CC)CCCCC1,9.82428555,1.25359403
OC(C)C(O)=O,CCOC(C)(OCC)OCC,-2.18824067,-0.56825178
OC(C)C(O)=O,CC(C)CCCC(O)(C)CC,-0.58906037,-0.20169127
OC(C)C(O)=O,CCC(C)C,10.01590503,1.18867114
OC(C)C(O)=O,CC(=C)C=C,7.51262963,0.89430622
OC(C)C(O)=O,CC(=C)C#C,5.4652348,0.67205552
OC(C)C(O)=O,OCC(C)C,-0.61524733,-0.15515136
OC(C)C(O)=O,CC(C)C=O,-0.06424973,-0.04688923
OC(C)C(O)=O,CC(=C)C=O,-0.42053771,-0.1223378
OC(C)C(O)=O,CCC(O)C,-1.07145407,-0.27195325
OC(C)C(O)=O,CCC(C)=O,-1.90297463,-0.49182815
OC(C)C(O)=O,COC(C)=O,-0.63794234,-0.17977501
OC(C)C(O)=O,CC(C)C(C)C,9.95387959,1.21128139
OC(C)C(O)=O,CC(C)C(O)=O,0.37772584,0.09653911
OC(C)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.47118907,0.04806877
OC(C)C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.5217326,0.35246275
OC(C)C(O)=O,CCOC(C(O)(C)C)=O,-1.50401636,-0.40958841
OC(C)C(O)=O,COC(=O)C(C)=C,0.85646605,0.14902852
OC(C)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.82871048,0.73452488
OC(C)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.23065755,-0.05834617
OC(C)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.81174621,0.05944355
OC(C)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.2701362,0.26818091
OC(C)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.74296899,0.35042682
OC(C)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.24136254,0.42985372
OC(C)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,3.94522885,0.74497815
OC(C)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.86442922,0.73991474
OC(C)C(O)=O,O=C2c1ccccc1CO2,0.23963191,0.04600855
OC(C)C(O)=O,OCC(O)C(O)C(O)CO,-1.30647897,-0.3233648
OC(C)C(O)=O,CCC(CC)C(O)=O,0.74380625,0.18302758
OC(C)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.23882746,0.02773846
OC(C)C(O)=O,COc1cc(C)ccc1C(C)(C)C,7.52105815,1.03813316
OC(C)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.22043148,1.18088618
OC(C)C(O)=O,COC(=O)c1ccccc1C,1.97202614,0.39928029
OC(C)C(O)=O,CC(=O)c1ccc(C)cc1C,-0.5101722,-0.12690379
OC(C)C(O)=O,Cc2c1ccccc1ccc2,6.9004309,0.93708495
OC(C)C(O)=O,O=C2CCCCC2C1CCCCC1,0.0369514,-0.0299827
OC(C)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.12389507,-0.05378551
OC(C)C(O)=O,CC(C=O)c1ccccc1,1.5315811,0.31568283
OC(C)C(O)=O,CCC(O)c1ccccc1,0.34129466,0.09214825
OC(C)C(O)=O,CCOC(=O)c1ccccc1,1.75628544,0.35053657
OC(C)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.86444702,0.31469725
OC(C)C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.72003309,0.54718719
OC(C)C(O)=O,CCOC(=O)c(cc1)ccc1C,1.63036542,0.32316317
OC(C)C(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-18.52631106,-1.29736275
OC(C)C(O)=O,O=C(OCCc1ccccc1)c2ccccc2,2.69064055,0.54404391
OC(C)C(O)=O,CCCc2cc1OCOc1cc2,5.26174409,0.85368236
OC(C)C(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.14720875,0.02232434
OC(C)C(O)=O,CCCC1CCCCC1=O,-0.59833504,-0.18803605
OC(C)C(O)=O,CCOc1ccc(C=CC)cc1O,2.49874572,0.53834569
OC(C)C(O)=O,CCCC(O)C(CO)CC,-1.48518237,-0.41074071
OC(C)C(O)=O,Cc(ccc1C)cc1C,7.4688728,0.98894142
OC(C)C(O)=O,CCOC(=O)C(OCC)=O,0.95949552,0.19198573
OC(C)C(O)=O,CC1OC(C(C)OC1=O)=O,1.27592494,0.27834004
OC(C)C(O)=O,CCCCC(=O)C(C)=O,2.307627,0.44801997
OC(C)C(O)=O,C=CCOC(=O)C(C)=C,1.66041665,0.32608043
OC(C)C(O)=O,C1OC1c2ccccc2,2.08576973,0.42662396
OC(C)C(O)=O,CCC(C)CC,10.00235829,1.22102582
OC(C)C(O)=O,CCC(CC)=O,-1.20356532,-0.32354456
OC(C)C(O)=O,OCC(CO)=O,-0.73689745,-0.17876356
OC(C)C(O)=O,COC(=O)C=C,0.73526621,0.12259524
OC(C)C(O)=O,COC(CO)=O,-1.12507417,-0.28357475
OC(C)C(O)=O,CC1CCCC1,9.95113502,1.19859715
OC(C)C(O)=O,CC1CCCO1,-3.5253837,-0.93690952
OC(C)C(O)=O,O=C1CCCO1,-1.45216432,-0.37115416
OC(C)C(O)=O,CCCC(C)C(O)=O,0.75147745,0.18378832
OC(C)C(O)=O,CCOC(C(C)C)=O,0.58005143,0.09161636
OC(C)C(O)=O,CCOC(=O)C(C)=C,0.82564584,0.14454994
OC(C)C(O)=O,CCOC(C(O)C)=O,-1.33244025,-0.35248515
OC(C)C(O)=O,CC(C)C(OC(C(C)C)=O)=O,2.32838025,0.45220931
OC(C)C(O)=O,CC(C)COC(C(C)C)=O,1.00719796,0.18098555
OC(C)C(O)=O,CC(C)COC(=O)C(C)=C,1.35906451,0.25625369
OC(C)C(O)=O,CCCCOC(C(C)C)=O,1.09627484,0.20033434
OC(C)C(O)=O,CCCCOC(=O)C(C)=C,1.21192986,0.22674866
OC(C)C(O)=O,CCC(CC)C=O,0.68528943,0.12450005
OC(C)C(O)=O,OCC1CCCO1,-2.7990932,-0.74168364
OC(C)C(O)=O,OCc1occc1,-0.5436502,-0.13384546
OC(C)C(O)=O,O=Cc1occc1,-0.38378244,-0.09837587
OC(C)C(O)=O,CC(C)(C)c1ccccc1,7.55590013,1.00614147
OC(C)C(O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,1.59255118,0.36082607
OC(C)C(O)=O,CC(C)(C)c(cc1)ccc1C,7.77472203,1.05026201
OC(C)C(O)=O,OC1CCC(CC1)C(C)(C)C,-0.59660485,-0.18800632
OC(C)C(O)=O,CC(C)(C)C1CCC(CC1)=O,-1.1749062,-0.32809569
OC(C)C(O)=O,CC(C)c1ccccc1,7.48765825,0.98658988
OC(C)C(O)=O,COC(=O)c(ccc1)cc1C,1.81656181,0.36016634
OC(C)C(O)=O,OC1CC(CC=C1C)C(C)=C,-0.08554315,-0.03445342
OC(C)C(O)=O,CC(C)c1cc(C(C)C)ccc1,7.91501863,1.08168567
OC(C)C(O)=O,CCCC(CCC)C(O)=O,1.0474319,0.24599617
OC(C)C(O)=O,CC(C=O)c(cc1)ccc1C,1.57877369,0.32584883
OC(C)C(O)=O,CC1CCC(C(C)C)CC1,9.85968745,1.27046357
OC(C)C(O)=O,CC(C)c(cc1)ccc1C,7.69858169,1.03157276
OC(C)C(O)=O,C=CC1CC=CCC1,7.63451818,1.00533468
OC(C)C(O)=O,CCc1ccccc1,7.31461496,0.94609307
OC(C)C(O)=O,C=Cc1ccccc1,6.72688218,0.87754357
OC(C)C(O)=O,OCC1CCCCC1,-0.25508724,-0.07443163
OC(C)C(O)=O,COc1ccccc1,4.15165552,0.69397043
OC(C)C(O)=O,OCC1CCCCO1,-2.20924434,-0.57060898
OC(C)C(O)=O,OCC(CO1)OC1(C)C,-1.34561529,-0.34051943
OC(C)C(O)=O,Cc1cc(C=C)ccc1,6.96373269,0.92741584
OC(C)C(O)=O,COc(ccc1)cc1C,4.26335783,0.72995737
OC(C)C(O)=O,COC(=O)Cc1ccccc1,1.19508156,0.25133628
OC(C)C(O)=O,COC(OC)Cc1ccccc1,0.10987128,0.01965019
OC(C)C(O)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,2.26098488,0.46543117
OC(C)C(O)=O,CC(C)COC(=O)Cc1ccccc1,1.35762924,0.27214869
OC(C)C(O)=O,O=C(OCc2ccccc2)Cc1ccccc1,1.70721245,0.36041921
OC(C)C(O)=O,CCc1cc(CC)cc(CC)c1,8.00492842,1.09783257
OC(C)C(O)=O,CC(=O)Oc(ccc1)cc1O,0.27579073,0.06866141
OC(C)C(O)=O,COC(OC)CC(OC)OC,-1.13093512,-0.30553084
OC(C)C(O)=O,CCCCC(CC)COC(C)=O,0.86155763,0.14001131
OC(C)C(O)=O,CCCCC(CC)COC(=O)C=C,1.92006639,0.36900255
OC(C)C(O)=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,1.17545383,0.18702834
OC(C)C(O)=O,COC(CCc1ccccc1)=O,1.30726988,0.27011304
OC(C)C(O)=O,CC(C)C(OCc1ccccc1)=O,1.64663018,0.33496338
OC(C)C(O)=O,CCCC(OCc1ccccc1)=O,1.70765844,0.3520066
OC(C)C(O)=O,CC(C)CC(OCc1ccccc1)=O,1.96591032,0.40566712
OC(C)C(O)=O,CC(OCCc1ccccc1)=O,0.87619836,0.17969194
OC(C)C(O)=O,CC(C)C(OCCc1ccccc1)=O,1.72785911,0.35105113
OC(C)C(O)=O,CC(C)C(OCCOc1ccccc1)=O,1.73961887,0.36246031
OC(C)C(O)=O,CCCc1ccccc1,7.49066099,0.99144589
OC(C)C(O)=O,CC(C)C(=O)Oc(cc1)ccc1C,2.08493841,0.41724297
OC(C)C(O)=O,CCCc(cc1)ccc1OC,4.55298297,0.80135407
OC(C)C(O)=O,CCCCC1OC(CC1)=O,-0.66051356,-0.17876666
OC(C)C(O)=O,CCCCc1ccccc1,7.64180932,1.02891675
OC(C)C(O)=O,O=COCc1ccccc1,1.65187092,0.34514311
OC(C)C(O)=O,CCCCCC1OC(CC1)=O,-0.479639,-0.13959562
OC(C)C(O)=O,O=COCCc1ccccc1,1.6480154,0.34432374
OC(C)C(O)=O,CCCCCCCC1OC(CC1)=O,-0.13870956,-0.06854827
OC(C)C(O)=O,CCCCC(CO)CC,0.17920862,0.02241098
OC(C)C(O)=O,COc(cc1)ccc1C,4.12128574,0.71707895
OC(C)C(O)=O,CC(C)COC(CCc1occc1)=O,1.85385604,0.37666938
OC(C)C(O)=O,CCc1ccc(CC)cc1,7.74663035,1.03982692
OC(C)C(O)=O,C=Cc1ccc(C=C)cc1,6.66807291,0.91348184
OC(C)C(O)=O,CCCC1OC(CC1)=O,-0.93332512,-0.24368436
OC(C)C(O)=O,OCC=C(C)C#C,-0.47270028,-0.11514959
OC(C)C(O)=O,CCCC(C)CO,-0.18283217,-0.05814292
OC(C)C(O)=O,CCCC(O)C#C,0.12026614,0.03244003
OC(C)C(O)=O,CCOC(CC)=O,0.07171155,-0.00917818
OC(C)C(O)=O,CCC(OC=C)=O,2.57141208,0.48605924
OC(C)C(O)=O,CCC(C)CC(C)=O,-0.74317386,-0.20692721
OC(C)C(O)=O,CCC(C)CC(O)=O,0.67295044,0.16502438
OC(C)C(O)=O,CCC(C)OC(C)=O,0.06987981,-0.01901893
OC(C)C(O)=O,CCOC(CC(OCC)=O)=O,0.88838193,0.18880956
OC(C)C(O)=O,CCOC(CCC)=O,0.69762946,0.12070166
OC(C)C(O)=O,CCOC(C)OCC,-1.49606209,-0.39931373
OC(C)C(O)=O,CCOC(OCC)=O,1.11787766,0.21647395
OC(C)C(O)=O,CCCOC(CCC)=O,0.71679885,0.12078492
OC(C)C(O)=O,CC(C)CCOC(CC)=O,0.97424452,0.17498323
OC(C)C(O)=O,CCCCOC(=O)C=CC(OCCCC)=O,1.66813846,0.3411242
OC(C)C(O)=O,O=C1OCCOC(CCCCCCCCCCC1)=O,0.87460251,0.17662413
OC(C)C(O)=O,CCCCCCCCCCCC(OCCCC)=O,2.04059339,0.35685125
OC(C)C(O)=O,OCCC(C)CCCC(C)C,-0.01568793,-0.04722566
OC(C)C(O)=O,CC(C)CCOC(CCC)=O,1.11486351,0.20060268
OC(C)C(O)=O,CCCCCCC(OCC)=O,1.14670679,0.21382225
OC(C)C(O)=O,CCCC(OC(CCC)=O)=O,2.09781365,0.41820745
OC(C)C(O)=O,CCCCCCCC(OCC)=O,1.33857286,0.24706336
OC(C)C(O)=O,CCCCC(CC)=O,-0.66737094,-0.20531308
OC(C)C(O)=O,CCCOC(CC)=O,0.3023071,0.03413616
OC(C)C(O)=O,CC(C)COC(=O)C=C,1.01901542,0.19192285
OC(C)C(O)=O,CCCCCC(CC)=O,-0.39475269,-0.14293718
OC(C)C(O)=O,CCCCCC(OC)=O,0.85897262,0.1588625
OC(C)C(O)=O,CC(CCC=C(C)C)C=O,1.18343637,0.23862511
