SMILES0,SMILES,gamma1,gamma2
OC(C)C(O)C(O)C(O)C=O,OC(C)C(O)=O,-0.80472857,-0.2020329
OC(C)C(O)C(O)C(O)C=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.35647279,1.13069958
OC(C)C(O)C(O)C(O)C=O,OCC(O)C,-0.16159038,-0.04085595
OC(C)C(O)C(O)C(O)C=O,O=C1CCO1,1.67032359,0.28574627
OC(C)C(O)C(O)C(O)C=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.89932061,0.42586169
OC(C)C(O)C(O)C(O)C=O,CCOCC,-0.03350024,0.06961321
OC(C)C(O)C(O)C(O)C=O,OCC,-0.39793879,-0.08212009
OC(C)C(O)C(O)C(O)C=O,CCCCCC=O,1.45290529,0.31323977
OC(C)C(O)C(O)C(O)C=O,CO,-0.83605264,-0.17068667
OC(C)C(O)C(O)C(O)C=O,OC(C)C,-0.15587718,-0.02175135
OC(C)C(O)C(O)C(O)C=O,CC(C)=O,-1.56242277,-0.38538496
OC(C)C(O)C(O)C(O)C=O,OCCC,0.23140119,0.0613147
OC(C)C(O)C(O)C(O)C=O,OCCCC,0.51933518,0.13813129
OC(C)C(O)C(O)C(O)C=O,OCCCCC,0.8498539,0.22198851
OC(C)C(O)C(O)C(O)C=O,CC1OC1,-0.44916959,-0.11842803
OC(C)C(O)C(O)C(O)C=O,CCC(C)(C)C,7.96760407,1.45515549
OC(C)C(O)C(O)C(O)C=O,CC(C)(C)C(C)=O,0.27840077,0.05893602
OC(C)C(O)C(O)C(O)C=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.89476438,0.48654521
OC(C)C(O)C(O)C(O)C=O,COC(C)(C)OC,-0.1486795,-0.02529348
OC(C)C(O)C(O)C(O)C=O,CCC1(CC)CCCCC1,7.95087147,1.5624845
OC(C)C(O)C(O)C(O)C=O,CCOC(C)(OCC)OCC,-0.22667445,-0.04953152
OC(C)C(O)C(O)C(O)C=O,CC(C)CCCC(O)(C)CC,1.6195315,0.42058433
OC(C)C(O)C(O)C(O)C=O,CCC(C)C,8.03289904,1.42096862
OC(C)C(O)C(O)C(O)C=O,CC(=C)C=C,5.78841887,0.98101466
OC(C)C(O)C(O)C(O)C=O,CC(=C)C#C,3.6281076,0.63689833
OC(C)C(O)C(O)C(O)C=O,OCC(C)C,0.75254941,0.18534739
OC(C)C(O)C(O)C(O)C=O,CC(C)C=O,0.80117801,0.13025452
OC(C)C(O)C(O)C(O)C=O,CC(=C)C=O,0.64312369,0.10206571
OC(C)C(O)C(O)C(O)C=O,CCC(O)C,0.47056279,0.12674242
OC(C)C(O)C(O)C(O)C=O,CCC(C)=O,-0.87576045,-0.22123485
OC(C)C(O)C(O)C(O)C=O,COC(C)=O,0.27555249,0.00764813
OC(C)C(O)C(O)C(O)C=O,CC(C)C(C)C,8.00968849,1.46867656
OC(C)C(O)C(O)C(O)C=O,CC(C)C(O)=O,-0.49214666,-0.11690161
OC(C)C(O)C(O)C(O)C=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.09000751,0.48314823
OC(C)C(O)C(O)C(O)C=O,OOC(C)(C)C(CC1)CCC1C,1.30721344,0.34855274
OC(C)C(O)C(O)C(O)C=O,CCOC(C(O)(C)C)=O,0.0566465,0.03026894
OC(C)C(O)C(O)C(O)C=O,COC(=O)C(C)=C,1.88074164,0.37935855
OC(C)C(O)C(O)C(O)C=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.00987058,0.88570498
OC(C)C(O)C(O)C(O)C=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.46201427,0.3451599
OC(C)C(O)C(O)C(O)C=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.85722644,0.62879219
OC(C)C(O)C(O)C(O)C=O,CCOC(=O)c1ccccc1C(OCC)=O,2.24939255,0.50619161
OC(C)C(O)C(O)C(O)C=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.75170416,0.62498203
OC(C)C(O)C(O)C(O)C=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.20294374,0.71381788
OC(C)C(O)C(O)C(O)C=O,CC(C)CCOC(=O)c1ccccc1O,4.47621522,0.99429766
OC(C)C(O)C(O)C(O)C=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.26619402,0.9525197
OC(C)C(O)C(O)C(O)C=O,O=C2c1ccccc1CO2,1.53292123,0.32735719
OC(C)C(O)C(O)C(O)C=O,OCC(O)C(O)C(O)CO,-0.28127732,-0.07061319
OC(C)C(O)C(O)C(O)C=O,CCC(CC)C(O)=O,0.05133093,0.02330221
OC(C)C(O)C(O)C(O)C=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.50663187,0.37334796
OC(C)C(O)C(O)C(O)C=O,COc1cc(C)ccc1C(C)(C)C,5.88504437,1.19568314
OC(C)C(O)C(O)C(O)C=O,CC2CCC(CC1=C2CCC1C)=C(C)C,6.99498076,1.45940932
OC(C)C(O)C(O)C(O)C=O,COC(=O)c1ccccc1C,3.05618986,0.6760633
OC(C)C(O)C(O)C(O)C=O,CC(=O)c1ccc(C)cc1C,1.24025238,0.31449674
OC(C)C(O)C(O)C(O)C=O,Cc2c1ccccc1ccc2,5.39045457,1.05375221
OC(C)C(O)C(O)C(O)C=O,O=C2CCCCC2C1CCCCC1,1.60274726,0.38464429
OC(C)C(O)C(O)C(O)C=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.52524236,0.35645229
OC(C)C(O)C(O)C(O)C=O,CC(C=O)c1ccccc1,2.53831558,0.54744475
OC(C)C(O)C(O)C(O)C=O,CCC(O)c1ccccc1,1.1800726,0.30509891
OC(C)C(O)C(O)C(O)C=O,CCOC(=O)c1ccccc1,2.85195344,0.63134115
OC(C)C(O)C(O)C(O)C=O,CC(OC(C)c2ccccc2)c1ccccc1,3.14387993,0.78917457
OC(C)C(O)C(O)C(O)C=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.52936348,0.7960717
OC(C)C(O)C(O)C(O)C=O,CCOC(=O)c(cc1)ccc1C,2.79418191,0.62969184
OC(C)C(O)C(O)C(O)C=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-14.14230762,-0.66527102
