SMILES0,SMILES,gamma1,gamma2
OC(C)C(O)C,OC(C)C(O)=O,-1.16721423,-0.32006613
OC(C)C(O)C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.74083623,0.78370699
OC(C)C(O)C,OCC(O)C,0.05284498,0.01364944
OC(C)C(O)C,O=C1CCO1,2.67825421,0.56927358
OC(C)C(O)C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.69592824,0.36712344
OC(C)C(O)C,CCOCC,0.60154761,0.13710032
OC(C)C(O)C,OCC,-0.04090349,-0.00887026
OC(C)C(O)C,CCCCCC=O,1.58759162,0.32456108
OC(C)C(O)C,CO,0.03567978,0.01072212
OC(C)C(O)C,OC(C)C,0.00479764,0.0017002
OC(C)C(O)C,CC(C)=O,0.28990206,0.05023287
OC(C)C(O)C,OCCC,0.04597642,0.01165349
OC(C)C(O)C,OCCCC,0.15270341,0.03898026
OC(C)C(O)C,OCCCCC,0.26350959,0.06676305
OC(C)C(O)C,CC1OC1,0.74590337,0.13718956
OC(C)C(O)C,CCC(C)(C)C,6.56798025,0.87512794
OC(C)C(O)C,CC(C)(C)C(C)=O,0.91640589,0.19086834
OC(C)C(O)C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.53253195,0.3567715
OC(C)C(O)C,COC(C)(C)OC,0.55814738,0.11958337
OC(C)C(O)C,CCC1(CC)CCCCC1,6.49476304,0.93323272
OC(C)C(O)C,CCOC(C)(OCC)OCC,0.42490384,0.11451392
OC(C)C(O)C,CC(C)CCCC(O)(C)CC,0.74283838,0.18048743
OC(C)C(O)C,CCC(C)C,6.64536499,0.85806356
OC(C)C(O)C,CC(=C)C=C,5.15487459,0.66920442
OC(C)C(O)C,CC(=C)C#C,3.17134458,0.42822609
OC(C)C(O)C,OCC(C)C,0.15060565,0.03798595
OC(C)C(O)C,CC(C)C=O,1.37843153,0.25914283
OC(C)C(O)C,CC(=C)C=O,1.38331307,0.27694517
OC(C)C(O)C,CCC(O)C,0.17457176,0.04378027
OC(C)C(O)C,CCC(C)=O,0.46864301,0.09065804
OC(C)C(O)C,COC(C)=O,1.21336877,0.24086722
OC(C)C(O)C,CC(C)C(C)C,6.60103703,0.88296484
OC(C)C(O)C,CC(C)C(O)=O,-1.57249155,-0.41765477
OC(C)C(O)C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.76139234,0.38503467
OC(C)C(O)C,OOC(C)(C)C(CC1)CCC1C,-0.44538595,-0.11351401
OC(C)C(O)C,CCOC(C(O)(C)C)=O,0.51382151,0.12210814
OC(C)C(O)C,COC(=O)C(C)=C,1.92124432,0.37914712
OC(C)C(O)C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.72143141,0.51778297
OC(C)C(O)C,COc2cccc3c2C(=O)c1ccccc1C3=O,1.72823674,0.39014328
OC(C)C(O)C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.19316901,0.25403175
OC(C)C(O)C,CCOC(=O)c1ccccc1C(OCC)=O,2.13575768,0.45266551
