SMILES0,SMILES,gamma1,gamma2
OC(C)C1OC(CC1)=O,OC(C)C(O)=O,-2.01806596,-0.50357187
OC(C)C1OC(CC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.01436898,0.59524456
OC(C)C1OC(CC1)=O,OCC(O)C,0.46445201,0.11522532
OC(C)C1OC(CC1)=O,O=C1CCO1,0.91569645,0.19308857
OC(C)C1OC(CC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.03068393,0.24337861
OC(C)C1OC(CC1)=O,CCOCC,1.21663428,0.30840028
OC(C)C1OC(CC1)=O,OCC,0.74777205,0.16898359
OC(C)C1OC(CC1)=O,CCCCCC=O,1.22349495,0.29365075
OC(C)C1OC(CC1)=O,CO,0.64596493,0.1456643
OC(C)C1OC(CC1)=O,OC(C)C,0.8773009,0.20326107
OC(C)C1OC(CC1)=O,CC(C)=O,-0.20570188,-0.04759434
OC(C)C1OC(CC1)=O,OCCC,0.87711259,0.20679395
OC(C)C1OC(CC1)=O,OCCCC,1.06564637,0.26259162
OC(C)C1OC(CC1)=O,OCCCCC,1.22662009,0.30985485
OC(C)C1OC(CC1)=O,CC1OC1,0.30580099,0.0721812
OC(C)C1OC(CC1)=O,CCC(C)(C)C,6.19740098,1.12758791
OC(C)C1OC(CC1)=O,CC(C)(C)C(C)=O,0.84835575,0.21205421
OC(C)C1OC(CC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.82427101,0.4590759
OC(C)C1OC(CC1)=O,COC(C)(C)OC,0.86571128,0.21914722
OC(C)C1OC(CC1)=O,CCC1(CC)CCCCC1,6.14843002,1.19646284
OC(C)C1OC(CC1)=O,CCOC(C)(OCC)OCC,0.98966304,0.2586344
OC(C)C1OC(CC1)=O,CC(C)CCCC(O)(C)CC,1.8762212,0.4741686
OC(C)C1OC(CC1)=O,CCC(C)C,6.29349556,1.11139744
OC(C)C1OC(CC1)=O,CC(=C)C=C,3.72524463,0.60974275
OC(C)C1OC(CC1)=O,CC(=C)C#C,0.90518609,0.10137009
OC(C)C1OC(CC1)=O,OCC(C)C,0.91303764,0.2288299
OC(C)C1OC(CC1)=O,CC(C)C=O,0.81980495,0.18403432
OC(C)C1OC(CC1)=O,CC(=C)C=O,0.6643516,0.15161471
OC(C)C1OC(CC1)=O,CCC(O)C,1.03976994,0.25116716
OC(C)C1OC(CC1)=O,CCC(C)=O,0.15716698,0.04139784
OC(C)C1OC(CC1)=O,COC(C)=O,0.39520646,0.08772185
OC(C)C1OC(CC1)=O,CC(C)C(C)C,6.24774463,1.14101367
OC(C)C1OC(CC1)=O,CC(C)C(O)=O,-1.61980062,-0.39764233
OC(C)C1OC(CC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.67963877,0.40832283
OC(C)C1OC(CC1)=O,OOC(C)(C)C(CC1)CCC1C,-0.24963167,-0.02728013
OC(C)C1OC(CC1)=O,CCOC(C(O)(C)C)=O,0.58253326,0.14861676
OC(C)C1OC(CC1)=O,COC(=O)C(C)=C,1.24054917,0.28345753
OC(C)C1OC(CC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.28725279,0.26878928
OC(C)C1OC(CC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.8450571,0.20614879
OC(C)C1OC(CC1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.05454611,0.45706695
OC(C)C1OC(CC1)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.17960277,0.28153278
