SMILES0,SMILES,gamma1,gamma2
OC(C)CC(C)=O,OC(C)C(O)=O,-2.9879061,-0.81332244
OC(C)CC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.64653273,0.14764485
OC(C)CC(C)=O,OCC(O)C,-0.21153851,-0.05271001
OC(C)CC(C)=O,O=C1CCO1,0.96062307,0.21745747
OC(C)CC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.2253131,0.04596604
OC(C)CC(C)=O,CCOCC,0.84384883,0.1980321
OC(C)CC(C)=O,OCC,0.01969986,0.0082392
OC(C)CC(C)=O,CCCCCC=O,0.52442056,0.12131317
OC(C)CC(C)=O,CO,0.20789779,0.05265427
OC(C)CC(C)=O,OC(C)C,0.05034557,0.01437875
OC(C)CC(C)=O,CC(C)=O,0.07865139,0.01324476
OC(C)CC(C)=O,OCCC,-0.19105041,-0.04432359
OC(C)CC(C)=O,OCCCC,-0.11563922,-0.02025696
OC(C)CC(C)=O,OCCCCC,-0.09961613,-0.01468321
OC(C)CC(C)=O,CC1OC1,0.23396042,0.04601039
OC(C)CC(C)=O,CCC(C)(C)C,2.74392751,0.6309908
OC(C)CC(C)=O,CC(C)(C)C(C)=O,0.4866296,0.11241296
OC(C)CC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.90653587,0.21686839
OC(C)CC(C)=O,COC(C)(C)OC,0.5816328,0.13737666
OC(C)CC(C)=O,CCC1(CC)CCCCC1,2.69811919,0.64394703
OC(C)CC(C)=O,CCOC(C)(OCC)OCC,0.66470901,0.16575228
OC(C)CC(C)=O,CC(C)CCCC(O)(C)CC,0.4086929,0.1048627
OC(C)CC(C)=O,CCC(C)C,2.81423649,0.63326638
OC(C)CC(C)=O,CC(=C)C=C,1.11422707,0.24957258
OC(C)CC(C)=O,CC(=C)C#C,-1.13369312,-0.25512678
OC(C)CC(C)=O,OCC(C)C,-0.43149272,-0.10023695
OC(C)CC(C)=O,CC(C)C=O,0.37426517,0.07982852
OC(C)CC(C)=O,CC(=C)C=O,0.39118981,0.08563075
OC(C)CC(C)=O,CCC(O)C,-0.07208451,-0.01569138
OC(C)CC(C)=O,CCC(C)=O,0.19293324,0.04078132
OC(C)CC(C)=O,COC(C)=O,0.28758872,0.06008883
OC(C)CC(C)=O,CC(C)C(C)C,2.77924284,0.6406341
OC(C)CC(C)=O,CC(C)C(O)=O,-3.37820745,-0.97348349
OC(C)CC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.69602591,0.16013768
OC(C)CC(C)=O,OOC(C)(C)C(CC1)CCC1C,-2.58359921,-0.75092316
OC(C)CC(C)=O,CCOC(C(O)(C)C)=O,0.16441549,0.03892058
OC(C)CC(C)=O,COC(=O)C(C)=C,0.53812095,0.12235301
OC(C)CC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.34236011,-0.09401869
OC(C)CC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.44578633,0.10030296
OC(C)CC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.14447918,-0.09096004
OC(C)CC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.36540969,0.08136432
OC(C)CC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.48410676,0.10584463
OC(C)CC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.60869888,0.12741276
OC(C)CC(C)=O,CC(C)CCOC(=O)c1ccccc1O,0.80025623,0.18899498
OC(C)CC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.4593897,0.10434247
OC(C)CC(C)=O,O=C2c1ccccc1CO2,0.49399812,0.11587768
OC(C)CC(C)=O,OCC(O)C(O)C(O)CO,-0.50534012,-0.12510494
OC(C)CC(C)=O,CCC(CC)C(O)=O,-3.374346,-0.97199322
OC(C)CC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.53023834,-0.40018171
OC(C)CC(C)=O,COc1cc(C)ccc1C(C)(C)C,1.1308263,0.27149465
OC(C)CC(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.02662514,0.49048587
OC(C)CC(C)=O,COC(=O)c1ccccc1C,0.63567077,0.14941749
OC(C)CC(C)=O,CC(=O)c1ccc(C)cc1C,0.57279183,0.13566053
OC(C)CC(C)=O,Cc2c1ccccc1ccc2,0.76470872,0.18080443
OC(C)CC(C)=O,O=C2CCCCC2C1CCCCC1,0.92259778,0.21912018
OC(C)CC(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.26934917,0.05850065
OC(C)CC(C)=O,CC(C=O)c1ccccc1,0.41020058,0.09320043
OC(C)CC(C)=O,CCC(O)c1ccccc1,-1.80949085,-0.47371747
OC(C)CC(C)=O,CCOC(=O)c1ccccc1,0.63458107,0.14894818
OC(C)CC(C)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.63653881,0.15023444
OC(C)CC(C)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.32402631,0.06447209
OC(C)CC(C)=O,CCOC(=O)c(cc1)ccc1C,0.69730385,0.16428521
OC(C)CC(C)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-3.02230836,-0.10145932
OC(C)CC(C)=O,O=C(OCCc1ccccc1)c2ccccc2,0.52417466,0.11937866
OC(C)CC(C)=O,CCCc2cc1OCOc1cc2,0.29235882,0.06566607
OC(C)CC(C)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.2947947,0.06559952
OC(C)CC(C)=O,CCCC1CCCCC1=O,0.726645,0.1734457
OC(C)CC(C)=O,CCOc1ccc(C=CC)cc1O,-2.66526101,-0.65536137
OC(C)CC(C)=O,CCCC(O)C(CO)CC,0.12821922,0.02800677
OC(C)CC(C)=O,Cc(ccc1C)cc1C,1.2005538,0.28547736
OC(C)CC(C)=O,CCOC(=O)C(OCC)=O,0.36473871,0.08176133
OC(C)CC(C)=O,CC1OC(C(C)OC1=O)=O,-0.18310118,-0.04917777
OC(C)CC(C)=O,CCCCC(=O)C(C)=O,0.4656486,0.10575274
OC(C)CC(C)=O,C=CCOC(=O)C(C)=C,0.63736179,0.14900517
OC(C)CC(C)=O,C1OC1c2ccccc2,0.46330263,0.10522899
OC(C)CC(C)=O,CCC(C)CC,2.81751612,0.65124371
OC(C)CC(C)=O,CCC(CC)=O,0.38019119,0.08596546
OC(C)CC(C)=O,OCC(CO)=O,-0.30801017,-0.08992416
OC(C)CC(C)=O,COC(=O)C=C,0.43388534,0.09603833
OC(C)CC(C)=O,COC(CO)=O,-0.46386741,-0.12585871
OC(C)CC(C)=O,CC1CCCC1,2.78172803,0.63227028
OC(C)CC(C)=O,CC1CCCO1,0.42465129,0.10683035
OC(C)CC(C)=O,O=C1CCCO1,0.35966053,0.08330307
OC(C)CC(C)=O,CCCC(C)C(O)=O,-3.40218753,-0.98038727
OC(C)CC(C)=O,CCOC(C(C)C)=O,0.67416012,0.15716014
OC(C)CC(C)=O,CCOC(=O)C(C)=C,0.69255486,0.16155439
OC(C)CC(C)=O,CCOC(C(O)C)=O,-0.08887302,-0.0235999
OC(C)CC(C)=O,CC(C)C(OC(C(C)C)=O)=O,0.58240651,0.13435509
OC(C)CC(C)=O,CC(C)COC(C(C)C)=O,0.93616876,0.22165273
OC(C)CC(C)=O,CC(C)COC(=O)C(C)=C,0.89984735,0.21349851
OC(C)CC(C)=O,CCCCOC(C(C)C)=O,0.91714943,0.21727224
OC(C)CC(C)=O,CCCCOC(=O)C(C)=C,0.88603741,0.21041504
OC(C)CC(C)=O,CCC(CC)C=O,0.68075336,0.15712978
OC(C)CC(C)=O,OCC1CCCO1,0.10131488,0.02408517
OC(C)CC(C)=O,OCc1occc1,-1.5349488,-0.39339822
OC(C)CC(C)=O,O=Cc1occc1,0.40244884,0.09130039
OC(C)CC(C)=O,CC(C)(C)c1ccccc1,1.16570469,0.27897763
OC(C)CC(C)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-2.68187182,-0.77572862
OC(C)CC(C)=O,CC(C)(C)c(cc1)ccc1C,1.32977463,0.31973136
OC(C)CC(C)=O,OC1CCC(CC1)C(C)(C)C,0.12192941,0.03397195
OC(C)CC(C)=O,CC(C)(C)C1CCC(CC1)=O,0.56233405,0.13297059
OC(C)CC(C)=O,CC(C)c1ccccc1,1.13169757,0.26948184
OC(C)CC(C)=O,COC(=O)c(ccc1)cc1C,0.61997468,0.14465963
OC(C)CC(C)=O,OC1CC(CC=C1C)C(C)=C,-0.82866069,-0.21985844
OC(C)CC(C)=O,CC(C)c1cc(C(C)C)ccc1,1.41981861,0.34091949
OC(C)CC(C)=O,CCCC(CCC)C(O)=O,-3.30383354,-0.96280816
OC(C)CC(C)=O,CC(C=O)c(cc1)ccc1C,0.48027345,0.11100383
OC(C)CC(C)=O,CC1CCC(C(C)C)CC1,2.73819039,0.65503005
OC(C)CC(C)=O,CC(C)c(cc1)ccc1C,1.2876871,0.30897567
OC(C)CC(C)=O,C=CC1CC=CCC1,1.38493832,0.32626681
OC(C)CC(C)=O,CCc1ccccc1,1.04389403,0.24536997
OC(C)CC(C)=O,C=Cc1ccccc1,0.65655143,0.15188867
OC(C)CC(C)=O,OCC1CCCCC1,-0.27250787,-0.06564145
OC(C)CC(C)=O,COc1ccccc1,0.5154163,0.11633185
OC(C)CC(C)=O,OCC1CCCCO1,0.15711898,0.03334602
OC(C)CC(C)=O,OCC(CO1)OC1(C)C,-0.34756882,-0.09136895
OC(C)CC(C)=O,Cc1cc(C=C)ccc1,0.7940875,0.18729563
OC(C)CC(C)=O,COc(ccc1)cc1C,0.6182888,0.14306267
OC(C)CC(C)=O,COC(=O)Cc1ccccc1,0.40614063,0.09314092
OC(C)CC(C)=O,COC(OC)Cc1ccccc1,0.45451855,0.10691755
OC(C)CC(C)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,0.30424001,0.06663225
OC(C)CC(C)=O,CC(C)COC(=O)Cc1ccccc1,0.50497095,0.11705923
OC(C)CC(C)=O,O=C(OCc2ccccc2)Cc1ccccc1,0.30963337,0.06834434
OC(C)CC(C)=O,CCc1cc(CC)cc(CC)c1,1.53959828,0.37052631
OC(C)CC(C)=O,CC(=O)Oc(ccc1)cc1O,-4.15885827,-1.19805129
OC(C)CC(C)=O,COC(OC)CC(OC)OC,0.36868904,0.08604161
OC(C)CC(C)=O,CCCCC(CC)COC(C)=O,0.92217526,0.21704746
OC(C)CC(C)=O,CCCCC(CC)COC(=O)C=C,0.97728088,0.23101624
OC(C)CC(C)=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.83366276,0.16611891
OC(C)CC(C)=O,COC(CCc1ccccc1)=O,0.41930876,0.09559144
OC(C)CC(C)=O,CC(C)C(OCc1ccccc1)=O,0.51287643,0.1181988
OC(C)CC(C)=O,CCCC(OCc1ccccc1)=O,0.49998767,0.11568561
OC(C)CC(C)=O,CC(C)CC(OCc1ccccc1)=O,0.51985737,0.12253687
OC(C)CC(C)=O,CC(OCCc1ccccc1)=O,0.44298929,0.1021426
OC(C)CC(C)=O,CC(C)C(OCCc1ccccc1)=O,0.58561929,0.13703756
OC(C)CC(C)=O,CC(C)C(OCCOc1ccccc1)=O,0.28002876,0.06196413
OC(C)CC(C)=O,CCCc1ccccc1,1.13411344,0.27043221
OC(C)CC(C)=O,CC(C)C(=O)Oc(cc1)ccc1C,0.56281917,0.13000435
OC(C)CC(C)=O,CCCc(cc1)ccc1OC,0.76119059,0.18037543
OC(C)CC(C)=O,CCCCC1OC(CC1)=O,0.29622304,0.0673184
OC(C)CC(C)=O,CCCCc1ccccc1,1.21966876,0.29304783
OC(C)CC(C)=O,O=COCc1ccccc1,0.246561,0.05236087
OC(C)CC(C)=O,CCCCCC1OC(CC1)=O,0.34315656,0.07851542
OC(C)CC(C)=O,O=COCCc1ccccc1,0.24184027,0.05185504
OC(C)CC(C)=O,CCCCCCCC1OC(CC1)=O,0.44216782,0.10123111
OC(C)CC(C)=O,CCCCC(CO)CC,-0.40634811,-0.10052553
OC(C)CC(C)=O,COc(cc1)ccc1C,0.61950115,0.1434783
OC(C)CC(C)=O,CC(C)COC(CCc1occc1)=O,0.42673487,0.09861776
OC(C)CC(C)=O,CCc1ccc(CC)cc1,1.32794754,0.31877756
OC(C)CC(C)=O,C=Cc1ccc(C=C)cc1,0.55974,0.13062921
OC(C)CC(C)=O,CCCC1OC(CC1)=O,0.25489767,0.05718307
OC(C)CC(C)=O,OCC=C(C)C#C,-2.13461931,-0.55214029
OC(C)CC(C)=O,CCCC(C)CO,-0.3933037,-0.09038846
OC(C)CC(C)=O,CCCC(O)C#C,-3.21359128,-0.84297096
OC(C)CC(C)=O,CCOC(CC)=O,0.50685539,0.1156441
OC(C)CC(C)=O,CCC(OC=C)=O,0.56227388,0.12754484
OC(C)CC(C)=O,CCC(C)CC(C)=O,0.56077639,0.13245199
OC(C)CC(C)=O,CCC(C)CC(O)=O,-3.42831144,-0.98997385
OC(C)CC(C)=O,CCC(C)OC(C)=O,0.59708977,0.13920178
OC(C)CC(C)=O,CCOC(CC(OCC)=O)=O,0.23693432,0.05151296
OC(C)CC(C)=O,CCOC(CCC)=O,0.64643032,0.1506123
OC(C)CC(C)=O,CCOC(C)OCC,0.69231574,0.16859247
OC(C)CC(C)=O,CCOC(OCC)=O,0.45355964,0.10260862
OC(C)CC(C)=O,CCCOC(CCC)=O,0.76687357,0.18126843
OC(C)CC(C)=O,CC(C)CCOC(CC)=O,0.8335789,0.1972307
OC(C)CC(C)=O,CCCCOC(=O)C=CC(OCCCC)=O,0.28453522,0.0602862
OC(C)CC(C)=O,O=C1OCCOC(CCCCCCCCCCC1)=O,0.35999247,0.08114916
OC(C)CC(C)=O,CCCCCCCCCCCC(OCCCC)=O,1.30736337,0.28915025
OC(C)CC(C)=O,OCCC(C)CCCC(C)C,-0.11477839,-0.02662476
OC(C)CC(C)=O,CC(C)CCOC(CCC)=O,0.92046014,0.21864261
OC(C)CC(C)=O,CCCCCCC(OCC)=O,0.89755383,0.21254188
OC(C)CC(C)=O,CCCC(OC(CCC)=O)=O,0.48678271,0.11114347
OC(C)CC(C)=O,CCCCCCCC(OCC)=O,0.96170143,0.22728351
OC(C)CC(C)=O,CCCCC(CC)=O,0.61267777,0.14465675
OC(C)CC(C)=O,CCCOC(CC)=O,0.64070572,0.14977207
OC(C)CC(C)=O,CC(C)COC(=O)C=C,0.67901413,0.1600331
OC(C)CC(C)=O,CCCCCC(CC)=O,0.72460324,0.17254819
OC(C)CC(C)=O,CCCCCC(OC)=O,0.66861572,0.15751781
OC(C)CC(C)=O,CC(CCC=C(C)C)C=O,0.71021262,0.16830071
OC(C)CC(C)=O,CCCCCCC(OC)=O,0.75926234,0.17951045
OC(C)CC(C)=O,CCOCCOC(=O)C=C,0.33684981,0.077204
OC(C)CC(C)=O,C=CC2CC1OC1CC2,0.6055477,0.14138989
OC(C)CC(C)=O,C1OC1C3CC2OC2CC3,0.28620502,0.06464511
OC(C)CC(C)=O,CCC1OC1,0.43272838,0.09504659
OC(C)CC(C)=O,C=CC(OCC1OC1)=O,0.38906705,0.0884243
OC(C)CC(C)=O,CC(=C)C(OCC1OC1)=O,0.35508847,0.07970848
OC(C)CC(C)=O,C=CCOCC1OC1,0.31322117,0.07061231
OC(C)CC(C)=O,O=CC=C,0.46974525,0.10211501
OC(C)CC(C)=O,OCC=C,-1.16825745,-0.28180086
OC(C)CC(C)=O,OCC#C,-2.73911435,-0.71055051
OC(C)CC(C)=O,COC=O,0.31211192,0.0621603
OC(C)CC(C)=O,CC(C)(C)CC(C)=C,2.09609945,0.49764701
OC(C)CC(C)=O,CC(C)(C)C=C(C)C,2.14779687,0.51064109
OC(C)CC(C)=O,OC(C)CC(O)(C)C,0.26824847,0.06421555
OC(C)CC(C)=O,COC(C)(C)CC(C)=O,0.31627358,0.07455619
OC(C)CC(C)=O,OCCC(C)CCCC(O)(C)C,-0.11195456,-0.03420886
OC(C)CC(C)=O,OC(C)(C)CCCC(C)CC=O,-0.14527971,-0.04345624
OC(C)CC(C)=O,CCCC(C)C,2.81329354,0.65221262
OC(C)CC(C)=O,CC(C)=CC=O,0.19979558,0.04596799
OC(C)CC(C)=O,CCCC(C)=O,0.30068396,0.06818362
OC(C)CC(C)=O,OCCC(O)C,0.19398528,0.04531169
OC(C)CC(C)=O,COCC(O)C,0.09803067,0.02098395
OC(C)CC(C)=O,CC(OC=C)=O,0.44632404,0.09781397
OC(C)CC(C)=O,CC(C)CC(C)C,2.75229216,0.64742534
OC(C)CC(C)=O,CC(C)CC(C)=O,0.45489175,0.10571379
OC(C)CC(C)=O,OC(C)CC(C)C,-0.08119131,-0.0109213
OC(C)CC(C)=O,CC(C)OC(C)C,0.9386813,0.23447773
OC(C)CC(C)=O,CC(C)OC(C)=O,0.47643898,0.10879656
OC(C)CC(C)=O,CC(OC(C)=C)=O,0.46224353,0.10501069
OC(C)CC(C)=O,CC(OC(C)=O)=O,0.44964347,0.10104501
OC(C)CC(C)=O,O=C1C=CC(O1)=C,0.37253409,0.08156083
OC(C)CC(C)=O,CC1OC(CC1)=O,0.24205751,0.0539189
OC(C)CC(C)=O,CC1OC(OC1)=O,0.60352347,0.140746
OC(C)CC(C)=O,Cc1cc(C)ccc1,1.09857568,0.25827758
OC(C)CC(C)=O,C=Cc1cc(C=C)ccc1,0.58014999,0.13562974
OC(C)CC(C)=O,COC(CC(OC)=O)=O,0.31629235,0.07135042
OC(C)CC(C)=O,CCOC(CC(C)C)=O,0.73408559,0.17222814
OC(C)CC(C)=O,COCC(C)OC(C)=O,0.33267482,0.07641318
OC(C)CC(C)=O,Cc1cc(C)cc(C)c1,1.2611251,0.30033724
OC(C)CC(C)=O,CC(C)CC(O)CC(C)C,0.0214217,0.01182322
OC(C)CC(C)=O,CC(C)CC(CC(C)C)=O,0.96647536,0.23056385
OC(C)CC(C)=O,CC(C)CC(C)OC(C)=O,0.77518724,0.18332611
OC(C)CC(C)=O,CC1CCCCC1,2.80427016,0.64843463
