SMILES0,SMILES,gamma1,gamma2
OC(C)CC(O)=O,OC(C)C(O)=O,-0.36546213,-0.09338466
OC(C)CC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.72157622,0.86908522
OC(C)CC(O)=O,OCC(O)C,-0.25669234,-0.07014859
OC(C)CC(O)=O,O=C1CCO1,1.98275959,0.35110201
OC(C)CC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.87290885,0.37069723
OC(C)CC(O)=O,CCOCC,-0.18236042,-0.06283772
OC(C)CC(O)=O,OCC,-0.58694826,-0.14948475
OC(C)CC(O)=O,CCCCCC=O,1.49218166,0.25799268
OC(C)CC(O)=O,CO,-0.71713259,-0.17892391
OC(C)CC(O)=O,OC(C)C,-0.49935662,-0.12952672
OC(C)CC(O)=O,CC(C)=O,-0.81675089,-0.2407442
OC(C)CC(O)=O,OCCC,-0.19635272,-0.05036091
OC(C)CC(O)=O,OCCCC,-0.06507674,-0.01814913
OC(C)CC(O)=O,OCCCCC,0.11039907,0.02523332
OC(C)CC(O)=O,CC1OC1,-0.0242281,-0.06379004
OC(C)CC(O)=O,CCC(C)(C)C,9.79339836,1.06092023
OC(C)CC(O)=O,CC(C)(C)C(C)=O,0.43160356,0.0434217
OC(C)CC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.10179731,0.24047767
OC(C)CC(O)=O,COC(C)(C)OC,-0.1543081,-0.08077439
OC(C)CC(O)=O,CCC1(CC)CCCCC1,9.72073517,1.12220959
OC(C)CC(O)=O,CCOC(C)(OCC)OCC,-0.55709009,-0.1384008
OC(C)CC(O)=O,CC(C)CCCC(O)(C)CC,0.44238463,0.0876859
OC(C)CC(O)=O,CCC(C)C,9.89024167,1.0432915
OC(C)CC(O)=O,CC(=C)C=C,7.41972269,0.73798819
OC(C)CC(O)=O,CC(=C)C#C,4.92818826,0.47202379
OC(C)CC(O)=O,OCC(C)C,0.12253413,0.03017364
OC(C)CC(O)=O,CC(C)C=O,1.1254289,0.15492422
OC(C)CC(O)=O,CC(=C)C=O,0.86602682,0.11873739
OC(C)CC(O)=O,CCC(O)C,-0.09754568,-0.02633434
OC(C)CC(O)=O,CCC(C)=O,-0.38238198,-0.14147137
OC(C)CC(O)=O,COC(C)=O,0.67749238,0.07750438
OC(C)CC(O)=O,CC(C)C(C)C,9.83600425,1.06946416
OC(C)CC(O)=O,CC(C)C(O)=O,-0.11928296,-0.02712924
OC(C)CC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.62651027,0.30634817
OC(C)CC(O)=O,OOC(C)(C)C(CC1)CCC1C,1.11850568,0.26140388
OC(C)CC(O)=O,CCOC(C(O)(C)C)=O,-0.16082078,-0.06385195
OC(C)CC(O)=O,COC(=O)C(C)=C,1.92266105,0.3190634
OC(C)CC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.93422535,0.67488114
OC(C)CC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.03585751,0.2194698
OC(C)CC(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.39388095,0.26032408
OC(C)CC(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,2.21416922,0.42258426
OC(C)CC(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.61004214,0.4938112
OC(C)CC(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.03652815,0.56203057
OC(C)CC(O)=O,CC(C)CCOC(=O)c1ccccc1O,4.4326416,0.74405423
OC(C)CC(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.2805223,0.72695679
OC(C)CC(O)=O,O=C2c1ccccc1CO2,1.40829144,0.27687057
OC(C)CC(O)=O,OCC(O)C(O)C(O)CO,-0.29992659,-0.07858001
OC(C)CC(O)=O,CCC(CC)C(O)=O,0.18176305,0.04744256
OC(C)CC(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.49907318,0.11434989
OC(C)CC(O)=O,COc1cc(C)ccc1C(C)(C)C,7.44853976,0.89597254
OC(C)CC(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.26578102,1.06169513
OC(C)CC(O)=O,COC(=O)c1ccccc1C,2.8206017,0.50218774
OC(C)CC(O)=O,CC(=O)c1ccc(C)cc1C,0.8122256,0.1557828
OC(C)CC(O)=O,Cc2c1ccccc1ccc2,6.84031219,0.79355098
OC(C)CC(O)=O,O=C2CCCCC2C1CCCCC1,1.3170235,0.24391476
OC(C)CC(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.05898843,0.21739424
OC(C)CC(O)=O,CC(C=O)c1ccccc1,2.40387144,0.4266254
OC(C)CC(O)=O,CCC(O)c1ccccc1,0.50526425,0.12796926
OC(C)CC(O)=O,CCOC(=O)c1ccccc1,2.65663168,0.47521829
OC(C)CC(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,1.87745786,0.4499099
OC(C)CC(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.33660792,0.62223427
OC(C)CC(O)=O,CCOC(=O)c(cc1)ccc1C,2.57446735,0.4667583
OC(C)CC(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-15.57977572,-0.82279085
OC(C)CC(O)=O,O=C(OCCc1ccccc1)c2ccccc2,3.37215673,0.61169447
OC(C)CC(O)=O,CCCc2cc1OCOc1cc2,5.32825283,0.73883836
OC(C)CC(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,1.31147898,0.24869293
OC(C)CC(O)=O,CCCC1CCCCC1=O,0.76844828,0.12129341
OC(C)CC(O)=O,CCOc1ccc(C=CC)cc1O,1.97947492,0.39719016
OC(C)CC(O)=O,CCCC(O)C(CO)CC,-0.33536774,-0.09929742
OC(C)CC(O)=O,Cc(ccc1C)cc1C,7.42259534,0.84252306
OC(C)CC(O)=O,CCOC(=O)C(OCC)=O,1.96807576,0.35500186
OC(C)CC(O)=O,CC1OC(C(C)OC1=O)=O,1.85932579,0.37350543
OC(C)CC(O)=O,CCCCC(=O)C(C)=O,3.03700493,0.50880394
OC(C)CC(O)=O,C=CCOC(=O)C(C)=C,2.58062627,0.45199568
OC(C)CC(O)=O,C1OC1c2ccccc2,2.8495549,0.48621792
OC(C)CC(O)=O,CCC(C)CC,9.88665265,1.0809037
OC(C)CC(O)=O,CCC(CC)=O,0.21411147,-0.00980986
OC(C)CC(O)=O,OCC(CO)=O,0.1502057,0.03257447
OC(C)CC(O)=O,COC(=O)C=C,1.79693504,0.29293337
OC(C)CC(O)=O,COC(CO)=O,-0.10767407,-0.03452477
OC(C)CC(O)=O,CC1CCCC1,9.82338567,1.05279989
OC(C)CC(O)=O,CC1CCCO1,-1.72778177,-0.44071386
OC(C)CC(O)=O,O=C1CCCO1,0.07033385,-0.03394289
OC(C)CC(O)=O,CCCC(C)C(O)=O,0.17874233,0.0464428
OC(C)CC(O)=O,CCOC(C(C)C)=O,1.72498314,0.29487181
OC(C)CC(O)=O,CCOC(=O)C(C)=C,1.93064951,0.33194012
OC(C)CC(O)=O,CCOC(C(O)C)=O,-0.10225891,-0.04329995
OC(C)CC(O)=O,CC(C)C(OC(C(C)C)=O)=O,3.11048374,0.52628446
OC(C)CC(O)=O,CC(C)COC(C(C)C)=O,2.12580793,0.38236225
OC(C)CC(O)=O,CC(C)COC(=O)C(C)=C,2.40338594,0.42894377
OC(C)CC(O)=O,CCCCOC(C(C)C)=O,2.19164244,0.39501059
OC(C)CC(O)=O,CCCCOC(=O)C(C)=C,2.28072458,0.41009989
OC(C)CC(O)=O,CCC(CC)C=O,1.79441408,0.30234482
OC(C)CC(O)=O,OCC1CCCO1,-1.23658702,-0.32380912
OC(C)CC(O)=O,OCc1occc1,-0.10463387,-0.02672301
OC(C)CC(O)=O,O=Cc1occc1,0.83465111,0.16905627
OC(C)CC(O)=O,CC(C)(C)c1ccccc1,7.48168255,0.85799491
OC(C)CC(O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,1.21878439,0.26612654
OC(C)CC(O)=O,CC(C)(C)c(cc1)ccc1C,7.7083992,0.90654813
OC(C)CC(O)=O,OC1CCC(CC1)C(C)(C)C,0.33627798,0.07029921
OC(C)CC(O)=O,CC(C)(C)C1CCC(CC1)=O,0.2695596,0.01860535
OC(C)CC(O)=O,CC(C)c1ccccc1,7.41485051,0.83744078
OC(C)CC(O)=O,COC(=O)c(ccc1)cc1C,2.70222773,0.48028109
OC(C)CC(O)=O,OC1CC(CC=C1C)C(C)=C,0.48945478,0.11822472
OC(C)CC(O)=O,CC(C)c1cc(C(C)C)ccc1,7.84898152,0.94221569
OC(C)CC(O)=O,CCCC(CCC)C(O)=O,0.45536493,0.10899312
OC(C)CC(O)=O,CC(C=O)c(cc1)ccc1C,2.46205851,0.44282976
OC(C)CC(O)=O,CC1CCC(C(C)C)CC1,9.75478744,1.14085866
OC(C)CC(O)=O,CC(C)c(cc1)ccc1C,7.63295529,0.88606204
OC(C)CC(O)=O,C=CC1CC=CCC1,7.59413732,0.85584516
OC(C)CC(O)=O,CCc1ccccc1,7.24699767,0.79548071
OC(C)CC(O)=O,C=Cc1ccccc1,6.65542002,0.73067216
OC(C)CC(O)=O,OCC1CCCCC1,0.45594985,0.1122947
OC(C)CC(O)=O,COc1ccccc1,4.51251635,0.6277429
OC(C)CC(O)=O,OCC1CCCCO1,-0.80636936,-0.20184469
OC(C)CC(O)=O,OCC(CO1)OC1(C)C,-0.22796819,-0.06306874
OC(C)CC(O)=O,Cc1cc(C=C)ccc1,6.89638202,0.77993702
OC(C)CC(O)=O,COc(ccc1)cc1C,4.63923278,0.66594331
OC(C)CC(O)=O,COC(=O)Cc1ccccc1,2.14409297,0.39873172
OC(C)CC(O)=O,COC(OC)Cc1ccccc1,1.27080021,0.24926585
OC(C)CC(O)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,2.95833825,0.54780431
OC(C)CC(O)=O,CC(C)COC(=O)Cc1ccccc1,2.29680895,0.43044301
OC(C)CC(O)=O,O=C(OCc2ccccc2)Cc1ccccc1,2.52220393,0.4859526
OC(C)CC(O)=O,CCc1cc(CC)cc(CC)c1,7.95457323,0.96139284
OC(C)CC(O)=O,CC(=O)Oc(ccc1)cc1O,-0.45916609,-0.11223826
OC(C)CC(O)=O,COC(OC)CC(OC)OC,0.28233645,0.02512528
OC(C)CC(O)=O,CCCCC(CC)COC(C)=O,1.99953302,0.36905259
OC(C)CC(O)=O,CCCCC(CC)COC(=O)C=C,2.86133335,0.52421337
OC(C)CC(O)=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,2.24732081,0.41708042
OC(C)CC(O)=O,COC(CCc1ccccc1)=O,2.23915966,0.41477965
OC(C)CC(O)=O,CC(C)C(OCc1ccccc1)=O,2.53072409,0.46506156
OC(C)CC(O)=O,CCCC(OCc1ccccc1)=O,2.57317877,0.47556408
OC(C)CC(O)=O,CC(C)CC(OCc1ccccc1)=O,2.7808693,0.5139196
OC(C)CC(O)=O,CC(OCCc1ccccc1)=O,1.9028231,0.3609993
OC(C)CC(O)=O,CC(C)C(OCCc1ccccc1)=O,2.61585555,0.48552022
OC(C)CC(O)=O,CC(C)C(OCCOc1ccccc1)=O,2.53616326,0.47772747
OC(C)CC(O)=O,CCCc1ccccc1,7.41720095,0.84221588
OC(C)CC(O)=O,CC(C)C(=O)Oc(cc1)ccc1C,2.89317213,0.51724085
OC(C)CC(O)=O,CCCc(cc1)ccc1OC,4.91399971,0.73838305
OC(C)CC(O)=O,CCCCC1OC(CC1)=O,0.64104514,0.10263442
OC(C)CC(O)=O,CCCCc1ccccc1,7.56528888,0.88243582
OC(C)CC(O)=O,O=COCc1ccccc1,2.42675767,0.44243297
OC(C)CC(O)=O,CCCCCC1OC(CC1)=O,0.79135732,0.13683875
OC(C)CC(O)=O,O=COCCc1ccccc1,2.43282062,0.44575908
OC(C)CC(O)=O,CCCCCCCC1OC(CC1)=O,1.08008512,0.19994414
OC(C)CC(O)=O,CCCCC(CO)CC,0.75424564,0.18126681
OC(C)CC(O)=O,COc(cc1)ccc1C,4.52287917,0.65962288
OC(C)CC(O)=O,CC(C)COC(CCc1occc1)=O,2.65606495,0.49500319
OC(C)CC(O)=O,CCc1ccc(CC)cc1,7.68237061,0.89479597
OC(C)CC(O)=O,C=Cc1ccc(C=C)cc1,6.585272,0.76782388
OC(C)CC(O)=O,CCCC1OC(CC1)=O,0.42044331,0.05142644
OC(C)CC(O)=O,OCC=C(C)C#C,-0.26846848,-0.06579951
OC(C)CC(O)=O,CCCC(C)CO,0.47535129,0.11628223
OC(C)CC(O)=O,CCCC(O)C#C,-0.1972214,-0.04899001
OC(C)CC(O)=O,CCOC(CC)=O,1.27980352,0.21223016
OC(C)CC(O)=O,CCC(OC=C)=O,3.26863315,0.52245593
OC(C)CC(O)=O,CCC(C)CC(C)=O,0.61707433,0.0916598
OC(C)CC(O)=O,CCC(C)CC(O)=O,0.11421315,0.03043532
OC(C)CC(O)=O,CCC(C)OC(C)=O,1.29693275,0.21907022
OC(C)CC(O)=O,CCOC(CC(OCC)=O)=O,1.86369735,0.35112615
OC(C)CC(O)=O,CCOC(CCC)=O,1.81095059,0.31309804
OC(C)CC(O)=O,CCOC(C)OCC,0.02622023,-0.02940381
OC(C)CC(O)=O,CCOC(OCC)=O,2.11235688,0.35831654
OC(C)CC(O)=O,CCCOC(CCC)=O,1.85134563,0.32845863
OC(C)CC(O)=O,CC(C)CCOC(CC)=O,2.07239234,0.3741843
OC(C)CC(O)=O,CCCCOC(=O)C=CC(OCCCC)=O,2.47219198,0.46937982
OC(C)CC(O)=O,O=C1OCCOC(CCCCCCCCCCC1)=O,1.8754338,0.36454266
OC(C)CC(O)=O,CCCCCCCCCCCC(OCCCC)=O,3.03172989,0.55682149
OC(C)CC(O)=O,OCCC(C)CCCC(C)C,0.69817451,0.1569368
OC(C)CC(O)=O,CC(C)CCOC(CCC)=O,2.20526894,0.40327498
OC(C)CC(O)=O,CCCCCCC(OCC)=O,2.21922186,0.41010362
OC(C)CC(O)=O,CCCC(OC(CCC)=O)=O,2.89076245,0.50550567
OC(C)CC(O)=O,CCCCCCCC(OCC)=O,2.38779405,0.44203456
OC(C)CC(O)=O,CCCCC(CC)=O,0.69121029,0.10082262
OC(C)CC(O)=O,CCCOC(CC)=O,1.49306751,0.25708695
OC(C)CC(O)=O,CC(C)COC(=O)C=C,2.07430354,0.36944302
OC(C)CC(O)=O,CCCCCC(CC)=O,0.93029147,0.15520874
OC(C)CC(O)=O,CCCCCC(OC)=O,1.93586524,0.34796244
OC(C)CC(O)=O,CC(CCC=C(C)C)C=O,2.20240421,0.4017437
OC(C)CC(O)=O,CCCCCCC(OC)=O,2.17893634,0.39707577
OC(C)CC(O)=O,CCOCCOC(=O)C=C,0.86975245,0.15893195
OC(C)CC(O)=O,C=CC2CC1OC1CC2,1.42128269,0.26213609
OC(C)CC(O)=O,C1OC1C3CC2OC2CC3,0.4404377,0.05613051
OC(C)CC(O)=O,CCC1OC1,0.56825228,0.06677278
OC(C)CC(O)=O,C=CC(OCC1OC1)=O,1.77317668,0.32985088
OC(C)CC(O)=O,CC(=C)C(OCC1OC1)=O,1.72976487,0.31868386
OC(C)CC(O)=O,C=CCOCC1OC1,0.78607271,0.12278514
OC(C)CC(O)=O,O=CC=C,0.65515084,0.08233867
OC(C)CC(O)=O,OCC=C,-0.26466319,-0.06724944
OC(C)CC(O)=O,OCC#C,-0.642385,-0.15103635
OC(C)CC(O)=O,COC=O,1.33031652,0.20358778
OC(C)CC(O)=O,CC(C)(C)CC(C)=C,8.67298282,0.99385402
OC(C)CC(O)=O,CC(C)(C)C=C(C)C,8.72088384,1.00660632
OC(C)CC(O)=O,OC(C)CC(O)(C)C,-0.97207644,-0.25543057
OC(C)CC(O)=O,COC(C)(C)CC(C)=O,-0.14740874,-0.06811509
OC(C)CC(O)=O,OCCC(C)CCCC(O)(C)C,-0.22630803,-0.06221893
OC(C)CC(O)=O,OC(C)(C)CCCC(C)CC=O,-0.37409172,-0.1049788
OC(C)CC(O)=O,CCCC(C)C,9.87738542,1.08573056
OC(C)CC(O)=O,CC(C)=CC=O,-0.86448965,-0.24006934
OC(C)CC(O)=O,CCCC(C)=O,-0.18794695,-0.09025664
OC(C)CC(O)=O,OCCC(O)C,-0.90989337,-0.23048411
OC(C)CC(O)=O,COCC(O)C,-1.045784,-0.2669914
OC(C)CC(O)=O,CC(OC=C)=O,2.86018728,0.45478332
OC(C)CC(O)=O,CC(C)CC(C)C,9.79604189,1.09995911
OC(C)CC(O)=O,CC(C)CC(C)=O,0.31254478,0.02574263
OC(C)CC(O)=O,OC(C)CC(C)C,0.27859033,0.0614836
OC(C)CC(O)=O,CC(C)OC(C)C,-1.30663148,-0.30619468
OC(C)CC(O)=O,CC(C)OC(C)=O,1.0834575,0.17051258
OC(C)CC(O)=O,CC(OC(C)=C)=O,1.9909591,0.33885194
OC(C)CC(O)=O,CC(OC(C)=O)=O,2.28967973,0.38811498
OC(C)CC(O)=O,O=C1C=CC(O1)=C,1.96169471,0.36630912
OC(C)CC(O)=O,CC1OC(CC1)=O,0.02467619,-0.04181157
OC(C)CC(O)=O,CC1OC(OC1)=O,1.48158285,0.27885708
OC(C)CC(O)=O,Cc1cc(C)ccc1,7.29186725,0.80240455
OC(C)CC(O)=O,C=Cc1cc(C=C)ccc1,6.60839448,0.77153443
OC(C)CC(O)=O,COC(CC(OC)=O)=O,1.83669539,0.34633316
OC(C)CC(O)=O,CCOC(CC(C)C)=O,2.06629849,0.36344219
OC(C)CC(O)=O,COCC(C)OC(C)=O,0.72608529,0.11986779
OC(C)CC(O)=O,Cc1cc(C)cc(C)c1,7.51499231,0.85642903
OC(C)CC(O)=O,CC(C)CC(O)CC(C)C,0.83743272,0.19483708
OC(C)CC(O)=O,CC(C)CC(CC(C)C)=O,1.93831347,0.35544806
OC(C)CC(O)=O,CC(C)CC(C)OC(C)=O,1.63404139,0.30024493
OC(C)CC(O)=O,CC1CCCCC1,9.8439353,1.08052846
OC(C)CC(O)=O,Cc1ccccc1,7.0410066,0.74337376
OC(C)CC(O)=O,O=C1CCCCC1,-0.48848138,-0.16001506
OC(C)CC(O)=O,O=C1C=COC=C1,-1.5035708,-0.39558717
OC(C)CC(O)=O,CCCCOC(CC(C)C)=O,2.22198499,0.40777976
OC(C)CC(O)=O,CCCCOC(CCC)=O,2.15746338,0.38827799
OC(C)CC(O)=O,O=C1CCCCCCCCCCCCCCCO1,2.61769031,0.49048679
OC(C)CC(O)=O,CC(CCC=C)=O,0.49884922,0.0656621
OC(C)CC(O)=O,CCC#CC(O)C,0.20986973,0.05251282
OC(C)CC(O)=O,CCCCC(O)=O,0.01796851,0.00757666
OC(C)CC(O)=O,CC(C)COC=C,5.79483997,0.76828051
OC(C)CC(O)=O,OCCOC(C)C,-1.45954995,-0.36871726
OC(C)CC(O)=O,CCCOC(C)=O,1.00299578,0.15586638
OC(C)CC(O)=O,CCCCC,9.92572474,1.05816773
OC(C)CC(O)=O,CCCC=C,8.23768063,0.86722166
OC(C)CC(O)=O,COCCO,-0.99463638,-0.25144915
OC(C)CC(O)=O,COCOC,-0.25313734,-0.1147492
OC(C)CC(O)=O,CCOC=C,3.87016631,0.54208862
OC(C)CC(O)=O,C=COC=C,5.26775956,0.56183648
OC(C)CC(O)=O,CCOC=O,1.41802818,0.22059935
OC(C)CC(O)=O,O1CCCC1,-2.52229924,-0.63047683
OC(C)CC(O)=O,c1cocc1,5.20095257,0.5122715
OC(C)CC(O)=O,CC(C)(C)OOC(C)(C)C,3.34776807,0.60313247
OC(C)CC(O)=O,CC(C)CCC(C)=O,0.44451769,0.05420302
OC(C)CC(O)=O,CC(C)COC(C)=O,1.34475512,0.22738101
OC(C)CC(O)=O,CCCCCCOC(CCCCC(OCCCCCC)=O)=O,2.02860968,0.38285525
OC(C)CC(O)=O,CCCCCCCCOC(CCC)=O,2.67774053,0.49649086
OC(C)CC(O)=O,CCCCCCCCCC(C)C=O,2.87716228,0.53340826
OC(C)CC(O)=O,CCCCCC(C)=O,0.3561542,0.03480556
OC(C)CC(O)=O,CC(C)CCOC=O,2.15092355,0.3791303
OC(C)CC(O)=O,COCCOC(C)=O,0.24236687,0.01492991
OC(C)CC(O)=O,CCCCCC,9.90132218,1.09651051
OC(C)CC(O)=O,CCCCC=O,1.19206778,0.18806522
OC(C)CC(O)=O,COCCOC,-1.43323651,-0.3750633
OC(C)CC(O)=O,CCCOC=O,1.68493367,0.27777005
OC(C)CC(O)=O,OCCOCC,-0.89744935,-0.22374441
OC(C)CC(O)=O,C1CC=CCC1,8.05468931,0.86793285
OC(C)CC(O)=O,C1OC=CCC1,2.9306674,0.44546631
OC(C)CC(O)=O,CC(CCC=C(C)C)=O,0.73394971,0.12169848
OC(C)CC(O)=O,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,9.37376574,1.17544033
OC(C)CC(O)=O,CCCCCCCC(OC)=O,2.32106561,0.4278683
OC(C)CC(O)=O,CCCCCC#CC(OC)=O,2.93267276,0.52334337
OC(C)CC(O)=O,CCOCCOC(C)=O,0.48902425,0.07419068
OC(C)CC(O)=O,OCCCCCC,0.33159973,0.08084334
OC(C)CC(O)=O,O=CCCCC=O,0.53497942,0.07652011
OC(C)CC(O)=O,COCCCCO,-1.9248672,-0.52761273
OC(C)CC(O)=O,CCCCOC=C,5.0093961,0.72291237
OC(C)CC(O)=O,CCOCCCO,-1.33322882,-0.34991589
OC(C)CC(O)=O,CCCOCCC,1.06685598,0.24319321
OC(C)CC(O)=O,OCCOCC=C,-0.86970401,-0.21620023
OC(C)CC(O)=O,CC(OCCOC(C)=O)=O,1.00149332,0.18581867
OC(C)CC(O)=O,CCCCCCCCC=CCCCCCCCC(OCC)=O,3.27913898,0.59480201
OC(C)CC(O)=O,CCCCCCCC,9.83563041,1.14414708
OC(C)CC(O)=O,CCCCCCC=C,8.59166618,1.00590624
OC(C)CC(O)=O,OCCCCCCC,0.47147917,0.1104905
OC(C)CC(O)=O,CCCCCCC=O,1.7546274,0.31687422
OC(C)CC(O)=O,OCCOCCCC,-0.51863521,-0.14211682
OC(C)CC(O)=O,COCCOCCO,-1.89500553,-0.50507456
OC(C)CC(O)=O,C1C=CCCC=CC1,6.50687242,0.79343838
OC(C)CC(O)=O,CCCCCCC#CC(OC)=O,3.08529679,0.55065253
OC(C)CC(O)=O,CCCCCCCCC,9.82619377,1.16183281
OC(C)CC(O)=O,OCCOCCOCC,-1.64958221,-0.43353021
OC(C)CC(O)=O,COCCOCCOC,-2.36223888,-0.57523682
OC(C)CC(O)=O,CCCCCCCOC(C)=O,1.84705542,0.34523639
OC(C)CC(O)=O,CCCCOCCOC(C)=O,0.7024204,0.12026375
OC(C)CC(O)=O,CCCCCCCCOC(C)=O,1.9942776,0.37341909
OC(C)CC(O)=O,CCCCCCCOC=O,2.57108202,0.47157503
OC(C)CC(O)=O,OCCOCCCCCC,-0.16914022,-0.06112104
OC(C)CC(O)=O,CCCCCCCCOC=O,2.75290482,0.50838505
OC(C)CC(O)=O,OCCOCCOCCCC,-1.30329977,-0.34767821
OC(C)CC(O)=O,COCCOCCOCCO,-1.92042948,-0.46460123
OC(C)CC(O)=O,CCOCCOCCOCC,-2.80684694,-0.66174082
OC(C)CC(O)=O,CCCCCCCCCCC=C,8.8236869,1.09114056
OC(C)CC(O)=O,CCCCOCCOCCCC,-1.15044539,-0.31413615
