SMILES0,SMILES,gamma1,gamma2
OC(C)CC=O,OC(C)C(O)=O,-1.74010425,-0.46603489
OC(C)CC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.68627647,0.37896357
OC(C)CC=O,OCC(O)C,0.33228766,0.0834263
OC(C)CC=O,O=C1CCO1,0.97231399,0.21310569
OC(C)CC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.76229974,0.16937983
OC(C)CC=O,CCOCC,0.91066173,0.23036747
OC(C)CC=O,OCC,0.54895028,0.1316347
OC(C)CC=O,CCCCCC=O,1.00511543,0.23247741
OC(C)CC=O,CO,0.53093807,0.12357051
OC(C)CC=O,OC(C)C,0.61604931,0.15039865
OC(C)CC=O,CC(C)=O,-0.10005558,-0.02859451
OC(C)CC=O,OCCC,0.588183,0.14712142
OC(C)CC=O,OCCCC,0.70130859,0.18048266
OC(C)CC=O,OCCCCC,0.78968185,0.2052802
OC(C)CC=O,CC1OC1,0.32850571,0.06982564
OC(C)CC=O,CCC(C)(C)C,3.96494798,0.86326546
OC(C)CC=O,CC(C)(C)C(C)=O,0.69258981,0.16308706
OC(C)CC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.3668207,0.32415708
OC(C)CC=O,COC(C)(C)OC,0.64356096,0.15779871
OC(C)CC=O,CCC1(CC)CCCCC1,3.90203651,0.87692912
OC(C)CC=O,CCOC(C)(OCC)OCC,0.67431408,0.17229478
OC(C)CC=O,CC(C)CCCC(O)(C)CC,1.25470671,0.30676763
OC(C)CC=O,CCC(C)C,4.04461803,0.86473135
OC(C)CC=O,CC(=C)C=C,2.25085888,0.46959884
OC(C)CC=O,CC(=C)C#C,0.16891543,0.05152923
OC(C)CC=O,OCC(C)C,0.55132807,0.14709678
OC(C)CC=O,CC(C)C=O,0.72902434,0.15760241
OC(C)CC=O,CC(=C)C=O,0.63555076,0.13945939
OC(C)CC=O,CCC(O)C,0.70007516,0.17644692
OC(C)CC=O,CCC(C)=O,0.17952263,0.0399293
OC(C)CC=O,COC(C)=O,0.43448179,0.09076133
OC(C)CC=O,CC(C)C(C)C,3.99970078,0.87269511
OC(C)CC=O,CC(C)C(O)=O,-1.77780283,-0.49325935
OC(C)CC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.24651442,0.28302803
OC(C)CC=O,OOC(C)(C)C(CC1)CCC1C,-0.93042382,-0.26409113
OC(C)CC=O,CCOC(C(O)(C)C)=O,0.42786506,0.10567302
OC(C)CC=O,COC(=O)C(C)=C,1.02579871,0.22943398
OC(C)CC=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.72640972,0.16466971
OC(C)CC=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.71682551,0.1657462
OC(C)CC=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.08717546,0.20138224
OC(C)CC=O,CCOC(=O)c1ccccc1C(OCC)=O,0.90212705,0.20697014
OC(C)CC=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.17139592,0.26118565
OC(C)CC=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.38531661,0.29519204
OC(C)CC=O,CC(C)CCOC(=O)c1ccccc1O,1.76196079,0.40185106
OC(C)CC=O,Oc2ccccc2C(OCCc1ccccc1)=O,1.3676918,0.31165992
OC(C)CC=O,O=C2c1ccccc1CO2,0.72195086,0.16832494
OC(C)CC=O,OCC(O)C(O)C(O)CO,-0.09881891,-0.0253142
OC(C)CC=O,CCC(CC)C(O)=O,-1.6634621,-0.46644314
OC(C)CC=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.18234872,-0.04553201
OC(C)CC=O,COc1cc(C)ccc1C(C)(C)C,2.25738416,0.51134298
OC(C)CC=O,CC2CCC(CC1=C2CCC1C)=C(C)C,3.18535329,0.72418415
OC(C)CC=O,COC(=O)c1ccccc1C,1.33398851,0.3060684
OC(C)CC=O,CC(=O)c1ccc(C)cc1C,0.9284458,0.2224051
OC(C)CC=O,Cc2c1ccccc1ccc2,1.82344087,0.40642537
OC(C)CC=O,O=C2CCCCC2C1CCCCC1,1.34090161,0.31377599
OC(C)CC=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.63996025,0.14884421
OC(C)CC=O,CC(C=O)c1ccccc1,1.02531332,0.23253681
OC(C)CC=O,CCC(O)c1ccccc1,-0.48275609,-0.10478356
OC(C)CC=O,CCOC(=O)c1ccccc1,1.28971818,0.29654361
OC(C)CC=O,CC(OC(C)c2ccccc2)c1ccccc1,1.40390168,0.33004751
OC(C)CC=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.06933585,0.23451167
OC(C)CC=O,CCOC(=O)c(cc1)ccc1C,1.34860591,0.31140308
OC(C)CC=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-4.61684114,-0.24477242
OC(C)CC=O,O=C(OCCc1ccccc1)c2ccccc2,1.30610023,0.29859936
OC(C)CC=O,CCCc2cc1OCOc1cc2,1.362242,0.30755017
OC(C)CC=O,COC(C1CCC(CC1)C(OC)=O)=O,0.62473494,0.14457532
OC(C)CC=O,CCCC1CCCCC1=O,1.01518094,0.24130639
OC(C)CC=O,CCOc1ccc(C=CC)cc1O,-1.11354269,-0.2323699
OC(C)CC=O,CCCC(O)C(CO)CC,0.74397913,0.1819062
OC(C)CC=O,Cc(ccc1C)cc1C,2.30667096,0.51310895
OC(C)CC=O,CCOC(=O)C(OCC)=O,0.76963118,0.17257196
OC(C)CC=O,CC1OC(C(C)OC1=O)=O,0.27948974,0.06437643
OC(C)CC=O,CCCCC(=O)C(C)=O,1.16817599,0.26071159
OC(C)CC=O,C=CCOC(=O)C(C)=C,1.28155506,0.29201923
