SMILES0,SMILES,gamma1,gamma2
OC(C)COCC(O)C,OC(C)C(O)=O,-3.10459031,-0.85501191
OC(C)COCC(O)C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.85884538,0.57194216
OC(C)COCC(O)C,OCC(O)C,-0.28879143,-0.06774718
OC(C)COCC(O)C,O=C1CCO1,2.74910625,0.55660989
OC(C)COCC(O)C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.37855165,0.32276092
OC(C)COCC(O)C,CCOCC,1.05977867,0.22141335
OC(C)COCC(O)C,OCC,-0.27142244,-0.0570987
OC(C)COCC(O)C,CCCCCC=O,1.41577925,0.288831
OC(C)COCC(O)C,CO,-0.08331718,-0.013878
OC(C)COCC(O)C,OC(C)C,-0.18989965,-0.03975941
OC(C)COCC(O)C,CC(C)=O,0.61730059,0.11401622
OC(C)COCC(O)C,OCCC,-0.40062482,-0.0861138
OC(C)COCC(O)C,OCCCC,-0.2742112,-0.05258233
OC(C)COCC(O)C,OCCCCC,-0.2046711,-0.03263423
OC(C)COCC(O)C,CC1OC1,0.87493831,0.15086557
OC(C)COCC(O)C,CCC(C)(C)C,4.60728998,0.77031111
OC(C)COCC(O)C,CC(C)(C)C(C)=O,1.09739895,0.22705831
OC(C)COCC(O)C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.6576828,0.38644292
OC(C)COCC(O)C,COC(C)(C)OC,0.93521688,0.19833798
OC(C)COCC(O)C,CCC1(CC)CCCCC1,4.5817679,0.83883044
OC(C)COCC(O)C,CCOC(C)(OCC)OCC,0.93327147,0.2288413
OC(C)COCC(O)C,CC(C)CCCC(O)(C)CC,0.52447117,0.14462744
OC(C)COCC(O)C,CCC(C)C,4.67052587,0.7522337
OC(C)COCC(O)C,CC(=C)C=C,3.1421217,0.46705762
OC(C)COCC(O)C,CC(=C)C#C,0.54520624,0.03941968
OC(C)COCC(O)C,OCC(C)C,-0.53442909,-0.11065954
