SMILES0,SMILES,gamma1,gamma2
OC(C1(CCC1)C(O)=O)=O,OC(C)C(O)=O,-0.10429054,-0.03031308
OC(C1(CCC1)C(O)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.52599464,0.77926377
OC(C1(CCC1)C(O)=O)=O,OCC(O)C,-3.86510568,-0.98586199
OC(C1(CCC1)C(O)=O)=O,O=C1CCO1,-0.65202419,-0.10272932
OC(C1(CCC1)C(O)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.34592783,-0.33984889
OC(C1(CCC1)C(O)=O)=O,CCOCC,-6.30583757,-1.28317949
OC(C1(CCC1)C(O)=O)=O,OCC,-5.17093862,-1.17161715
OC(C1(CCC1)C(O)=O)=O,CCCCCC=O,-2.54384775,-0.53557447
OC(C1(CCC1)C(O)=O)=O,CO,-5.30510081,-1.16434362
OC(C1(CCC1)C(O)=O)=O,OC(C)C,-5.25320863,-1.21533929
OC(C1(CCC1)C(O)=O)=O,CC(C)=O,-6.24410679,-1.56324606
OC(C1(CCC1)C(O)=O)=O,OCCC,-4.28248562,-0.97435576
OC(C1(CCC1)C(O)=O)=O,OCCCC,-4.22024549,-0.96254586
OC(C1(CCC1)C(O)=O)=O,OCCCCC,-3.95394894,-0.90211592
OC(C1(CCC1)C(O)=O)=O,CC1OC1,-5.13948525,-1.1063863
OC(C1(CCC1)C(O)=O)=O,CCC(C)(C)C,8.90037747,1.02309339
OC(C1(CCC1)C(O)=O)=O,CC(C)(C)C(C)=O,-4.54881699,-1.07276846
OC(C1(CCC1)C(O)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.93653265,-0.78989925
OC(C1(CCC1)C(O)=O)=O,COC(C)(C)OC,-5.86423456,-1.45935273
OC(C1(CCC1)C(O)=O)=O,CCC1(CC)CCCCC1,8.86851424,1.12394115
OC(C1(CCC1)C(O)=O)=O,CCOC(C)(OCC)OCC,-6.80919276,-1.99477015
OC(C1(CCC1)C(O)=O)=O,CC(C)CCCC(O)(C)CC,-4.1887202,-0.96132124
OC(C1(CCC1)C(O)=O)=O,CCC(C)C,8.98477814,0.99221907
OC(C1(CCC1)C(O)=O)=O,CC(=C)C=C,6.11956312,0.59750687
OC(C1(CCC1)C(O)=O)=O,CC(=C)C#C,4.16326254,0.34522162
OC(C1(CCC1)C(O)=O)=O,OCC(C)C,-3.49351598,-0.79421296
OC(C1(CCC1)C(O)=O)=O,CC(C)C=O,-3.03336943,-0.64593797
OC(C1(CCC1)C(O)=O)=O,CC(=C)C=O,-3.41705996,-0.75351333
OC(C1(CCC1)C(O)=O)=O,CCC(O)C,-4.42700854,-1.01650681
OC(C1(CCC1)C(O)=O)=O,CCC(C)=O,-5.65220468,-1.41069107
OC(C1(CCC1)C(O)=O)=O,COC(C)=O,-3.56262065,-0.83155251
OC(C1(CCC1)C(O)=O)=O,CC(C)C(C)C,8.94539395,1.03297719
OC(C1(CCC1)C(O)=O)=O,CC(C)C(O)=O,-0.18388327,-0.04225218
OC(C1(CCC1)C(O)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-2.6336288,-0.6526743
OC(C1(CCC1)C(O)=O)=O,OOC(C)(C)C(CC1)CCC1C,0.58436605,0.14858485
OC(C1(CCC1)C(O)=O)=O,CCOC(C(O)(C)C)=O,-5.2926998,-1.32858162
OC(C1(CCC1)C(O)=O)=O,COC(=O)C(C)=C,-1.67911271,-0.38143307
OC(C1(CCC1)C(O)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.63646057,0.53752548
OC(C1(CCC1)C(O)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-3.00212738,-0.71263572
OC(C1(CCC1)C(O)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.82068608,-0.46223969
