SMILES0,SMILES,gamma1,gamma2
OC(C1CC1)=O,OC(C)C(O)=O,0.21747015,0.04858899
OC(C1CC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.03219803,0.66597703
OC(C1CC1)=O,OCC(O)C,-0.69145318,-0.17245516
OC(C1CC1)=O,O=C1CCO1,0.79219425,0.19791489
OC(C1CC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.11008305,0.02561936
OC(C1CC1)=O,CCOCC,-1.7164999,-0.45099241
OC(C1CC1)=O,OCC,-1.18184516,-0.31215824
OC(C1CC1)=O,CCCCCC=O,-0.22100144,-0.04648021
OC(C1CC1)=O,CO,-1.12478448,-0.29342905
OC(C1CC1)=O,OC(C)C,-1.24960178,-0.33791493
OC(C1CC1)=O,CC(C)=O,-1.94229903,-0.50293874
OC(C1CC1)=O,OCCC,-0.88689692,-0.23441359
OC(C1CC1)=O,OCCCC,-0.85603491,-0.23133575
OC(C1CC1)=O,OCCCCC,-0.74348362,-0.20477093
OC(C1CC1)=O,CC1OC1,-1.42023204,-0.34605179
OC(C1CC1)=O,CCC(C)(C)C,6.41929897,0.86640878
OC(C1CC1)=O,CC(C)(C)C(C)=O,-1.12370313,-0.28780671
OC(C1CC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.72651066,-0.18801411
OC(C1CC1)=O,COC(C)(C)OC,-1.63837183,-0.44460495
OC(C1CC1)=O,CCC1(CC)CCCCC1,6.33922234,0.91260435
OC(C1CC1)=O,CCOC(C)(OCC)OCC,-2.02162454,-0.49129035
OC(C1CC1)=O,CC(C)CCCC(O)(C)CC,-0.77606059,-0.24568276
OC(C1CC1)=O,CCC(C)C,6.48634141,0.85000118
OC(C1CC1)=O,CC(=C)C=C,4.58875322,0.58559254
OC(C1CC1)=O,CC(=C)C#C,3.15898405,0.39285067
OC(C1CC1)=O,OCC(C)C,-0.62616843,-0.16953429
OC(C1CC1)=O,CC(C)C=O,-0.47755151,-0.11222142
OC(C1CC1)=O,CC(=C)C=O,-0.69233816,-0.1659601
OC(C1CC1)=O,CCC(O)C,-0.95586164,-0.25791188
OC(C1CC1)=O,CCC(C)=O,-1.6692623,-0.43495294
OC(C1CC1)=O,COC(C)=O,-0.76261719,-0.18677546
OC(C1CC1)=O,CC(C)C(C)C,6.44391393,0.87177059
OC(C1CC1)=O,CC(C)C(O)=O,0.05212555,0.01301479
OC(C1CC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.2729135,-0.09543481
OC(C1CC1)=O,OOC(C)(C)C(CC1)CCC1C,0.69438831,0.1645454
OC(C1CC1)=O,CCOC(C(O)(C)C)=O,-1.476406,-0.42104776
OC(C1CC1)=O,COC(=O)C(C)=C,0.08430575,0.01935052
OC(C1CC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.83343732,0.39149848
OC(C1CC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.60110074,-0.15251486
OC(C1CC1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.10664612,-0.0589522
OC(C1CC1)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.37682724,0.09582813
OC(C1CC1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.59278515,0.13787061
OC(C1CC1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.90526543,0.19502335
OC(C1CC1)=O,CC(C)CCOC(=O)c1ccccc1O,2.05900624,0.45098089
OC(C1CC1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.03883653,0.44635283
OC(C1CC1)=O,O=C2c1ccccc1CO2,-0.0260694,-0.00269043
OC(C1CC1)=O,OCC(O)C(O)C(O)CO,-0.72210379,-0.16538673
OC(C1CC1)=O,CCC(CC)C(O)=O,0.22874043,0.05598389
OC(C1CC1)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.29085317,-0.0846963
OC(C1CC1)=O,COc1cc(C)ccc1C(C)(C)C,4.58909712,0.71062775
OC(C1CC1)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,5.18520866,0.84851722
OC(C1CC1)=O,COC(=O)c1ccccc1C,0.77171838,0.18758818
OC(C1CC1)=O,CC(=O)c1ccc(C)cc1C,-0.92161351,-0.23566982
OC(C1CC1)=O,Cc2c1ccccc1ccc2,4.16159324,0.61944197
OC(C1CC1)=O,O=C2CCCCC2C1CCCCC1,-0.48383601,-0.13628785
OC(C1CC1)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.57659046,-0.15473779
OC(C1CC1)=O,CC(C=O)c1ccccc1,0.57484405,0.14496769
OC(C1CC1)=O,CCC(O)c1ccccc1,-0.20605837,-0.04854408
OC(C1CC1)=O,CCOC(=O)c1ccccc1,0.63370961,0.15379491
OC(C1CC1)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.07979735,0.07527502
