SMILES0,SMILES,gamma1,gamma2
OC(C1CC1C(O)=O)=O,OC(C)C(O)=O,-0.4132485,-0.10201633
OC(C1CC1C(O)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.86623468,1.27607186
OC(C1CC1C(O)=O)=O,OCC(O)C,-3.85368502,-1.04309245
OC(C1CC1C(O)=O)=O,O=C1CCO1,-0.75230048,-0.16223293
OC(C1CC1C(O)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.91103907,-0.23696402
OC(C1CC1C(O)=O)=O,CCOCC,-5.6466424,-1.16715019
OC(C1CC1C(O)=O)=O,OCC,-4.98388015,-1.2227766
OC(C1CC1C(O)=O)=O,CCCCCC=O,-2.08169154,-0.43001284
OC(C1CC1C(O)=O)=O,CO,-5.27386518,-1.27420858
OC(C1CC1C(O)=O)=O,OC(C)C,-4.94436744,-1.22446651
OC(C1CC1C(O)=O)=O,CC(C)=O,-5.97173693,-1.52261457
OC(C1CC1C(O)=O)=O,OCCC,-4.04409108,-0.98669758
OC(C1CC1C(O)=O)=O,OCCCC,-3.90321719,-0.95050411
OC(C1CC1C(O)=O)=O,OCCCCC,-3.58706898,-0.87201843
OC(C1CC1C(O)=O)=O,CC1OC1,-4.77993722,-1.06052232
OC(C1CC1C(O)=O)=O,CCC(C)(C)C,11.99574716,1.46495711
OC(C1CC1C(O)=O)=O,CC(C)(C)C(C)=O,-4.08627343,-0.98069385
OC(C1CC1C(O)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.28034508,-0.65241223
OC(C1CC1C(O)=O)=O,COC(C)(C)OC,-5.28999851,-1.34742426
OC(C1CC1C(O)=O)=O,CCC1(CC)CCCCC1,11.93434654,1.60784434
OC(C1CC1C(O)=O)=O,CCOC(C)(OCC)OCC,-6.16144524,-1.83591915
OC(C1CC1C(O)=O)=O,CC(C)CCCC(O)(C)CC,-3.61103545,-0.88730632
OC(C1CC1C(O)=O)=O,CCC(C)C,12.09585499,1.41639367
OC(C1CC1C(O)=O)=O,CC(=C)C=C,8.66992916,0.99080569
OC(C1CC1C(O)=O)=O,CC(=C)C#C,6.47790191,0.73007633
OC(C1CC1C(O)=O)=O,OCC(C)C,-3.2200931,-0.77121952
OC(C1CC1C(O)=O)=O,CC(C)C=O,-2.64759186,-0.57257078
OC(C1CC1C(O)=O)=O,CC(=C)C=O,-3.1869843,-0.72063184
OC(C1CC1C(O)=O)=O,CCC(O)C,-4.08438356,-0.99619293
OC(C1CC1C(O)=O)=O,CCC(C)=O,-5.30861899,-1.34824925
OC(C1CC1C(O)=O)=O,COC(C)=O,-3.29852386,-0.79352904
OC(C1CC1C(O)=O)=O,CC(C)C(C)C,12.04311519,1.47533524
OC(C1CC1C(O)=O)=O,CC(C)C(O)=O,-0.05303222,-0.0083504
OC(C1CC1C(O)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-2.08911413,-0.54551228
OC(C1CC1C(O)=O)=O,OOC(C)(C)C(CC1)CCC1C,1.24388281,0.31895784
OC(C1CC1C(O)=O)=O,CCOC(C(O)(C)C)=O,-4.82870623,-1.24243942
OC(C1CC1C(O)=O)=O,COC(=O)C(C)=C,-1.31054353,-0.3032955
OC(C1CC1C(O)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.65739667,0.79316199
OC(C1CC1C(O)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-2.91031648,-0.68933697
OC(C1CC1C(O)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.15996395,-0.35154639
OC(C1CC1C(O)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.48695173,-0.10085076
OC(C1CC1C(O)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.07880491,0.03131131
OC(C1CC1C(O)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.79163569,0.17497773
OC(C1CC1C(O)=O)=O,CC(C)CCOC(=O)c1ccccc1O,3.23559141,0.75481831
OC(C1CC1C(O)=O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.28737416,0.76492781
OC(C1CC1C(O)=O)=O,O=C2c1ccccc1CO2,-1.94306071,-0.45484125
OC(C1CC1C(O)=O)=O,OCC(O)C(O)C(O)CO,-3.61170059,-0.97631511
OC(C1CC1C(O)=O)=O,CCC(CC)C(O)=O,0.4674398,0.12290348
OC(C1CC1C(O)=O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.56406154,-0.37484697
OC(C1CC1C(O)=O)=O,COc1cc(C)ccc1C(C)(C)C,8.84159967,1.32385337
OC(C1CC1C(O)=O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,9.67324563,1.56485902
OC(C1CC1C(O)=O)=O,COC(=O)c1ccccc1C,0.22735123,0.11320972
OC(C1CC1C(O)=O)=O,CC(=O)c1ccc(C)cc1C,-3.64047229,-0.77885132
OC(C1CC1C(O)=O)=O,Cc2c1ccccc1ccc2,7.95306446,1.11196896
OC(C1CC1C(O)=O)=O,O=C2CCCCC2C1CCCCC1,-2.76592355,-0.62823537
OC(C1CC1C(O)=O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-2.74992842,-0.72153782
OC(C1CC1C(O)=O)=O,CC(C=O)c1ccccc1,-0.28413356,0.00672826
OC(C1CC1C(O)=O)=O,CCC(O)c1ccccc1,-1.35863674,-0.26633251
OC(C1CC1C(O)=O)=O,CCOC(=O)c1ccccc1,-0.06888465,0.01449009
OC(C1CC1C(O)=O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-1.84567848,0.13637903
OC(C1CC1C(O)=O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.69594083,0.41034773
OC(C1CC1C(O)=O)=O,CCOC(=O)c(cc1)ccc1C,-0.30302206,-0.04484727
OC(C1CC1C(O)=O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-30.63567619,-2.49436703
OC(C1CC1C(O)=O)=O,O=C(OCCc1ccccc1)c2ccccc2,1.4054507,0.37555395
OC(C1CC1C(O)=O)=O,CCCc2cc1OCOc1cc2,5.60983162,1.00411688
OC(C1CC1C(O)=O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-2.02734752,-0.52065614
OC(C1CC1C(O)=O)=O,CCCC1CCCCC1=O,-3.65130739,-0.91256266
OC(C1CC1C(O)=O)=O,CCOc1ccc(C=CC)cc1O,2.51046087,0.59214208
