SMILES0,SMILES,gamma1,gamma2
OC(C1CCC(CC1)C(O)=O)=O,OC(C)C(O)=O,0.08050141,0.01347302
OC(C1CCC(CC1)C(O)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.07362841,1.24717505
OC(C1CCC(CC1)C(O)=O)=O,OCC(O)C,-2.52927757,-0.66571512
OC(C1CCC(CC1)C(O)=O)=O,O=C1CCO1,0.70065351,0.16952253
OC(C1CCC(CC1)C(O)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.03353378,-0.01162042
OC(C1CCC(CC1)C(O)=O)=O,CCOCC,-4.28334125,-0.81542451
OC(C1CCC(CC1)C(O)=O)=O,OCC,-3.53625623,-0.83924372
OC(C1CCC(CC1)C(O)=O)=O,CCCCCC=O,-1.10908292,-0.19454196
OC(C1CCC(CC1)C(O)=O)=O,CO,-3.63144423,-0.84157121
OC(C1CCC(CC1)C(O)=O)=O,OC(C)C,-3.57611937,-0.85765673
OC(C1CCC(CC1)C(O)=O)=O,CC(C)=O,-4.54673726,-1.08762324
OC(C1CCC(CC1)C(O)=O)=O,OCCC,-2.79162562,-0.66210062
OC(C1CCC(CC1)C(O)=O)=O,OCCCC,-2.67226546,-0.6329537
OC(C1CCC(CC1)C(O)=O)=O,OCCCCC,-2.39187795,-0.56331036
OC(C1CCC(CC1)C(O)=O)=O,CC1OC1,-3.51127387,-0.72092235
OC(C1CCC(CC1)C(O)=O)=O,CCC(C)(C)C,11.74803958,1.32267641
OC(C1CCC(CC1)C(O)=O)=O,CC(C)(C)C(C)=O,-2.890563,-0.64313732
OC(C1CCC(CC1)C(O)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.9962206,-0.30888992
OC(C1CCC(CC1)C(O)=O)=O,COC(C)(C)OC,-3.99320278,-0.94801375
OC(C1CCC(CC1)C(O)=O)=O,CCC1(CC)CCCCC1,11.72204113,1.48625666
OC(C1CCC(CC1)C(O)=O)=O,CCOC(C)(OCC)OCC,-4.6604886,-1.30007208
OC(C1CCC(CC1)C(O)=O)=O,CC(C)CCCC(O)(C)CC,-2.30269507,-0.52212208
OC(C1CCC(CC1)C(O)=O)=O,CCC(C)C,11.85042036,1.27228488
OC(C1CCC(CC1)C(O)=O)=O,CC(=C)C=C,8.62702546,0.89320703
OC(C1CCC(CC1)C(O)=O)=O,CC(=C)C#C,6.21365756,0.62569024
OC(C1CCC(CC1)C(O)=O)=O,OCC(C)C,-2.1363459,-0.49786188
OC(C1CCC(CC1)C(O)=O)=O,CC(C)C=O,-1.62832657,-0.32582248
OC(C1CCC(CC1)C(O)=O)=O,CC(=C)C=O,-1.89698288,-0.39260882
OC(C1CCC(CC1)C(O)=O)=O,CCC(O)C,-2.85123204,-0.67164266
OC(C1CCC(CC1)C(O)=O)=O,CCC(C)=O,-3.99645976,-0.95387236
OC(C1CCC(CC1)C(O)=O)=O,COC(C)=O,-2.1175446,-0.47539985
OC(C1CCC(CC1)C(O)=O)=O,CC(C)C(C)C,11.80878161,1.33629385
OC(C1CCC(CC1)C(O)=O)=O,CC(C)C(O)=O,0.08426742,0.02024807
OC(C1CCC(CC1)C(O)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.94093254,-0.20710985
OC(C1CCC(CC1)C(O)=O)=O,OOC(C)(C)C(CC1)CCC1C,1.30913521,0.32498902
OC(C1CCC(CC1)C(O)=O)=O,CCOC(C(O)(C)C)=O,-3.54715757,-0.85849711
OC(C1CCC(CC1)C(O)=O)=O,COC(=O)C(C)=C,-0.26695017,-0.0497335
OC(C1CCC(CC1)C(O)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.04624147,0.83621093
OC(C1CCC(CC1)C(O)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.27479275,-0.27202691
OC(C1CCC(CC1)C(O)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.12649746,-0.03002268
OC(C1CCC(CC1)C(O)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.56211703,0.14981962
OC(C1CCC(CC1)C(O)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.00082123,0.25919438
OC(C1CCC(CC1)C(O)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.61826975,0.39153659
OC(C1CCC(CC1)C(O)=O)=O,CC(C)CCOC(=O)c1ccccc1O,3.87714335,0.83793428
