SMILES0,SMILES,gamma1,gamma2
OC(C1CCCO1)=O,OC(C)C(O)=O,-0.55835261,-0.14521288
OC(C1CCCO1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.63337502,0.36472615
OC(C1CCCO1)=O,OCC(O)C,0.27667162,0.07256689
OC(C1CCCO1)=O,O=C1CCO1,0.6603163,0.15625771
OC(C1CCCO1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.44276846,0.09584135
OC(C1CCCO1)=O,CCOCC,0.14614816,0.05776088
OC(C1CCCO1)=O,OCC,0.11780763,0.03811074
OC(C1CCCO1)=O,CCCCCC=O,0.57105486,0.14026911
OC(C1CCCO1)=O,CO,0.12322017,0.04072122
OC(C1CCCO1)=O,OC(C)C,0.13819429,0.04390242
OC(C1CCCO1)=O,CC(C)=O,-0.64534817,-0.15970625
OC(C1CCCO1)=O,OCCC,0.33153427,0.08990649
OC(C1CCCO1)=O,OCCCC,0.42751332,0.11732812
OC(C1CCCO1)=O,OCCCCC,0.5530811,0.15056973
OC(C1CCCO1)=O,CC1OC1,-0.22588812,-0.05291997
OC(C1CCCO1)=O,CCC(C)(C)C,4.29779332,0.8829628
OC(C1CCCO1)=O,CC(C)(C)C(C)=O,0.16977298,0.04241569
OC(C1CCCO1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.81815521,0.20739713
OC(C1CCCO1)=O,COC(C)(C)OC,0.00340075,0.00503283
OC(C1CCCO1)=O,CCC1(CC)CCCCC1,4.24329794,0.91748881
OC(C1CCCO1)=O,CCOC(C)(OCC)OCC,-0.15139209,-0.01539397
OC(C1CCCO1)=O,CC(C)CCCC(O)(C)CC,0.83388299,0.21597767
OC(C1CCCO1)=O,CCC(C)C,4.37913714,0.87743766
OC(C1CCCO1)=O,CC(=C)C=C,2.26493789,0.43580218
OC(C1CCCO1)=O,CC(=C)C#C,0.23880462,0.02925256
OC(C1CCCO1)=O,OCC(C)C,0.46043287,0.12345215
OC(C1CCCO1)=O,CC(C)C=O,0.28621845,0.06608795
OC(C1CCCO1)=O,CC(=C)C=O,0.15555222,0.0354262
OC(C1CCCO1)=O,CCC(O)C,0.3672015,0.10142059
OC(C1CCCO1)=O,CCC(C)=O,-0.3795693,-0.09434922
OC(C1CCCO1)=O,COC(C)=O,0.01307446,0.00012187
OC(C1CCCO1)=O,CC(C)C(C)C,4.33692691,0.89351921
OC(C1CCCO1)=O,CC(C)C(O)=O,-0.46024615,-0.11351529
OC(C1CCCO1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.79393883,0.1835676
OC(C1CCCO1)=O,OOC(C)(C)C(CC1)CCC1C,0.26330552,0.07023045
OC(C1CCCO1)=O,CCOC(C(O)(C)C)=O,-0.07027925,-0.01606507
OC(C1CCCO1)=O,COC(=O)C(C)=C,0.62180459,0.14817197
OC(C1CCCO1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.75003431,0.17332105
OC(C1CCCO1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.23212224,0.05081272
OC(C1CCCO1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.26528739,0.26202036
OC(C1CCCO1)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.54240102,0.1287831
OC(C1CCCO1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.85601915,0.19707524
OC(C1CCCO1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.11815563,0.24557812
OC(C1CCCO1)=O,CC(C)CCOC(=O)c1ccccc1O,1.62635785,0.3835115
OC(C1CCCO1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,1.17468717,0.27701749
OC(C1CCCO1)=O,O=C2c1ccccc1CO2,0.29386767,0.07027483
OC(C1CCCO1)=O,OCC(O)C(O)C(O)CO,-0.00432392,-0.0008533
OC(C1CCCO1)=O,CCC(CC)C(O)=O,-0.25363537,-0.05710179
OC(C1CCCO1)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.22509298,0.05907965
OC(C1CCCO1)=O,COc1cc(C)ccc1C(C)(C)C,2.33507381,0.51550969
OC(C1CCCO1)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,3.41340815,0.7663725
