SMILES0,SMILES,gamma1,gamma2
OC(CC(C(O)=O)C(C)=O)=O,OC(C)C(O)=O,0.08472787,0.01999996
OC(CC(C(O)=O)C(C)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.0893375,1.21016654
OC(CC(C(O)=O)C(C)=O)=O,OCC(O)C,-2.64020314,-0.65196356
OC(CC(C(O)=O)C(C)=O)=O,O=C1CCO1,-1.00774067,-0.24693814
OC(CC(C(O)=O)C(C)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.15703333,-0.08718455
OC(CC(C(O)=O)C(C)=O)=O,CCOCC,-4.6519901,-0.74937751
OC(CC(C(O)=O)C(C)=O)=O,OCC,-3.72030078,-0.76692996
OC(CC(C(O)=O)C(C)=O)=O,CCCCCC=O,-1.22973138,-0.17409633
OC(CC(C(O)=O)C(C)=O)=O,CO,-4.14490072,-0.85091259
OC(CC(C(O)=O)C(C)=O)=O,OC(C)C,-3.65346513,-0.75700605
OC(CC(C(O)=O)C(C)=O)=O,CC(C)=O,-5.59134909,-1.31296909
OC(CC(C(O)=O)C(C)=O)=O,OCCC,-2.64764788,-0.52198764
OC(CC(C(O)=O)C(C)=O)=O,OCCCC,-2.46422011,-0.46998173
OC(CC(C(O)=O)C(C)=O)=O,OCCCCC,-2.09030548,-0.38124898
OC(CC(C(O)=O)C(C)=O)=O,CC1OC1,-4.21723645,-0.81803186
OC(CC(C(O)=O)C(C)=O)=O,CCC(C)(C)C,12.3046208,1.7493345
OC(CC(C(O)=O)C(C)=O)=O,CC(C)(C)C(C)=O,-3.27728072,-0.68240806
OC(CC(C(O)=O)C(C)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-2.06366203,-0.26867732
OC(CC(C(O)=O)C(C)=O)=O,COC(C)(C)OC,-4.39219682,-0.98867317
OC(CC(C(O)=O)C(C)=O)=O,CCC1(CC)CCCCC1,12.27301139,1.8944457
OC(CC(C(O)=O)C(C)=O)=O,CCOC(C)(OCC)OCC,-5.17397077,-1.53569416
OC(CC(C(O)=O)C(C)=O)=O,CC(C)CCCC(O)(C)CC,-2.04041085,-0.37160082
OC(CC(C(O)=O)C(C)=O)=O,CCC(C)C,12.43269913,1.70553733
OC(CC(C(O)=O)C(C)=O)=O,CC(=C)C=C,8.07304975,1.04399233
OC(CC(C(O)=O)C(C)=O)=O,CC(=C)C#C,5.11765621,0.64442933
OC(CC(C(O)=O)C(C)=O)=O,OCC(C)C,-1.73362121,-0.30718791
OC(CC(C(O)=O)C(C)=O)=O,CC(C)C=O,-2.01814621,-0.36762896
OC(CC(C(O)=O)C(C)=O)=O,CC(=C)C=O,-2.56793342,-0.5128681
OC(CC(C(O)=O)C(C)=O)=O,CCC(O)C,-2.68051343,-0.52234217
OC(CC(C(O)=O)C(C)=O)=O,CCC(C)=O,-4.73817182,-1.09370042
OC(CC(C(O)=O)C(C)=O)=O,COC(C)=O,-2.85230515,-0.62752962
OC(CC(C(O)=O)C(C)=O)=O,CC(C)C(C)C,12.37319302,1.76506267
OC(CC(C(O)=O)C(C)=O)=O,CC(C)C(O)=O,0.89081007,0.21997698
OC(CC(C(O)=O)C(C)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.96190754,-0.22230359
OC(CC(C(O)=O)C(C)=O)=O,OOC(C)(C)C(CC1)CCC1C,2.47540146,0.61105106
OC(CC(C(O)=O)C(C)=O)=O,CCOC(C(O)(C)C)=O,-3.90243208,-0.89633088
OC(CC(C(O)=O)C(C)=O)=O,COC(=O)C(C)=C,-0.54876147,-0.07793347
OC(CC(C(O)=O)C(C)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.04311547,0.86285229
OC(CC(C(O)=O)C(C)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-2.06616289,-0.47103866
OC(CC(C(O)=O)C(C)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.55015263,0.09065777
OC(CC(C(O)=O)C(C)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.16520349,0.04849108
