SMILES0,SMILES,gamma1,gamma2
OC(CC(C)=O)=O,OC(C)C(O)=O,-0.4691213,-0.10496104
OC(CC(C)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.01521744,0.71238609
OC(CC(C)=O)=O,OCC(O)C,1.14065961,0.27645279
OC(CC(C)=O)=O,O=C1CCO1,0.21236324,0.04755223
OC(CC(C)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.39127423,0.28965411
OC(CC(C)=O)=O,CCOCC,0.89072577,0.32892809
OC(CC(C)=O)=O,OCC,1.16435085,0.29404324
OC(CC(C)=O)=O,CCCCCC=O,1.58481565,0.39794202
OC(CC(C)=O)=O,CO,0.84421618,0.20377772
OC(CC(C)=O)=O,OC(C)C,1.28222044,0.33739348
OC(CC(C)=O)=O,CC(C)=O,-0.68369636,-0.15052548
OC(CC(C)=O)=O,OCCC,1.66496499,0.41559827
OC(CC(C)=O)=O,OCCCC,1.85375078,0.4739036
OC(CC(C)=O)=O,OCCCCC,2.09235599,0.53415212
OC(CC(C)=O)=O,CC1OC1,0.14220689,0.068627
OC(CC(C)=O)=O,CCC(C)(C)C,7.16675213,1.47982231
OC(CC(C)=O)=O,CC(C)(C)C(C)=O,0.8653944,0.23840403
OC(CC(C)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.02535683,0.52024487
OC(CC(C)=O)=O,COC(C)(C)OC,0.67623769,0.20706714
OC(CC(C)=O)=O,CCC1(CC)CCCCC1,7.10737321,1.52846127
OC(CC(C)=O)=O,CCOC(C)(OCC)OCC,0.50120991,0.10278199
OC(CC(C)=O)=O,CC(C)CCCC(O)(C)CC,2.44280114,0.60970256
OC(CC(C)=O)=O,CCC(C)C,7.28557442,1.47085666
OC(CC(C)=O)=O,CC(=C)C=C,4.00078875,0.83552094
OC(CC(C)=O)=O,CC(=C)C#C,1.1989033,0.31961202
OC(CC(C)=O)=O,OCC(C)C,2.01134403,0.49889273
OC(CC(C)=O)=O,CC(C)C=O,0.98076591,0.24681297
OC(CC(C)=O)=O,CC(=C)C=O,0.61051997,0.15812171
OC(CC(C)=O)=O,CCC(O)C,1.74816335,0.44989258
OC(CC(C)=O)=O,CCC(C)=O,-0.08665161,0.00098335
OC(CC(C)=O)=O,COC(C)=O,0.31505138,0.08266773
OC(CC(C)=O)=O,CC(C)C(C)C,7.2210433,1.49323077
OC(CC(C)=O)=O,CC(C)C(O)=O,0.40360096,0.11148475
OC(CC(C)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.04259104,0.46467745
OC(CC(C)=O)=O,OOC(C)(C)C(CC1)CCC1C,1.76850998,0.44742771
OC(CC(C)=O)=O,CCOC(C(O)(C)C)=O,0.65471731,0.17557529
OC(CC(C)=O)=O,COC(=O)C(C)=C,1.48897987,0.36408223
OC(CC(C)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.9494368,0.47015945
OC(CC(C)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.72388381,0.17013693
OC(CC(C)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.30901503,0.65890458
OC(CC(C)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.34237723,0.31857023
OC(CC(C)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.07579341,0.46286064
OC(CC(C)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.58251254,0.54233707
OC(CC(C)=O)=O,CC(C)CCOC(=O)c1ccccc1O,3.26123539,0.76312314
OC(CC(C)=O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.40645588,0.57725287
OC(CC(C)=O)=O,O=C2c1ccccc1CO2,0.46492411,0.11533257
OC(CC(C)=O)=O,OCC(O)C(O)C(O)CO,0.46259161,0.10523689
OC(CC(C)=O)=O,CCC(CC)C(O)=O,0.91820939,0.24610488
OC(CC(C)=O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.88597024,0.44119638
OC(CC(C)=O)=O,COc1cc(C)ccc1C(C)(C)C,4.22225729,0.96578602
OC(CC(C)=O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,5.89517138,1.31593351
OC(CC(C)=O)=O,COC(=O)c1ccccc1C,2.12706372,0.51727866
OC(CC(C)=O)=O,CC(=O)c1ccc(C)cc1C,1.2010664,0.32246766
OC(CC(C)=O)=O,Cc2c1ccccc1ccc2,3.1767566,0.73343007
OC(CC(C)=O)=O,O=C2CCCCC2C1CCCCC1,2.03772785,0.50271187
OC(CC(C)=O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.80141295,0.18899746
OC(CC(C)=O)=O,CC(C=O)c1ccccc1,1.46785943,0.35910661
OC(CC(C)=O)=O,CCC(O)c1ccccc1,1.29170951,0.33384123
OC(CC(C)=O)=O,CCOC(=O)c1ccccc1,2.01153047,0.48997763
OC(CC(C)=O)=O,CC(OC(C)c2ccccc2)c1ccccc1,2.23792014,0.57614685
OC(CC(C)=O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.68041659,0.38602699
OC(CC(C)=O)=O,CCOC(=O)c(cc1)ccc1C,2.1637422,0.52452437
OC(CC(C)=O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-12.21527614,-0.72553901
OC(CC(C)=O)=O,O=C(OCCc1ccccc1)c2ccccc2,2.14257801,0.51505367
OC(CC(C)=O)=O,CCCc2cc1OCOc1cc2,2.65943056,0.63425523
OC(CC(C)=O)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.93912442,0.21440933
OC(CC(C)=O)=O,CCCC1CCCCC1=O,1.43309063,0.36698093
OC(CC(C)=O)=O,CCOc1ccc(C=CC)cc1O,0.83957058,0.26514408
OC(CC(C)=O)=O,CCCC(O)C(CO)CC,1.46365771,0.3674536
OC(CC(C)=O)=O,Cc(ccc1C)cc1C,4.13660999,0.92664535
OC(CC(C)=O)=O,CCOC(=O)C(OCC)=O,0.95025935,0.22746672
OC(CC(C)=O)=O,CC1OC(C(C)OC1=O)=O,0.07883937,0.02304326
OC(CC(C)=O)=O,CCCCC(=O)C(C)=O,1.91870712,0.45791739
