SMILES0,SMILES,gamma1,gamma2
OC(CC(CC(O)=O)=O)=O,OC(C)C(O)=O,0.59537774,0.14901671
OC(CC(CC(O)=O)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.62127108,1.65617105
OC(CC(CC(O)=O)=O)=O,OCC(O)C,0.03625834,-0.00470982
OC(CC(CC(O)=O)=O)=O,O=C1CCO1,-0.28145113,-0.10026431
OC(CC(CC(O)=O)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.05426723,0.43080111
OC(CC(CC(O)=O)=O)=O,CCOCC,-0.37458438,0.14537655
OC(CC(CC(O)=O)=O)=O,OCC,-0.15948325,-0.04001916
OC(CC(CC(O)=O)=O)=O,CCCCCC=O,1.5332988,0.45499686
OC(CC(CC(O)=O)=O)=O,CO,-1.08937284,-0.25640213
OC(CC(CC(O)=O)=O)=O,OC(C)C,0.22358081,0.06711319
OC(CC(CC(O)=O)=O)=O,CC(C)=O,-3.31325521,-0.73120008
OC(CC(CC(O)=O)=O)=O,OCCC,1.01340648,0.23815614
OC(CC(CC(O)=O)=O)=O,OCCCC,1.43162603,0.35692018
OC(CC(CC(O)=O)=O)=O,OCCCCC,1.95844811,0.48678968
OC(CC(CC(O)=O)=O)=O,CC1OC1,-1.56924229,-0.23910359
OC(CC(CC(O)=O)=O)=O,CCC(C)(C)C,15.13124888,2.37429404
OC(CC(CC(O)=O)=O)=O,CC(C)(C)C(C)=O,-0.28371208,0.04223724
OC(CC(CC(O)=O)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.23133252,0.63444238
OC(CC(CC(O)=O)=O)=O,COC(C)(C)OC,-0.67574896,-0.07605484
OC(CC(CC(O)=O)=O)=O,CCC1(CC)CCCCC1,15.08434282,2.54177498
OC(CC(CC(O)=O)=O)=O,CCOC(C)(OCC)OCC,-0.78865249,-0.23794593
OC(CC(CC(O)=O)=O)=O,CC(C)CCCC(O)(C)CC,2.80999564,0.67928985
OC(CC(CC(O)=O)=O)=O,CCC(C)C,15.3013651,2.32359917
OC(CC(CC(O)=O)=O)=O,CC(=C)C=C,9.9615725,1.5191493
OC(CC(CC(O)=O)=O)=O,CC(=C)C#C,6.10230477,0.99763885
OC(CC(CC(O)=O)=O)=O,OCC(C)C,1.96957126,0.462201
OC(CC(CC(O)=O)=O)=O,CC(C)C=O,0.37954772,0.16848558
OC(CC(CC(O)=O)=O)=O,CC(=C)C=O,-0.33069859,-0.00520838
OC(CC(CC(O)=O)=O)=O,CCC(O)C,1.28657756,0.31936497
OC(CC(CC(O)=O)=O)=O,CCC(C)=O,-2.10597891,-0.42405353
OC(CC(CC(O)=O)=O)=O,COC(C)=O,-0.85957451,-0.15023391
OC(CC(CC(O)=O)=O)=O,CC(C)C(C)C,15.21553405,2.3932809
OC(CC(CC(O)=O)=O)=O,CC(C)C(O)=O,2.14631284,0.52297832
OC(CC(CC(O)=O)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.42642634,0.58765644
OC(CC(CC(O)=O)=O)=O,OOC(C)(C)C(CC1)CCC1C,4.52162777,1.10161347
OC(CC(CC(O)=O)=O)=O,CCOC(C(O)(C)C)=O,-0.40505083,-0.06369315
OC(CC(CC(O)=O)=O)=O,COC(=O)C(C)=C,1.76768469,0.46409698
OC(CC(CC(O)=O)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,5.78137738,1.26080078
OC(CC(CC(O)=O)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.30290718,0.09498993
OC(CC(CC(O)=O)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,4.96179714,1.01571259
OC(CC(CC(O)=O)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,2.18325079,0.53413171
OC(CC(CC(O)=O)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.46125767,0.80299541
OC(CC(CC(O)=O)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,4.4672266,0.97914572
OC(CC(CC(O)=O)=O)=O,CC(C)CCOC(=O)c1ccccc1O,6.63831814,1.4842151
OC(CC(CC(O)=O)=O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,5.80953565,1.30342603
OC(CC(CC(O)=O)=O)=O,O=C2c1ccccc1CO2,0.11076909,0.05162689
OC(CC(CC(O)=O)=O)=O,OCC(O)C(O)C(O)CO,-0.59078339,-0.15856972
OC(CC(CC(O)=O)=O)=O,CCC(CC)C(O)=O,3.17431735,0.78226682
OC(CC(CC(O)=O)=O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,3.20487296,0.76001672
OC(CC(CC(O)=O)=O)=O,COc1cc(C)ccc1C(C)(C)C,10.41530084,1.89948214
OC(CC(CC(O)=O)=O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,12.73801545,2.36776861
OC(CC(CC(O)=O)=O)=O,COC(=O)c1ccccc1C,3.58875887,0.88627583
OC(CC(CC(O)=O)=O)=O,CC(=O)c1ccc(C)cc1C,0.73262771,0.29988743
OC(CC(CC(O)=O)=O)=O,Cc2c1ccccc1ccc2,8.73787018,1.53884239
