SMILES0,SMILES,gamma1,gamma2
OC(CC(O)=O)(CC(O)=O)C(O)=O,OC(C)C(O)=O,-0.82911128,-0.19497795
OC(CC(O)=O)(CC(O)=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,10.40961531,1.65314991
OC(CC(O)=O)(CC(O)=O)C(O)=O,OCC(O)C,-5.05963021,-1.27571508
OC(CC(O)=O)(CC(O)=O)C(O)=O,O=C1CCO1,-2.19428886,-0.52756961
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.94133768,-0.25367006
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCOCC,-6.9881881,-1.09695413
OC(CC(O)=O)(CC(O)=O)C(O)=O,OCC,-6.31847869,-1.37467744
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCCCCC=O,-2.54000567,-0.42344346
OC(CC(O)=O)(CC(O)=O)C(O)=O,CO,-7.15588134,-1.53541121
OC(CC(O)=O)(CC(O)=O)C(O)=O,OC(C)C,-6.05412413,-1.30553108
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(C)=O,-8.57080998,-1.96205779
OC(CC(O)=O)(CC(O)=O)C(O)=O,OCCC,-4.77224053,-1.02737891
OC(CC(O)=O)(CC(O)=O)C(O)=O,OCCCC,-4.43115886,-0.92399586
OC(CC(O)=O)(CC(O)=O)C(O)=O,OCCCCC,-3.86992725,-0.78381896
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC1OC1,-6.5858084,-1.27638704
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCC(C)(C)C,16.49427187,2.04915453
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(C)(C)C(C)=O,-5.32356829,-1.08268717
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.39449809,-0.42087398
OC(CC(O)=O)(CC(O)=O)C(O)=O,COC(C)(C)OC,-6.70874219,-1.44228703
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCC1(CC)CCCCC1,16.45790482,2.28039595
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCOC(C)(OCC)OCC,-7.63285762,-2.11842134
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(C)CCCC(O)(C)CC,-3.51847506,-0.62439213
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCC(C)C,16.64328903,1.97730873
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(=C)C=C,11.50741973,1.25986323
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(=C)C#C,8.25795438,0.85202967
OC(CC(O)=O)(CC(O)=O)C(O)=O,OCC(C)C,-3.45011887,-0.71408275
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(C)C=O,-3.60562083,-0.69090376
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(=C)C=O,-4.38971401,-0.89488043
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCC(O)C,-4.66036485,-0.97393618
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCC(C)=O,-7.35609939,-1.64966881
OC(CC(O)=O)(CC(O)=O)C(O)=O,COC(C)=O,-4.75288024,-1.04586596
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(C)C(C)C,16.57459351,2.06827128
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(C)C(O)=O,0.3408164,0.09502409
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-2.05671927,-0.39631039
OC(CC(O)=O)(CC(O)=O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,2.52739417,0.65214388
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCOC(C(O)(C)C)=O,-6.03354614,-1.30830132
OC(CC(O)=O)(CC(O)=O)C(O)=O,COC(=O)C(C)=C,-1.54438568,-0.30235272
OC(CC(O)=O)(CC(O)=O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,5.6889052,1.19296236
OC(CC(O)=O)(CC(O)=O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-3.68326172,-0.79926714
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.02438218,0.07194783
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.47102612,-0.08556936
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.63860103,0.19691803
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.75698793,0.43099305
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,5.09443424,1.15692625
OC(CC(O)=O)(CC(O)=O)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.83946479,1.08602071
OC(CC(O)=O)(CC(O)=O)C(O)=O,O=C2c1ccccc1CO2,-2.93176482,-0.66533748
OC(CC(O)=O)(CC(O)=O)C(O)=O,OCC(O)C(O)C(O)CO,-4.97729882,-1.31129142
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCC(CC)C(O)=O,1.31420389,0.34170485
OC(CC(O)=O)(CC(O)=O)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.96858214,-0.14081381
OC(CC(O)=O)(CC(O)=O)C(O)=O,COc1cc(C)ccc1C(C)(C)C,11.89684588,1.76823216
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,13.44459261,2.20718081
OC(CC(O)=O)(CC(O)=O)C(O)=O,COC(=O)c1ccccc1C,0.80666649,0.2848086
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(=O)c1ccc(C)cc1C,-4.31154607,-0.72261467
OC(CC(O)=O)(CC(O)=O)C(O)=O,Cc2c1ccccc1ccc2,10.44481215,1.4025799
OC(CC(O)=O)(CC(O)=O)C(O)=O,O=C2CCCCC2C1CCCCC1,-3.10421044,-0.51244466
OC(CC(O)=O)(CC(O)=O)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-3.35168349,-0.78147131
OC(CC(O)=O)(CC(O)=O)C(O)=O,CC(C=O)c1ccccc1,-0.23160723,0.04667595
OC(CC(O)=O)(CC(O)=O)C(O)=O,CCC(O)c1ccccc1,-1.01461134,-0.12505559
