SMILES0,SMILES,gamma1,gamma2
OC(CC(O)=O)=O,OC(C)C(O)=O,-0.09897617,-0.02151741
OC(CC(O)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.78222875,1.20969982
OC(CC(O)=O)=O,OCC(O)C,-2.45848073,-0.57962161
OC(CC(O)=O)=O,O=C1CCO1,-0.40902746,-0.13205643
OC(CC(O)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.45614036,0.09458269
OC(CC(O)=O)=O,CCOCC,-3.63260475,-0.55766345
OC(CC(O)=O)=O,OCC,-3.25813974,-0.68888283
OC(CC(O)=O)=O,CCCCCC=O,-0.4003891,-0.00488943
OC(CC(O)=O)=O,CO,-3.84023897,-0.82722873
OC(CC(O)=O)=O,OC(C)C,-3.082819,-0.6398644
OC(CC(O)=O)=O,CC(C)=O,-4.63016058,-1.07094228
OC(CC(O)=O)=O,OCCC,-2.14771594,-0.43674051
OC(CC(O)=O)=O,OCCCC,-1.92372549,-0.37347097
OC(CC(O)=O)=O,OCCCCC,-1.54039067,-0.28444491
OC(CC(O)=O)=O,CC1OC1,-3.18503682,-0.61371626
OC(CC(O)=O)=O,CCC(C)(C)C,12.52154379,1.68250798
OC(CC(O)=O)=O,CC(C)(C)C(C)=O,-2.36637616,-0.46369628
OC(CC(O)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.21973112,-0.10890115
OC(CC(O)=O)=O,COC(C)(C)OC,-3.43365506,-0.72180867
OC(CC(O)=O)=O,CCC1(CC)CCCCC1,12.43753005,1.77881786
OC(CC(O)=O)=O,CCOC(C)(OCC)OCC,-4.28017892,-1.10219492
OC(CC(O)=O)=O,CC(C)CCCC(O)(C)CC,-1.36957684,-0.24290066
OC(CC(O)=O)=O,CCC(C)C,12.66037138,1.65488802
OC(CC(O)=O)=O,CC(=C)C=C,8.82877619,1.10025849
OC(CC(O)=O)=O,CC(=C)C#C,6.23977707,0.7416318
OC(CC(O)=O)=O,OCC(C)C,-1.21966491,-0.23064647
OC(CC(O)=O)=O,CC(C)C=O,-1.09600246,-0.18246751
OC(CC(O)=O)=O,CC(=C)C=O,-1.71201477,-0.33438332
OC(CC(O)=O)=O,CCC(O)C,-2.07677183,-0.40600434
OC(CC(O)=O)=O,CCC(C)=O,-3.77967573,-0.84641958
OC(CC(O)=O)=O,COC(C)=O,-1.96132726,-0.42228547
OC(CC(O)=O)=O,CC(C)C(C)C,12.5797883,1.69520673
OC(CC(O)=O)=O,CC(C)C(O)=O,0.84463923,0.2150851
OC(CC(O)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.20902402,-0.03542199
OC(CC(O)=O)=O,OOC(C)(C)C(CC1)CCC1C,2.40068479,0.58393261
OC(CC(O)=O)=O,CCOC(C(O)(C)C)=O,-3.08310718,-0.68831231
OC(CC(O)=O)=O,COC(=O)C(C)=C,0.2241009,0.08345009
OC(CC(O)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.47705311,0.90979947
OC(CC(O)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.53468709,-0.31133475
OC(CC(O)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.03202776,0.13847426
OC(CC(O)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.74871272,0.20159606
OC(CC(O)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.53546354,0.36193531
OC(CC(O)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.29832425,0.49276622
OC(CC(O)=O)=O,CC(C)CCOC(=O)c1ccccc1O,4.4637905,0.96145688
OC(CC(O)=O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.07882666,0.8770756
OC(CC(O)=O)=O,O=C2c1ccccc1CO2,-0.96644533,-0.19920685
OC(CC(O)=O)=O,OCC(O)C(O)C(O)CO,-2.5238382,-0.61439163
OC(CC(O)=O)=O,CCC(CC)C(O)=O,1.47043993,0.36866169
OC(CC(O)=O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.23247202,0.05261517
OC(CC(O)=O)=O,COc1cc(C)ccc1C(C)(C)C,9.00716135,1.35360707
OC(CC(O)=O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,10.1403409,1.64969098
OC(CC(O)=O)=O,COC(=O)c1ccccc1C,1.691743,0.4335198
OC(CC(O)=O)=O,CC(=O)c1ccc(C)cc1C,-1.80029655,-0.28231858
OC(CC(O)=O)=O,Cc2c1ccccc1ccc2,7.91878852,1.11903949
OC(CC(O)=O)=O,O=C2CCCCC2C1CCCCC1,-0.84987502,-0.10430864
OC(CC(O)=O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-1.2856235,-0.28565539
OC(CC(O)=O)=O,CC(C=O)c1ccccc1,0.94731474,0.26863216
OC(CC(O)=O)=O,CCC(O)c1ccccc1,0.19302527,0.08942956
OC(CC(O)=O)=O,CCOC(=O)c1ccccc1,1.41242376,0.35961154
OC(CC(O)=O)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.04400665,0.36056616
OC(CC(O)=O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.56388934,0.57566972
OC(CC(O)=O)=O,CCOC(=O)c(cc1)ccc1C,1.29656549,0.33962171
OC(CC(O)=O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-31.17764077,-2.03344401
OC(CC(O)=O)=O,O=C(OCCc1ccccc1)c2ccccc2,2.55372191,0.60645412
OC(CC(O)=O)=O,CCCc2cc1OCOc1cc2,6.00451247,1.04794918
OC(CC(O)=O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.66862105,-0.1496902
OC(CC(O)=O)=O,CCCC1CCCCC1=O,-1.79334184,-0.35363274
OC(CC(O)=O)=O,CCOc1ccc(C=CC)cc1O,2.96614125,0.68181836
OC(CC(O)=O)=O,CCCC(O)C(CO)CC,-2.87331318,-0.63089522
OC(CC(O)=O)=O,Cc(ccc1C)cc1C,8.81663478,1.25272156
OC(CC(O)=O)=O,CCOC(=O)C(OCC)=O,0.25942718,0.07820623
OC(CC(O)=O)=O,CC1OC(C(C)OC1=O)=O,0.69463101,0.15332592
OC(CC(O)=O)=O,CCCCC(=O)C(C)=O,2.21227493,0.49675381
OC(CC(O)=O)=O,C=CCOC(=O)C(C)=C,1.29285175,0.33409621
OC(CC(O)=O)=O,C1OC1c2ccccc2,1.56235824,0.40215498
OC(CC(O)=O)=O,CCC(C)CC,12.65080921,1.71230641
OC(CC(O)=O)=O,CCC(CC)=O,-2.7065715,-0.57391463
OC(CC(O)=O)=O,OCC(CO)=O,-1.97858809,-0.47357462
OC(CC(O)=O)=O,COC(=O)C=C,-0.02184708,0.00761136
OC(CC(O)=O)=O,COC(CO)=O,-2.55562919,-0.60252802
OC(CC(O)=O)=O,CC1CCCC1,12.58745109,1.67303112
OC(CC(O)=O)=O,CC1CCCO1,-6.32317155,-1.33572
OC(CC(O)=O)=O,O=C1CCCO1,-3.31830499,-0.79450525
OC(CC(O)=O)=O,CCCC(C)C(O)=O,1.49117615,0.3722808
OC(CC(O)=O)=O,CCOC(C(C)C)=O,-0.07238822,0.04025164
OC(CC(O)=O)=O,CCOC(=O)C(C)=C,0.22181336,0.10676845
OC(CC(O)=O)=O,CCOC(C(O)C)=O,-2.78790352,-0.62836501
OC(CC(O)=O)=O,CC(C)C(OC(C(C)C)=O)=O,2.247597,0.50687256
OC(CC(O)=O)=O,CC(C)COC(C(C)C)=O,0.57063076,0.18877411
OC(CC(O)=O)=O,CC(C)COC(=O)C(C)=C,1.03112861,0.28886137
OC(CC(O)=O)=O,CCCCOC(C(C)C)=O,0.70123308,0.21381725
OC(CC(O)=O)=O,CCCCOC(=O)C(C)=C,0.8293465,0.24687554
OC(CC(O)=O)=O,CCC(CC)C=O,0.02484544,0.09397757
OC(CC(O)=O)=O,OCC1CCCO1,-5.04899848,-1.22350367
