SMILES0,SMILES,gamma1,gamma2
OC(CC(O)=O)C(O)=O,OC(C)C(O)=O,-0.29945918,-0.07219989
OC(CC(O)=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.83584267,1.0727997
OC(CC(O)=O)C(O)=O,OCC(O)C,-2.76542508,-0.6918231
OC(CC(O)=O)C(O)=O,O=C1CCO1,-1.14852875,-0.31252894
OC(CC(O)=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.33983536,-0.08552602
OC(CC(O)=O)C(O)=O,CCOCC,-3.96295977,-0.78545016
OC(CC(O)=O)C(O)=O,OCC,-3.47028143,-0.81023818
OC(CC(O)=O)C(O)=O,CCCCCC=O,-1.21347737,-0.25184731
OC(CC(O)=O)C(O)=O,CO,-4.1607709,-0.93974142
OC(CC(O)=O)C(O)=O,OC(C)C,-3.26335027,-0.77151593
OC(CC(O)=O)C(O)=O,CC(C)=O,-5.46464977,-1.32916348
OC(CC(O)=O)C(O)=O,OCCC,-2.37726809,-0.56739733
OC(CC(O)=O)C(O)=O,OCCCC,-2.12925477,-0.50584058
OC(CC(O)=O)C(O)=O,OCCCCC,-1.73877838,-0.41546354
OC(CC(O)=O)C(O)=O,CC1OC1,-3.94853342,-0.86954756
OC(CC(O)=O)C(O)=O,CCC(C)(C)C,11.12313413,1.50788151
OC(CC(O)=O)C(O)=O,CC(C)(C)C(C)=O,-3.04911467,-0.70577619
OC(CC(O)=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.52118224,-0.29602919
OC(CC(O)=O)C(O)=O,COC(C)(C)OC,-3.90287321,-0.93440065
OC(CC(O)=O)C(O)=O,CCC1(CC)CCCCC1,11.05987819,1.61232486
OC(CC(O)=O)C(O)=O,CCOC(C)(OCC)OCC,-4.45349357,-1.17103184
OC(CC(O)=O)C(O)=O,CC(C)CCCC(O)(C)CC,-1.4357355,-0.36852196
OC(CC(O)=O)C(O)=O,CCC(C)C,11.2389182,1.47681334
OC(CC(O)=O)C(O)=O,CC(=C)C=C,7.7007881,0.93152631
OC(CC(O)=O)C(O)=O,CC(=C)C#C,5.41885791,0.60816025
OC(CC(O)=O)C(O)=O,OCC(C)C,-1.50626423,-0.36949338
OC(CC(O)=O)C(O)=O,CC(C)C=O,-1.97245135,-0.44066928
OC(CC(O)=O)C(O)=O,CC(=C)C=O,-2.49886904,-0.57462508
OC(CC(O)=O)C(O)=O,CCC(O)C,-2.28856782,-0.54687821
OC(CC(O)=O)C(O)=O,CCC(C)=O,-4.52680752,-1.09549065
OC(CC(O)=O)C(O)=O,COC(C)=O,-2.7876312,-0.66835856
OC(CC(O)=O)C(O)=O,CC(C)C(C)C,11.17695823,1.52065073
OC(CC(O)=O)C(O)=O,CC(C)C(O)=O,0.38893192,0.1014122
OC(CC(O)=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.85867263,-0.23544658
OC(CC(O)=O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.77742498,0.43642203
OC(CC(O)=O)C(O)=O,CCOC(C(O)(C)C)=O,-3.44565773,-0.85858894
OC(CC(O)=O)C(O)=O,COC(=O)C(C)=C,-0.61063703,-0.14790125
OC(CC(O)=O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.90274343,0.80725132
OC(CC(O)=O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-2.03146904,-0.47136417
OC(CC(O)=O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.62711768,0.02039244
OC(CC(O)=O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.041522,-0.00076149
OC(CC(O)=O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.70508102,0.16264197
OC(CC(O)=O)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.42734317,0.30084377
OC(CC(O)=O)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,3.60749529,0.78381711
OC(CC(O)=O)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.33634357,0.72180642
OC(CC(O)=O)C(O)=O,O=C2c1ccccc1CO2,-1.58915047,-0.38160894
OC(CC(O)=O)C(O)=O,OCC(O)C(O)C(O)CO,-2.92591194,-0.72925987
OC(CC(O)=O)C(O)=O,CCC(CC)C(O)=O,0.99148136,0.25045155
OC(CC(O)=O)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.18701934,-0.06509016
OC(CC(O)=O)C(O)=O,COc1cc(C)ccc1C(C)(C)C,7.8766749,1.19117163
OC(CC(O)=O)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.96689656,1.48977209
OC(CC(O)=O)C(O)=O,COC(=O)c1ccccc1C,0.90197726,0.22881737
OC(CC(O)=O)C(O)=O,CC(=O)c1ccc(C)cc1C,-2.30082916,-0.49145253
OC(CC(O)=O)C(O)=O,Cc2c1ccccc1ccc2,6.92125716,0.96605972
OC(CC(O)=O)C(O)=O,O=C2CCCCC2C1CCCCC1,-1.46164514,-0.32542232
OC(CC(O)=O)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-1.8111743,-0.4508457
