SMILES0,SMILES,gamma1,gamma2
OC(CCC(C)=O)=O,OC(C)C(O)=O,-0.68649398,-0.15624271
OC(CCC(C)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.09868345,0.74787719
OC(CCC(C)=O)=O,OCC(O)C,0.05645698,0.00676546
OC(CCC(C)=O)=O,O=C1CCO1,0.78264701,0.15698637
OC(CCC(C)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.10302003,0.24614863
OC(CCC(C)=O)=O,CCOCC,-0.22612467,-0.00684368
OC(CCC(C)=O)=O,OCC,-0.10934506,-0.04813148
OC(CCC(C)=O)=O,CCCCCC=O,0.90924625,0.24363024
OC(CCC(C)=O)=O,CO,-0.28706364,-0.09041544
OC(CCC(C)=O)=O,OC(C)C,-0.03158137,-0.02728258
OC(CCC(C)=O)=O,CC(C)=O,-1.3603926,-0.3312084
OC(CCC(C)=O)=O,OCCC,0.32075669,0.066188
OC(CCC(C)=O)=O,OCCCC,0.47995857,0.11119349
OC(CCC(C)=O)=O,OCCCCC,0.69053745,0.16768817
OC(CCC(C)=O)=O,CC1OC1,-0.61548561,-0.11360065
OC(CCC(C)=O)=O,CCC(C)(C)C,8.13045901,1.29975585
OC(CCC(C)=O)=O,CC(C)(C)C(C)=O,0.01364014,0.02446364
OC(CCC(C)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.88153819,0.25585852
OC(CCC(C)=O)=O,COC(C)(C)OC,-0.36308364,-0.08831629
OC(CCC(C)=O)=O,CCC1(CC)CCCCC1,8.08068343,1.37688718
OC(CCC(C)=O)=O,CCOC(C)(OCC)OCC,-0.59447107,-0.17060743
OC(CCC(C)=O)=O,CC(C)CCCC(O)(C)CC,1.02150972,0.23485049
OC(CCC(C)=O)=O,CCC(C)C,8.24252001,1.27985864
OC(CCC(C)=O)=O,CC(=C)C=C,5.03285682,0.74010577
OC(CCC(C)=O)=O,CC(=C)C#C,1.88688769,0.27460296
OC(CCC(C)=O)=O,OCC(C)C,0.62908763,0.15068333
OC(CCC(C)=O)=O,CC(C)C=O,0.43497809,0.11876226
OC(CCC(C)=O)=O,CC(=C)C=O,0.10747606,0.04170132
OC(CCC(C)=O)=O,CCC(O)C,0.37724845,0.08426644
OC(CCC(C)=O)=O,CCC(C)=O,-0.87394253,-0.20850252
OC(CCC(C)=O)=O,COC(C)=O,-0.11732937,-0.02013251
OC(CCC(C)=O)=O,CC(C)C(C)C,8.18588884,1.31260889
OC(CCC(C)=O)=O,CC(C)C(O)=O,-0.04616228,0.00667927
OC(CCC(C)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.18544927,0.28069552
OC(CCC(C)=O)=O,OOC(C)(C)C(CC1)CCC1C,1.28424359,0.33346928
OC(CCC(C)=O)=O,CCOC(C(O)(C)C)=O,-0.41431252,-0.11404371
OC(CCC(C)=O)=O,COC(=O)C(C)=C,1.11444321,0.26532699
OC(CCC(C)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.37201302,0.48508706
OC(CCC(C)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.22063564,0.05996494
OC(CCC(C)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.97064569,0.3915117
OC(CCC(C)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.26480968,0.30014525
OC(CCC(C)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.82480297,0.42204315
OC(CCC(C)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.32587713,0.51341935
