SMILES0,SMILES,gamma1,gamma2
OC(CCC(O)=O)=O,OC(C)C(O)=O,-0.09959504,-0.02237694
OC(CCC(O)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.60931451,1.32237083
OC(CCC(O)=O)=O,OCC(O)C,-2.71415216,-0.71744038
OC(CCC(O)=O)=O,O=C1CCO1,-0.29295434,-0.06642636
OC(CCC(O)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.20520836,0.02040113
OC(CCC(O)=O)=O,CCOCC,-3.9302361,-0.67752461
OC(CCC(O)=O)=O,OCC,-3.50198551,-0.8122531
OC(CCC(O)=O)=O,CCCCCC=O,-0.75806592,-0.07069596
OC(CCC(O)=O)=O,CO,-3.96841507,-0.92266467
OC(CCC(O)=O)=O,OC(C)C,-3.37458677,-0.77978945
OC(CCC(O)=O)=O,CC(C)=O,-4.81115832,-1.17970253
OC(CCC(O)=O)=O,OCCC,-2.49883357,-0.56141217
OC(CCC(O)=O)=O,OCCCC,-2.29602306,-0.5032187
OC(CCC(O)=O)=O,OCCCCC,-1.93729454,-0.4139033
OC(CCC(O)=O)=O,CC1OC1,-3.47322068,-0.69288611
OC(CCC(O)=O)=O,CCC(C)(C)C,13.13936367,1.68856948
OC(CCC(O)=O)=O,CC(C)(C)C(C)=O,-2.69198872,-0.57678225
OC(CCC(O)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.61114791,-0.20559592
OC(CCC(O)=O)=O,COC(C)(C)OC,-3.75553981,-0.89059944
OC(CCC(O)=O)=O,CCC1(CC)CCCCC1,13.06002182,1.80816853
OC(CCC(O)=O)=O,CCOC(C)(OCC)OCC,-4.48028296,-1.3428467
OC(CCC(O)=O)=O,CC(C)CCCC(O)(C)CC,-1.76922426,-0.37617611
OC(CCC(O)=O)=O,CCC(C)C,13.26949205,1.6519367
OC(CCC(O)=O)=O,CC(=C)C=C,9.56923061,1.14119441
OC(CCC(O)=O)=O,CC(=C)C#C,6.88113605,0.78844034
OC(CCC(O)=O)=O,OCC(C)C,-1.63929558,-0.34276651
OC(CCC(O)=O)=O,CC(C)C=O,-1.42396434,-0.23972864
OC(CCC(O)=O)=O,CC(=C)C=O,-1.95893463,-0.38257151
OC(CCC(O)=O)=O,CCC(O)C,-2.45759059,-0.5419289
OC(CCC(O)=O)=O,CCC(C)=O,-4.03932676,-0.9696255
OC(CCC(O)=O)=O,COC(C)=O,-2.23965173,-0.49530595
OC(CCC(O)=O)=O,CC(C)C(C)C,13.19752014,1.70149017
