SMILES0,SMILES,gamma1,gamma2
OC(CCC=O)=O,OC(C)C(O)=O,0.07039238,0.01999694
OC(CCC=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.18497232,0.91318194
OC(CCC=O)=O,OCC(O)C,-0.14180368,-0.05054814
OC(CCC=O)=O,O=C1CCO1,0.20585488,0.04107301
OC(CCC=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.87566352,0.15988258
OC(CCC=O)=O,CCOCC,-0.55234735,-0.13287984
OC(CCC=O)=O,OCC,-0.28138442,-0.11025758
OC(CCC=O)=O,CCCCCC=O,0.6559029,0.17455033
OC(CCC=O)=O,CO,-0.59535694,-0.18822277
OC(CCC=O)=O,OC(C)C,-0.17552727,-0.0869084
OC(CCC=O)=O,CC(C)=O,-1.90758521,-0.49988747
OC(CCC=O)=O,OCCC,0.27197714,0.03559298
OC(CCC=O)=O,OCCCC,0.44291483,0.07932601
OC(CCC=O)=O,OCCCCC,0.68274348,0.13842384
OC(CCC=O)=O,CC1OC1,-1.03504656,-0.23362175
OC(CCC=O)=O,CCC(C)(C)C,9.21163154,1.47214088
OC(CCC=O)=O,CC(C)(C)C(C)=O,-0.34761311,-0.09583143
OC(CCC=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.63540935,0.1301403
OC(CCC=O)=O,COC(C)(C)OC,-0.72596956,-0.22450375
OC(CCC=O)=O,CCC1(CC)CCCCC1,9.14123717,1.53300557
OC(CCC=O)=O,CCOC(C)(OCC)OCC,-0.95984246,-0.28833371
OC(CCC=O)=O,CC(C)CCCC(O)(C)CC,0.97239633,0.16119999
OC(CCC=O)=O,CCC(C)C,9.3288677,1.45736148
OC(CCC=O)=O,CC(=C)C=C,6.11572144,0.91497934
OC(CCC=O)=O,CC(=C)C#C,3.52612878,0.50981493
OC(CCC=O)=O,OCC(C)C,0.69060072,0.14372586
OC(CCC=O)=O,CC(C)C=O,0.10646592,0.04299473
OC(CCC=O)=O,CC(=C)C=O,-0.27805727,-0.05570192
OC(CCC=O)=O,CCC(O)C,0.32879073,0.04705974
OC(CCC=O)=O,CCC(C)=O,-1.32395514,-0.35263533
OC(CCC=O)=O,COC(C)=O,-0.5545007,-0.13370655
OC(CCC=O)=O,CC(C)C(C)C,9.26388762,1.48423295
OC(CCC=O)=O,CC(C)C(O)=O,0.89556781,0.22270471
OC(CCC=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.94531255,0.16356112
OC(CCC=O)=O,OOC(C)(C)C(CC1)CCC1C,2.14011686,0.51069474
OC(CCC=O)=O,CCOC(C(O)(C)C)=O,-0.72589614,-0.24560565
