SMILES0,SMILES,gamma1,gamma2
OC(CCCC(C)=O)=O,OC(C)C(O)=O,-0.85097549,-0.20128997
OC(CCCC(C)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.22345757,0.71978411
OC(CCCC(C)=O)=O,OCC(O)C,-0.03688787,-0.01475946
OC(CCCC(C)=O)=O,O=C1CCO1,1.22259093,0.24297716
OC(CCCC(C)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.12925325,0.25957972
OC(CCCC(C)=O)=O,CCOCC,-0.25379684,-0.02039335
OC(CCCC(C)=O)=O,OCC,-0.24039129,-0.08121579
OC(CCCC(C)=O)=O,CCCCCC=O,0.89558956,0.22229244
OC(CCCC(C)=O)=O,CO,-0.3222569,-0.09639422
OC(CCCC(C)=O)=O,OC(C)C,-0.18214674,-0.06699823
OC(CCCC(C)=O)=O,CC(C)=O,-1.23641995,-0.29651155
OC(CCCC(C)=O)=O,OCCC,0.10855851,0.01033664
OC(CCCC(C)=O)=O,OCCCC,0.26245813,0.05290408
OC(CCCC(C)=O)=O,OCCCCC,0.45694891,0.1062386
OC(CCCC(C)=O)=O,CC1OC1,-0.57078748,-0.11342553
OC(CCCC(C)=O)=O,CCC(C)(C)C,7.96229073,1.18245522
OC(CCCC(C)=O)=O,CC(C)(C)C(C)=O,0.03145481,0.02325379
OC(CCCC(C)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.84771644,0.25419425
OC(CCCC(C)=O)=O,COC(C)(C)OC,-0.3668009,-0.0838811
OC(CCCC(C)=O)=O,CCC1(CC)CCCCC1,7.93147385,1.27686031
OC(CCCC(C)=O)=O,CCOC(C)(OCC)OCC,-0.58122375,-0.14391056
OC(CCCC(C)=O)=O,CC(C)CCCC(O)(C)CC,0.8365469,0.19871231
OC(CCCC(C)=O)=O,CCC(C)C,8.06206465,1.1569113
OC(CCCC(C)=O)=O,CC(=C)C=C,5.03718042,0.65288026
OC(CCCC(C)=O)=O,CC(=C)C#C,1.8856037,0.2014118
OC(CCCC(C)=O)=O,OCC(C)C,0.34803152,0.07776257
OC(CCCC(C)=O)=O,CC(C)C=O,0.45871151,0.10392765
OC(CCCC(C)=O)=O,CC(=C)C=O,0.18900524,0.04604791
OC(CCCC(C)=O)=O,CCC(O)C,0.16795048,0.02840942
OC(CCCC(C)=O)=O,CCC(C)=O,-0.80605867,-0.19114509
OC(CCCC(C)=O)=O,COC(C)=O,-0.01783294,-0.00799063
OC(CCCC(C)=O)=O,CC(C)C(C)C,8.01707371,1.19565412
OC(CCCC(C)=O)=O,CC(C)C(O)=O,-0.49609422,-0.10296492
OC(CCCC(C)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.16397656,0.28392046
OC(CCCC(C)=O)=O,OOC(C)(C)C(CC1)CCC1C,0.79551731,0.21988218
OC(CCCC(C)=O)=O,CCOC(C(O)(C)C)=O,-0.44200575,-0.11352022
OC(CCCC(C)=O)=O,COC(=O)C(C)=C,1.13980908,0.24803627
OC(CCCC(C)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.31134263,0.44073476
OC(CCCC(C)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.37538163,0.09919824
OC(CCCC(C)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.70793681,0.36100041
OC(CCCC(C)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.34842528,0.31052559
OC(CCCC(C)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.82989399,0.42177427
OC(CCCC(C)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.30055422,0.51506815
OC(CCCC(C)=O)=O,CC(C)CCOC(=O)c1ccccc1O,3.36450867,0.68472647
OC(CCCC(C)=O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.92084914,0.58438717
OC(CCCC(C)=O)=O,O=C2c1ccccc1CO2,0.62632727,0.14690803
OC(CCCC(C)=O)=O,OCC(O)C(O)C(O)CO,-0.37008406,-0.09368145
