SMILES0,SMILES,gamma1,gamma2
OC(CCCC(O)=O)=O,OC(C)C(O)=O,-0.06859843,-0.01757726
OC(CCCC(O)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.3446002,1.2473345
OC(CCCC(O)=O)=O,OCC(O)C,-2.30978304,-0.61017685
OC(CCCC(O)=O)=O,O=C1CCO1,0.29737742,0.06141949
OC(CCCC(O)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.44154324,0.08843327
OC(CCCC(O)=O)=O,CCOCC,-3.56408831,-0.61575189
OC(CCCC(O)=O)=O,OCC,-3.11633475,-0.73021514
OC(CCCC(O)=O)=O,CCCCCC=O,-0.50944743,-0.0359118
OC(CCCC(O)=O)=O,CO,-3.45767086,-0.8027258
OC(CCCC(O)=O)=O,OC(C)C,-3.0326326,-0.70979584
OC(CCCC(O)=O)=O,CC(C)=O,-4.29573135,-1.03457626
OC(CCCC(O)=O)=O,OCCC,-2.22716118,-0.51211264
OC(CCCC(O)=O)=O,OCCCC,-2.04334345,-0.46050768
OC(CCCC(O)=O)=O,OCCCCC,-1.71209454,-0.37691286
OC(CCCC(O)=O)=O,CC1OC1,-3.07785881,-0.61231882
OC(CCCC(O)=O)=O,CCC(C)(C)C,12.640552,1.54541597
OC(CCCC(O)=O)=O,CC(C)(C)C(C)=O,-2.33713424,-0.4949744
OC(CCCC(O)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.30596706,-0.13485155
OC(CCCC(O)=O)=O,COC(C)(C)OC,-3.37364875,-0.78533763
OC(CCCC(O)=O)=O,CCC1(CC)CCCCC1,12.58166975,1.67890255
OC(CCCC(O)=O)=O,CCOC(C)(OCC)OCC,-4.0464003,-1.16440202
OC(CCCC(O)=O)=O,CC(C)CCCC(O)(C)CC,-1.52934441,-0.31957315
OC(CCCC(O)=O)=O,CCC(C)C,12.75936661,1.50424308
OC(CCCC(O)=O)=O,CC(=C)C=C,9.2079604,1.02326508
OC(CCCC(O)=O)=O,CC(=C)C#C,6.43753414,0.67719582
OC(CCCC(O)=O)=O,OCC(C)C,-1.46772646,-0.32058899
OC(CCCC(O)=O)=O,CC(C)C=O,-1.12582667,-0.19580306
OC(CCCC(O)=O)=O,CC(=C)C=O,-1.59021486,-0.31241987
OC(CCCC(O)=O)=O,CCC(O)C,-2.20508143,-0.49632197
OC(CCCC(O)=O)=O,CCC(C)=O,-3.60243897,-0.85336402
OC(CCCC(O)=O)=O,COC(C)=O,-1.8369534,-0.4054386
OC(CCCC(O)=O)=O,CC(C)C(C)C,12.69883319,1.55855882
OC(CCCC(O)=O)=O,CC(C)C(O)=O,0.51176285,0.12537385
OC(CCCC(O)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.31054955,-0.05450504
OC(CCCC(O)=O)=O,OOC(C)(C)C(CC1)CCC1C,2.0356443,0.49790031
OC(CCCC(O)=O)=O,CCOC(C(O)(C)C)=O,-3.0302527,-0.71767899
OC(CCCC(O)=O)=O,COC(=O)C(C)=C,0.18512496,0.06887505
OC(CCCC(O)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.49672506,0.90670832
OC(CCCC(O)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.21501729,-0.25441552
OC(CCCC(O)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.71032343,0.13436009
OC(CCCC(O)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.88288602,0.22841887
OC(CCCC(O)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.53138954,0.37797371
OC(CCCC(O)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.24766917,0.51780761
OC(CCCC(O)=O)=O,CC(C)CCOC(=O)c1ccccc1O,4.5157088,0.96597538
OC(CCCC(O)=O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.41567753,0.92825554
OC(CCCC(O)=O)=O,O=C2c1ccccc1CO2,-0.53918329,-0.10000402
OC(CCCC(O)=O)=O,OCC(O)C(O)C(O)CO,-2.31977651,-0.6239827
OC(CCCC(O)=O)=O,CCC(CC)C(O)=O,1.07470897,0.26677072
OC(CCCC(O)=O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.03519123,0.00836459
OC(CCCC(O)=O)=O,COc1cc(C)ccc1C(C)(C)C,9.38216569,1.32756149
OC(CCCC(O)=O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,10.49053869,1.61286004
OC(CCCC(O)=O)=O,COC(=O)c1ccccc1C,1.71483111,0.43839014
OC(CCCC(O)=O)=O,CC(=O)c1ccc(C)cc1C,-1.75254022,-0.28375321
OC(CCCC(O)=O)=O,Cc2c1ccccc1ccc2,8.43678735,1.10993154
OC(CCCC(O)=O)=O,O=C2CCCCC2C1CCCCC1,-0.95009787,-0.13961274
OC(CCCC(O)=O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-1.10621639,-0.26283719
OC(CCCC(O)=O)=O,CC(C=O)c1ccccc1,1.11459827,0.30665024
OC(CCCC(O)=O)=O,CCC(O)c1ccccc1,-0.00027647,0.04789489
OC(CCCC(O)=O)=O,CCOC(=O)c1ccccc1,1.43287869,0.36471908
OC(CCCC(O)=O)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.12578898,0.44983512
OC(CCCC(O)=O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.92583227,0.66325807
OC(CCCC(O)=O)=O,CCOC(=O)c(cc1)ccc1C,1.261164,0.33438641
OC(CCCC(O)=O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-25.69908018,-1.95620669
OC(CCCC(O)=O)=O,O=C(OCCc1ccccc1)c2ccccc2,2.77295922,0.65478716
OC(CCCC(O)=O)=O,CCCc2cc1OCOc1cc2,6.30496659,1.03127747
OC(CCCC(O)=O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.64225727,-0.16611523
OC(CCCC(O)=O)=O,CCCC1CCCCC1=O,-1.83427751,-0.39663295
OC(CCCC(O)=O)=O,CCOc1ccc(C=CC)cc1O,3.01655717,0.65495255
OC(CCCC(O)=O)=O,CCCC(O)C(CO)CC,-2.77331639,-0.7032932
OC(CCCC(O)=O)=O,Cc(ccc1C)cc1C,9.24604718,1.21210197
OC(CCCC(O)=O)=O,CCOC(=O)C(OCC)=O,0.44160729,0.11896089
OC(CCCC(O)=O)=O,CC1OC(C(C)OC1=O)=O,1.15573177,0.26450506
OC(CCCC(O)=O)=O,CCCCC(=O)C(C)=O,2.24402708,0.50076777
OC(CCCC(O)=O)=O,C=CCOC(=O)C(C)=C,1.286651,0.33321557
OC(CCCC(O)=O)=O,C1OC1c2ccccc2,1.8364302,0.45214502
OC(CCCC(O)=O)=O,CCC(C)CC,12.76882207,1.57770023
OC(CCCC(O)=O)=O,CCC(CC)=O,-2.66688974,-0.60766403
OC(CCCC(O)=O)=O,OCC(CO)=O,-1.46085869,-0.37789201
OC(CCCC(O)=O)=O,COC(=O)C=C,0.04189385,0.0216522
OC(CCCC(O)=O)=O,COC(CO)=O,-2.18801264,-0.53702105
OC(CCCC(O)=O)=O,CC1CCCC1,12.67684779,1.52577875
OC(CCCC(O)=O)=O,CC1CCCO1,-5.91478546,-1.3875934
OC(CCCC(O)=O)=O,O=C1CCCO1,-2.8643396,-0.7017541
OC(CCCC(O)=O)=O,CCCC(C)C(O)=O,1.08961203,0.26996497
OC(CCCC(O)=O)=O,CCOC(C(C)C)=O,-0.19991169,-0.00041223
OC(CCCC(O)=O)=O,CCOC(=O)C(C)=C,0.12425103,0.07738826
OC(CCCC(O)=O)=O,CCOC(C(O)C)=O,-2.72633353,-0.65291691
OC(CCCC(O)=O)=O,CC(C)C(OC(C(C)C)=O)=O,2.2931114,0.51839205
OC(CCCC(O)=O)=O,CC(C)COC(C(C)C)=O,0.39972148,0.14845661
OC(CCCC(O)=O)=O,CC(C)COC(=O)C(C)=C,0.87987571,0.25594642
OC(CCCC(O)=O)=O,CCCCOC(C(C)C)=O,0.52435279,0.17415845
OC(CCCC(O)=O)=O,CCCCOC(=O)C(C)=C,0.67486647,0.21162612
OC(CCCC(O)=O)=O,CCC(CC)C=O,-0.09120755,0.06374786
OC(CCCC(O)=O)=O,OCC1CCCO1,-4.72164775,-1.27790233
OC(CCCC(O)=O)=O,OCc1occc1,-1.38489367,-0.3160521
OC(CCCC(O)=O)=O,O=Cc1occc1,-1.39123975,-0.3057496
OC(CCCC(O)=O)=O,CC(C)(C)c1ccccc1,9.37615557,1.24709378
OC(CCCC(O)=O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,1.98999184,0.4727584
OC(CCCC(O)=O)=O,CC(C)(C)c(cc1)ccc1C,9.70662832,1.33609537
OC(CCCC(O)=O)=O,OC1CCC(CC1)C(C)(C)C,-1.48240238,-0.32530047
OC(CCCC(O)=O)=O,CC(C)(C)C1CCC(CC1)=O,-2.60385602,-0.61801934
OC(CCCC(O)=O)=O,CC(C)c1ccccc1,9.26049256,1.20453597
OC(CCCC(O)=O)=O,COC(=O)c(ccc1)cc1C,1.51941396,0.37893418
OC(CCCC(O)=O)=O,OC1CC(CC=C1C)C(C)=C,-0.72568376,-0.11471894
OC(CCCC(O)=O)=O,CC(C)c1cc(C(C)C)ccc1,9.92499091,1.40367858
OC(CCCC(O)=O)=O,CCCC(CCC)C(O)=O,1.54481924,0.38118705
OC(CCCC(O)=O)=O,CC(C=O)c(cc1)ccc1C,1.17955898,0.33648195
OC(CCCC(O)=O)=O,CC1CCC(C(C)C)CC1,12.63592789,1.71360416
OC(CCCC(O)=O)=O,CC(C)c(cc1)ccc1C,9.58337095,1.29529763
OC(CCCC(O)=O)=O,C=CC1CC=CCC1,9.48583428,1.23728581
OC(CCCC(O)=O)=O,CCc1ccccc1,8.99731349,1.12672847
OC(CCCC(O)=O)=O,C=Cc1ccccc1,8.15628003,0.99405304
