SMILES0,SMILES,gamma1,gamma2
OC(CCCCC(O)=O)=O,OC(C)C(O)=O,-0.04789499,-0.01379483
OC(CCCCC(O)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.56052061,1.31315292
OC(CCCCC(O)=O)=O,OCC(O)C,-2.24007926,-0.59010303
OC(CCCCC(O)=O)=O,O=C1CCO1,0.64579543,0.13687514
OC(CCCCC(O)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.44420362,0.09984907
OC(CCCCC(O)=O)=O,CCOCC,-3.53773129,-0.63101416
OC(CCCCC(O)=O)=O,OCC,-3.07779077,-0.73357301
OC(CCCCC(O)=O)=O,CCCCCC=O,-0.52246195,-0.05615626
OC(CCCCC(O)=O)=O,CO,-3.31770847,-0.77718233
OC(CCCCC(O)=O)=O,OC(C)C,-3.02818832,-0.72384488
OC(CCCCC(O)=O)=O,CC(C)=O,-4.16215497,-0.98989581
OC(CCCCC(O)=O)=O,OCCC,-2.2627154,-0.53563273
OC(CCCCC(O)=O)=O,OCCCC,-2.09006768,-0.48930321
OC(CCCCC(O)=O)=O,OCCCCC,-1.77348527,-0.40890666
OC(CCCCC(O)=O)=O,CC1OC1,-3.02014734,-0.6085626
OC(CCCCC(O)=O)=O,CCC(C)(C)C,12.74491774,1.49409426
OC(CCCCC(O)=O)=O,CC(C)(C)C(C)=O,-2.30437732,-0.4928009
OC(CCCCC(O)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.29172013,-0.13532446
OC(CCCCC(O)=O)=O,COC(C)(C)OC,-3.33945257,-0.77376005
OC(CCCCC(O)=O)=O,CCC1(CC)CCCCC1,12.69837776,1.65429637
OC(CCCCC(O)=O)=O,CCOC(C)(OCC)OCC,-3.97985195,-1.10505922
OC(CCCCC(O)=O)=O,CC(C)CCCC(O)(C)CC,-1.5637088,-0.33636737
OC(CCCCC(O)=O)=O,CCC(C)C,12.85998049,1.44429632
OC(CCCCC(O)=O)=O,CC(=C)C=C,9.32033072,0.99891349
OC(CCCCC(O)=O)=O,CC(=C)C#C,6.62708782,0.68081289
OC(CCCCC(O)=O)=O,OCC(C)C,-1.56403892,-0.35904051
OC(CCCCC(O)=O)=O,CC(C)C=O,-1.11018948,-0.21012372
OC(CCCCC(O)=O)=O,CC(=C)C=O,-1.50975424,-0.30560161
OC(CCCCC(O)=O)=O,CCC(O)C,-2.25353732,-0.52379142
OC(CCCCC(O)=O)=O,CCC(C)=O,-3.52353722,-0.82967748
OC(CCCCC(O)=O)=O,COC(C)=O,-1.75241175,-0.39184259
OC(CCCCC(O)=O)=O,CC(C)C(C)C,12.80604909,1.50790735
OC(CCCCC(O)=O)=O,CC(C)C(O)=O,0.32067209,0.07741026
OC(CCCCC(O)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.30239229,-0.04835247
OC(CCCCC(O)=O)=O,OOC(C)(C)C(CC1)CCC1C,1.81185748,0.44615424
OC(CCCCC(O)=O)=O,CCOC(C(O)(C)C)=O,-3.00688103,-0.71159345
OC(CCCCC(O)=O)=O,COC(=O)C(C)=C,0.19968138,0.05442342
OC(CCCCC(O)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.41570805,0.89719114
OC(CCCCC(O)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.05080019,-0.21272309
OC(CCCCC(O)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.62187987,0.13350749
OC(CCCCC(O)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.93725738,0.23546659
OC(CCCCC(O)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.52792509,0.37783683
OC(CCCCC(O)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.22179588,0.5210434
OC(CCCCC(O)=O)=O,CC(C)CCOC(=O)c1ccccc1O,4.47571054,0.95235333
OC(CCCCC(O)=O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.45374027,0.94295769
OC(CCCCC(O)=O)=O,O=C2c1ccccc1CO2,-0.33758055,-0.0567409
OC(CCCCC(O)=O)=O,OCC(O)C(O)C(O)CO,-2.20663721,-0.58486898
OC(CCCCC(O)=O)=O,CCC(CC)C(O)=O,0.85892052,0.21220154
OC(CCCCC(O)=O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.17984194,-0.02489585
OC(CCCCC(O)=O)=O,COc1cc(C)ccc1C(C)(C)C,9.4925951,1.34118403
OC(CCCCC(O)=O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,10.58319937,1.6217055
OC(CCCCC(O)=O)=O,COC(=O)c1ccccc1C,1.72712232,0.42365684
OC(CCCCC(O)=O)=O,CC(=O)c1ccc(C)cc1C,-1.69375526,-0.28136463
OC(CCCCC(O)=O)=O,Cc2c1ccccc1ccc2,8.61702985,1.13403771
OC(CCCCC(O)=O)=O,O=C2CCCCC2C1CCCCC1,-0.94399307,-0.14092643
OC(CCCCC(O)=O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.99539159,-0.23482449
OC(CCCCC(O)=O)=O,CC(C=O)c1ccccc1,1.1629452,0.30216421
OC(CCCCC(O)=O)=O,CCC(O)c1ccccc1,-0.13413096,0.0117988
OC(CCCCC(O)=O)=O,CCOC(=O)c1ccccc1,1.45097816,0.35257263
OC(CCCCC(O)=O)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.16776173,0.45723403
OC(CCCCC(O)=O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.00541425,0.68548916
OC(CCCCC(O)=O)=O,CCOC(=O)c(cc1)ccc1C,1.27086279,0.32171752
OC(CCCCC(O)=O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-25.14113967,-1.87581984
