SMILES0,SMILES,gamma1,gamma2
OC(COC(C)=O)=O,OC(C)C(O)=O,0.08012556,0.01925344
OC(COC(C)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.02386245,0.87749528
OC(COC(C)=O)=O,OCC(O)C,-1.21847139,-0.31811373
OC(COC(C)=O)=O,O=C1CCO1,-0.52496945,-0.12319279
OC(COC(C)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.17976568,-0.06892574
OC(COC(C)=O)=O,CCOCC,-2.37589814,-0.61020561
OC(COC(C)=O)=O,OCC,-1.69532659,-0.47239229
OC(COC(C)=O)=O,CCCCCC=O,-0.67059454,-0.15388678
OC(COC(C)=O)=O,CO,-1.93386239,-0.52091912
OC(COC(C)=O)=O,OC(C)C,-1.65984479,-0.47609887
OC(COC(C)=O)=O,CC(C)=O,-3.47552269,-0.92053137
OC(COC(C)=O)=O,OCCC,-1.08868076,-0.31491718
OC(COC(C)=O)=O,OCCCC,-0.95910642,-0.28480692
OC(COC(C)=O)=O,OCCCCC,-0.72239714,-0.22626569
OC(COC(C)=O)=O,CC1OC1,-2.57009912,-0.62325125
OC(COC(C)=O)=O,CCC(C)(C)C,8.86252751,1.34915693
OC(COC(C)=O)=O,CC(C)(C)C(C)=O,-1.88931094,-0.49660846
OC(COC(C)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.93329818,-0.26431916
OC(COC(C)=O)=O,COC(C)(C)OC,-2.40497497,-0.6766396
OC(COC(C)=O)=O,CCC1(CC)CCCCC1,8.80527768,1.42914086
OC(COC(C)=O)=O,CCOC(C)(OCC)OCC,-2.7795581,-0.74160418
OC(COC(C)=O)=O,CC(C)CCCC(O)(C)CC,-0.60194035,-0.24736619
OC(COC(C)=O)=O,CCC(C)C,8.96301212,1.32594895
OC(COC(C)=O)=O,CC(=C)C=C,5.83755945,0.80949286
OC(COC(C)=O)=O,CC(=C)C#C,3.72597886,0.46888807
OC(COC(C)=O)=O,OCC(C)C,-0.60020923,-0.19316358
OC(COC(C)=O)=O,CC(C)C=O,-1.22336543,-0.28561281
OC(COC(C)=O)=O,CC(=C)C=O,-1.61693454,-0.39234394
OC(COC(C)=O)=O,CCC(O)C,-1.106879,-0.32803062
OC(COC(C)=O)=O,CCC(C)=O,-2.88390341,-0.77035679
OC(COC(C)=O)=O,COC(C)=O,-1.81225988,-0.45380665
OC(COC(C)=O)=O,CC(C)C(C)C,8.90945688,1.36048132
OC(COC(C)=O)=O,CC(C)C(O)=O,0.59493183,0.14791966
OC(COC(C)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.46063119,-0.18680821
OC(COC(C)=O)=O,OOC(C)(C)C(CC1)CCC1C,1.6126727,0.39256477
OC(COC(C)=O)=O,CCOC(C(O)(C)C)=O,-2.21374558,-0.66173953
OC(COC(C)=O)=O,COC(=O)C(C)=C,-0.32412696,-0.07492996
OC(COC(C)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.52669351,0.56641285
OC(COC(C)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.42290062,-0.37460389
OC(COC(C)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.73119518,0.00854755
OC(COC(C)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.00297057,0.00079931
OC(COC(C)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.57931633,0.11788636
OC(COC(C)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.1456013,0.22197653
OC(COC(C)=O)=O,CC(C)CCOC(=O)c1ccccc1O,2.70102365,0.63545982
OC(COC(C)=O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.38047927,0.56044998
OC(COC(C)=O)=O,O=C2c1ccccc1CO2,-1.03103807,-0.25655265
OC(COC(C)=O)=O,OCC(O)C(O)C(O)CO,-1.55357046,-0.37084768
OC(COC(C)=O)=O,CCC(CC)C(O)=O,1.04733409,0.26023026
OC(COC(C)=O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.03362397,-0.04616074
OC(COC(C)=O)=O,COc1cc(C)ccc1C(C)(C)C,6.01716783,1.01523163
OC(COC(C)=O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,7.12748219,1.29591211
OC(COC(C)=O)=O,COC(=O)c1ccccc1C,0.69290573,0.19090143
OC(COC(C)=O)=O,CC(=O)c1ccc(C)cc1C,-1.53153254,-0.40109389
OC(COC(C)=O)=O,Cc2c1ccccc1ccc2,5.1344893,0.81026692
OC(COC(C)=O)=O,O=C2CCCCC2C1CCCCC1,-0.73072644,-0.2207169
OC(COC(C)=O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-1.33873063,-0.37186672
OC(COC(C)=O)=O,CC(C=O)c1ccccc1,0.14024742,0.05982483
OC(COC(C)=O)=O,CCC(O)c1ccccc1,-0.17482615,-0.04574343
OC(COC(C)=O)=O,CCOC(=O)c1ccccc1,0.50542273,0.13492959
OC(COC(C)=O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.35934179,0.07637801
OC(COC(C)=O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.2987035,0.30166252
OC(COC(C)=O)=O,CCOC(=O)c(cc1)ccc1C,0.44688795,0.11416236
OC(COC(C)=O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-16.83478749,-1.50210948
