SMILES0,SMILES,gamma1,gamma2
OC(COCC(O)=O)=O,OC(C)C(O)=O,0.0493236,0.01324039
OC(COCC(O)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.68671412,1.35023876
OC(COCC(O)=O)=O,OCC(O)C,-1.62519801,-0.40454856
OC(COCC(O)=O)=O,O=C1CCO1,0.02498767,-0.05915161
OC(COCC(O)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.29140113,0.27758343
OC(COCC(O)=O)=O,CCOCC,-2.32507037,-0.30116088
OC(COCC(O)=O)=O,OCC,-2.28708267,-0.51157636
OC(COCC(O)=O)=O,CCCCCC=O,0.52093925,0.18153034
OC(COCC(O)=O)=O,CO,-2.97070045,-0.67248391
OC(COCC(O)=O)=O,OC(C)C,-2.01239155,-0.43536198
OC(COCC(O)=O)=O,CC(C)=O,-3.86904415,-0.89896033
OC(COCC(O)=O)=O,OCCC,-1.16582539,-0.24791145
OC(COCC(O)=O)=O,OCCCC,-0.86169698,-0.1627422
OC(COCC(O)=O)=O,OCCCCC,-0.43064914,-0.05747307
OC(COCC(O)=O)=O,CC1OC1,-2.37400918,-0.45990153
OC(COCC(O)=O)=O,CCC(C)(C)C,13.89905473,1.87541361
OC(COCC(O)=O)=O,CC(C)(C)C(C)=O,-1.36553448,-0.24608067
OC(COCC(O)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.12049916,0.18169071
OC(COCC(O)=O)=O,COC(C)(C)OC,-2.2478916,-0.46113868
OC(COCC(O)=O)=O,CCC1(CC)CCCCC1,13.83799711,2.00585382
OC(COCC(O)=O)=O,CCOC(C)(OCC)OCC,-2.91745151,-0.74901977
OC(COCC(O)=O)=O,CC(C)CCCC(O)(C)CC,0.01339166,0.05986824
OC(COCC(O)=O)=O,CCC(C)C,14.03665265,1.8354118
OC(COCC(O)=O)=O,CC(=C)C=C,9.74704081,1.19836867
OC(COCC(O)=O)=O,CC(=C)C#C,6.78545694,0.7946169
OC(COCC(O)=O)=O,OCC(C)C,-0.25013361,-0.03375002
OC(COCC(O)=O)=O,CC(C)C=O,-0.32416695,-0.03953426
OC(COCC(O)=O)=O,CC(=C)C=O,-0.96621442,-0.19185901
OC(COCC(O)=O)=O,CCC(O)C,-0.99881984,-0.19094888
OC(COCC(O)=O)=O,CCC(C)=O,-2.91687392,-0.65324793
OC(COCC(O)=O)=O,COC(C)=O,-1.29593697,-0.29415944
