SMILES0,SMILES,gamma1,gamma2
OC(O)=O,OC(C)C(O)=O,-1.96956984,-0.47636825
OC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.49154313,1.46141964
OC(O)=O,OCC(O)C,-6.64550545,-1.82874905
OC(O)=O,O=C1CCO1,-2.34707225,-0.58749828
OC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-2.35477399,-0.50094317
OC(O)=O,CCOCC,-7.83829105,-1.8144355
OC(O)=O,OCC,-7.75524811,-2.01204954
OC(O)=O,CCCCCC=O,-3.620104,-0.83030212
OC(O)=O,CO,-8.21278763,-2.13865542
OC(O)=O,OC(C)C,-7.63600595,-1.99567637
OC(O)=O,CC(C)=O,-7.74860899,-2.05865316
OC(O)=O,OCCC,-6.62758059,-1.70040756
OC(O)=O,OCCCC,-6.4949962,-1.66988835
OC(O)=O,OCCCCC,-6.1814303,-1.59627432
OC(O)=O,CC1OC1,-6.40616361,-1.53061269
OC(O)=O,CCC(C)(C)C,12.5425576,1.64524343
OC(O)=O,CC(C)(C)C(C)=O,-5.88580609,-1.50522066
OC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-5.64792172,-1.30353493
OC(O)=O,COC(C)(C)OC,-7.38014804,-2.00242945
OC(O)=O,CCC1(CC)CCCCC1,12.40881218,1.73382449
OC(O)=O,CCOC(C)(OCC)OCC,-8.69412801,-2.70090242
OC(O)=O,CC(C)CCCC(O)(C)CC,-6.37643442,-1.72373203
OC(O)=O,CCC(C)C,12.68410099,1.61566613
OC(O)=O,CC(=C)C=C,9.43062189,1.2965609
OC(O)=O,CC(=C)C#C,7.68091599,1.11513162
OC(O)=O,OCC(C)C,-5.63467152,-1.42096057
OC(O)=O,CC(C)C=O,-4.04571606,-0.93185375
OC(O)=O,CC(=C)C=O,-4.68154831,-1.11699287
OC(O)=O,CCC(O)C,-6.6287267,-1.71377113
OC(O)=O,CCC(C)=O,-7.08110012,-1.88190744
OC(O)=O,COC(C)=O,-4.81705264,-1.21807692
OC(O)=O,CC(C)C(C)C,12.58930088,1.65354269
OC(O)=O,CC(C)C(O)=O,-1.04571283,-0.24431135
OC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-3.94164386,-1.11342009
OC(O)=O,OOC(C)(C)C(CC1)CCC1C,0.24884931,0.07654032
OC(O)=O,CCOC(C(O)(C)C)=O,-7.10301965,-1.91016166
OC(O)=O,COC(=O)C(C)=C,-2.60914727,-0.66320754
OC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.27274245,0.70958001
OC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-4.86009281,-1.10110912
OC(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-3.63592702,-1.12733687
OC(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-1.79037062,-0.36680242
OC(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-1.25185284,-0.28181301
OC(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.52435122,-0.16166988
OC(O)=O,CC(C)CCOC(=O)c1ccccc1O,2.32208355,0.55941866
OC(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.51001682,0.62171309
OC(O)=O,O=C2c1ccccc1CO2,-3.61849747,-0.8324519
OC(O)=O,OCC(O)C(O)C(O)CO,-6.34720698,-1.64260189
OC(O)=O,CCC(CC)C(O)=O,-0.51745077,-0.11153814
OC(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-3.58682088,-0.94655567
OC(O)=O,COc1cc(C)ccc1C(C)(C)C,9.4089336,1.51665678
