SMILES0,SMILES,gamma1,gamma2
OC1=C(O)C(=O)C(=O)C1=O,OC(C)C(O)=O,-2.17182035,-0.55262496
OC1=C(O)C(=O)C(=O)C1=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.21099554,1.15951922
OC1=C(O)C(=O)C(=O)C1=O,OCC(O)C,-6.59600939,-1.88607701
OC1=C(O)C(=O)C(=O)C1=O,O=C1CCO1,-4.53011309,-1.15299343
OC1=C(O)C(=O)C(=O)C1=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-3.49988258,-0.86545557
OC1=C(O)C(=O)C(=O)C1=O,CCOCC,-8.55121738,-2.0515825
OC1=C(O)C(=O)C(=O)C1=O,OCC,-7.7762328,-2.12231268
OC1=C(O)C(=O)C(=O)C1=O,CCCCCC=O,-4.80653801,-1.19525693
OC1=C(O)C(=O)C(=O)C1=O,CO,-8.43580119,-2.26995022
OC1=C(O)C(=O)C(=O)C1=O,OC(C)C,-7.6122865,-2.10357381
OC1=C(O)C(=O)C(=O)C1=O,CC(C)=O,-9.72851307,-2.68842268
OC1=C(O)C(=O)C(=O)C1=O,OCCC,-6.49104177,-1.77304788
OC1=C(O)C(=O)C(=O)C1=O,OCCCC,-6.29503304,-1.71953699
OC1=C(O)C(=O)C(=O)C1=O,OCCCCC,-5.88963678,-1.61648675
OC1=C(O)C(=O)C(=O)C1=O,CC1OC1,-8.20119211,-2.0494062
OC1=C(O)C(=O)C(=O)C1=O,CCC(C)(C)C,11.88297934,1.80675761
OC1=C(O)C(=O)C(=O)C1=O,CC(C)(C)C(C)=O,-7.13930796,-1.91643739
OC1=C(O)C(=O)C(=O)C1=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-6.01047868,-1.50608926
OC1=C(O)C(=O)C(=O)C1=O,COC(C)(C)OC,-8.26866308,-2.34771175
OC1=C(O)C(=O)C(=O)C1=O,CCC1(CC)CCCCC1,11.83853017,1.94968358
OC1=C(O)C(=O)C(=O)C1=O,CCOC(C)(OCC)OCC,-9.32004731,-3.00257991
OC1=C(O)C(=O)C(=O)C1=O,CC(C)CCCC(O)(C)CC,-5.93031038,-1.70679025
OC1=C(O)C(=O)C(=O)C1=O,CCC(C)C,12.01744646,1.76501576
OC1=C(O)C(=O)C(=O)C1=O,CC(=C)C=C,7.29970639,0.9937545
OC1=C(O)C(=O)C(=O)C1=O,CC(=C)C#C,5.05782144,0.62940472
OC1=C(O)C(=O)C(=O)C1=O,OCC(C)C,-5.43447903,-1.47985687
OC1=C(O)C(=O)C(=O)C1=O,CC(C)C=O,-5.64515064,-1.38965178
OC1=C(O)C(=O)C(=O)C1=O,CC(=C)C=O,-6.43781213,-1.64124999
OC1=C(O)C(=O)C(=O)C1=O,CCC(O)C,-6.49077665,-1.78948459
OC1=C(O)C(=O)C(=O)C1=O,CCC(C)=O,-8.72756511,-2.41702911
OC1=C(O)C(=O)C(=O)C1=O,COC(C)=O,-6.62377957,-1.75849786
OC1=C(O)C(=O)C(=O)C1=O,CC(C)C(C)C,11.94690966,1.82215731
OC1=C(O)C(=O)C(=O)C1=O,CC(C)C(O)=O,-1.13668729,-0.26459
OC1=C(O)C(=O)C(=O)C1=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-4.85133642,-1.43732804
OC1=C(O)C(=O)C(=O)C1=O,OOC(C)(C)C(CC1)CCC1C,0.34220968,0.10925546
OC1=C(O)C(=O)C(=O)C1=O,CCOC(C(O)(C)C)=O,-7.90869091,-2.26017054
