SMILES0,SMILES,gamma1,gamma2
OC1CC(O)CC1,OC(C)C(O)=O,-1.28546196,-0.3436945
OC1CC(O)CC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.31110212,1.15155411
OC1CC(O)CC1,OCC(O)C,-0.03539528,-0.00917502
OC1CC(O)CC1,O=C1CCO1,3.53126775,0.68722897
OC1CC(O)CC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.80586375,0.58918054
OC1CC(O)CC1,CCOCC,0.99161456,0.21000281
OC1CC(O)CC1,OCC,-0.14365535,-0.03223822
OC1CC(O)CC1,CCCCCC=O,2.55160303,0.48503034
OC1CC(O)CC1,CO,-0.25643743,-0.05586747
OC1CC(O)CC1,OC(C)C,0.02195767,0.00779344
OC1CC(O)CC1,CC(C)=O,0.54282391,0.07453296
OC1CC(O)CC1,OCCC,0.13890354,0.03473154
OC1CC(O)CC1,OCCCC,0.33579263,0.08409496
OC1CC(O)CC1,OCCCCC,0.53722676,0.13403002
OC1CC(O)CC1,CC1OC1,1.24956772,0.20133721
OC1CC(O)CC1,CCC(C)(C)C,9.63146476,1.17881389
OC1CC(O)CC1,CC(C)(C)C(C)=O,1.54370486,0.29522417
OC1CC(O)CC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.43235877,0.54349688
OC1CC(O)CC1,COC(C)(C)OC,0.97721395,0.19041598
OC1CC(O)CC1,CCC1(CC)CCCCC1,9.55455942,1.27290428
OC1CC(O)CC1,CCOC(C)(OCC)OCC,0.79717337,0.19201122
OC1CC(O)CC1,CC(C)CCCC(O)(C)CC,1.25983104,0.30737368
OC1CC(O)CC1,CCC(C)C,9.72410008,1.1491662
OC1CC(O)CC1,CC(=C)C=C,7.81230148,0.94406766
OC1CC(O)CC1,CC(=C)C#C,5.3574311,0.71384404
OC1CC(O)CC1,OCC(C)C,0.42996588,0.10558073
OC1CC(O)CC1,CC(C)C=O,2.21128639,0.37815516
OC1CC(O)CC1,CC(=C)C=O,2.13361082,0.38644555
OC1CC(O)CC1,CCC(O)C,0.38285745,0.09522187
OC1CC(O)CC1,CCC(C)=O,0.86125505,0.14631886
OC1CC(O)CC1,COC(C)=O,1.86235149,0.32978643
OC1CC(O)CC1,CC(C)C(C)C,9.67276486,1.1882466
OC1CC(O)CC1,CC(C)C(O)=O,-1.46429259,-0.37099442
OC1CC(O)CC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.84043328,0.59355763
OC1CC(O)CC1,OOC(C)(C)C(CC1)CCC1C,0.25570923,0.07908686
OC1CC(O)CC1,CCOC(C(O)(C)C)=O,0.92924233,0.21136762
OC1CC(O)CC1,COC(=O)C(C)=C,2.971088,0.54070062
OC1CC(O)CC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.44816539,0.81203176
OC1CC(O)CC1,COc2cccc3c2C(=O)c1ccccc1C3=O,2.61458345,0.57297496
OC1CC(O)CC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.16957891,0.47199815
OC1CC(O)CC1,CCOC(=O)c1ccccc1C(OCC)=O,3.35041364,0.67787783
OC1CC(O)CC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.64461977,0.73388895
OC1CC(O)CC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,4.00137645,0.79617257
OC1CC(O)CC1,CC(C)CCOC(=O)c1ccccc1O,5.31537298,0.94926676
OC1CC(O)CC1,Oc2ccccc2C(OCCc1ccccc1)=O,5.38229842,0.97614344
OC1CC(O)CC1,O=C2c1ccccc1CO2,2.93975,0.61533957
OC1CC(O)CC1,OCC(O)C(O)C(O)CO,0.0731677,0.01904311
OC1CC(O)CC1,CCC(CC)C(O)=O,-1.17557464,-0.2964822
OC1CC(O)CC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.99037498,0.23479838
OC1CC(O)CC1,COc1cc(C)ccc1C(C)(C)C,7.73961866,1.12657604
OC1CC(O)CC1,CC2CCC(CC1=C2CCC1C)=C(C)C,8.50820752,1.25912781
OC1CC(O)CC1,COC(=O)c1ccccc1C,4.01544286,0.75367114
OC1CC(O)CC1,CC(=O)c1ccc(C)cc1C,2.25156659,0.48367326
OC1CC(O)CC1,Cc2c1ccccc1ccc2,7.40902897,1.0623071
OC1CC(O)CC1,O=C2CCCCC2C1CCCCC1,2.36753752,0.49130683
OC1CC(O)CC1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.63243276,0.5689617
OC1CC(O)CC1,CC(C=O)c1ccccc1,3.75628348,0.71016321
OC1CC(O)CC1,CCC(O)c1ccccc1,0.95046171,0.23335684
OC1CC(O)CC1,CCOC(=O)c1ccccc1,3.81937768,0.72602878
OC1CC(O)CC1,CC(OC(C)c2ccccc2)c1ccccc1,3.96055324,0.84416242
OC1CC(O)CC1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,4.55871643,0.88978349
OC1CC(O)CC1,CCOC(=O)c(cc1)ccc1C,3.7001237,0.71455055
OC1CC(O)CC1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-8.54754645,-0.26903152
OC1CC(O)CC1,O=C(OCCc1ccccc1)c2ccccc2,4.64876762,0.88887297
OC1CC(O)CC1,CCCc2cc1OCOc1cc2,6.01029018,0.95424514
OC1CC(O)CC1,COC(C1CCC(CC1)C(OC)=O)=O,2.29541181,0.47881781
OC1CC(O)CC1,CCCC1CCCCC1=O,1.82818715,0.37379638
OC1CC(O)CC1,CCOc1ccc(C=CC)cc1O,1.80637439,0.43514752
OC1CC(O)CC1,CCCC(O)C(CO)CC,0.38630875,0.09360471
OC1CC(O)CC1,Cc(ccc1C)cc1C,7.78999074,1.06720784
OC1CC(O)CC1,CCOC(=O)C(OCC)=O,3.06930172,0.59747028
OC1CC(O)CC1,CC1OC(C(C)OC1=O)=O,2.97169769,0.62376585
OC1CC(O)CC1,CCCCC(=O)C(C)=O,3.93147847,0.70459022
OC1CC(O)CC1,C=CCOC(=O)C(C)=C,3.71228037,0.69260949
OC1CC(O)CC1,C1OC1c2ccccc2,4.30838918,0.77952862
OC1CC(O)CC1,CCC(C)CC,9.72110924,1.20265913
OC1CC(O)CC1,CCC(CC)=O,1.35022405,0.25011495
OC1CC(O)CC1,OCC(CO)=O,0.67544863,0.16400941
OC1CC(O)CC1,COC(=O)C=C,2.9479155,0.53332748
OC1CC(O)CC1,COC(CO)=O,0.57287333,0.14131783
OC1CC(O)CC1,CC1CCCC1,9.63663892,1.15742426
OC1CC(O)CC1,CC1CCCO1,-0.42447074,-0.09401272
OC1CC(O)CC1,O=C1CCCO1,1.46769607,0.2911931
OC1CC(O)CC1,CCCC(C)C(O)=O,-1.19380085,-0.30221378
OC1CC(O)CC1,CCOC(C(C)C)=O,2.64887585,0.49728499
OC1CC(O)CC1,CCOC(=O)C(C)=C,2.9568081,0.55197969
OC1CC(O)CC1,CCOC(C(O)C)=O,0.86003538,0.19640832
OC1CC(O)CC1,CC(C)C(OC(C(C)C)=O)=O,3.93711477,0.71919729
OC1CC(O)CC1,CC(C)COC(C(C)C)=O,3.01496464,0.58624612
OC1CC(O)CC1,CC(C)COC(=O)C(C)=C,3.36311693,0.643747
OC1CC(O)CC1,CCCCOC(C(C)C)=O,3.07441933,0.59759403
OC1CC(O)CC1,CCCCOC(=O)C(C)=C,3.24304737,0.62607204
OC1CC(O)CC1,CCC(CC)C=O,2.78327585,0.5092015
OC1CC(O)CC1,OCC1CCCO1,-0.28497118,-0.07501053
OC1CC(O)CC1,OCc1occc1,0.5915455,0.14698065
OC1CC(O)CC1,O=Cc1occc1,2.34742088,0.50658983
OC1CC(O)CC1,CC(C)(C)c1ccccc1,7.8031341,1.08083107
