SMILES0,SMILES,gamma1,gamma2
OC1CCOC1,OC(C)C(O)=O,-2.10585482,-0.55861523
OC1CCOC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.92236447,0.66537534
OC1CCOC1,OCC(O)C,-0.10389943,-0.02558869
OC1CCOC1,O=C1CCO1,2.0617551,0.42992944
OC1CCOC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.543692,0.34233108
OC1CCOC1,CCOCC,1.03355824,0.25754608
OC1CCOC1,OCC,0.0339694,0.00960922
OC1CCOC1,CCCCCC=O,1.62375801,0.35325137
OC1CCOC1,CO,-0.0002417,0.00202715
OC1CCOC1,OC(C)C,0.16755248,0.04280936
OC1CCOC1,CC(C)=O,0.44318111,0.09754558
OC1CCOC1,OCCC,0.11757233,0.03100574
OC1CCOC1,OCCCC,0.26674085,0.07048604
OC1CCOC1,OCCCCC,0.38397747,0.10044002
OC1CCOC1,CC1OC1,0.87630881,0.1851936
OC1CCOC1,CCC(C)(C)C,6.08227066,0.91858844
OC1CCOC1,CC(C)(C)C(C)=O,1.12987814,0.25890985
OC1CCOC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.67195025,0.40046548
OC1CCOC1,COC(C)(C)OC,0.88088126,0.21246145
OC1CCOC1,CCC1(CC)CCCCC1,5.99789803,0.95994824
OC1CCOC1,CCOC(C)(OCC)OCC,0.78391628,0.20359917
OC1CCOC1,CC(C)CCCC(O)(C)CC,0.96793449,0.235384
OC1CCOC1,CCC(C)C,6.16647792,0.90895909
OC1CCOC1,CC(=C)C=C,4.50238354,0.62307075
OC1CCOC1,CC(=C)C#C,2.24876897,0.25807775
OC1CCOC1,OCC(C)C,0.17454318,0.04786599
OC1CCOC1,CC(C)C=O,1.41155758,0.28825549
OC1CCOC1,CC(=C)C=O,1.31761835,0.27777699
OC1CCOC1,CCC(O)C,0.31203171,0.0797927
OC1CCOC1,CCC(C)=O,0.6495827,0.1475592
OC1CCOC1,COC(C)=O,1.13911989,0.23773705
OC1CCOC1,CC(C)C(C)C,6.11619983,0.92706401
OC1CCOC1,CC(C)C(O)=O,-2.09556829,-0.55498786
OC1CCOC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.80076374,0.40699626
OC1CCOC1,OOC(C)(C)C(CC1)CCC1C,-0.76993942,-0.19820756
OC1CCOC1,CCOC(C(O)(C)C)=O,0.62578098,0.15555872
OC1CCOC1,COC(=O)C(C)=C,1.80545303,0.3728809
OC1CCOC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.04769444,0.38777757
OC1CCOC1,COc2cccc3c2C(=O)c1ccccc1C3=O,1.39238316,0.32021552
OC1CCOC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.21527961,0.24387546
OC1CCOC1,CCOC(=O)c1ccccc1C(OCC)=O,1.84611866,0.40200165
OC1CCOC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.08727468,0.45107892
OC1CCOC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.33430534,0.49363118
OC1CCOC1,CC(C)CCOC(=O)c1ccccc1O,3.07221664,0.59884345
OC1CCOC1,Oc2ccccc2C(OCCc1ccccc1)=O,2.88618858,0.56203873
