SMILES0,SMILES,gamma1,gamma2
OC1COC2C1OCC2O,OC(C)C(O)=O,-1.20078209,-0.28814036
OC1COC2C1OCC2O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,9.04995695,1.49857943
OC1COC2C1OCC2O,OCC(O)C,0.07726834,0.01796096
OC1COC2C1OCC2O,O=C1CCO1,2.60542235,0.46710205
OC1COC2C1OCC2O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,3.28658661,0.73115843
OC1COC2C1OCC2O,CCOCC,1.09954948,0.38502265
OC1COC2C1OCC2O,OCC,0.05223251,0.01820981
OC1COC2C1OCC2O,CCCCCC=O,2.88381631,0.64232546
OC1COC2C1OCC2O,CO,-0.49824939,-0.10911224
OC1COC2C1OCC2O,OC(C)C,0.40869289,0.11383604
OC1COC2C1OCC2O,CC(C)=O,-0.36478654,-0.07320838
OC1COC2C1OCC2O,OCCC,0.7360965,0.18223051
OC1COC2C1OCC2O,OCCCC,1.09073689,0.27792069
OC1COC2C1OCC2O,OCCCCC,1.45650295,0.37132829
OC1COC2C1OCC2O,CC1OC1,0.80108181,0.1908254
OC1COC2C1OCC2O,CCC(C)(C)C,12.73589472,1.76981647
OC1COC2C1OCC2O,CC(C)(C)C(C)=O,1.57106421,0.39382091
OC1COC2C1OCC2O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.00646324,0.79212348
OC1COC2C1OCC2O,COC(C)(C)OC,0.96979067,0.28424054
OC1COC2C1OCC2O,CCC1(CC)CCCCC1,12.66862573,1.90894925
OC1COC2C1OCC2O,CCOC(C)(OCC)OCC,0.77936086,0.22027587
OC1COC2C1OCC2O,CC(C)CCCC(O)(C)CC,2.39844739,0.61611033
OC1COC2C1OCC2O,CCC(C)C,12.8451139,1.72642073
OC1COC2C1OCC2O,CC(=C)C=C,9.86009869,1.2633523
OC1COC2C1OCC2O,CC(=C)C#C,6.60224556,0.83676745
OC1COC2C1OCC2O,OCC(C)C,1.29186685,0.31915854
OC1COC2C1OCC2O,CC(C)C=O,2.21499179,0.45116263
OC1COC2C1OCC2O,CC(=C)C=O,1.88211698,0.39283622
OC1COC2C1OCC2O,CCC(O)C,1.07982213,0.27774384
OC1COC2C1OCC2O,CCC(C)=O,0.32808128,0.09666353
OC1COC2C1OCC2O,COC(C)=O,1.44919053,0.29024991
OC1COC2C1OCC2O,CC(C)C(C)C,12.79103857,1.78448423
OC1COC2C1OCC2O,CC(C)C(O)=O,-0.40669953,-0.07028684
OC1COC2C1OCC2O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.50122355,0.81926539
OC1COC2C1OCC2O,OOC(C)(C)C(CC1)CCC1C,2.02789989,0.51880533
OC1COC2C1OCC2O,CCOC(C(O)(C)C)=O,0.90978193,0.26963989
OC1COC2C1OCC2O,COC(=O)C(C)=C,3.2978795,0.67478131
OC1COC2C1OCC2O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,5.66446687,1.0836267
OC1COC2C1OCC2O,COc2cccc3c2C(=O)c1ccccc1C3=O,2.37495967,0.57414268
OC1COC2C1OCC2O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.94163238,0.86420014
OC1COC2C1OCC2O,CCOC(=O)c1ccccc1C(OCC)=O,3.69657324,0.81013655
OC1COC2C1OCC2O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,4.44121232,0.97088887
OC1COC2C1OCC2O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,5.09562972,1.08959521
OC1COC2C1OCC2O,CC(C)CCOC(=O)c1ccccc1O,6.78847776,1.32287098
OC1COC2C1OCC2O,Oc2ccccc2C(OCCc1ccccc1)=O,6.50810126,1.26630566
OC1COC2C1OCC2O,O=C2c1ccccc1CO2,2.45504616,0.53984297
OC1COC2C1OCC2O,OCC(O)C(O)C(O)CO,-0.11156562,-0.0271114
OC1COC2C1OCC2O,CCC(CC)C(O)=O,0.2644451,0.10227466
OC1COC2C1OCC2O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,2.18161957,0.52164639
OC1COC2C1OCC2O,COc1cc(C)ccc1C(C)(C)C,9.93320539,1.56175943
OC1COC2C1OCC2O,CC2CCC(CC1=C2CCC1C)=C(C)C,11.256939,1.85121687
OC1COC2C1OCC2O,COC(=O)c1ccccc1C,4.69310678,0.96869789
OC1COC2C1OCC2O,CC(=O)c1ccc(C)cc1C,2.37016473,0.61135634
OC1COC2C1OCC2O,Cc2c1ccccc1ccc2,9.14583528,1.36342991
OC1COC2C1OCC2O,O=C2CCCCC2C1CCCCC1,2.97313143,0.7307764
OC1COC2C1OCC2O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.49507407,0.59602043
OC1COC2C1OCC2O,CC(C=O)c1ccccc1,4.06952879,0.83453008
OC1COC2C1OCC2O,CCC(O)c1ccccc1,1.84139836,0.452732
OC1COC2C1OCC2O,CCOC(=O)c1ccccc1,4.44689603,0.92983337
OC1COC2C1OCC2O,CC(OC(C)c2ccccc2)c1ccccc1,4.49728312,1.11220803
OC1COC2C1OCC2O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,5.25334754,1.09656968
OC1COC2C1OCC2O,CCOC(=O)c(cc1)ccc1C,4.41244065,0.94721448
OC1COC2C1OCC2O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-13.36744627,-0.50465923
OC1COC2C1OCC2O,O=C(OCCc1ccccc1)c2ccccc2,5.4741729,1.13487065
OC1COC2C1OCC2O,CCCc2cc1OCOc1cc2,7.47059172,1.2446358
OC1COC2C1OCC2O,COC(C1CCC(CC1)C(OC)=O)=O,2.39642268,0.54271127
OC1COC2C1OCC2O,CCCC1CCCCC1=O,2.15214369,0.54278421
OC1COC2C1OCC2O,CCOc1ccc(C=CC)cc1O,3.26203035,0.74029291
OC1COC2C1OCC2O,CCCC(O)C(CO)CC,1.06403309,0.27719196
OC1COC2C1OCC2O,Cc(ccc1C)cc1C,9.9113704,1.45690054
OC1COC2C1OCC2O,CCOC(=O)C(OCC)=O,3.1152779,0.65353356
OC1COC2C1OCC2O,CC1OC(C(C)OC1=O)=O,2.52652671,0.51752597
OC1COC2C1OCC2O,CCCCC(=O)C(C)=O,4.61566313,0.89893831
OC1COC2C1OCC2O,C=CCOC(=O)C(C)=C,4.33956621,0.89747859
OC1COC2C1OCC2O,C1OC1c2ccccc2,4.67661187,0.89941355
OC1COC2C1OCC2O,CCC(C)CC,12.8554509,1.80594282
OC1COC2C1OCC2O,CCC(CC)=O,1.20997931,0.30152061
OC1COC2C1OCC2O,OCC(CO)=O,0.02281004,0.00571941
OC1COC2C1OCC2O,COC(=O)C=C,2.97612064,0.58215069
OC1COC2C1OCC2O,COC(CO)=O,0.21757328,0.05285836
OC1COC2C1OCC2O,CC1CCCC1,12.73785954,1.73954775
OC1COC2C1OCC2O,CC1CCCO1,-0.87634262,-0.0676243
OC1COC2C1OCC2O,O=C1CCCO1,0.49892211,0.09410746
OC1COC2C1OCC2O,CCCC(C)C(O)=O,0.25643282,0.1001719
OC1COC2C1OCC2O,CCOC(C(C)C)=O,3.15708403,0.69478376
OC1COC2C1OCC2O,CCOC(=O)C(C)=C,3.47831371,0.74845847
OC1COC2C1OCC2O,CCOC(C(O)C)=O,0.8175949,0.2282767
OC1COC2C1OCC2O,CC(C)C(OC(C(C)C)=O)=O,4.73696176,0.94756411
OC1COC2C1OCC2O,CC(C)COC(C(C)C)=O,3.84243885,0.86463213
OC1COC2C1OCC2O,CC(C)COC(=O)C(C)=C,4.22705403,0.92460171
OC1COC2C1OCC2O,CCCCOC(C(C)C)=O,3.90831011,0.87514606
OC1COC2C1OCC2O,CCCCOC(=O)C(C)=C,4.06724564,0.8996709
OC1COC2C1OCC2O,CCC(CC)C=O,3.27700557,0.7075642
OC1COC2C1OCC2O,OCC1CCCO1,-0.61811341,-0.12722535
OC1COC2C1OCC2O,OCc1occc1,0.47246509,0.11564385
OC1COC2C1OCC2O,O=Cc1occc1,1.6260714,0.36975771
OC1COC2C1OCC2O,CC(C)(C)c1ccccc1,9.97324428,1.48841683
OC1COC2C1OCC2O,OOC(C)(C)c(cc1)ccc1C(C)C,2.22709422,0.53046131
OC1COC2C1OCC2O,CC(C)(C)c(cc1)ccc1C,10.27355952,1.57728119
OC1COC2C1OCC2O,OC1CCC(CC1)C(C)(C)C,2.05834833,0.52665507
OC1COC2C1OCC2O,CC(C)(C)C1CCC(CC1)=O,1.52211656,0.40372532
OC1COC2C1OCC2O,CC(C)c1ccccc1,9.87877454,1.44701021
OC1COC2C1OCC2O,COC(=O)c(ccc1)cc1C,4.47505868,0.92975167
OC1COC2C1OCC2O,OC1CC(CC=C1C)C(C)=C,2.13860248,0.53252808
OC1COC2C1OCC2O,CC(C)c1cc(C(C)C)ccc1,10.45669418,1.64298698
OC1COC2C1OCC2O,CCCC(CCC)C(O)=O,0.83624483,0.23885068
OC1COC2C1OCC2O,CC(C=O)c(cc1)ccc1C,4.24041101,0.89217613
OC1COC2C1OCC2O,CC1CCC(C(C)C)CC1,12.69291152,1.93793805
OC1COC2C1OCC2O,CC(C)c(cc1)ccc1C,10.16986282,1.53723663
OC1COC2C1OCC2O,C=CC1CC=CCC1,10.18459655,1.47087347
OC1COC2C1OCC2O,CCc1ccccc1,9.65499077,1.36894235
OC1COC2C1OCC2O,C=Cc1ccccc1,8.89225856,1.24598037
OC1COC2C1OCC2O,OCC1CCCCC1,1.92465448,0.48251434
OC1COC2C1OCC2O,COc1ccccc1,6.66482217,1.07373833
OC1COC2C1OCC2O,OCC1CCCCO1,0.08975329,0.055327
OC1COC2C1OCC2O,OCC(CO1)OC1(C)C,0.5200269,0.13660061
OC1COC2C1OCC2O,Cc1cc(C=C)ccc1,9.21904421,1.34346852
OC1COC2C1OCC2O,COc(ccc1)cc1C,6.91253959,1.16120546
OC1COC2C1OCC2O,COC(=O)Cc1ccccc1,3.69613848,0.79025225
OC1COC2C1OCC2O,COC(OC)Cc1ccccc1,2.94191066,0.71177893
OC1COC2C1OCC2O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,4.86673978,1.020023
OC1COC2C1OCC2O,CC(C)COC(=O)Cc1ccccc1,4.12071162,0.91038481
OC1COC2C1OCC2O,O=C(OCc2ccccc2)Cc1ccccc1,4.33842317,0.94226204
OC1COC2C1OCC2O,CCc1cc(CC)cc(CC)c1,10.59777763,1.6759161
OC1COC2C1OCC2O,CC(=O)Oc(ccc1)cc1O,-0.96054263,-0.20510022
OC1COC2C1OCC2O,COC(OC)CC(OC)OC,1.35920831,0.33339163
OC1COC2C1OCC2O,CCCCC(CC)COC(C)=O,3.78694006,0.87119394
OC1COC2C1OCC2O,CCCCC(CC)COC(=O)C=C,4.92606781,1.08020378
OC1COC2C1OCC2O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,4.1842288,0.88804454
OC1COC2C1OCC2O,COC(CCc1ccccc1)=O,3.86778714,0.83310319
OC1COC2C1OCC2O,CC(C)C(OCc1ccccc1)=O,4.3493208,0.93368102
OC1COC2C1OCC2O,CCCC(OCc1ccccc1)=O,4.40386477,0.94755311
OC1COC2C1OCC2O,CC(C)CC(OCc1ccccc1)=O,4.71426004,1.01284868
OC1COC2C1OCC2O,CC(OCCc1ccccc1)=O,3.50807117,0.78298731
OC1COC2C1OCC2O,CC(C)C(OCCc1ccccc1)=O,4.52049198,0.9831898
OC1COC2C1OCC2O,CC(C)C(OCCOc1ccccc1)=O,4.25386842,0.91736018
OC1COC2C1OCC2O,CCCc1ccccc1,9.87639636,1.45607784
OC1COC2C1OCC2O,CC(C)C(=O)Oc(cc1)ccc1C,4.78780753,1.00244605
OC1COC2C1OCC2O,CCCc(cc1)ccc1OC,7.38505945,1.30873416
OC1COC2C1OCC2O,CCCCC1OC(CC1)=O,1.65214572,0.39256217
OC1COC2C1OCC2O,CCCCc1ccccc1,10.06852791,1.53064683
OC1COC2C1OCC2O,O=COCc1ccccc1,3.91720681,0.79268837
OC1COC2C1OCC2O,CCCCCC1OC(CC1)=O,1.91801727,0.45677151
OC1COC2C1OCC2O,O=COCCc1ccccc1,4.01311185,0.83066569
OC1COC2C1OCC2O,CCCCCCCC1OC(CC1)=O,2.41559074,0.57197483
OC1COC2C1OCC2O,CCCCC(CO)CC,2.55005407,0.63210738
OC1COC2C1OCC2O,COc(cc1)ccc1C,6.80513344,1.15668723
OC1COC2C1OCC2O,CC(C)COC(CCc1occc1)=O,4.50722712,0.97416151
OC1COC2C1OCC2O,CCc1ccc(CC)cc1,10.23173352,1.55242333
OC1COC2C1OCC2O,C=Cc1ccc(C=C)cc1,8.82826552,1.31816628
OC1COC2C1OCC2O,CCCC1OC(CC1)=O,1.2961064,0.30613094
OC1COC2C1OCC2O,OCC=C(C)C#C,0.42753951,0.10579459
OC1COC2C1OCC2O,CCCC(C)CO,1.99724955,0.4984159
OC1COC2C1OCC2O,CCCC(O)C#C,0.33303963,0.09051455
OC1COC2C1OCC2O,CCOC(CC)=O,2.50961522,0.5557931
OC1COC2C1OCC2O,CCC(OC=C)=O,5.03648152,0.92407975
OC1COC2C1OCC2O,CCC(C)CC(C)=O,1.89441057,0.47855265
OC1COC2C1OCC2O,CCC(C)CC(O)=O,0.14971725,0.07183502
OC1COC2C1OCC2O,CCC(C)OC(C)=O,2.63731632,0.60378379
OC1COC2C1OCC2O,CCOC(CC(OCC)=O)=O,2.97467091,0.64272369
