SMILES0,SMILES,gamma1,gamma2
OC1OC(C(O)C(O)C1O)C(O)=O,OC(C)C(O)=O,-0.24009042,-0.0533356
OC1OC(C(O)C(O)C1O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.7936074,1.27654817
OC1OC(C(O)C(O)C1O)C(O)=O,OCC(O)C,-1.90980049,-0.45136574
OC1OC(C(O)C(O)C1O)C(O)=O,O=C1CCO1,-0.06461092,-0.03602486
OC1OC(C(O)C(O)C1O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.81308975,0.17357397
OC1OC(C(O)C(O)C1O)C(O)=O,CCOCC,-2.80313414,-0.35248115
OC1OC(C(O)C(O)C1O)C(O)=O,OCC,-2.70265159,-0.52346891
OC1OC(C(O)C(O)C1O)C(O)=O,CCCCCC=O,-0.06746122,0.04139539
OC1OC(C(O)C(O)C1O)C(O)=O,CO,-3.51274637,-0.67509811
OC1OC(C(O)C(O)C1O)C(O)=O,OC(C)C,-2.37978163,-0.44753735
OC1OC(C(O)C(O)C1O)C(O)=O,CC(C)=O,-4.51488447,-1.00076182
OC1OC(C(O)C(O)C1O)C(O)=O,OCCC,-1.45860785,-0.27015648
OC1OC(C(O)C(O)C1O)C(O)=O,OCCCC,-1.10090352,-0.17635687
OC1OC(C(O)C(O)C1O)C(O)=O,OCCCCC,-0.60704682,-0.06217958
OC1OC(C(O)C(O)C1O)C(O)=O,CC1OC1,-2.88060971,-0.54741905
OC1OC(C(O)C(O)C1O)C(O)=O,CCC(C)(C)C,10.68227989,1.6785441
OC1OC(C(O)C(O)C1O)C(O)=O,CC(C)(C)C(C)=O,-1.90071215,-0.36225516
OC1OC(C(O)C(O)C1O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.19649553,0.19430536
OC1OC(C(O)C(O)C1O)C(O)=O,COC(C)(C)OC,-2.71870672,-0.53517103
OC1OC(C(O)C(O)C1O)C(O)=O,CCC1(CC)CCCCC1,10.64980191,1.81310543
OC1OC(C(O)C(O)C1O)C(O)=O,CCOC(C)(OCC)OCC,-3.20410987,-0.79117251
