SMILES0,SMILES,gamma1,gamma2
OC2C(O)C(CO1)OC1C2O,OC(C)C(O)=O,-0.80088193,-0.1897562
OC2C(O)C(CO1)OC1C2O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.74080408,1.4443297
OC2C(O)C(CO1)OC1C2O,OCC(O)C,0.08089112,0.01774449
OC2C(O)C(CO1)OC1C2O,O=C1CCO1,1.94864025,0.35391832
OC2C(O)C(CO1)OC1C2O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.80203807,0.62348461
OC2C(O)C(CO1)OC1C2O,CCOCC,0.75334362,0.31345025
OC2C(O)C(CO1)OC1C2O,OCC,0.01035696,0.01336646
OC2C(O)C(CO1)OC1C2O,CCCCCC=O,2.39344763,0.55820445
OC2C(O)C(CO1)OC1C2O,CO,-0.62761181,-0.13332979
OC2C(O)C(CO1)OC1C2O,OC(C)C,0.36734888,0.10986977
OC2C(O)C(CO1)OC1C2O,CC(C)=O,-0.97438584,-0.21505061
OC2C(O)C(CO1)OC1C2O,OCCC,0.781137,0.19608239
OC2C(O)C(CO1)OC1C2O,OCCCC,1.14094661,0.29434058
OC2C(O)C(CO1)OC1C2O,OCCCCC,1.52888419,0.39243866
OC2C(O)C(CO1)OC1C2O,CC1OC1,0.27622495,0.08652714
OC2C(O)C(CO1)OC1C2O,CCC(C)(C)C,11.12766797,1.79434588
OC2C(O)C(CO1)OC1C2O,CC(C)(C)C(C)=O,1.09604037,0.29220994
OC2C(O)C(CO1)OC1C2O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.77162618,0.72563113
OC2C(O)C(CO1)OC1C2O,COC(C)(C)OC,0.59217228,0.19406571
OC2C(O)C(CO1)OC1C2O,CCC1(CC)CCCCC1,11.07203747,1.91536365
OC2C(O)C(CO1)OC1C2O,CCOC(C)(OCC)OCC,0.46388278,0.12994815
OC2C(O)C(CO1)OC1C2O,CC(C)CCCC(O)(C)CC,2.43524442,0.62076171
OC2C(O)C(CO1)OC1C2O,CCC(C)C,11.22399498,1.75605223
OC2C(O)C(CO1)OC1C2O,CC(=C)C=C,8.4487323,1.27286776
OC2C(O)C(CO1)OC1C2O,CC(=C)C#C,5.64824769,0.86184643
OC2C(O)C(CO1)OC1C2O,OCC(C)C,1.40053329,0.346615
OC2C(O)C(CO1)OC1C2O,CC(C)C=O,1.66588109,0.3585328
OC2C(O)C(CO1)OC1C2O,CC(=C)C=O,1.36302603,0.29829412
OC2C(O)C(CO1)OC1C2O,CCC(O)C,1.10308749,0.28693085
OC2C(O)C(CO1)OC1C2O,CCC(C)=O,-0.20658415,-0.02494019
OC2C(O)C(CO1)OC1C2O,COC(C)=O,0.92305705,0.1881977
OC2C(O)C(CO1)OC1C2O,CC(C)C(C)C,11.17836976,1.8088931
OC2C(O)C(CO1)OC1C2O,CC(C)C(O)=O,0.02602809,0.0245952
OC2C(O)C(CO1)OC1C2O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.10604906,0.72696278
OC2C(O)C(CO1)OC1C2O,OOC(C)(C)C(CC1)CCC1C,2.24512609,0.5679636
OC2C(O)C(CO1)OC1C2O,CCOC(C(O)(C)C)=O,0.66738862,0.20720975
OC2C(O)C(CO1)OC1C2O,COC(=O)C(C)=C,2.79630976,0.6044401
OC2C(O)C(CO1)OC1C2O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,5.26932514,1.09095321
OC2C(O)C(CO1)OC1C2O,COc2cccc3c2C(=O)c1ccccc1C3=O,2.0034333,0.4864812
OC2C(O)C(CO1)OC1C2O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.96367114,0.84883813
OC2C(O)C(CO1)OC1C2O,CCOC(=O)c1ccccc1C(OCC)=O,3.15926636,0.7151299
OC2C(O)C(CO1)OC1C2O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.89783818,0.86876341
OC2C(O)C(CO1)OC1C2O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,4.51649583,0.97518401
OC2C(O)C(CO1)OC1C2O,CC(C)CCOC(=O)c1ccccc1O,6.12438661,1.27904725
OC2C(O)C(CO1)OC1C2O,Oc2ccccc2C(OCCc1ccccc1)=O,5.81057885,1.21287733
OC2C(O)C(CO1)OC1C2O,O=C2c1ccccc1CO2,1.98520077,0.45109774
OC2C(O)C(CO1)OC1C2O,OCC(O)C(O)C(O)CO,-0.14990715,-0.03799279
OC2C(O)C(CO1)OC1C2O,CCC(CC)C(O)=O,0.71486049,0.19945389
OC2C(O)C(CO1)OC1C2O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,2.34788916,0.56073197
OC2C(O)C(CO1)OC1C2O,COc1cc(C)ccc1C(C)(C)C,8.52603395,1.53090224
OC2C(O)C(CO1)OC1C2O,CC2CCC(CC1=C2CCC1C)=C(C)C,9.84313503,1.82118987
OC2C(O)C(CO1)OC1C2O,COC(=O)c1ccccc1C,4.18473739,0.91621275
OC2C(O)C(CO1)OC1C2O,CC(=O)c1ccc(C)cc1C,2.02291378,0.53517175
OC2C(O)C(CO1)OC1C2O,Cc2c1ccccc1ccc2,7.81270356,1.34538423
OC2C(O)C(CO1)OC1C2O,O=C2CCCCC2C1CCCCC1,2.56309286,0.63907356
OC2C(O)C(CO1)OC1C2O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.14901571,0.51375899
OC2C(O)C(CO1)OC1C2O,CC(C=O)c1ccccc1,3.52707522,0.76707539
OC2C(O)C(CO1)OC1C2O,CCC(O)c1ccccc1,1.96349879,0.49042689
OC2C(O)C(CO1)OC1C2O,CCOC(=O)c1ccccc1,3.93634218,0.86897265
OC2C(O)C(CO1)OC1C2O,CC(OC(C)c2ccccc2)c1ccccc1,4.23412375,1.05881913
OC2C(O)C(CO1)OC1C2O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,4.67638938,1.01056422
OC2C(O)C(CO1)OC1C2O,CCOC(=O)c(cc1)ccc1C,3.90940083,0.87905151
OC2C(O)C(CO1)OC1C2O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-15.06438054,-0.60388013
OC2C(O)C(CO1)OC1C2O,O=C(OCCc1ccccc1)c2ccccc2,4.87508665,1.06509678
OC2C(O)C(CO1)OC1C2O,CCCc2cc1OCOc1cc2,6.53377643,1.22234576
OC2C(O)C(CO1)OC1C2O,COC(C1CCC(CC1)C(OC)=O)=O,1.90661841,0.43757729
OC2C(O)C(CO1)OC1C2O,CCCC1CCCCC1=O,1.7237961,0.44512174
