SMILES0,SMILES,gamma1,gamma2
OC=C,OC(C)C(O)=O,-0.69688937,-0.16119063
OC=C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.5180165,0.49102344
OC=C,OCC(O)C,-2.226603,-0.53156155
OC=C,O=C1CCO1,-1.28293076,-0.29277883
OC=C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.60454618,-0.2671762
OC=C,CCOCC,-3.42535195,-1.00712916
OC=C,OCC,-2.65376669,-0.70397131
OC=C,CCCCCC=O,-1.86034317,-0.47642452
OC=C,CO,-2.73125841,-0.71979328
OC=C,OC(C)C,-2.70478823,-0.73621649
OC=C,CC(C)=O,-3.70214778,-0.93882859
OC=C,OCCC,-2.24228534,-0.59703573
OC=C,OCCCC,-2.22299143,-0.60878785
OC=C,OCCCCC,-2.10031337,-0.58563469
OC=C,CC1OC1,-3.07209927,-0.80522678
OC=C,CCC(C)(C)C,4.56703613,0.78783229
OC=C,CC(C)(C)C(C)=O,-2.81737265,-0.73501618
OC=C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-2.43539443,-0.68320397
OC=C,COC(C)(C)OC,-3.37735315,-0.91421899
OC=C,CCC1(CC)CCCCC1,4.43854433,0.78112755
OC=C,CCOC(C)(OCC)OCC,-3.77680477,-0.83202983
OC=C,CC(C)CCCC(O)(C)CC,-2.25208431,-0.69491235
OC=C,CCC(C)C,4.63547577,0.78893224
OC=C,CC(=C)C=C,3.10170551,0.54508137
OC=C,CC(=C)C#C,2.34546049,0.43203073
OC=C,OCC(C)C,-1.85122253,-0.50732652
OC=C,CC(C)C=O,-2.13787582,-0.54422479
OC=C,CC(=C)C=O,-2.35449007,-0.59184783
OC=C,CCC(O)C,-2.3238395,-0.63621364
OC=C,CCC(C)=O,-3.37924938,-0.86762221
OC=C,COC(C)=O,-2.53871078,-0.62048636
OC=C,CC(C)C(C)C,4.58029746,0.79065692
OC=C,CC(C)C(O)=O,-0.59525149,-0.14929363
OC=C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-1.90158274,-0.5134751
OC=C,OOC(C)(C)C(CC1)CCC1C,-0.02358821,-0.03082754
OC=C,CCOC(C(O)(C)C)=O,-3.16215327,-0.86930259
OC=C,COC(=O)C(C)=C,-1.5909921,-0.39596499
OC=C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.32226346,0.08900377
OC=C,COc2cccc3c2C(=O)c1ccccc1C3=O,-2.31638192,-0.49479712
OC=C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.24303072,-0.46266094
OC=C,CCOC(=O)c1ccccc1C(OCC)=O,-1.32677476,-0.25364997
OC=C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-1.06191414,-0.2204978
OC=C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.749247,-0.16967093
OC=C,CC(C)CCOC(=O)c1ccccc1O,0.45897502,0.08814175
OC=C,Oc2ccccc2C(OCCc1ccccc1)=O,0.49739644,0.11008887
OC=C,O=C2c1ccccc1CO2,-1.77313016,-0.3915983
OC=C,OCC(O)C(O)C(O)CO,-2.48403736,-0.49958611
OC=C,CCC(CC)C(O)=O,-0.36003795,-0.09772781
OC=C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.23989272,-0.35169828
OC=C,COc1cc(C)ccc1C(C)(C)C,2.98824602,0.56375843
OC=C,CC2CCC(CC1=C2CCC1C)=C(C)C,3.41063041,0.64932994
OC=C,COC(=O)c1ccccc1C,-0.82036538,-0.20602139
OC=C,CC(=O)c1ccc(C)cc1C,-2.52384091,-0.68145433
OC=C,Cc2c1ccccc1ccc2,2.67477833,0.50581863
OC=C,O=C2CCCCC2C1CCCCC1,-2.21764246,-0.60433951
OC=C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-2.20132972,-0.5016445
OC=C,CC(C=O)c1ccccc1,-0.98478419,-0.23885286
OC=C,CCC(O)c1ccccc1,-1.04916439,-0.27878923
OC=C,CCOC(=O)c1ccccc1,-0.97818681,-0.2431477
OC=C,CC(OC(C)c2ccccc2)c1ccccc1,-1.51204083,-0.36472489
OC=C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.29187039,-0.04664826
OC=C,CCOC(=O)c(cc1)ccc1C,-1.10188819,-0.27912982
OC=C,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-15.50225969,-1.2916926
OC=C,O=C(OCCc1ccccc1)c2ccccc2,-0.30578165,-0.07340729
OC=C,CCCc2cc1OCOc1cc2,1.6105708,0.33798919
OC=C,COC(C1CCC(CC1)C(OC)=O)=O,-2.12381151,-0.3974153
OC=C,CCCC1CCCCC1=O,-2.63185772,-0.70881758
OC=C,CCOc1ccc(C=CC)cc1O,0.49183046,0.10891726
OC=C,CCCC(O)C(CO)CC,-2.86928645,-0.75386733
OC=C,Cc(ccc1C)cc1C,2.98216174,0.55556057
OC=C,CCOC(=O)C(OCC)=O,-1.5561475,-0.32749928
OC=C,CC1OC(C(C)OC1=O)=O,-0.70120036,-0.136572
OC=C,CCCCC(=O)C(C)=O,-0.58650996,-0.12531391
OC=C,C=CCOC(=O)C(C)=C,-1.03416439,-0.26515686
OC=C,C1OC1c2ccccc2,-0.55706357,-0.12726538
OC=C,CCC(C)CC,4.59825701,0.79340318
OC=C,CCC(CC)=O,-2.95815071,-0.77338972
OC=C,OCC(CO)=O,-1.77217629,-0.35523703
OC=C,COC(=O)C=C,-1.59062543,-0.38761622
OC=C,COC(CO)=O,-2.4535768,-0.57730671
OC=C,CC1CCCC1,4.61109597,0.79274534
OC=C,CC1CCCO1,-4.57853142,-1.41624148
OC=C,O=C1CCCO1,-2.98112786,-0.68140981
OC=C,CCCC(C)C(O)=O,-0.34797009,-0.09545042
