SMILES0,SMILES,gamma1,gamma2
OC=O,OC(C)C(O)=O,-0.27013651,-0.0606314
OC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.97293258,0.88466508
OC=O,OCC(O)C,-1.96811256,-0.49539811
OC=O,O=C1CCO1,-0.52487365,-0.13007728
OC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.31774231,-0.10669034
OC=O,CCOCC,-2.50172732,-0.7435749
OC=O,OCC,-2.30943146,-0.62639911
OC=O,CCCCCC=O,-0.67160682,-0.20322503
OC=O,CO,-2.6199071,-0.69815808
OC=O,OC(C)C,-2.22991842,-0.63324859
OC=O,CC(C)=O,-3.11639316,-0.83749871
OC=O,OCCC,-1.69415664,-0.47255942
OC=O,OCCCC,-1.58704767,-0.4667858
OC=O,OCCCCC,-1.38571901,-0.4318575
OC=O,CC1OC1,-2.25185556,-0.58396281
OC=O,CCC(C)(C)C,7.99986313,1.21574641
OC=O,CC(C)(C)C(C)=O,-1.85490098,-0.53359897
OC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.32726465,-0.46323406
OC=O,COC(C)(C)OC,-2.47584752,-0.74483238
OC=O,CCC1(CC)CCCCC1,7.87569881,1.22567419
OC=O,CCOC(C)(OCC)OCC,-3.01159723,-0.79324715
OC=O,CC(C)CCCC(O)(C)CC,-1.36006635,-0.53133818
OC=O,CCC(C)C,8.10984849,1.21557268
OC=O,CC(=C)C=C,5.80475241,0.91857034
OC=O,CC(=C)C#C,4.35565709,0.71068245
OC=O,OCC(C)C,-1.1753807,-0.35477444
OC=O,CC(C)C=O,-1.02642439,-0.26726352
OC=O,CC(=C)C=O,-1.43153948,-0.36647921
OC=O,CCC(O)C,-1.67583903,-0.4933118
OC=O,CCC(C)=O,-2.64100163,-0.72901064
OC=O,COC(C)=O,-1.5815155,-0.40728931
OC=O,CC(C)C(C)C,8.03228683,1.22152081
OC=O,CC(C)C(O)=O,0.39036901,0.08997146
OC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.72673613,-0.32275731
