SMILES0,SMILES,gamma1,gamma2
OCC#C,OC(C)C(O)=O,-0.40272959,-0.10060612
OCC#C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.26755458,0.72766607
OCC#C,OCC(O)C,-0.30662159,-0.07633878
OCC#C,O=C1CCO1,0.11284436,-0.00625914
OCC#C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.52380817,0.11963164
OCC#C,CCOCC,-0.70149809,-0.18259385
OCC#C,OCC,-0.46889594,-0.1033787
OCC#C,CCCCCC=O,0.43824353,0.07638874
OCC#C,CO,-0.77496745,-0.17918006
OCC#C,OC(C)C,-0.33770882,-0.07928332
OCC#C,CC(C)=O,-1.79842025,-0.45545264
OCC#C,OCCC,0.00014176,0.00629293
OCC#C,OCCCC,0.15516237,0.03576117
OCC#C,OCCCCC,0.36777734,0.07756133
OCC#C,CC1OC1,-1.00590124,-0.26175241
OCC#C,CCC(C)(C)C,7.10993694,1.12760862
OCC#C,CC(C)(C)C(C)=O,-0.50288171,-0.14818327
OCC#C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.50005341,0.08173936
OCC#C,COC(C)(C)OC,-0.83346834,-0.22952781
OCC#C,CCC1(CC)CCCCC1,6.99443451,1.13400588
OCC#C,CCOC(C)(OCC)OCC,-0.96808852,-0.22929182
OCC#C,CC(C)CCCC(O)(C)CC,0.67692534,0.09859059
OCC#C,CCC(C)C,7.17804452,1.12206112
OCC#C,CC(=C)C=C,5.0326466,0.76809332
OCC#C,CC(=C)C#C,3.5149038,0.56650346
OCC#C,OCC(C)C,0.42811796,0.10201744
OCC#C,CC(C)C=O,-0.06031201,-0.04458841
OCC#C,CC(=C)C=O,-0.40581888,-0.11945703
OCC#C,CCC(O)C,0.09991511,0.02225735
OCC#C,CCC(C)=O,-1.29850278,-0.33511835
OCC#C,COC(C)=O,-0.69116146,-0.18693024
OCC#C,CC(C)C(C)C,7.12734797,1.13144559
OCC#C,CC(C)C(O)=O,-0.05336439,-0.01788179
OCC#C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.71186291,0.10609328
OCC#C,OOC(C)(C)C(CC1)CCC1C,1.26633813,0.26700248
OCC#C,CCOC(C(O)(C)C)=O,-0.74694745,-0.20536434
OCC#C,COC(=O)C(C)=C,0.45778246,0.073653
OCC#C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.91393946,0.38408654
OCC#C,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.25995023,-0.04356178
