SMILES0,SMILES,gamma1,gamma2
OCC#CCO,OC(C)C(O)=O,-0.54717582,-0.13652777
OCC#CCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.65156305,1.35295701
OCC#CCO,OCC(O)C,-0.11723879,-0.0311961
OCC#CCO,O=C1CCO1,1.9601669,0.32803009
OCC#CCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.6375451,0.56194403
OCC#CCO,CCOCC,0.3039525,0.14195314
OCC#CCO,OCC,-0.33086859,-0.06262315
OCC#CCO,CCCCCC=O,2.26573516,0.47461845
OCC#CCO,CO,-0.83784879,-0.18798488
OCC#CCO,OC(C)C,-0.03159685,0.01429323
OCC#CCO,CC(C)=O,-0.96287483,-0.25139934
OCC#CCO,OCCC,0.37103945,0.10649711
OCC#CCO,OCCCC,0.66237867,0.18010762
OCC#CCO,OCCCCC,0.99689455,0.25886949
OCC#CCO,CC1OC1,0.15826509,0.01071933
OCC#CCO,CCC(C)(C)C,12.60929009,1.66165463
OCC#CCO,CC(C)(C)C(C)=O,0.88135258,0.19098656
OCC#CCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.1437617,0.53136805
OCC#CCO,COC(C)(C)OC,0.22739604,0.05726484
OCC#CCO,CCC1(CC)CCCCC1,12.50433099,1.75370006
OCC#CCO,CCOC(C)(OCC)OCC,-0.0467229,-0.01504392
OCC#CCO,CC(C)CCCC(O)(C)CC,1.67827759,0.40432876
OCC#CCO,CCC(C)C,12.70864171,1.62729289
OCC#CCO,CC(=C)C=C,9.60891076,1.20443467
OCC#CCO,CC(=C)C#C,6.85977648,0.90693444
OCC#CCO,OCC(C)C,0.98882123,0.2539239
OCC#CCO,CC(C)C=O,1.61588895,0.29703363
OCC#CCO,CC(=C)C=O,1.13233082,0.2017964
OCC#CCO,CCC(O)C,0.63475217,0.17477063
OCC#CCO,CCC(C)=O,-0.289191,-0.08646049
OCC#CCO,COC(C)=O,0.77014446,0.11444565
OCC#CCO,CC(C)C(C)C,12.64789594,1.67010789
OCC#CCO,CC(C)C(O)=O,0.10440658,0.03208055
OCC#CCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.69025847,0.57446672
OCC#CCO,OOC(C)(C)C(CC1)CCC1C,2.33474679,0.55358477
OCC#CCO,CCOC(C(O)(C)C)=O,0.22310714,0.06763277
OCC#CCO,COC(=O)C(C)=C,2.48889539,0.47447163
OCC#CCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.91956305,0.91673023
OCC#CCO,COc2cccc3c2C(=O)c1ccccc1C3=O,1.38610558,0.32928166
OCC#CCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.27374839,0.65001462
OCC#CCO,CCOC(=O)c1ccccc1C(OCC)=O,2.91830614,0.61478079
OCC#CCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.67097962,0.76118695
OCC#CCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,4.33923435,0.8712674
OCC#CCO,CC(C)CCOC(=O)c1ccccc1O,6.01151608,1.12602965
OCC#CCO,Oc2ccccc2C(OCCc1ccccc1)=O,5.77075317,1.08481059
OCC#CCO,O=C2c1ccccc1CO2,1.66389558,0.34723688
OCC#CCO,OCC(O)C(O)C(O)CO,-0.34395863,-0.08445771
OCC#CCO,CCC(CC)C(O)=O,0.75672902,0.18957591
OCC#CCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.93240449,0.44176136
OCC#CCO,COc1cc(C)ccc1C(C)(C)C,9.69325255,1.4418436
OCC#CCO,CC2CCC(CC1=C2CCC1C)=C(C)C,10.92515019,1.67716366
OCC#CCO,COC(=O)c1ccccc1C,3.83049653,0.76064791
OCC#CCO,CC(=O)c1ccc(C)cc1C,1.47314739,0.36221826
OCC#CCO,Cc2c1ccccc1ccc2,8.80980592,1.25976307
OCC#CCO,O=C2CCCCC2C1CCCCC1,2.21698479,0.49587316
OCC#CCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.64479284,0.37517649
OCC#CCO,CC(C=O)c1ccccc1,3.3619251,0.66767923
OCC#CCO,CCC(O)c1ccccc1,1.72251111,0.42182493
OCC#CCO,CCOC(=O)c1ccccc1,3.56998515,0.71308252
OCC#CCO,CC(OC(C)c2ccccc2)c1ccccc1,3.5836488,0.88716852
OCC#CCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,4.39491225,0.88490244
OCC#CCO,CCOC(=O)c(cc1)ccc1C,3.52811149,0.71919749
OCC#CCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-13.90411167,-0.67636564
OCC#CCO,O=C(OCCc1ccccc1)c2ccccc2,4.64386336,0.92709308
OCC#CCO,CCCc2cc1OCOc1cc2,7.13651311,1.16497196
OCC#CCO,COC(C1CCC(CC1)C(OC)=O)=O,1.73134971,0.37518121
OCC#CCO,CCCC1CCCCC1=O,1.41441437,0.31398713
OCC#CCO,CCOc1ccc(C=CC)cc1O,3.40576929,0.74828001
OCC#CCO,CCCC(O)C(CO)CC,0.40008189,0.08923439
OCC#CCO,Cc(ccc1C)cc1C,9.60572441,1.35165291
OCC#CCO,CCOC(=O)C(OCC)=O,2.38795263,0.47678756
OCC#CCO,CC1OC(C(C)OC1=O)=O,2.30253094,0.47283415
OCC#CCO,CCCCC(=O)C(C)=O,4.01083159,0.7556317
OCC#CCO,C=CCOC(=O)C(C)=C,3.49417099,0.68948903
OCC#CCO,C1OC1c2ccccc2,3.95497077,0.74594888
OCC#CCO,CCC(C)CC,12.69426961,1.68250996
OCC#CCO,CCC(CC)=O,0.54445515,0.1054922
OCC#CCO,OCC(CO)=O,-0.12782263,-0.02847663
OCC#CCO,COC(=O)C=C,2.20754175,0.3993624
OCC#CCO,COC(CO)=O,-0.24953829,-0.0633913
OCC#CCO,CC1CCCC1,12.65859509,1.6496737
OCC#CCO,CC1CCCO1,-1.55480928,-0.31743396
OCC#CCO,O=C1CCCO1,-0.07942001,-0.05563836
OCC#CCO,CCCC(C)C(O)=O,0.75307239,0.18780965
OCC#CCO,CCOC(C(C)C)=O,2.39292727,0.48626054
OCC#CCO,CCOC(=O)C(C)=C,2.62202745,0.52529866
OCC#CCO,CCOC(C(O)C)=O,0.17462183,0.05111732
OCC#CCO,CC(C)C(OC(C(C)C)=O)=O,4.05385434,0.77472155
OCC#CCO,CC(C)COC(C(C)C)=O,3.02953159,0.63155362
OCC#CCO,CC(C)COC(=O)C(C)=C,3.35560394,0.68719068
OCC#CCO,CCCCOC(C(C)C)=O,3.10319962,0.64460022
OCC#CCO,CCCCOC(=O)C(C)=C,3.19601375,0.66045856
OCC#CCO,CCC(CC)C=O,2.58942497,0.52412663
OCC#CCO,OCC1CCCO1,-1.1724152,-0.29186697
OCC#CCO,OCc1occc1,0.41000857,0.10424412
OCC#CCO,O=Cc1occc1,0.87731123,0.18524618
OCC#CCO,CC(C)(C)c1ccccc1,9.7169131,1.3847814
OCC#CCO,OOC(C)(C)c(cc1)ccc1C(C)C,2.37827551,0.54620085
OCC#CCO,CC(C)(C)c(cc1)ccc1C,10.01019088,1.45586393
OCC#CCO,OC1CCC(CC1)C(C)(C)C,1.47964508,0.36126296
OCC#CCO,CC(C)(C)C1CCC(CC1)=O,0.80894755,0.18133351
OCC#CCO,CC(C)c1ccccc1,9.60494586,1.34799886
OCC#CCO,COC(=O)c(ccc1)cc1C,3.61014944,0.71633495
OCC#CCO,OC1CC(CC=C1C)C(C)=C,1.72746826,0.4233262
OCC#CCO,CC(C)c1cc(C(C)C)ccc1,10.19137728,1.5071877
OCC#CCO,CCCC(CCC)C(O)=O,1.28347835,0.30523197
OCC#CCO,CC(C=O)c(cc1)ccc1C,3.51191689,0.71182088
OCC#CCO,CC1CCC(C(C)C)CC1,12.57996949,1.78659145
OCC#CCO,CC(C)c(cc1)ccc1C,9.89662632,1.42218753
OCC#CCO,C=CC1CC=CCC1,9.92999617,1.3847543
OCC#CCO,CCc1ccccc1,9.37711705,1.28290202
OCC#CCO,C=Cc1ccccc1,8.58195939,1.16753596
OCC#CCO,OCC1CCCCC1,1.54776184,0.38715415
OCC#CCO,COc1ccccc1,6.10454339,0.97534772
OCC#CCO,OCC1CCCCO1,-0.50695333,-0.11515438
OCC#CCO,OCC(CO1)OC1(C)C,0.07182163,0.0190732
OCC#CCO,Cc1cc(C=C)ccc1,8.91744925,1.25212984
OCC#CCO,COc(ccc1)cc1C,6.33950394,1.04949995
OCC#CCO,COC(=O)Cc1ccccc1,2.94443823,0.60571578
OCC#CCO,COC(OC)Cc1ccccc1,2.16251603,0.50031671
OCC#CCO,Cc2ccc(OC(=O)Cc1ccccc1)cc2,4.14700425,0.83847371
OCC#CCO,CC(C)COC(=O)Cc1ccccc1,3.35754037,0.70381789
OCC#CCO,O=C(OCc2ccccc2)Cc1ccccc1,3.58241649,0.74915622
OCC#CCO,CCc1cc(CC)cc(CC)c1,10.32581534,1.53307397
OCC#CCO,CC(=O)Oc(ccc1)cc1O,-0.24395877,-0.05729201
OCC#CCO,COC(OC)CC(OC)OC,0.65936779,0.14118221
OCC#CCO,CCCCC(CC)COC(C)=O,2.95583853,0.62322818
OCC#CCO,CCCCC(CC)COC(=O)C=C,4.06770098,0.83522243
OCC#CCO,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,3.34989703,0.65029279
OCC#CCO,COC(CCc1ccccc1)=O,3.12563922,0.64566054
OCC#CCO,CC(C)C(OCc1ccccc1)=O,3.57783169,0.73449641
OCC#CCO,CCCC(OCc1ccccc1)=O,3.64267475,0.75165277
OCC#CCO,CC(C)CC(OCc1ccccc1)=O,3.97439711,0.81890511
OCC#CCO,CC(OCCc1ccccc1)=O,2.71822303,0.57852276
OCC#CCO,CC(C)C(OCCc1ccccc1)=O,3.73565352,0.77307566
OCC#CCO,CC(C)C(OCCOc1ccccc1)=O,3.59411517,0.74517718
OCC#CCO,CCCc1ccccc1,9.61836089,1.35797374
OCC#CCO,CC(C)C(=O)Oc(cc1)ccc1C,4.03213162,0.80810605
OCC#CCO,CCCc(cc1)ccc1OC,6.8219704,1.17895479
OCC#CCO,CCCCC1OC(CC1)=O,1.08410632,0.23410518
OCC#CCO,CCCCc1ccccc1,9.82505653,1.4205646
OCC#CCO,O=COCc1ccccc1,3.26198268,0.64423874
OCC#CCO,CCCCCC1OC(CC1)=O,1.33472594,0.29001206
OCC#CCO,O=COCCc1ccccc1,3.36016735,0.67638504
OCC#CCO,CCCCCCCC1OC(CC1)=O,1.7948418,0.38720354
OCC#CCO,CCCCC(CO)CC,2.11268628,0.51102717
OCC#CCO,COc(cc1)ccc1C,6.21804971,1.04223056
OCC#CCO,CC(C)COC(CCc1occc1)=O,3.80584537,0.78568649
OCC#CCO,CCc1ccc(CC)cc1,9.96536648,1.43611797
OCC#CCO,C=Cc1ccc(C=C)cc1,8.52736819,1.22710359
OCC#CCO,CCCC1OC(CC1)=O,0.73369336,0.152724
OCC#CCO,OCC=C(C)C#C,0.6010163,0.15086251
OCC#CCO,CCCC(C)CO,1.60728201,0.39855881
OCC#CCO,CCCC(O)C#C,1.01142311,0.24632107
OCC#CCO,CCOC(CC)=O,1.77837715,0.36095561
OCC#CCO,CCC(OC=C)=O,4.31647481,0.77169764
OCC#CCO,CCC(C)CC(C)=O,1.18689721,0.26786441
OCC#CCO,CCC(C)CC(O)=O,0.65222889,0.16342801
OCC#CCO,CCC(C)OC(C)=O,1.87417242,0.39133869
OCC#CCO,CCOC(CC(OCC)=O)=O,2.35181249,0.49053832
OCC#CCO,CCOC(CCC)=O,2.50272224,0.50885982
OCC#CCO,CCOC(C)OCC,0.51249225,0.13256826
OCC#CCO,CCOC(OCC)=O,2.69659704,0.52060321
OCC#CCO,CCCOC(CCC)=O,2.63794829,0.54830072
OCC#CCO,CC(C)CCOC(CC)=O,2.95996956,0.61654338
OCC#CCO,CCCCOC(=O)C=CC(OCCCC)=O,3.46208174,0.72093062
OCC#CCO,O=C1OCCOC(CCCCCCCCCCC1)=O,2.73524523,0.58457735
OCC#CCO,CCCCCCCCCCCC(OCCCC)=O,4.46869001,0.89739698
OCC#CCO,OCCC(C)CCCC(C)C,2.07826235,0.4893732
OCC#CCO,CC(C)CCOC(CCC)=O,3.17141225,0.66198403
OCC#CCO,CCCCCCC(OCC)=O,3.21106804,0.67548747
OCC#CCO,CCCC(OC(CCC)=O)=O,3.81830444,0.74740573
OCC#CCO,CCCCCCCC(OCC)=O,3.45527637,0.72156159
OCC#CCO,CCCCC(CC)=O,1.26233791,0.2722615
OCC#CCO,CCCOC(CC)=O,2.12288728,0.43958452
OCC#CCO,CC(C)COC(=O)C=C,2.89309636,0.59392408
OCC#CCO,CCCCCC(CC)=O,1.63325308,0.35796414
OCC#CCO,CCCCCC(OC)=O,2.75020017,0.57160804
OCC#CCO,CC(CCC=C(C)C)C=O,3.24002138,0.6792803
OCC#CCO,CCCCCCC(OC)=O,3.11377414,0.64836049
OCC#CCO,CCOCCOC(=O)C=C,1.3244476,0.29336214
OCC#CCO,C=CC2CC1OC1CC2,2.29587032,0.50773858
OCC#CCO,C1OC1C3CC2OC2CC3,0.76330286,0.16126443
