SMILES0,SMILES,gamma1,gamma2
OCC(=O)C(O)=O,OC(C)C(O)=O,-0.08661184,-0.01788754
OCC(=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.29523893,0.97339932
OCC(=O)C(O)=O,OCC(O)C,-1.87856018,-0.48129753
OCC(=O)C(O)=O,O=C1CCO1,-0.84955504,-0.25174934
OCC(=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.01016774,-0.01365218
OCC(=O)C(O)=O,CCOCC,-2.71393807,-0.60836453
OCC(=O)C(O)=O,OCC,-2.41819847,-0.59961824
OCC(=O)C(O)=O,CCCCCC=O,-0.60532576,-0.14276506
OCC(=O)C(O)=O,CO,-2.93448482,-0.72454977
OCC(=O)C(O)=O,OC(C)C,-2.24859976,-0.56388327
OCC(=O)C(O)=O,CC(C)=O,-4.05044267,-1.03900552
OCC(=O)C(O)=O,OCCC,-1.55804266,-0.38298507
OCC(=O)C(O)=O,OCCCC,-1.36094753,-0.33450292
OCC(=O)C(O)=O,OCCCCC,-1.04434181,-0.25967639
OCC(=O)C(O)=O,CC1OC1,-2.85312679,-0.67775679
OCC(=O)C(O)=O,CCC(C)(C)C,9.12706598,1.493617
OCC(=O)C(O)=O,CC(C)(C)C(C)=O,-2.10875994,-0.52592063
OCC(=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.84330808,-0.19716346
OCC(=O)C(O)=O,COC(C)(C)OC,-2.70548404,-0.70317478
OCC(=O)C(O)=O,CCC1(CC)CCCCC1,9.05569243,1.55762793
OCC(=O)C(O)=O,CCOC(C)(OCC)OCC,-3.197365,-0.84773088
OCC(=O)C(O)=O,CC(C)CCCC(O)(C)CC,-0.79660707,-0.24737641
OCC(=O)C(O)=O,CCC(C)C,9.23448468,1.47673075
OCC(=O)C(O)=O,CC(=C)C=C,6.16378943,0.93817709
OCC(=O)C(O)=O,CC(=C)C#C,4.2513992,0.63631994
OCC(=O)C(O)=O,OCC(C)C,-0.85335662,-0.21005388
OCC(=O)C(O)=O,CC(C)C=O,-1.27437748,-0.30895155
OCC(=O)C(O)=O,CC(=C)C=O,-1.74135799,-0.42852993
OCC(=O)C(O)=O,CCC(O)C,-1.47324096,-0.36565426
OCC(=O)C(O)=O,CCC(C)=O,-3.30365499,-0.84487927
OCC(=O)C(O)=O,COC(C)=O,-1.98200459,-0.50201315
OCC(=O)C(O)=O,CC(C)C(C)C,9.17222313,1.50509682
OCC(=O)C(O)=O,CC(C)C(O)=O,0.59400867,0.15760433
OCC(=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.34524297,-0.14677137
