SMILES0,SMILES,gamma1,gamma2
OCC(C)(CO)C(O)=O,OC(C)C(O)=O,-0.40413589,-0.10261425
OCC(C)(CO)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.93692422,1.06407999
OCC(C)(CO)C(O)=O,OCC(O)C,-0.16716569,-0.04754255
OCC(C)(CO)C(O)=O,O=C1CCO1,1.55083817,0.27057266
OCC(C)(CO)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.85801351,0.40003243
OCC(C)(CO)C(O)=O,CCOCC,0.00122237,0.05034269
OCC(C)(CO)C(O)=O,OCC,-0.36878017,-0.09982141
OCC(C)(CO)C(O)=O,CCCCCC=O,1.51114269,0.3268238
OCC(C)(CO)C(O)=O,CO,-0.67946425,-0.16770414
OCC(C)(CO)C(O)=O,OC(C)C,-0.18951036,-0.05434326
OCC(C)(CO)C(O)=O,CC(C)=O,-1.2092852,-0.30632206
OCC(C)(CO)C(O)=O,OCCC,0.17016357,0.03364669
OCC(C)(CO)C(O)=O,OCCCC,0.39926835,0.09484809
OCC(C)(CO)C(O)=O,OCCCCC,0.6676111,0.16425134
OCC(C)(CO)C(O)=O,CC1OC1,-0.27534489,-0.07348858
OCC(C)(CO)C(O)=O,CCC(C)(C)C,10.79262973,1.41667444
OCC(C)(CO)C(O)=O,CC(C)(C)C(C)=O,0.3981459,0.08862232
OCC(C)(CO)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.49901784,0.39450925
OCC(C)(CO)C(O)=O,COC(C)(C)OC,-0.11467111,-0.02713396
OCC(C)(CO)C(O)=O,CCC1(CC)CCCCC1,10.73801043,1.52282858
OCC(C)(CO)C(O)=O,CCOC(C)(OCC)OCC,-0.34545627,-0.08172124
OCC(C)(CO)C(O)=O,CC(C)CCCC(O)(C)CC,1.22559795,0.29843968
OCC(C)(CO)C(O)=O,CCC(C)C,10.91049398,1.38638493
OCC(C)(CO)C(O)=O,CC(=C)C=C,7.71512829,0.91657517
OCC(C)(CO)C(O)=O,CC(=C)C#C,4.85517593,0.53384438
OCC(C)(CO)C(O)=O,OCC(C)C,0.5969837,0.14181286
OCC(C)(CO)C(O)=O,CC(C)C=O,0.96737015,0.17588679
OCC(C)(CO)C(O)=O,CC(=C)C=O,0.6569463,0.11647745
OCC(C)(CO)C(O)=O,CCC(O)C,0.33464775,0.07917717
OCC(C)(CO)C(O)=O,CCC(C)=O,-0.63596418,-0.1661219
OCC(C)(CO)C(O)=O,COC(C)=O,0.35963452,0.04150964
OCC(C)(CO)C(O)=O,CC(C)C(C)C,10.85129334,1.43001322
OCC(C)(CO)C(O)=O,CC(C)C(O)=O,0.06595275,0.01804598
OCC(C)(CO)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.90754918,0.42776518
OCC(C)(CO)C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.64934505,0.40439628
OCC(C)(CO)C(O)=O,CCOC(C(O)(C)C)=O,-0.1100341,-0.02717304
OCC(C)(CO)C(O)=O,COC(=O)C(C)=C,1.86698533,0.36818063
OCC(C)(CO)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.08447015,0.77597987
OCC(C)(CO)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.9869391,0.23059009
OCC(C)(CO)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.42705281,0.50865748
OCC(C)(CO)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,2.17523579,0.46625116
OCC(C)(CO)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.77489865,0.59574418
OCC(C)(CO)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.33034972,0.69797307
OCC(C)(CO)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,4.79977674,0.93421848
OCC(C)(CO)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.47420392,0.86387109
OCC(C)(CO)C(O)=O,O=C2c1ccccc1CO2,1.18460658,0.25110838
OCC(C)(CO)C(O)=O,OCC(O)C(O)C(O)CO,-0.38156402,-0.09681957
OCC(C)(CO)C(O)=O,CCC(CC)C(O)=O,0.55092733,0.14193771
OCC(C)(CO)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.11050308,0.26541572
OCC(C)(CO)C(O)=O,COc1cc(C)ccc1C(C)(C)C,7.85713794,1.15072272
OCC(C)(CO)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,9.11545773,1.42996467
OCC(C)(CO)C(O)=O,COC(=O)c1ccccc1C,2.94890168,0.60784719
OCC(C)(CO)C(O)=O,CC(=O)c1ccc(C)cc1C,0.93582757,0.23974581
OCC(C)(CO)C(O)=O,Cc2c1ccccc1ccc2,7.03275312,0.96891867
OCC(C)(CO)C(O)=O,O=C2CCCCC2C1CCCCC1,1.5932982,0.37698992
OCC(C)(CO)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.02996909,0.23428433
OCC(C)(CO)C(O)=O,CC(C=O)c1ccccc1,2.37828726,0.48315742
OCC(C)(CO)C(O)=O,CCC(O)c1ccccc1,0.87609281,0.22306541
OCC(C)(CO)C(O)=O,CCOC(=O)c1ccccc1,2.75926477,0.57247945
OCC(C)(CO)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,2.32414454,0.63030862
OCC(C)(CO)C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.42416861,0.70477208
OCC(C)(CO)C(O)=O,CCOC(=O)c(cc1)ccc1C,2.73604009,0.58126274
OCC(C)(CO)C(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-13.58136094,-0.81192332
OCC(C)(CO)C(O)=O,O=C(OCCc1ccccc1)c2ccccc2,3.53652149,0.73066267
OCC(C)(CO)C(O)=O,CCCc2cc1OCOc1cc2,5.47450838,0.87817414
OCC(C)(CO)C(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,1.16609205,0.2480658
OCC(C)(CO)C(O)=O,CCCC1CCCCC1=O,0.90907658,0.21266706
OCC(C)(CO)C(O)=O,CCOc1ccc(C=CC)cc1O,2.28487859,0.49467943
OCC(C)(CO)C(O)=O,CCCC(O)C(CO)CC,0.18051166,0.03781874
OCC(C)(CO)C(O)=O,Cc(ccc1C)cc1C,7.80205728,1.07086252
OCC(C)(CO)C(O)=O,CCOC(=O)C(OCC)=O,1.77202538,0.35599452
OCC(C)(CO)C(O)=O,CC1OC(C(C)OC1=O)=O,1.60003199,0.3267958
OCC(C)(CO)C(O)=O,CCCCC(=O)C(C)=O,3.01513578,0.57833968
OCC(C)(CO)C(O)=O,C=CCOC(=O)C(C)=C,2.66287448,0.54473002
OCC(C)(CO)C(O)=O,C1OC1c2ccccc2,2.84444327,0.54841635
OCC(C)(CO)C(O)=O,CCC(C)CC,10.92059604,1.44867049
OCC(C)(CO)C(O)=O,CCC(CC)=O,0.1033201,0.01108706
OCC(C)(CO)C(O)=O,OCC(CO)=O,-0.03494144,-0.01051382
OCC(C)(CO)C(O)=O,COC(=O)C=C,1.61626972,0.30056458
OCC(C)(CO)C(O)=O,COC(CO)=O,-0.2989171,-0.07673748
OCC(C)(CO)C(O)=O,CC1CCCC1,10.82291608,1.39835114
OCC(C)(CO)C(O)=O,CC1CCCO1,-1.6505012,-0.37689711
OCC(C)(CO)C(O)=O,O=C1CCCO1,-0.38073568,-0.12202168
OCC(C)(CO)C(O)=O,CCCC(C)C(O)=O,0.55008463,0.14156746
OCC(C)(CO)C(O)=O,CCOC(C(C)C)=O,1.77989941,0.37695405
OCC(C)(CO)C(O)=O,CCOC(=O)C(C)=C,2.00473974,0.41955945
OCC(C)(CO)C(O)=O,CCOC(C(O)C)=O,-0.12827356,-0.03248502
OCC(C)(CO)C(O)=O,CC(C)C(OC(C(C)C)=O)=O,3.15876742,0.6196447
OCC(C)(CO)C(O)=O,CC(C)COC(C(C)C)=O,2.35686023,0.51795004
OCC(C)(CO)C(O)=O,CC(C)COC(=O)C(C)=C,2.64077457,0.56841692
OCC(C)(CO)C(O)=O,CCCCOC(C(C)C)=O,2.41677668,0.5287998
OCC(C)(CO)C(O)=O,CCCCOC(=O)C(C)=C,2.5092604,0.54518915
