SMILES0,SMILES,gamma1,gamma2
OCC(C)(CO)CO,OC(C)C(O)=O,-2.04346785,-0.56260884
OCC(C)(CO)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.84739194,0.45648845
OCC(C)(CO)CO,OCC(O)C,-0.01172344,-0.0015676
OCC(C)(CO)CO,O=C1CCO1,1.99201028,0.47012281
OCC(C)(CO)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.02171899,0.24063283
OCC(C)(CO)CO,CCOCC,0.73673001,0.17194403
OCC(C)(CO)CO,OCC,-0.08018996,-0.01780602
OCC(C)(CO)CO,CCCCCC=O,1.10079599,0.26607141
OCC(C)(CO)CO,CO,-0.03700459,-0.00258973
OCC(C)(CO)CO,OC(C)C,0.00199626,0.00041177
OCC(C)(CO)CO,CC(C)=O,0.23492194,0.03878502
OCC(C)(CO)CO,OCCC,-0.03597231,-0.00629504
OCC(C)(CO)CO,OCCCC,0.08554178,0.02591761
OCC(C)(CO)CO,OCCCCC,0.17861446,0.05177295
OCC(C)(CO)CO,CC1OC1,0.60967036,0.12092321
OCC(C)(CO)CO,CCC(C)(C)C,3.50617673,0.78766218
OCC(C)(CO)CO,CC(C)(C)C(C)=O,0.82132228,0.18828622
OCC(C)(CO)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.39945644,0.34317319
OCC(C)(CO)CO,COC(C)(C)OC,0.64450836,0.14605324
OCC(C)(CO)CO,CCC1(CC)CCCCC1,3.45545587,0.82013411
OCC(C)(CO)CO,CCOC(C)(OCC)OCC,0.56650915,0.14906719
OCC(C)(CO)CO,CC(C)CCCC(O)(C)CC,0.73590802,0.18474046
OCC(C)(CO)CO,CCC(C)C,3.56961631,0.77946857
OCC(C)(CO)CO,CC(=C)C=C,2.21489019,0.51015851
OCC(C)(CO)CO,CC(=C)C#C,0.07982233,0.09490099
OCC(C)(CO)CO,OCC(C)C,-0.05393613,-0.00238265
OCC(C)(CO)CO,CC(C)C=O,0.96221018,0.21413765
OCC(C)(CO)CO,CC(=C)C=O,1.05285995,0.2397836
OCC(C)(CO)CO,CCC(O)C,0.11764282,0.03132799
OCC(C)(CO)CO,CCC(C)=O,0.40280693,0.08245768
OCC(C)(CO)CO,COC(C)=O,0.94644223,0.21143412
OCC(C)(CO)CO,CC(C)C(C)C,3.53934103,0.79688608
OCC(C)(CO)CO,CC(C)C(O)=O,-2.54300685,-0.67400794
OCC(C)(CO)CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.35097243,0.3272855
OCC(C)(CO)CO,OOC(C)(C)C(CC1)CCC1C,-1.74237187,-0.43026996
OCC(C)(CO)CO,CCOC(C(O)(C)C)=O,0.51986023,0.12841469
OCC(C)(CO)CO,COC(=O)C(C)=C,1.34970146,0.3240465
OCC(C)(CO)CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.93344554,0.23358101
OCC(C)(CO)CO,COc2cccc3c2C(=O)c1ccccc1C3=O,1.32034753,0.31848775
OCC(C)(CO)CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.65062875,0.1266715
OCC(C)(CO)CO,CCOC(=O)c1ccccc1C(OCC)=O,1.29010125,0.32030154
OCC(C)(CO)CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.33715886,0.32169669
OCC(C)(CO)CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.42917645,0.3290962
OCC(C)(CO)CO,CC(C)CCOC(=O)c1ccccc1O,1.82138004,0.45698144
OCC(C)(CO)CO,Oc2ccccc2C(OCCc1ccccc1)=O,1.63839919,0.40459066
OCC(C)(CO)CO,O=C2c1ccccc1CO2,1.45528507,0.36514977
OCC(C)(CO)CO,OCC(O)C(O)C(O)CO,0.04301376,0.01120272
OCC(C)(CO)CO,CCC(CC)C(O)=O,-2.53953481,-0.66844681
OCC(C)(CO)CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.58830957,-0.13201358
OCC(C)(CO)CO,COc1cc(C)ccc1C(C)(C)C,2.13463079,0.53802229
OCC(C)(CO)CO,CC2CCC(CC1=C2CCC1C)=C(C)C,2.87330017,0.71130733
