SMILES0,SMILES,gamma1,gamma2
OCC(C)=O,OC(C)C(O)=O,-1.8260514,-0.46625192
OCC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.24260876,0.29507799
OCC(C)=O,OCC(O)C,0.39872348,0.09845154
OCC(C)=O,O=C1CCO1,0.37538451,0.09343237
OCC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.52095999,0.10872638
OCC(C)=O,CCOCC,1.18033178,0.29597069
OCC(C)=O,OCC,0.73157997,0.17718128
OCC(C)=O,CCCCCC=O,0.88218742,0.21832758
OCC(C)=O,CO,0.64294457,0.15033341
OCC(C)=O,OC(C)C,0.83629412,0.20656942
OCC(C)=O,CC(C)=O,-0.00686827,-0.00152604
OCC(C)=O,OCCC,0.77961493,0.1954554
OCC(C)=O,OCCCC,0.90749055,0.23274239
OCC(C)=O,OCCCCC,1.00192159,0.25745039
OCC(C)=O,CC1OC1,0.36083528,0.08903998
OCC(C)=O,CCC(C)(C)C,3.8112104,0.87375586
OCC(C)=O,CC(C)(C)C(C)=O,0.7224118,0.1781629
OCC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.38481936,0.32536908
OCC(C)=O,COC(C)(C)OC,0.84451726,0.20903601
OCC(C)=O,CCC1(CC)CCCCC1,3.72803202,0.86804015
OCC(C)=O,CCOC(C)(OCC)OCC,0.91967728,0.22443071
OCC(C)=O,CC(C)CCCC(O)(C)CC,1.46235474,0.35116038
OCC(C)=O,CCC(C)C,3.89861072,0.88224692
OCC(C)=O,CC(=C)C=C,1.96300757,0.44905629
OCC(C)=O,CC(=C)C#C,-0.119873,-0.00716717
OCC(C)=O,OCC(C)C,0.74538787,0.19484796
OCC(C)=O,CC(C)C=O,0.61210644,0.15080527
OCC(C)=O,CC(=C)C=O,0.46210211,0.11460963
OCC(C)=O,CCC(O)C,0.90710091,0.22918496
OCC(C)=O,CCC(C)=O,0.25561262,0.06415126
OCC(C)=O,COC(C)=O,0.31033975,0.07708398
OCC(C)=O,CC(C)C(C)C,3.84467073,0.8826101
OCC(C)=O,CC(C)C(O)=O,-1.50830053,-0.40433212
OCC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.12288432,0.25282936
OCC(C)=O,OOC(C)(C)C(CC1)CCC1C,-0.58857011,-0.17567404
OCC(C)=O,CCOC(C(O)(C)C)=O,0.56407846,0.13885136
OCC(C)=O,COC(=O)C(C)=C,0.79772694,0.19776354
OCC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.41369635,0.10487181
OCC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.37266788,0.08758849
OCC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.27610699,0.22609616
OCC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.54624813,0.13082303
OCC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.88443549,0.19557486
OCC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.11755944,0.22832032
OCC(C)=O,CC(C)CCOC(=O)c1ccccc1O,1.4648692,0.34839838
OCC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.95058627,0.23039499
OCC(C)=O,O=C2c1ccccc1CO2,0.26585435,0.06701019
OCC(C)=O,OCC(O)C(O)C(O)CO,-0.08833534,-0.02273611
OCC(C)=O,CCC(CC)C(O)=O,-1.29713736,-0.34949919
OCC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.00968465,-0.0088933
OCC(C)=O,COc1cc(C)ccc1C(C)(C)C,1.96540448,0.46656569
OCC(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.97435402,0.69217669
OCC(C)=O,COC(=O)c1ccccc1C,1.00176384,0.24868428
OCC(C)=O,CC(=O)c1ccc(C)cc1C,0.822289,0.20262927
OCC(C)=O,Cc2c1ccccc1ccc2,1.41503584,0.34154177
OCC(C)=O,O=C2CCCCC2C1CCCCC1,1.32924175,0.31302341
OCC(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.33397944,0.08110176
OCC(C)=O,CC(C=O)c1ccccc1,0.64949919,0.16253378
OCC(C)=O,CCC(O)c1ccccc1,-0.37899226,-0.08490322
OCC(C)=O,CCOC(=O)c1ccccc1,0.96455132,0.23879971
OCC(C)=O,CC(OC(C)c2ccccc2)c1ccccc1,1.18384275,0.28462044
