SMILES0,SMILES,gamma1,gamma2
OCC(C)C(C)=O,OC(C)C(O)=O,-2.28337056,-0.62942845
OCC(C)C(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.92431811,0.21746838
OCC(C)C(C)=O,OCC(O)C,0.0713465,0.02094258
OCC(C)C(C)=O,O=C1CCO1,1.18430731,0.26960107
OCC(C)C(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.40663845,0.09486256
OCC(C)C(C)=O,CCOCC,0.71313204,0.17300146
OCC(C)C(C)=O,OCC,0.21197795,0.05610272
OCC(C)C(C)=O,CCCCCC=O,0.65099029,0.15209223
OCC(C)C(C)=O,CO,0.37577121,0.0946436
OCC(C)C(C)=O,OC(C)C,0.22473866,0.0581761
OCC(C)C(C)=O,CC(C)=O,0.04408267,0.00628594
OCC(C)C(C)=O,OCCC,0.0845781,0.02824228
OCC(C)C(C)=O,OCCCC,0.15852941,0.05137891
OCC(C)C(C)=O,OCCCCC,0.19207609,0.06284132
OCC(C)C(C)=O,CC1OC1,0.26181487,0.05282986
OCC(C)C(C)=O,CCC(C)(C)C,2.94272787,0.65958605
OCC(C)C(C)=O,CC(C)(C)C(C)=O,0.51691754,0.12091486
OCC(C)C(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.95313017,0.23180231
OCC(C)C(C)=O,COC(C)(C)OC,0.49983936,0.12038934
OCC(C)C(C)=O,CCC1(CC)CCCCC1,2.89458357,0.67682641
OCC(C)C(C)=O,CCOC(C)(OCC)OCC,0.52560238,0.13727889
OCC(C)C(C)=O,CC(C)CCCC(O)(C)CC,0.62703842,0.16405402
OCC(C)C(C)=O,CCC(C)C,3.00905761,0.65926947
OCC(C)C(C)=O,CC(=C)C=C,1.39110012,0.29849269
OCC(C)C(C)=O,CC(=C)C#C,-0.74192108,-0.15794499
OCC(C)C(C)=O,OCC(C)C,-0.09164222,-0.00721489
OCC(C)C(C)=O,CC(C)C=O,0.50158012,0.10798207
OCC(C)C(C)=O,CC(=C)C=O,0.49482312,0.10942734
OCC(C)C(C)=O,CCC(O)C,0.16986702,0.04876217
OCC(C)C(C)=O,CCC(C)=O,0.17699149,0.03826856
OCC(C)C(C)=O,COC(C)=O,0.39106632,0.08389277
OCC(C)C(C)=O,CC(C)C(C)C,2.97584693,0.66875862
OCC(C)C(C)=O,CC(C)C(O)=O,-2.65208179,-0.74397569
OCC(C)C(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.81143382,0.19205112
OCC(C)C(C)=O,OOC(C)(C)C(CC1)CCC1C,-1.94168926,-0.53449938
OCC(C)C(C)=O,CCOC(C(O)(C)C)=O,0.22061818,0.05503124
OCC(C)C(C)=O,COC(=O)C(C)=C,0.69173248,0.15758819
OCC(C)C(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.03572292,-0.01130801
OCC(C)C(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.55430151,0.13058135
OCC(C)C(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.24647082,0.02498366
OCC(C)C(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.56260654,0.13336884
OCC(C)C(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.67936277,0.1583775
OCC(C)C(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.80726287,0.18119278
OCC(C)C(C)=O,CC(C)CCOC(=O)c1ccccc1O,1.03947727,0.24830692
OCC(C)C(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.72426948,0.17242136
OCC(C)C(C)=O,O=C2c1ccccc1CO2,0.65341733,0.15722631
OCC(C)C(C)=O,OCC(O)C(O)C(O)CO,-0.20511044,-0.0503958
OCC(C)C(C)=O,CCC(CC)C(O)=O,-2.64469946,-0.74159588
OCC(C)C(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.02756138,-0.25362875
OCC(C)C(C)=O,COc1cc(C)ccc1C(C)(C)C,1.39611451,0.33143894
OCC(C)C(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.24970647,0.53747156
OCC(C)C(C)=O,COC(=O)c1ccccc1C,0.82965286,0.19632719
OCC(C)C(C)=O,CC(=O)c1ccc(C)cc1C,0.63410814,0.15319254
OCC(C)C(C)=O,Cc2c1ccccc1ccc2,1.04673255,0.24379404
OCC(C)C(C)=O,O=C2CCCCC2C1CCCCC1,0.98028034,0.23535075
OCC(C)C(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.39796568,0.09423554
OCC(C)C(C)=O,CC(C=O)c1ccccc1,0.62303278,0.14553969
OCC(C)C(C)=O,CCC(O)c1ccccc1,-1.28628627,-0.31436965
OCC(C)C(C)=O,CCOC(=O)c1ccccc1,0.81890366,0.19413525
OCC(C)C(C)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.81946337,0.19795472
OCC(C)C(C)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.56196278,0.12704344
OCC(C)C(C)=O,CCOC(=O)c(cc1)ccc1C,0.87147471,0.20760675
OCC(C)C(C)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-4.76176286,-0.21097186
OCC(C)C(C)=O,O=C(OCCc1ccccc1)c2ccccc2,0.75431298,0.179005
OCC(C)C(C)=O,CCCc2cc1OCOc1cc2,0.57898726,0.13621903
OCC(C)C(C)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.43733226,0.10367825
OCC(C)C(C)=O,CCCC1CCCCC1=O,0.75291023,0.18185076
OCC(C)C(C)=O,CCOc1ccc(C=CC)cc1O,-2.03185845,-0.46582409
OCC(C)C(C)=O,CCCC(O)C(CO)CC,0.33155838,0.08405795
OCC(C)C(C)=O,Cc(ccc1C)cc1C,1.47380735,0.34149977
OCC(C)C(C)=O,CCOC(=O)C(OCC)=O,0.57143785,0.13314669
OCC(C)C(C)=O,CC1OC(C(C)OC1=O)=O,0.12999054,0.03295832
OCC(C)C(C)=O,CCCCC(=O)C(C)=O,0.69821553,0.16167874
OCC(C)C(C)=O,C=CCOC(=O)C(C)=C,0.82317252,0.19320125
OCC(C)C(C)=O,C1OC1c2ccccc2,0.6967983,0.1605802
OCC(C)C(C)=O,CCC(C)CC,3.01144365,0.67905943
OCC(C)C(C)=O,CCC(CC)=O,0.39864502,0.09156553
OCC(C)C(C)=O,OCC(CO)=O,0.08273549,0.01095725
OCC(C)C(C)=O,COC(=O)C=C,0.59943722,0.13390896
OCC(C)C(C)=O,COC(CO)=O,-0.11835256,-0.03031665
