SMILES0,SMILES,gamma1,gamma2
OCC(C)C=O,OC(C)C(O)=O,-1.13549571,-0.29276081
OCC(C)C=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.11175141,0.45864021
OCC(C)C=O,OCC(O)C,0.3313389,0.08163646
OCC(C)C=O,O=C1CCO1,1.05984636,0.22988167
OCC(C)C=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.84234761,0.18563781
OCC(C)C=O,CCOCC,0.53896878,0.14896982
OCC(C)C=O,OCC,0.4364484,0.10282752
OCC(C)C=O,CCCCCC=O,0.98379354,0.22842945
OCC(C)C=O,CO,0.3845842,0.08671238
OCC(C)C=O,OC(C)C,0.48730776,0.11758077
OCC(C)C=O,CC(C)=O,-0.38648596,-0.10015988
OCC(C)C=O,OCCC,0.58631884,0.14481129
OCC(C)C=O,OCCCC,0.69961407,0.17727838
OCC(C)C=O,OCCCCC,0.81443734,0.20813412
OCC(C)C=O,CC1OC1,0.12252656,0.02601801
OCC(C)C=O,CCC(C)(C)C,4.24984136,0.89813954
OCC(C)C=O,CC(C)(C)C(C)=O,0.50801954,0.12028888
OCC(C)C=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.19800939,0.28640883
OCC(C)C=O,COC(C)(C)OC,0.32152098,0.07891923
OCC(C)C=O,CCC1(CC)CCCCC1,4.18338052,0.91342211
OCC(C)C=O,CCOC(C)(OCC)OCC,0.2859338,0.07329627
OCC(C)C=O,CC(C)CCCC(O)(C)CC,1.19695379,0.28780863
OCC(C)C=O,CCC(C)C,4.32394929,0.89788269
OCC(C)C=O,CC(=C)C=C,2.66669827,0.52683927
OCC(C)C=O,CC(=C)C#C,0.68626815,0.14891094
OCC(C)C=O,OCC(C)C,0.65016638,0.16835564
OCC(C)C=O,CC(C)C=O,0.68577968,0.14893809
OCC(C)C=O,CC(=C)C=O,0.55555456,0.12226194
OCC(C)C=O,CCC(O)C,0.66375771,0.16575845
OCC(C)C=O,CCC(C)=O,-0.07216809,-0.02177687
OCC(C)C=O,COC(C)=O,0.32922464,0.0665638
OCC(C)C=O,CC(C)C(C)C,4.28174747,0.90704299
OCC(C)C=O,CC(C)C(O)=O,-1.13458411,-0.28603238
OCC(C)C=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.21207591,0.2713353
OCC(C)C=O,OOC(C)(C)C(CC1)CCC1C,-0.34680757,-0.0763091
OCC(C)C=O,CCOC(C(O)(C)C)=O,0.2119621,0.0491608
OCC(C)C=O,COC(=O)C(C)=C,1.05722043,0.23510975
OCC(C)C=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.09225273,0.24443804
OCC(C)C=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.66627061,0.15251988
OCC(C)C=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.31678279,0.25656609
OCC(C)C=O,CCOC(=O)c1ccccc1C(OCC)=O,1.02723107,0.23431211
OCC(C)C=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.31520196,0.29135096
OCC(C)C=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.55487608,0.32982798
OCC(C)C=O,CC(C)CCOC(=O)c1ccccc1O,2.04487899,0.4555229
OCC(C)C=O,Oc2ccccc2C(OCCc1ccccc1)=O,1.70472801,0.37939293
OCC(C)C=O,O=C2c1ccccc1CO2,0.74874477,0.174217
OCC(C)C=O,OCC(O)C(O)C(O)CO,-0.09661595,-0.02696783
OCC(C)C=O,CCC(CC)C(O)=O,-1.00837524,-0.2519807
OCC(C)C=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.19292503,0.05357235
OCC(C)C=O,COc1cc(C)ccc1C(C)(C)C,2.64953779,0.5767401
OCC(C)C=O,CC2CCC(CC1=C2CCC1C)=C(C)C,3.5082332,0.77332739
OCC(C)C=O,COC(=O)c1ccccc1C,1.48223594,0.3357126
OCC(C)C=O,CC(=O)c1ccc(C)cc1C,0.793469,0.19189144
OCC(C)C=O,Cc2c1ccccc1ccc2,2.25287038,0.4780582
OCC(C)C=O,O=C2CCCCC2C1CCCCC1,1.21381542,0.28350108
OCC(C)C=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.61231785,0.14045713
OCC(C)C=O,CC(C=O)c1ccccc1,1.18491462,0.26591912
OCC(C)C=O,CCC(O)c1ccccc1,-0.06303658,0.0063523
OCC(C)C=O,CCOC(=O)c1ccccc1,1.41584484,0.32204544
OCC(C)C=O,CC(OC(C)c2ccccc2)c1ccccc1,1.47531955,0.34959882
OCC(C)C=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.33957731,0.29318765
OCC(C)C=O,CCOC(=O)c(cc1)ccc1C,1.4511484,0.33194934
OCC(C)C=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-6.22455772,-0.41174891
OCC(C)C=O,O=C(OCCc1ccccc1)c2ccccc2,1.55146633,0.34949001
OCC(C)C=O,CCCc2cc1OCOc1cc2,1.75759646,0.38114803
OCC(C)C=O,COC(C1CCC(CC1)C(OC)=O)=O,0.60831732,0.13922263
OCC(C)C=O,CCCC1CCCCC1=O,0.83563167,0.19783244
OCC(C)C=O,CCOc1ccc(C=CC)cc1O,-0.46291052,-0.05388014
OCC(C)C=O,CCCC(O)C(CO)CC,0.6272052,0.15121592
OCC(C)C=O,Cc(ccc1C)cc1C,2.71665539,0.57658541
OCC(C)C=O,CCOC(=O)C(OCC)=O,0.86711958,0.19254286
OCC(C)C=O,CC1OC(C(C)OC1=O)=O,0.54059717,0.12522474
OCC(C)C=O,CCCCC(=O)C(C)=O,1.37669032,0.3016822
OCC(C)C=O,C=CCOC(=O)C(C)=C,1.39725949,0.31466486
OCC(C)C=O,C1OC1c2ccccc2,1.36542002,0.29819362
OCC(C)C=O,CCC(C)CC,4.31640211,0.91724279
OCC(C)C=O,CCC(CC)=O,0.33728285,0.07792529
OCC(C)C=O,OCC(CO)=O,0.14629512,0.03166523
OCC(C)C=O,COC(=O)C=C,0.89332888,0.19292569
OCC(C)C=O,COC(CO)=O,-0.02096149,-0.00709386
OCC(C)C=O,CC1CCCC1,4.28850698,0.8982116
OCC(C)C=O,CC1CCCO1,-0.40386561,-0.09380647
OCC(C)C=O,O=C1CCCO1,0.0401562,0.00167844
OCC(C)C=O,CCCC(C)C(O)=O,-1.02720906,-0.25854478
OCC(C)C=O,CCOC(C(C)C)=O,1.11202254,0.25483008
OCC(C)C=O,CCOC(=O)C(C)=C,1.20810259,0.27539803
OCC(C)C=O,CCOC(C(O)C)=O,0.12135224,0.02761553
OCC(C)C=O,CC(C)C(OC(C(C)C)=O)=O,1.47250854,0.32450355
OCC(C)C=O,CC(C)COC(C(C)C)=O,1.46888962,0.33889904
OCC(C)C=O,CC(C)COC(=O)C(C)=C,1.54842843,0.35549275
OCC(C)C=O,CCCCOC(C(C)C)=O,1.47755586,0.34008243
OCC(C)C=O,CCCCOC(=O)C(C)=C,1.49620424,0.344541
OCC(C)C=O,CCC(CC)C=O,1.18299403,0.26949865
OCC(C)C=O,OCC1CCCO1,-0.2807576,-0.07611613
OCC(C)C=O,OCc1occc1,-0.29621918,-0.06630474
OCC(C)C=O,O=Cc1occc1,0.52856095,0.12593345
OCC(C)C=O,CC(C)(C)c1ccccc1,2.69069939,0.57673105
OCC(C)C=O,OOC(C)(C)c(cc1)ccc1C(C)C,-0.51931308,-0.12745596
OCC(C)C=O,CC(C)(C)c(cc1)ccc1C,2.85039477,0.61739733
OCC(C)C=O,OC1CCC(CC1)C(C)(C)C,1.01174768,0.25082346
OCC(C)C=O,CC(C)(C)C1CCC(CC1)=O,0.52132382,0.12036003
OCC(C)C=O,CC(C)c1ccccc1,2.65537873,0.56449815
OCC(C)C=O,COC(=O)c(ccc1)cc1C,1.41233315,0.31912857
OCC(C)C=O,OC1CC(CC=C1C)C(C)=C,0.51394302,0.13323122
OCC(C)C=O,CC(C)c1cc(C(C)C)ccc1,2.93657601,0.63955133
OCC(C)C=O,CCCC(CCC)C(O)=O,-0.87896235,-0.23009217
OCC(C)C=O,CC(C=O)c(cc1)ccc1C,1.28284438,0.29090535
OCC(C)C=O,CC1CCC(C(C)C)CC1,4.21996832,0.92395369
OCC(C)C=O,CC(C)c(cc1)ccc1C,2.80910806,0.60541428
OCC(C)C=O,C=CC1CC=CCC1,2.91679954,0.6139823
OCC(C)C=O,CCc1ccccc1,2.56599397,0.53554408
OCC(C)C=O,C=Cc1ccccc1,2.14848344,0.44060072
OCC(C)C=O,OCC1CCCCC1,0.88268939,0.22801928
OCC(C)C=O,COc1ccccc1,1.79359641,0.3697218
OCC(C)C=O,OCC1CCCCO1,0.10975252,0.02959531
OCC(C)C=O,OCC(CO1)OC1(C)C,0.04829903,0.01101548
OCC(C)C=O,Cc1cc(C=C)ccc1,2.3002912,0.48359747
OCC(C)C=O,COc(ccc1)cc1C,1.91981232,0.40669046
OCC(C)C=O,COC(=O)Cc1ccccc1,1.06233883,0.24270464
OCC(C)C=O,COC(OC)Cc1ccccc1,0.89953705,0.21428373
OCC(C)C=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,1.2764782,0.28763478
OCC(C)C=O,CC(C)COC(=O)Cc1ccccc1,1.25832691,0.2881653
OCC(C)C=O,O=C(OCc2ccccc2)Cc1ccccc1,1.14724471,0.26115924
OCC(C)C=O,CCc1cc(CC)cc(CC)c1,3.04938919,0.66506223
OCC(C)C=O,CC(=O)Oc(ccc1)cc1O,-1.88302997,-0.50203806
OCC(C)C=O,COC(OC)CC(OC)OC,0.31181853,0.0682761
OCC(C)C=O,CCCCC(CC)COC(C)=O,1.44010134,0.32878057
OCC(C)C=O,CCCCC(CC)COC(=O)C=C,1.78360422,0.40494942
OCC(C)C=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,1.46064009,0.28807531
OCC(C)C=O,COC(CCc1ccccc1)=O,1.12209765,0.2558797
OCC(C)C=O,CC(C)C(OCc1ccccc1)=O,1.31763102,0.29964371
OCC(C)C=O,CCCC(OCc1ccccc1)=O,1.32305928,0.30240565
OCC(C)C=O,CC(C)CC(OCc1ccccc1)=O,1.41700047,0.32538416
OCC(C)C=O,CC(OCCc1ccccc1)=O,1.03863183,0.23989586
OCC(C)C=O,CC(C)C(OCCc1ccccc1)=O,1.40898882,0.32157942
OCC(C)C=O,CC(C)C(OCCOc1ccccc1)=O,1.13711791,0.25979213
OCC(C)C=O,CCCc1ccccc1,2.65822455,0.56668733
OCC(C)C=O,CC(C)C(=O)Oc(cc1)ccc1C,1.46697476,0.33080587
OCC(C)C=O,CCCc(cc1)ccc1OC,2.10498758,0.46019989
OCC(C)C=O,CCCCC1OC(CC1)=O,0.42640573,0.09773269
OCC(C)C=O,CCCCc1ccccc1,2.74332254,0.59275812
OCC(C)C=O,O=COCc1ccccc1,1.04369523,0.23361724
OCC(C)C=O,CCCCCC1OC(CC1)=O,0.5408845,0.124056
OCC(C)C=O,O=COCCc1ccccc1,1.07457717,0.24288037
OCC(C)C=O,CCCCCCCC1OC(CC1)=O,0.75702454,0.17177984
OCC(C)C=O,CCCCC(CO)CC,0.98918936,0.25493734
OCC(C)C=O,COc(cc1)ccc1C,1.90740571,0.40561167
OCC(C)C=O,CC(C)COC(CCc1occc1)=O,1.32286814,0.30234696
OCC(C)C=O,CCc1ccc(CC)cc1,2.84893285,0.61485661
OCC(C)C=O,C=Cc1ccc(C=C)cc1,2.05207657,0.43416967
OCC(C)C=O,CCCC1OC(CC1)=O,0.28136906,0.06256537
OCC(C)C=O,OCC=C(C)C#C,-0.59376739,-0.13657426
OCC(C)C=O,CCCC(C)CO,0.85219236,0.22341339
OCC(C)C=O,CCCC(O)C#C,-1.15752945,-0.26518512
OCC(C)C=O,CCOC(CC)=O,0.81341221,0.18753678
OCC(C)C=O,CCC(OC=C)=O,1.53996309,0.32892828
OCC(C)C=O,CCC(C)CC(C)=O,0.66210736,0.15847661
OCC(C)C=O,CCC(C)CC(O)=O,-1.08008824,-0.27377353
OCC(C)C=O,CCC(C)OC(C)=O,0.90442537,0.20980632
OCC(C)C=O,CCOC(CC(OCC)=O)=O,0.77846108,0.17819987
OCC(C)C=O,CCOC(CCC)=O,1.1247037,0.25790707
OCC(C)C=O,CCOC(C)OCC,0.49608529,0.12349293
OCC(C)C=O,CCOC(OCC)=O,1.0353263,0.22975267
OCC(C)C=O,CCCOC(CCC)=O,1.24456464,0.28737884
OCC(C)C=O,CC(C)CCOC(CC)=O,1.3801736,0.31797622
OCC(C)C=O,CCCCOC(=O)C=CC(OCCCC)=O,1.14983168,0.25943756
OCC(C)C=O,O=C1OCCOC(CCCCCCCCCCC1)=O,0.96099954,0.21954361
OCC(C)C=O,CCCCCCCCCCCC(OCCCC)=O,2.09451011,0.44573139
OCC(C)C=O,OCCC(C)CCCC(C)C,1.12474645,0.27726882
OCC(C)C=O,CC(C)CCOC(CCC)=O,1.49579261,0.34377696
OCC(C)C=O,CCCCCCC(OCC)=O,1.49291579,0.34288358
OCC(C)C=O,CCCC(OC(CCC)=O)=O,1.34915995,0.30058234
OCC(C)C=O,CCCCCCCC(OCC)=O,1.60115872,0.36511943
OCC(C)C=O,CCCCC(CC)=O,0.71828037,0.16968119
OCC(C)C=O,CCCOC(CC)=O,1.00831858,0.23401788
OCC(C)C=O,CC(C)COC(=O)C=C,1.27309319,0.29380347
OCC(C)C=O,CCCCCC(CC)=O,0.91107486,0.21434429
OCC(C)C=O,CCCCCC(OC)=O,1.20780956,0.27914342
OCC(C)C=O,CC(CCC=C(C)C)C=O,1.38226066,0.31854653
OCC(C)C=O,CCCCCCC(OC)=O,1.37083684,0.31556254
OCC(C)C=O,CCOCCOC(=O)C=C,0.54575519,0.12649151
OCC(C)C=O,C=CC2CC1OC1CC2,1.03838008,0.24510556
OCC(C)C=O,C1OC1C3CC2OC2CC3,0.29843965,0.06687187
OCC(C)C=O,CCC1OC1,0.54035944,0.12649038
OCC(C)C=O,C=CC(OCC1OC1)=O,0.79672549,0.17972753
OCC(C)C=O,CC(=C)C(OCC1OC1)=O,0.81516834,0.1857788
OCC(C)C=O,C=CCOCC1OC1,0.46647272,0.104194
OCC(C)C=O,O=CC=C,0.42661161,0.09108829
OCC(C)C=O,OCC=C,-0.02280024,0.00269505
OCC(C)C=O,OCC#C,-1.13300732,-0.26605952
OCC(C)C=O,COC=O,0.57137558,0.1131842
OCC(C)C=O,CC(C)(C)CC(C)=C,3.60933351,0.77694187
OCC(C)C=O,CC(C)(C)C=C(C)C,3.65720973,0.78895589
OCC(C)C=O,OC(C)CC(O)(C)C,0.31219831,0.07567382
OCC(C)C=O,COC(C)(C)CC(C)=O,0.13963892,0.03141982
OCC(C)C=O,OCCC(C)CCCC(O)(C)C,0.55166323,0.13301112
OCC(C)C=O,OC(C)(C)CCCC(C)CC=O,0.19899759,0.04201097
OCC(C)C=O,CCCC(C)C,4.31231501,0.91879835
OCC(C)C=O,CC(C)=CC=O,-0.30180704,-0.07958362
OCC(C)C=O,CCCC(C)=O,0.11636333,0.02600113
OCC(C)C=O,OCCC(O)C,0.2388665,0.05987086
OCC(C)C=O,COCC(O)C,-0.09262319,-0.02385257
OCC(C)C=O,CC(OC=C)=O,1.29851617,0.27020626
OCC(C)C=O,CC(C)CC(C)C,4.24778233,0.91587095
OCC(C)C=O,CC(C)CC(C)=O,0.45567252,0.1093384
OCC(C)C=O,OC(C)CC(C)C,0.8786788,0.22248557
OCC(C)C=O,CC(C)OC(C)C,0.17155061,0.06308855
OCC(C)C=O,CC(C)OC(C)=O,0.71460253,0.1636825
OCC(C)C=O,CC(OC(C)=C)=O,1.03617144,0.2307385
OCC(C)C=O,CC(OC(C)=O)=O,0.96079186,0.20395599
OCC(C)C=O,O=C1C=CC(O1)=C,0.89758329,0.20171171
OCC(C)C=O,CC1OC(CC1)=O,0.0176001,-0.00272334
OCC(C)C=O,CC1OC(OC1)=O,0.72684282,0.16397435
OCC(C)C=O,Cc1cc(C)ccc1,2.61950003,0.54682039
OCC(C)C=O,C=Cc1cc(C=C)ccc1,2.07056157,0.43837466
OCC(C)C=O,COC(CC(OC)=O)=O,0.72903022,0.16368817
OCC(C)C=O,CCOC(CC(C)C)=O,1.29119061,0.29581122
OCC(C)C=O,COCC(C)OC(C)=O,0.4390348,0.10197903
OCC(C)C=O,Cc1cc(C)cc(C)c1,2.77873664,0.59154569
OCC(C)C=O,CC(C)CC(O)CC(C)C,1.18966787,0.29493882
OCC(C)C=O,CC(C)CC(CC(C)C)=O,1.4758657,0.34372204
OCC(C)C=O,CC(C)CC(C)OC(C)=O,1.19460017,0.27874846
OCC(C)C=O,CC1CCCCC1,4.30182223,0.91455004
OCC(C)C=O,Cc1ccccc1,2.45065874,0.49685161
OCC(C)C=O,O=C1CCCCC1,-0.06695585,-0.02000726
OCC(C)C=O,O=C1C=COC=C1,-0.34006909,-0.09623711
OCC(C)C=O,CCCCOC(CC(C)C)=O,1.5198944,0.35098146
OCC(C)C=O,CCCCOC(CCC)=O,1.43336048,0.32943503
OCC(C)C=O,O=C1CCCCCCCCCCCCCCCO1,1.78580931,0.39996961
OCC(C)C=O,CC(CCC=C)=O,0.41468378,0.09618237
OCC(C)C=O,CCC#CC(O)C,0.05235201,0.02806237
OCC(C)C=O,CCCCC(O)=O,-1.05706198,-0.26462229
OCC(C)C=O,CC(C)COC=C,2.52302115,0.5337917
OCC(C)C=O,OCCOC(C)C,-0.19395378,-0.05491004
OCC(C)C=O,CCCOC(C)=O,0.66959671,0.15336788
OCC(C)C=O,CCCCC,4.35496375,0.9100126
OCC(C)C=O,CCCC=C,3.33588736,0.6821784
OCC(C)C=O,COCCO,-0.10061034,-0.02583802
OCC(C)C=O,COCOC,0.00134799,-0.00405673
OCC(C)C=O,CCOC=C,1.84836791,0.37231634
OCC(C)C=O,C=COC=C,1.44609497,0.26895706
OCC(C)C=O,CCOC=O,0.64144205,0.13413567
OCC(C)C=O,O1CCCC1,-0.99158425,-0.24473722
OCC(C)C=O,c1cocc1,1.31628721,0.22814789
OCC(C)C=O,CC(C)(C)OOC(C)(C)C,2.31831366,0.5293956
OCC(C)C=O,CC(C)CCC(C)=O,0.55822946,0.13263192
OCC(C)C=O,CC(C)COC(C)=O,0.90938499,0.21122219
OCC(C)C=O,CCCCCCOC(CCCCC(OCCCCCC)=O)=O,1.24971684,0.25515751
OCC(C)C=O,CCCCCCCCOC(CCC)=O,1.84135131,0.41070342
OCC(C)C=O,CCCCCCCCCC(C)C=O,1.93834312,0.43508487
OCC(C)C=O,CCCCCC(C)=O,0.53745886,0.12723536
OCC(C)C=O,CC(C)CCOC=O,1.1456981,0.26038122
OCC(C)C=O,COCCOC(C)=O,0.1282588,0.02570755
OCC(C)C=O,CCCCCC,4.33581796,0.92731332
OCC(C)C=O,CCCCC=O,0.77198647,0.17603348
OCC(C)C=O,COCCOC,-0.56093783,-0.14446583
OCC(C)C=O,CCCOC=O,0.83552335,0.18337017
OCC(C)C=O,OCCOCC,0.04890146,0.01281178
OCC(C)C=O,C1CC=CCC1,3.39480003,0.69177329
OCC(C)C=O,C1OC=CCC1,1.58579881,0.33033049
OCC(C)C=O,CC(CCC=C(C)C)=O,0.65609473,0.15479191
OCC(C)C=O,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,3.84296582,0.72431614
OCC(C)C=O,CCCCCCCC(OC)=O,1.48021371,0.33997731
OCC(C)C=O,CCCCCC#CC(OC)=O,1.46922499,0.3323276
OCC(C)C=O,CCOCCOC(C)=O,0.31094109,0.0713883
OCC(C)C=O,OCCCCCC,0.91938262,0.23677596
OCC(C)C=O,O=CCCCC=O,0.26749343,0.05732069
OCC(C)C=O,COCCCCO,-0.47200606,-0.129742
OCC(C)C=O,CCCCOC=C,2.36188055,0.50659497
OCC(C)C=O,CCOCCCO,-0.12678789,-0.03149611
OCC(C)C=O,CCCOCCC,1.59744251,0.40442018
OCC(C)C=O,OCCOCC=C,-0.07916627,-0.01940938
