SMILES0,SMILES,gamma1,gamma2
OCC(C)CO,OC(C)C(O)=O,-1.53036728,-0.41263883
OCC(C)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.06105548,0.81822312
OCC(C)CO,OCC(O)C,0.00453354,0.00164867
OCC(C)CO,O=C1CCO1,3.525675,0.66399795
OCC(C)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.56081851,0.50537036
OCC(C)CO,CCOCC,1.38019161,0.26715328
OCC(C)CO,OCC,-0.0574178,-0.01420842
OCC(C)CO,CCCCCC=O,2.45517436,0.43744278
OCC(C)CO,CO,-0.01204229,-0.00169839
OCC(C)CO,OC(C)C,0.05740991,0.01367775
OCC(C)CO,CC(C)=O,1.08441411,0.19243124
OCC(C)CO,OCCC,0.02064361,0.00437228
OCC(C)CO,OCCCC,0.15193845,0.03781478
OCC(C)CO,OCCCCC,0.26132278,0.06577782
OCC(C)CO,CC1OC1,1.56490866,0.25869741
OCC(C)CO,CCC(C)(C)C,8.28981819,0.89067214
OCC(C)CO,CC(C)(C)C(C)=O,1.76795899,0.32807825
OCC(C)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.25047148,0.47437432
OCC(C)CO,COC(C)(C)OC,1.33559121,0.25805882
OCC(C)CO,CCC1(CC)CCCCC1,8.21221111,0.95552871
OCC(C)CO,CCOC(C)(OCC)OCC,1.12702183,0.25914173
OCC(C)CO,CC(C)CCCC(O)(C)CC,0.87214311,0.21170534
OCC(C)CO,CCC(C)C,8.38190216,0.87260202
OCC(C)CO,CC(=C)C=C,6.57112913,0.6711255
OCC(C)CO,CC(=C)C#C,4.1093225,0.40705223
OCC(C)CO,OCC(C)C,0.11157942,0.02714168
OCC(C)CO,CC(C)C=O,2.27305364,0.37233202
OCC(C)CO,CC(=C)C=O,2.2127207,0.38806776
OCC(C)CO,CCC(O)C,0.22760328,0.05515393
OCC(C)CO,CCC(C)=O,1.27459743,0.2309204
OCC(C)CO,COC(C)=O,2.05118294,0.35763261
OCC(C)CO,CC(C)C(C)C,8.32951481,0.89899856
OCC(C)CO,CC(C)C(O)=O,-1.89585208,-0.50280649
OCC(C)CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.57998189,0.51275006
OCC(C)CO,OOC(C)(C)C(CC1)CCC1C,-0.55548532,-0.14846486
OCC(C)CO,CCOC(C(O)(C)C)=O,1.02765657,0.22643027
OCC(C)CO,COC(=O)C(C)=C,2.80799862,0.4795175
OCC(C)CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.53984839,0.57291565
OCC(C)CO,COc2cccc3c2C(=O)c1ccccc1C3=O,2.40998542,0.50744903
OCC(C)CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.25207631,0.26960248
OCC(C)CO,CCOC(=O)c1ccccc1C(OCC)=O,3.01494938,0.56853214
OCC(C)CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.18487076,0.59800347
OCC(C)CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.4400324,0.64013322
OCC(C)CO,CC(C)CCOC(=O)c1ccccc1O,4.42628494,0.71318158
OCC(C)CO,Oc2ccccc2C(OCCc1ccccc1)=O,4.41914087,0.72319722
OCC(C)CO,O=C2c1ccccc1CO2,2.77484561,0.5569826
OCC(C)CO,OCC(O)C(O)C(O)CO,0.11146452,0.02969856
OCC(C)CO,CCC(CC)C(O)=O,-1.76773683,-0.46986877
OCC(C)CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.1022123,0.02097992
OCC(C)CO,COc1cc(C)ccc1C(C)(C)C,6.49102527,0.80295241
OCC(C)CO,CC2CCC(CC1=C2CCC1C)=C(C)C,7.19812213,0.92767411
OCC(C)CO,COC(=O)c1ccccc1C,3.47827948,0.60147417
OCC(C)CO,CC(=O)c1ccc(C)cc1C,2.14816369,0.43536204
OCC(C)CO,Cc2c1ccccc1ccc2,6.18210495,0.75169154
OCC(C)CO,O=C2CCCCC2C1CCCCC1,2.35555162,0.46329392
OCC(C)CO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.35061617,0.48819158
OCC(C)CO,CC(C=O)c1ccccc1,3.27085764,0.5714566
OCC(C)CO,CCC(O)c1ccccc1,0.12088105,0.02339646
OCC(C)CO,CCOC(=O)c1ccccc1,3.35585533,0.5902216
OCC(C)CO,CC(OC(C)c2ccccc2)c1ccccc1,3.09888061,0.62084814
OCC(C)CO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.79592517,0.68916053
OCC(C)CO,CCOC(=O)c(cc1)ccc1C,3.27962842,0.58759691
OCC(C)CO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-7.13433926,-0.20457427
OCC(C)CO,O=C(OCCc1ccccc1)c2ccccc2,3.88775342,0.68225604
OCC(C)CO,CCCc2cc1OCOc1cc2,4.91932927,0.67232748
OCC(C)CO,COC(C1CCC(CC1)C(OC)=O)=O,2.29679807,0.44913537
OCC(C)CO,CCCC1CCCCC1=O,1.97502244,0.3869781
OCC(C)CO,CCOc1ccc(C=CC)cc1O,0.68872051,0.1350168
OCC(C)CO,CCCC(O)C(CO)CC,0.25528663,0.0619732
OCC(C)CO,Cc(ccc1C)cc1C,6.56487528,0.76590033
OCC(C)CO,CCOC(=O)C(OCC)=O,2.90307424,0.52950464
OCC(C)CO,CC1OC(C(C)OC1=O)=O,2.6378606,0.53123629
OCC(C)CO,CCCCC(=O)C(C)=O,3.48078296,0.56871603
OCC(C)CO,C=CCOC(=O)C(C)=C,3.29074193,0.56821107
OCC(C)CO,C1OC1c2ccccc2,3.67034133,0.60957812
OCC(C)CO,CCC(C)CC,8.37518953,0.91092782
OCC(C)CO,CCC(CC)=O,1.62335942,0.29737984
OCC(C)CO,OCC(CO)=O,0.64525306,0.15875383
OCC(C)CO,COC(=O)C=C,2.79570406,0.47789118
OCC(C)CO,COC(CO)=O,0.55879758,0.13860129
OCC(C)CO,CC1CCCC1,8.30633612,0.8777222
OCC(C)CO,CC1CCCO1,0.3171854,0.06100141
OCC(C)CO,O=C1CCCO1,1.85785114,0.36697172
OCC(C)CO,CCCC(C)C(O)=O,-1.78919212,-0.47567371
