SMILES0,SMILES,gamma1,gamma2
OCC(CC)=O,OC(C)C(O)=O,-1.55324525,-0.40411953
OCC(CC)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.98150564,0.23564225
OCC(CC)=O,OCC(O)C,0.38048244,0.09248406
OCC(CC)=O,O=C1CCO1,0.69472587,0.17133795
OCC(CC)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.31718041,0.07245379
OCC(CC)=O,CCOCC,0.70498127,0.17762827
OCC(CC)=O,OCC,0.53778921,0.12718838
OCC(CC)=O,CCCCCC=O,0.58572409,0.14644244
OCC(CC)=O,CO,0.59034747,0.13670669
OCC(CC)=O,OC(C)C,0.55974863,0.13486283
OCC(CC)=O,CC(C)=O,-0.17520451,-0.0445099
OCC(CC)=O,OCCC,0.523521,0.12863784
OCC(CC)=O,OCCCC,0.60436914,0.15385529
OCC(CC)=O,OCCCCC,0.66823296,0.17218649
OCC(CC)=O,CC1OC1,0.11144346,0.0262471
OCC(CC)=O,CCC(C)(C)C,3.18783394,0.72498977
OCC(CC)=O,CC(C)(C)C(C)=O,0.40709616,0.10105131
OCC(CC)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.97654582,0.23554901
OCC(CC)=O,COC(C)(C)OC,0.45760393,0.11340553
OCC(CC)=O,CCC1(CC)CCCCC1,3.12348366,0.73135571
OCC(CC)=O,CCOC(C)(OCC)OCC,0.49957338,0.12741513
OCC(CC)=O,CC(C)CCCC(O)(C)CC,1.0261053,0.25175
OCC(CC)=O,CCC(C)C,3.26127622,0.72835795
OCC(CC)=O,CC(=C)C=C,1.53138503,0.34399829
OCC(CC)=O,CC(=C)C#C,-0.34381981,-0.06397457
OCC(CC)=O,OCC(C)C,0.44819476,0.11748788
OCC(CC)=O,CC(C)C=O,0.36197748,0.08836438
OCC(CC)=O,CC(=C)C=O,0.31098216,0.07657052
OCC(CC)=O,CCC(O)C,0.58738351,0.14660917
OCC(CC)=O,CCC(C)=O,0.02376608,0.00562499
OCC(CC)=O,COC(C)=O,0.18178444,0.04451142
OCC(CC)=O,CC(C)C(C)C,3.21941302,0.73358617
OCC(CC)=O,CC(C)C(O)=O,-1.6196213,-0.43316601
OCC(CC)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.77736874,0.18179218
OCC(CC)=O,OOC(C)(C)C(CC1)CCC1C,-0.90181578,-0.24899859
OCC(CC)=O,CCOC(C(O)(C)C)=O,0.26915235,0.06680627
OCC(CC)=O,COC(=O)C(C)=C,0.5742495,0.14260438
OCC(CC)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.16776368,0.04487129
OCC(CC)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.36468392,0.08651263
OCC(CC)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.82709248,0.15260893
OCC(CC)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.41167132,0.1021328
OCC(CC)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.61974458,0.14427189
OCC(CC)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.79362491,0.17244992
OCC(CC)=O,CC(C)CCOC(=O)c1ccccc1O,1.11231273,0.27008237
OCC(CC)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.73554868,0.18053615
OCC(CC)=O,O=C2c1ccccc1CO2,0.38975786,0.09914756
OCC(CC)=O,OCC(O)C(O)C(O)CO,0.00314565,-0.00163595
OCC(CC)=O,CCC(CC)C(O)=O,-1.50598021,-0.402806
OCC(CC)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.30353341,-0.07379347
OCC(CC)=O,COc1cc(C)ccc1C(C)(C)C,1.53665012,0.36915728
OCC(CC)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.43369187,0.57802527
OCC(CC)=O,COC(=O)c1ccccc1C,0.77379939,0.19308636
OCC(CC)=O,CC(=O)c1ccc(C)cc1C,0.55791747,0.13885617
OCC(CC)=O,Cc2c1ccccc1ccc2,1.11807768,0.26941304
OCC(CC)=O,O=C2CCCCC2C1CCCCC1,0.93571089,0.22527192
OCC(CC)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.2667034,0.06490447
OCC(CC)=O,CC(C=O)c1ccccc1,0.51029722,0.12867722
OCC(CC)=O,CCC(O)c1ccccc1,-0.59631962,-0.1416398
OCC(CC)=O,CCOC(=O)c1ccccc1,0.7433786,0.18554593
OCC(CC)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.86923228,0.21237506
OCC(CC)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.48369779,0.11012396
OCC(CC)=O,CCOC(=O)c(cc1)ccc1C,0.80207334,0.1988644
OCC(CC)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-6.3953004,-0.25029757
OCC(CC)=O,O=C(OCCc1ccccc1)c2ccccc2,0.70103578,0.1719218
OCC(CC)=O,CCCc2cc1OCOc1cc2,0.71385837,0.17730059
OCC(CC)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.27101484,0.06833635
OCC(CC)=O,CCCC1CCCCC1=O,0.67916726,0.16663302
OCC(CC)=O,CCOc1ccc(C=CC)cc1O,-1.19840283,-0.2782007
OCC(CC)=O,CCCC(O)C(CO)CC,0.63853491,0.1538735
OCC(CC)=O,Cc(ccc1C)cc1C,1.58545139,0.37622595
OCC(CC)=O,CCOC(=O)C(OCC)=O,0.34944081,0.08836556
OCC(CC)=O,CC1OC(C(C)OC1=O)=O,0.01330603,0.00878645
OCC(CC)=O,CCCCC(=O)C(C)=O,0.62472563,0.15571413
OCC(CC)=O,C=CCOC(=O)C(C)=C,0.74766617,0.18584742
OCC(CC)=O,C1OC1c2ccccc2,0.59128695,0.14688022
OCC(CC)=O,CCC(C)CC,3.25400724,0.74283112
OCC(CC)=O,CCC(CC)=O,0.28421197,0.07044457
OCC(CC)=O,OCC(CO)=O,0.19036958,0.041723
OCC(CC)=O,COC(=O)C=C,0.44121607,0.10961167
OCC(CC)=O,COC(CO)=O,-0.03584552,-0.00877343
OCC(CC)=O,CC1CCCC1,3.23279492,0.72865584
OCC(CC)=O,CC1CCCO1,0.090486,0.0287597
OCC(CC)=O,O=C1CCCO1,0.08509257,0.02153611
OCC(CC)=O,CCCC(C)C(O)=O,-1.52461987,-0.40789083
OCC(CC)=O,CCOC(C(C)C)=O,0.70506195,0.17444909
OCC(CC)=O,CCOC(=O)C(C)=C,0.73805668,0.18266133
OCC(CC)=O,CCOC(C(O)C)=O,0.12491294,0.03237617
OCC(CC)=O,CC(C)C(OC(C(C)C)=O)=O,0.69934637,0.17255323
OCC(CC)=O,CC(C)COC(C(C)C)=O,0.99308652,0.24249337
OCC(CC)=O,CC(C)COC(=O)C(C)=C,0.98506678,0.242139
OCC(CC)=O,CCCCOC(C(C)C)=O,0.98436239,0.24040647
OCC(CC)=O,CCCCOC(=O)C(C)=C,0.96424148,0.23704346
OCC(CC)=O,CCC(CC)C=O,0.72676995,0.17886461
OCC(CC)=O,OCC1CCCO1,0.07988566,0.01735923
OCC(CC)=O,OCc1occc1,-0.62640168,-0.15202539
OCC(CC)=O,O=Cc1occc1,0.34758926,0.08801963
OCC(CC)=O,CC(C)(C)c1ccccc1,1.57138666,0.37536651
OCC(CC)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-1.15947317,-0.31955561
OCC(CC)=O,CC(C)(C)c(cc1)ccc1C,1.73422443,0.41450464
OCC(CC)=O,OC1CCC(CC1)C(C)(C)C,0.83110431,0.20860162
OCC(CC)=O,CC(C)(C)C1CCC(CC1)=O,0.47147336,0.11377603
OCC(CC)=O,CC(C)c1ccccc1,1.53221308,0.36459394
OCC(CC)=O,COC(=O)c(ccc1)cc1C,0.72903317,0.18113385
OCC(CC)=O,OC1CC(CC=C1C)C(C)=C,0.10855878,0.03010162
OCC(CC)=O,CC(C)c1cc(C(C)C)ccc1,1.82599314,0.43533629
OCC(CC)=O,CCCC(CCC)C(O)=O,-1.37990548,-0.37726875
OCC(CC)=O,CC(C=O)c(cc1)ccc1C,0.60234899,0.15096357
OCC(CC)=O,CC1CCC(C(C)C)CC1,3.16714213,0.74239785
OCC(CC)=O,CC(C)c(cc1)ccc1C,1.68953361,0.40343543
OCC(CC)=O,C=CC1CC=CCC1,1.80460717,0.42339247
OCC(CC)=O,CCc1ccccc1,1.43619197,0.33846859
OCC(CC)=O,C=Cc1ccccc1,1.0111378,0.23970007
OCC(CC)=O,OCC1CCCCC1,0.62817673,0.16280284
OCC(CC)=O,COc1ccccc1,0.77990255,0.1877937
OCC(CC)=O,OCC1CCCCO1,0.33559797,0.08317513
OCC(CC)=O,OCC(CO1)OC1(C)C,0.03869578,0.0110652
OCC(CC)=O,Cc1cc(C=C)ccc1,1.16484067,0.27876924
OCC(CC)=O,COc(ccc1)cc1C,0.90462761,0.21964389
OCC(CC)=O,COC(=O)Cc1ccccc1,0.46555606,0.11841596
OCC(CC)=O,COC(OC)Cc1ccccc1,0.5145875,0.13014668
OCC(CC)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,0.4591122,0.11405335
OCC(CC)=O,CC(C)COC(=O)Cc1ccccc1,0.62743692,0.15513607
OCC(CC)=O,O=C(OCc2ccccc2)Cc1ccccc1,0.41874222,0.10426063
OCC(CC)=O,CCc1cc(CC)cc(CC)c1,1.93807667,0.46154022
