SMILES0,SMILES,gamma1,gamma2
OCC(CO)(CO)CO,OC(C)C(O)=O,-1.55304581,-0.39191863
OCC(CO)(CO)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,9.82233142,1.42735467
OCC(CO)(CO)CO,OCC(O)C,-0.02001847,-0.00587737
OCC(CO)(CO)CO,O=C1CCO1,4.07254594,0.66924735
OCC(CO)(CO)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,4.13005523,0.83961965
OCC(CO)(CO)CO,CCOCC,1.79314251,0.3865859
OCC(CO)(CO)CO,OCC,-0.13683195,-0.02986127
OCC(CO)(CO)CO,CCCCCC=O,3.67744913,0.66052324
OCC(CO)(CO)CO,CO,-0.5293294,-0.11376726
OCC(CO)(CO)CO,OC(C)C,0.22077856,0.05692101
OCC(CO)(CO)CO,CC(C)=O,0.79526126,0.09404975
OCC(CO)(CO)CO,OCCC,0.37363469,0.09051669
OCC(CO)(CO)CO,OCCCC,0.70161705,0.17380806
OCC(CO)(CO)CO,OCCCCC,1.00951324,0.25191819
OCC(CO)(CO)CO,CC1OC1,1.8218174,0.27539406
OCC(CO)(CO)CO,CCC(C)(C)C,13.16598532,1.50938743
OCC(CO)(CO)CO,CC(C)(C)C(C)=O,2.42166902,0.45242617
OCC(CO)(CO)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.60320751,0.8077501
OCC(CO)(CO)CO,COC(C)(C)OC,1.74549649,0.34744925
OCC(CO)(CO)CO,CCC1(CC)CCCCC1,13.10224183,1.64924728
OCC(CO)(CO)CO,CCOC(C)(OCC)OCC,1.4724362,0.34226521
OCC(CO)(CO)CO,CC(C)CCCC(O)(C)CC,2.05294625,0.51268525
OCC(CO)(CO)CO,CCC(C)C,13.2760533,1.46616629
OCC(CO)(CO)CO,CC(=C)C=C,10.52990985,1.12666626
OCC(CO)(CO)CO,CC(=C)C#C,7.14704618,0.77800808
OCC(CO)(CO)CO,OCC(C)C,0.82089461,0.19917354
OCC(CO)(CO)CO,CC(C)C=O,3.16079256,0.49673016
OCC(CO)(CO)CO,CC(=C)C=O,2.90686949,0.47937162
OCC(CO)(CO)CO,CCC(O)C,0.77446219,0.19027238
OCC(CO)(CO)CO,CCC(C)=O,1.34144608,0.21835876
OCC(CO)(CO)CO,COC(C)=O,2.57569585,0.41021908
OCC(CO)(CO)CO,CC(C)C(C)C,13.2214934,1.52265872
OCC(CO)(CO)CO,CC(C)C(O)=O,-1.30734392,-0.30264187
OCC(CO)(CO)CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,4.16812923,0.86045181
OCC(CO)(CO)CO,OOC(C)(C)C(CC1)CCC1C,1.07217672,0.28443279
OCC(CO)(CO)CO,CCOC(C(O)(C)C)=O,1.53537177,0.35302807
OCC(CO)(CO)CO,COC(=O)C(C)=C,4.20908381,0.71055589
OCC(CO)(CO)CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,6.45177495,1.10002905
OCC(CO)(CO)CO,COc2cccc3c2C(=O)c1ccccc1C3=O,3.38462568,0.73030412
OCC(CO)(CO)CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.34124865,0.74745836
OCC(CO)(CO)CO,CCOC(=O)c1ccccc1C(OCC)=O,4.64931499,0.89424133
OCC(CO)(CO)CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,5.21766848,1.01558629
OCC(CO)(CO)CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,5.77915385,1.11877065
OCC(CO)(CO)CO,CC(C)CCOC(=O)c1ccccc1O,7.45878095,1.25846934
OCC(CO)(CO)CO,Oc2ccccc2C(OCCc1ccccc1)=O,7.3234069,1.25135903
OCC(CO)(CO)CO,O=C2c1ccccc1CO2,3.61891519,0.69954191
OCC(CO)(CO)CO,OCC(O)C(O)C(O)CO,0.15687012,0.04003169
OCC(CO)(CO)CO,CCC(CC)C(O)=O,-0.80949081,-0.17371719
OCC(CO)(CO)CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.58337538,0.38383314
OCC(CO)(CO)CO,COc1cc(C)ccc1C(C)(C)C,10.55182474,1.41451766
OCC(CO)(CO)CO,CC2CCC(CC1=C2CCC1C)=C(C)C,11.73159562,1.63992432
OCC(CO)(CO)CO,COC(=O)c1ccccc1C,5.51911628,0.97174284
OCC(CO)(CO)CO,CC(=O)c1ccc(C)cc1C,3.17250601,0.67048539
OCC(CO)(CO)CO,Cc2c1ccccc1ccc2,9.91350804,1.27436015
OCC(CO)(CO)CO,O=C2CCCCC2C1CCCCC1,3.63392984,0.74379843
OCC(CO)(CO)CO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,3.4581548,0.73940204
OCC(CO)(CO)CO,CC(C=O)c1ccccc1,4.9950823,0.87404852
OCC(CO)(CO)CO,CCC(O)c1ccccc1,1.42281541,0.34430188
OCC(CO)(CO)CO,CCOC(=O)c1ccccc1,5.28471043,0.94355468
OCC(CO)(CO)CO,CC(OC(C)c2ccccc2)c1ccccc1,5.1107352,1.08995536
OCC(CO)(CO)CO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,6.16223775,1.15840431
OCC(CO)(CO)CO,CCOC(=O)c(cc1)ccc1C,5.20940176,0.95535183
OCC(CO)(CO)CO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-12.70119144,-0.25197779
OCC(CO)(CO)CO,O=C(OCCc1ccccc1)c2ccccc2,6.30700404,1.14594763
OCC(CO)(CO)CO,CCCc2cc1OCOc1cc2,8.20383317,1.18202545
OCC(CO)(CO)CO,COC(C1CCC(CC1)C(OC)=O)=O,3.38978718,0.66810954
OCC(CO)(CO)CO,CCCC1CCCCC1=O,2.89628576,0.58494935
OCC(CO)(CO)CO,CCOc1ccc(C=CC)cc1O,2.86200757,0.62166105
OCC(CO)(CO)CO,CCCC(O)C(CO)CC,0.83334864,0.20943836
OCC(CO)(CO)CO,Cc(ccc1C)cc1C,10.57755214,1.31516948
OCC(CO)(CO)CO,CCOC(=O)C(OCC)=O,4.21621817,0.76159725
OCC(CO)(CO)CO,CC1OC(C(C)OC1=O)=O,3.62132521,0.68482244
OCC(CO)(CO)CO,CCCCC(=O)C(C)=O,5.49347584,0.90660764
OCC(CO)(CO)CO,C=CCOC(=O)C(C)=C,5.16905578,0.90423901
OCC(CO)(CO)CO,C1OC1c2ccccc2,5.61327521,0.92448106
OCC(CO)(CO)CO,CCC(C)CC,13.28666803,1.54270908
OCC(CO)(CO)CO,CCC(CC)=O,2.10317177,0.37755726
OCC(CO)(CO)CO,OCC(CO)=O,0.4484462,0.10911996
OCC(CO)(CO)CO,COC(=O)C=C,4.00243657,0.65493403
OCC(CO)(CO)CO,COC(CO)=O,0.64017632,0.14753892
OCC(CO)(CO)CO,CC1CCCC1,13.16484157,1.47882613
OCC(CO)(CO)CO,CC1CCCO1,-0.07065753,0.01870491
OCC(CO)(CO)CO,O=C1CCCO1,1.81870568,0.30718107
OCC(CO)(CO)CO,CCCC(C)C(O)=O,-0.82533178,-0.1783832
OCC(CO)(CO)CO,CCOC(C(C)C)=O,3.9672117,0.71104851
OCC(CO)(CO)CO,CCOC(=O)C(C)=C,4.29322641,0.7605575
OCC(CO)(CO)CO,CCOC(C(O)C)=O,1.38904218,0.314507
OCC(CO)(CO)CO,CC(C)C(OC(C(C)C)=O)=O,5.62432921,0.95693031
OCC(CO)(CO)CO,CC(C)COC(C(C)C)=O,4.54027217,0.85125295
OCC(CO)(CO)CO,CC(C)COC(=O)C(C)=C,4.93510983,0.90504713
OCC(CO)(CO)CO,CCCCOC(C(C)C)=O,4.61152809,0.86341002
OCC(CO)(CO)CO,CCCCOC(=O)C(C)=C,4.77882638,0.886518
OCC(CO)(CO)CO,CCC(CC)C=O,4.08217503,0.70761279
OCC(CO)(CO)CO,OCC1CCCO1,-0.06829327,-0.02039016
OCC(CO)(CO)CO,OCc1occc1,0.54206394,0.1306193
OCC(CO)(CO)CO,O=Cc1occc1,2.73450477,0.54490325
OCC(CO)(CO)CO,CC(C)(C)c1ccccc1,10.61149258,1.34065135
