SMILES0,SMILES,gamma1,gamma2
OCC(CO)=O,OC(C)C(O)=O,-0.91847946,-0.23243246
OCC(CO)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.81096246,0.97118584
OCC(CO)=O,OCC(O)C,0.46025334,0.11424672
OCC(CO)=O,O=C1CCO1,1.161245,0.23166096
OCC(CO)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.01673008,0.42044116
OCC(CO)=O,CCOCC,1.07801283,0.31984603
OCC(CO)=O,OCC,0.560239,0.14388006
OCC(CO)=O,CCCCCC=O,1.97850034,0.45809072
OCC(CO)=O,CO,0.10485841,0.0263212
OCC(CO)=O,OC(C)C,0.81121994,0.21099219
OCC(CO)=O,CC(C)=O,-0.4737241,-0.11181219
OCC(CO)=O,OCCC,1.07783043,0.27105751
OCC(CO)=O,OCCCC,1.33140931,0.33650301
OCC(CO)=O,OCCCCC,1.60210142,0.39952423
OCC(CO)=O,CC1OC1,0.46835331,0.12026451
OCC(CO)=O,CCC(C)(C)C,8.1258681,1.48800377
OCC(CO)=O,CC(C)(C)C(C)=O,1.09287484,0.26616136
OCC(CO)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.36157845,0.55881354
OCC(CO)=O,COC(C)(C)OC,0.85362494,0.21846018
OCC(CO)=O,CCC1(CC)CCCCC1,8.04037685,1.52940022
OCC(CO)=O,CCOC(C)(OCC)OCC,0.75694398,0.17080052
OCC(CO)=O,CC(C)CCCC(O)(C)CC,2.25355368,0.52519265
OCC(CO)=O,CCC(C)C,8.23123904,1.47817394
OCC(CO)=O,CC(=C)C=C,5.66332999,1.01160461
OCC(CO)=O,CC(=C)C#C,3.12645533,0.6072083
OCC(CO)=O,OCC(C)C,1.47838168,0.36755958
OCC(CO)=O,CC(C)C=O,1.41277067,0.31647032
OCC(CO)=O,CC(=C)C=O,1.10481509,0.2510339
OCC(CO)=O,CCC(O)C,1.30959057,0.33123813
OCC(CO)=O,CCC(C)=O,0.12137262,0.03508649
OCC(CO)=O,COC(C)=O,0.80064432,0.17655371
OCC(CO)=O,CC(C)C(C)C,8.16895154,1.49881836
OCC(CO)=O,CC(C)C(O)=O,-0.21379885,-0.05656892
OCC(CO)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.4576336,0.53191563
OCC(CO)=O,OOC(C)(C)C(CC1)CCC1C,1.44749107,0.34487857
OCC(CO)=O,CCOC(C(O)(C)C)=O,0.81203184,0.2018797
OCC(CO)=O,COC(=O)C(C)=C,2.127403,0.47491023
OCC(CO)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.36123501,0.72296703
OCC(CO)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.34680222,0.31013049
OCC(CO)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.15315635,0.59852638
OCC(CO)=O,CCOC(=O)c1ccccc1C(OCC)=O,2.1679119,0.48368558
OCC(CO)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.80366253,0.59634561
OCC(CO)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.28826125,0.66535446
OCC(CO)=O,CC(C)CCOC(=O)c1ccccc1O,4.34203614,0.91894154
OCC(CO)=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.82591164,0.81628338
OCC(CO)=O,O=C2c1ccccc1CO2,1.26606698,0.29366421
OCC(CO)=O,OCC(O)C(O)C(O)CO,0.10849662,0.02599396
OCC(CO)=O,CCC(CC)C(O)=O,0.28489699,0.06432567
OCC(CO)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.74795598,0.38833908
OCC(CO)=O,COc1cc(C)ccc1C(C)(C)C,5.70996523,1.12525492
OCC(CO)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,7.00068395,1.37677481
OCC(CO)=O,COC(=O)c1ccccc1C,3.01082195,0.67022454
OCC(CO)=O,CC(=O)c1ccc(C)cc1C,1.64470944,0.40381567
OCC(CO)=O,Cc2c1ccccc1ccc2,4.96571703,0.96863602
OCC(CO)=O,O=C2CCCCC2C1CCCCC1,2.22749474,0.5103896
OCC(CO)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.48194938,0.33649592
OCC(CO)=O,CC(C=O)c1ccccc1,2.4478681,0.5459349
OCC(CO)=O,CCC(O)c1ccccc1,1.36082985,0.33863554
OCC(CO)=O,CCOC(=O)c1ccccc1,2.84200492,0.63470131
OCC(CO)=O,CC(OC(C)c2ccccc2)c1ccccc1,3.11032799,0.73932666
OCC(CO)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.97402758,0.63069051
OCC(CO)=O,CCOC(=O)c(cc1)ccc1C,2.88297486,0.64526207
