SMILES0,SMILES,gamma1,gamma2
OCC(O)(C)C,OC(C)C(O)=O,-1.32730548,-0.36088684
OCC(O)(C)C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.62629846,0.77654054
OCC(O)(C)C,OCC(O)C,0.03738122,0.00966349
OCC(O)(C)C,O=C1CCO1,2.54776714,0.54277989
OCC(O)(C)C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.64190089,0.3595417
OCC(O)(C)C,CCOCC,0.66348368,0.15676505
OCC(O)(C)C,OCC,-0.01965256,-0.00378869
OCC(O)(C)C,CCCCCC=O,1.56303675,0.32550358
OCC(O)(C)C,CO,0.04315075,0.01206691
OCC(O)(C)C,OC(C)C,0.03903346,0.01031059
OCC(O)(C)C,CC(C)=O,0.28327328,0.05141616
OCC(O)(C)C,OCCC,0.06370389,0.01616656
OCC(O)(C)C,OCCCC,0.17819745,0.045876
OCC(O)(C)C,OCCCCC,0.29102617,0.07444351
OCC(O)(C)C,CC1OC1,0.73967607,0.14072852
OCC(O)(C)C,CCC(C)(C)C,6.49862728,0.88891023
OCC(O)(C)C,CC(C)(C)C(C)=O,0.92490708,0.19822925
OCC(O)(C)C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.55739644,0.36728479
OCC(O)(C)C,COC(C)(C)OC,0.59559983,0.13296609
OCC(O)(C)C,CCC1(CC)CCCCC1,6.42193429,0.94609444
OCC(O)(C)C,CCOC(C)(OCC)OCC,0.47905934,0.12942327
OCC(O)(C)C,CC(C)CCCC(O)(C)CC,0.79562875,0.1950246
OCC(O)(C)C,CCC(C)C,6.57691511,0.87218949
OCC(O)(C)C,CC(=C)C=C,5.06224717,0.67097291
OCC(O)(C)C,CC(=C)C#C,3.02774869,0.40925575
OCC(O)(C)C,OCC(C)C,0.16097801,0.04117384
OCC(O)(C)C,CC(C)C=O,1.34872422,0.25891282
OCC(O)(C)C,CC(=C)C=O,1.34746059,0.27418916
OCC(O)(C)C,CCC(O)C,0.20359181,0.05138395
OCC(O)(C)C,CCC(C)=O,0.46684468,0.09409286
OCC(O)(C)C,COC(C)=O,1.16605424,0.23473075
OCC(O)(C)C,CC(C)C(C)C,6.53195938,0.89692288
OCC(O)(C)C,CC(C)C(O)=O,-1.68473229,-0.44697529
OCC(O)(C)C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.76565588,0.39168686
OCC(O)(C)C,OOC(C)(C)C(CC1)CCC1C,-0.5194604,-0.13125567
OCC(O)(C)C,CCOC(C(O)(C)C)=O,0.52328407,0.12665678
OCC(O)(C)C,COC(=O)C(C)=C,1.87802056,0.37657156
OCC(O)(C)C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.59555832,0.4976091
OCC(O)(C)C,COc2cccc3c2C(=O)c1ccccc1C3=O,1.67196145,0.38002263
OCC(O)(C)C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.21661045,0.25992845
OCC(O)(C)C,CCOC(=O)c1ccccc1C(OCC)=O,2.06854256,0.44353944
OCC(O)(C)C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.22716421,0.47383483
OCC(O)(C)C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.45226778,0.51359889
OCC(O)(C)C,CC(C)CCOC(=O)c1ccccc1O,3.37702829,0.64611474
OCC(O)(C)C,Oc2ccccc2C(OCCc1ccccc1)=O,3.38368143,0.65237111
OCC(O)(C)C,O=C2c1ccccc1CO2,1.95705407,0.43871284
OCC(O)(C)C,OCC(O)C(O)C(O)CO,0.0559512,0.01360543
OCC(O)(C)C,CCC(CC)C(O)=O,-1.54860124,-0.4096941
OCC(O)(C)C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.21786253,0.05115157
OCC(O)(C)C,COc1cc(C)ccc1C(C)(C)C,4.95766348,0.77801095
OCC(O)(C)C,CC2CCC(CC1=C2CCC1C)=C(C)C,5.61249693,0.90331021
OCC(O)(C)C,COC(=O)c1ccccc1C,2.56035868,0.51887199
OCC(O)(C)C,CC(=O)c1ccc(C)cc1C,1.41948106,0.32630895
OCC(O)(C)C,Cc2c1ccccc1ccc2,4.73497159,0.73284834
OCC(O)(C)C,O=C2CCCCC2C1CCCCC1,1.50261749,0.33617295
OCC(O)(C)C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.63033848,0.3666736
OCC(O)(C)C,CC(C=O)c1ccccc1,2.37201183,0.48405019
OCC(O)(C)C,CCC(O)c1ccccc1,0.17514556,0.04372074
OCC(O)(C)C,CCOC(=O)c1ccccc1,2.43336974,0.49957582
OCC(O)(C)C,CC(OC(C)c2ccccc2)c1ccccc1,2.52411373,0.56453025
OCC(O)(C)C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.84177004,0.57959342
OCC(O)(C)C,CCOC(=O)c(cc1)ccc1C,2.35546888,0.49035779
OCC(O)(C)C,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-5.44463408,-0.29794607
OCC(O)(C)C,O=C(OCCc1ccccc1)c2ccccc2,2.93472483,0.596708
OCC(O)(C)C,CCCc2cc1OCOc1cc2,3.71517427,0.62962405
OCC(O)(C)C,COC(C1CCC(CC1)C(OC)=O)=O,1.37300071,0.30499223
OCC(O)(C)C,CCCC1CCCCC1=O,1.13254807,0.25347669
OCC(O)(C)C,CCOc1ccc(C=CC)cc1O,0.49446966,0.13080176
OCC(O)(C)C,CCCC(O)C(CO)CC,0.23895183,0.058587
OCC(O)(C)C,Cc(ccc1C)cc1C,5.04670799,0.75188446
OCC(O)(C)C,CCOC(=O)C(OCC)=O,1.92151895,0.40271273
OCC(O)(C)C,CC1OC(C(C)OC1=O)=O,1.86808126,0.41527927
OCC(O)(C)C,CCCCC(=O)C(C)=O,2.44160595,0.47300758
OCC(O)(C)C,C=CCOC(=O)C(C)=C,2.3674498,0.47936669
OCC(O)(C)C,C1OC1c2ccccc2,2.75676983,0.54017504
OCC(O)(C)C,CCC(C)CC,6.5704492,0.90815276
OCC(O)(C)C,CCC(CC)=O,0.78630083,0.16516168
OCC(O)(C)C,OCC(CO)=O,0.63975492,0.15324065
OCC(O)(C)C,COC(=O)C=C,1.88213389,0.37645488
OCC(O)(C)C,COC(CO)=O,0.40371067,0.10093112
OCC(O)(C)C,CC1CCCC1,6.50935795,0.87574798
OCC(O)(C)C,CC1CCCO1,-0.30646743,-0.06760301
OCC(O)(C)C,O=C1CCCO1,0.99879784,0.2226331
OCC(O)(C)C,CCCC(C)C(O)=O,-1.56686212,-0.41527514
OCC(O)(C)C,CCOC(C(C)C)=O,1.65940841,0.34255785
OCC(O)(C)C,CCOC(=O)C(C)=C,1.87826919,0.38478517
OCC(O)(C)C,CCOC(C(O)C)=O,0.4702898,0.11419574
OCC(O)(C)C,CC(C)C(OC(C(C)C)=O)=O,2.45785016,0.48441409
OCC(O)(C)C,CC(C)COC(C(C)C)=O,1.92808089,0.40810584
OCC(O)(C)C,CC(C)COC(=O)C(C)=C,2.15520993,0.44848405
OCC(O)(C)C,CCCCOC(C(C)C)=O,1.96185957,0.41473226
OCC(O)(C)C,CCCCOC(=O)C(C)=C,2.07541093,0.43536156
OCC(O)(C)C,CCC(CC)C=O,1.74689838,0.35198513
OCC(O)(C)C,OCC1CCCO1,-0.19942714,-0.04891041
OCC(O)(C)C,OCc1occc1,0.14319032,0.03628977
OCC(O)(C)C,O=Cc1occc1,1.59886929,0.36904704
OCC(O)(C)C,CC(C)(C)c1ccccc1,5.02913049,0.75571511
OCC(O)(C)C,OOC(C)(C)c(cc1)ccc1C(C)C,-0.19973937,-0.06177284
OCC(O)(C)C,CC(C)(C)c(cc1)ccc1C,5.16234984,0.79136672
OCC(O)(C)C,OC1CCC(CC1)C(C)(C)C,0.56544024,0.14091305
OCC(O)(C)C,CC(C)(C)C1CCC(CC1)=O,0.84369646,0.1944068
OCC(O)(C)C,CC(C)c1ccccc1,5.01087129,0.74397496
OCC(O)(C)C,COC(=O)c(ccc1)cc1C,2.45346728,0.50135404
OCC(O)(C)C,OC1CC(CC=C1C)C(C)=C,0.51739944,0.12721291
OCC(O)(C)C,CC(C)c1cc(C(C)C)ccc1,5.23380087,0.81648333
OCC(O)(C)C,CCCC(CCC)C(O)=O,-1.3695641,-0.36848244
OCC(O)(C)C,CC(C=O)c(cc1)ccc1C,2.35045935,0.48298609
OCC(O)(C)C,CC1CCC(C(C)C)CC1,6.43255393,0.95950193
OCC(O)(C)C,CC(C)c(cc1)ccc1C,5.13082661,0.77793881
OCC(O)(C)C,C=CC1CC=CCC1,5.14419536,0.74513148
OCC(O)(C)C,CCc1ccccc1,4.93531886,0.71709351
OCC(O)(C)C,C=Cc1ccccc1,4.66547299,0.69522179
OCC(O)(C)C,OCC1CCCCC1,0.38702759,0.09752098
OCC(O)(C)C,COc1ccccc1,3.63810564,0.61569952
OCC(O)(C)C,OCC1CCCCO1,-0.00942191,0.00529055
OCC(O)(C)C,OCC(CO1)OC1(C)C,0.19300257,0.04909082
OCC(O)(C)C,Cc1cc(C=C)ccc1,4.75341434,0.71862875
OCC(O)(C)C,COc(ccc1)cc1C,3.66092862,0.62856038
OCC(O)(C)C,COC(=O)Cc1ccccc1,2.23056626,0.47102821
OCC(O)(C)C,COC(OC)Cc1ccccc1,1.73693827,0.38826762
OCC(O)(C)C,Cc2ccc(OC(=O)Cc1ccccc1)cc2,2.7043377,0.55702368
OCC(O)(C)C,CC(C)COC(=O)Cc1ccccc1,2.19082636,0.46643152
OCC(O)(C)C,O=C(OCc2ccccc2)Cc1ccccc1,2.50416161,0.52905634
OCC(O)(C)C,CCc1cc(CC)cc(CC)c1,5.31219348,0.83228681
OCC(O)(C)C,CC(=O)Oc(ccc1)cc1O,-1.70359979,-0.47410911
OCC(O)(C)C,COC(OC)CC(OC)OC,0.82642118,0.18924716
OCC(O)(C)C,CCCCC(CC)COC(C)=O,1.87760314,0.40828177
OCC(O)(C)C,CCCCC(CC)COC(=O)C=C,2.42383972,0.51011516
OCC(O)(C)C,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,1.93570052,0.41379702
OCC(O)(C)C,COC(CCc1ccccc1)=O,2.22105322,0.46815784
