SMILES0,SMILES,gamma1,gamma2
OCC(O)=O,OC(C)C(O)=O,0.19333275,0.05405237
OCC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.39402213,1.36541625
OCC(O)=O,OCC(O)C,-1.13651615,-0.29161504
OCC(O)=O,O=C1CCO1,1.00958555,0.18810438
OCC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.64837624,0.31179651
OCC(O)=O,CCOCC,-1.28418827,-0.22101913
OCC(O)=O,OCC,-1.51845627,-0.34926761
OCC(O)=O,CCCCCC=O,1.08014964,0.25890835
OCC(O)=O,CO,-2.01787185,-0.47645844
OCC(O)=O,OC(C)C,-1.31102639,-0.30360779
OCC(O)=O,CC(C)=O,-2.25889177,-0.5581894
OCC(O)=O,OCCC,-0.69841158,-0.14802277
OCC(O)=O,OCCCC,-0.480063,-0.10066278
OCC(O)=O,OCCCCC,-0.16957855,-0.03562219
OCC(O)=O,CC1OC1,-1.06751529,-0.21303923
OCC(O)=O,CCC(C)(C)C,11.97292477,1.69709184
OCC(O)=O,CC(C)(C)C(C)=O,-0.45684744,-0.11160164
OCC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.51502735,0.12421173
OCC(O)=O,COC(C)(C)OC,-1.24601095,-0.32494106
OCC(O)=O,CCC1(CC)CCCCC1,11.86224629,1.74727962
OCC(O)=O,CCOC(C)(OCC)OCC,-1.79981579,-0.53795971
OCC(O)=O,CC(C)CCCC(O)(C)CC,0.15619626,-0.02574197
OCC(O)=O,CCC(C)C,12.09033596,1.681603
OCC(O)=O,CC(=C)C=C,9.29519401,1.30800915
OCC(O)=O,CC(=C)C#C,7.12288831,1.02912313
OCC(O)=O,OCC(C)C,-0.00039957,0.01997718
OCC(O)=O,CC(C)C=O,0.53644377,0.13287406
OCC(O)=O,CC(=C)C=O,0.04781537,0.02161072
OCC(O)=O,CCC(O)C,-0.55555867,-0.11779286
OCC(O)=O,CCC(C)=O,-1.59106616,-0.39479995
OCC(O)=O,COC(C)=O,-0.21902884,-0.05784425
OCC(O)=O,CC(C)C(C)C,12.01509326,1.70587344
OCC(O)=O,CC(C)C(O)=O,1.1038662,0.27701141
OCC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.25618312,0.1996596
OCC(O)=O,OOC(C)(C)C(CC1)CCC1C,2.7250875,0.62677375
OCC(O)=O,CCOC(C(O)(C)C)=O,-1.0971219,-0.30099041
OCC(O)=O,COC(=O)C(C)=C,1.5751317,0.34270765
OCC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,5.08170379,1.00964592
OCC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.16061984,0.03325031
OCC(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.93863426,0.24113742
OCC(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,2.00175343,0.43283819
OCC(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.65049185,0.53059907
OCC(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.27034204,0.61235813
OCC(O)=O,CC(C)CCOC(=O)c1ccccc1O,5.21440466,1.05332474
OCC(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,5.04723561,1.02327023
OCC(O)=O,O=C2c1ccccc1CO2,0.58839105,0.14389856
OCC(O)=O,OCC(O)C(O)C(O)CO,-1.24467577,-0.31478644
OCC(O)=O,CCC(CC)C(O)=O,1.68426611,0.40673655
OCC(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.19824527,0.23526627
OCC(O)=O,COc1cc(C)ccc1C(C)(C)C,9.29938537,1.46148775
OCC(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,10.09884714,1.63689936
OCC(O)=O,COC(=O)c1ccccc1C,2.86986737,0.63870846
OCC(O)=O,CC(=O)c1ccc(C)cc1C,0.04812505,0.03558044
OCC(O)=O,Cc2c1ccccc1ccc2,8.54639513,1.32303215
OCC(O)=O,O=C2CCCCC2C1CCCCC1,0.74278829,0.13839227
OCC(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.3682498,0.04571653
OCC(O)=O,CC(C=O)c1ccccc1,2.314278,0.53098335
OCC(O)=O,CCC(O)c1ccccc1,1.23668251,0.32574482
OCC(O)=O,CCOC(=O)c1ccccc1,2.61468502,0.57270342
OCC(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,1.76466224,0.60093446
OCC(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.65117434,0.74253805
OCC(O)=O,CCOC(=O)c(cc1)ccc1C,2.49975188,0.54149904
OCC(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-20.56865469,-1.37017624
OCC(O)=O,O=C(OCCc1ccccc1)c2ccccc2,3.68805589,0.78421746
OCC(O)=O,CCCc2cc1OCOc1cc2,6.72886196,1.20278808
OCC(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.73321412,0.1445117
OCC(O)=O,CCCC1CCCCC1=O,-0.00591129,-0.04528511
OCC(O)=O,CCOc1ccc(C=CC)cc1O,3.78845889,0.8442162
OCC(O)=O,CCCC(O)C(CO)CC,-1.04850485,-0.31772086
OCC(O)=O,Cc(ccc1C)cc1C,9.22007184,1.40984768
OCC(O)=O,CCOC(=O)C(OCC)=O,1.58218373,0.34831157
OCC(O)=O,CC1OC(C(C)OC1=O)=O,1.73279936,0.38901992
OCC(O)=O,CCCCC(=O)C(C)=O,3.25380684,0.68595047
OCC(O)=O,C=CCOC(=O)C(C)=C,2.51943275,0.55295032
OCC(O)=O,C1OC1c2ccccc2,2.93056727,0.66641452
OCC(O)=O,CCC(C)CC,12.0667937,1.71716771
OCC(O)=O,CCC(CC)=O,-0.74222292,-0.19300486
OCC(O)=O,OCC(CO)=O,-0.91355246,-0.21599434
OCC(O)=O,COC(=O)C=C,1.36201987,0.29167943
OCC(O)=O,COC(CO)=O,-1.0430558,-0.24754248
OCC(O)=O,CC1CCCC1,12.01634365,1.69074355
OCC(O)=O,CC1CCCO1,-3.32727161,-0.84709466
OCC(O)=O,O=C1CCCO1,-1.31622324,-0.323338
OCC(O)=O,CCCC(C)C(O)=O,1.69825476,0.4079647
OCC(O)=O,CCOC(C(C)C)=O,1.31944405,0.28355276
OCC(O)=O,CCOC(=O)C(C)=C,1.58533033,0.34792566
OCC(O)=O,CCOC(C(O)C)=O,-0.95350813,-0.24698228
OCC(O)=O,CC(C)C(OC(C(C)C)=O)=O,3.2731435,0.68237023
OCC(O)=O,CC(C)COC(C(C)C)=O,1.84017684,0.38315964
OCC(O)=O,CC(C)COC(=O)C(C)=C,2.2368735,0.47603898
OCC(O)=O,CCCCOC(C(C)C)=O,1.94047483,0.40359441
OCC(O)=O,CCCCOC(=O)C(C)=C,2.06788138,0.4399031
OCC(O)=O,CCC(CC)C=O,1.44177823,0.33686477
OCC(O)=O,OCC1CCCO1,-2.65530326,-0.71209423
OCC(O)=O,OCc1occc1,-0.18423043,-0.02616623
OCC(O)=O,O=Cc1occc1,-0.17945511,-0.03388801
OCC(O)=O,CC(C)(C)c1ccccc1,9.33444391,1.43238799
OCC(O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,2.74889289,0.62607886
OCC(O)=O,CC(C)(C)c(cc1)ccc1C,9.58052824,1.48416893
OCC(O)=O,OC1CCC(CC1)C(C)(C)C,0.10695064,-0.01740515
OCC(O)=O,CC(C)(C)C1CCC(CC1)=O,-0.68405021,-0.21932211
OCC(O)=O,CC(C)c1ccccc1,9.25108161,1.40824415
OCC(O)=O,COC(=O)c(ccc1)cc1C,2.67714909,0.58165868
OCC(O)=O,OC1CC(CC=C1C)C(C)=C,0.73173896,0.17427897
OCC(O)=O,CC(C)c1cc(C(C)C)ccc1,9.73938112,1.51865971
OCC(O)=O,CCCC(CCC)C(O)=O,2.13882713,0.49348933
OCC(O)=O,CC(C=O)c(cc1)ccc1C,2.41865157,0.55148728
OCC(O)=O,CC1CCC(C(C)C)CC1,11.89876469,1.76300603
OCC(O)=O,CC(C)c(cc1)ccc1C,9.49115796,1.46265728
OCC(O)=O,C=CC1CC=CCC1,9.44020662,1.44035193
OCC(O)=O,CCc1ccccc1,9.04925187,1.35842476
OCC(O)=O,C=Cc1ccccc1,8.34914965,1.2506414
OCC(O)=O,OCC1CCCCC1,0.485536,0.11962957
OCC(O)=O,COc1ccccc1,5.36313125,1.00577919
OCC(O)=O,OCC1CCCCO1,-1.95321267,-0.51203632
OCC(O)=O,OCC(CO1)OC1(C)C,-1.0219168,-0.26169358
OCC(O)=O,Cc1cc(C=C)ccc1,8.63575627,1.32052795
OCC(O)=O,COc(ccc1)cc1C,5.53299983,1.06105833
OCC(O)=O,COC(=O)Cc1ccccc1,1.89473881,0.43640152
OCC(O)=O,COC(OC)Cc1ccccc1,0.76263025,0.20115244
