SMILES0,SMILES,gamma1,gamma2
OCC(O)C(O)=O,OC(C)C(O)=O,0.18577893,0.04912225
OCC(O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.67604867,1.53461413
OCC(O)C(O)=O,OCC(O)C,-1.1628915,-0.28906729
OCC(O)C(O)=O,O=C1CCO1,0.72957302,0.10579378
OCC(O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.72321207,0.34823127
OCC(O)C(O)=O,CCOCC,-1.38202335,-0.13202421
OCC(O)C(O)=O,OCC,-1.5151873,-0.31127366
OCC(O)C(O)=O,CCCCCC=O,1.1190926,0.29684612
OCC(O)C(O)=O,CO,-2.20559622,-0.47882977
OCC(O)C(O)=O,OC(C)C,-1.22905939,-0.23636477
OCC(O)C(O)=O,CC(C)=O,-2.89993211,-0.6927848
OCC(O)C(O)=O,OCCC,-0.48409998,-0.0704948
OCC(O)C(O)=O,OCCCC,-0.16651038,0.013213
OCC(O)C(O)=O,OCCCCC,0.25763645,0.11121861
OCC(O)C(O)=O,CC1OC1,-1.440673,-0.27505391
OCC(O)C(O)=O,CCC(C)(C)C,12.86151485,1.95360154
OCC(O)C(O)=O,CC(C)(C)C(C)=O,-0.61381893,-0.10834372
OCC(O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.96189152,0.30392477
OCC(O)C(O)=O,COC(C)(C)OC,-1.43724806,-0.30738759
OCC(O)C(O)=O,CCC1(CC)CCCCC1,12.76919886,2.05096161
OCC(O)C(O)=O,CCOC(C)(OCC)OCC,-1.82940583,-0.52038978
OCC(O)C(O)=O,CC(C)CCCC(O)(C)CC,0.83280377,0.22103088
OCC(O)C(O)=O,CCC(C)C,12.99443539,1.9234115
OCC(O)C(O)=O,CC(=C)C=C,9.6089956,1.42507585
OCC(O)C(O)=O,CC(=C)C#C,7.08642328,1.07606569
OCC(O)C(O)=O,OCC(C)C,0.39497502,0.13435076
OCC(O)C(O)=O,CC(C)C=O,0.36855241,0.10527991
OCC(O)C(O)=O,CC(=C)C=O,-0.15215005,-0.01807798
OCC(O)C(O)=O,CCC(O)C,-0.277216,-0.0134833
OCC(O)C(O)=O,CCC(C)=O,-2.04397402,-0.47449328
OCC(O)C(O)=O,COC(C)=O,-0.55607479,-0.13694287
OCC(O)C(O)=O,CC(C)C(C)C,12.91726126,1.96654445
OCC(O)C(O)=O,CC(C)C(O)=O,1.2471734,0.30998669
OCC(O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.59622768,0.33240611
OCC(O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,3.20856968,0.76278641
OCC(O)C(O)=O,CCOC(C(O)(C)C)=O,-1.14557697,-0.2510071
OCC(O)C(O)=O,COC(=O)C(C)=C,1.59239782,0.36135897
OCC(O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,5.42712368,1.13147288
OCC(O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.27485006,0.07189539
OCC(O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.97553659,0.54601445
OCC(O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,2.10310248,0.47788312
OCC(O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.93897865,0.63505988
OCC(O)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.67485433,0.75130002
OCC(O)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,5.73970681,1.22772042
OCC(O)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,5.45652322,1.16561439
OCC(O)C(O)=O,O=C2c1ccccc1CO2,0.52314665,0.12609454
OCC(O)C(O)=O,OCC(O)C(O)C(O)CO,-1.39408124,-0.35865997
OCC(O)C(O)=O,CCC(CC)C(O)=O,2.00933222,0.49251259
OCC(O)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.925905,0.44088866
OCC(O)C(O)=O,COc1cc(C)ccc1C(C)(C)C,9.70554231,1.6601836
OCC(O)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,10.91149029,1.92550321
OCC(O)C(O)=O,COC(=O)c1ccccc1C,3.17473766,0.73805325
OCC(O)C(O)=O,CC(=O)c1ccc(C)cc1C,0.22237485,0.13087485
OCC(O)C(O)=O,Cc2c1ccccc1ccc2,8.79614241,1.46199723
OCC(O)C(O)=O,O=C2CCCCC2C1CCCCC1,0.96204694,0.25160034
OCC(O)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.52279229,0.10205601
OCC(O)C(O)=O,CC(C=O)c1ccccc1,2.48212812,0.58707414
OCC(O)C(O)=O,CCC(O)c1ccccc1,1.74383715,0.45337407
OCC(O)C(O)=O,CCOC(=O)c1ccccc1,2.87131605,0.66038156
OCC(O)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,2.54243033,0.82352561
OCC(O)C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.96538216,0.84948123
