SMILES0,SMILES,gamma1,gamma2
OCC(O)C(O)C(O)C(CO)=O,OC(C)C(O)=O,-1.21437609,-0.29254731
OCC(O)C(O)C(O)C(CO)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.48012969,1.08084311
OCC(O)C(O)C(O)C(CO)=O,OCC(O)C,0.35123092,0.08130604
OCC(O)C(O)C(O)C(CO)=O,O=C1CCO1,0.54385703,0.07691742
OCC(O)C(O)C(O)C(CO)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.59010971,0.36523073
OCC(O)C(O)C(O)C(CO)=O,CCOCC,0.42886033,0.19428162
OCC(O)C(O)C(O)C(CO)=O,OCC,0.35123699,0.08284004
OCC(O)C(O)C(O)C(CO)=O,CCCCCC=O,1.26414598,0.28977261
OCC(O)C(O)C(O)C(CO)=O,CO,-0.13942906,-0.01341217
OCC(O)C(O)C(O)C(CO)=O,OC(C)C,0.6123034,0.1465222
OCC(O)C(O)C(O)C(CO)=O,CC(C)=O,-1.865672,-0.41606133
OCC(O)C(O)C(O)C(CO)=O,OCCC,0.91277324,0.20558558
OCC(O)C(O)C(O)C(CO)=O,OCCCC,1.23793888,0.29327852
OCC(O)C(O)C(O)C(CO)=O,OCCCCC,1.58972193,0.38310114
OCC(O)C(O)C(O)C(CO)=O,CC1OC1,-0.6941685,-0.14007117
OCC(O)C(O)C(O)C(CO)=O,CCC(C)(C)C,9.16719755,1.53691354
OCC(O)C(O)C(O)C(CO)=O,CC(C)(C)C(C)=O,0.2153717,0.07716803
OCC(O)C(O)C(O)C(CO)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.33879666,0.59846725
OCC(O)C(O)C(O)C(CO)=O,COC(C)(C)OC,0.11579258,0.0662304
OCC(O)C(O)C(O)C(CO)=O,CCC1(CC)CCCCC1,9.14147292,1.66881567
OCC(O)C(O)C(O)C(CO)=O,CCOC(C)(OCC)OCC,0.31842825,0.10348762
OCC(O)C(O)C(O)C(CO)=O,CC(C)CCCC(O)(C)CC,2.51847593,0.62965636
OCC(O)C(O)C(O)C(CO)=O,CCC(C)C,9.26169561,1.49727948
OCC(O)C(O)C(O)C(CO)=O,CC(=C)C=C,6.15780734,0.93558873
OCC(O)C(O)C(O)C(CO)=O,CC(=C)C#C,3.19890345,0.49368307
OCC(O)C(O)C(O)C(CO)=O,OCC(C)C,1.35746068,0.30951113
OCC(O)C(O)C(O)C(CO)=O,CC(C)C=O,0.42845693,0.07770504
OCC(O)C(O)C(O)C(CO)=O,CC(=C)C=O,0.22590857,0.03714945
OCC(O)C(O)C(O)C(CO)=O,CCC(O)C,1.17458754,0.27570365
OCC(O)C(O)C(O)C(CO)=O,CCC(C)=O,-1.07253626,-0.2289953
OCC(O)C(O)C(O)C(CO)=O,COC(C)=O,-0.19333081,-0.06082205
OCC(O)C(O)C(O)C(CO)=O,CC(C)C(C)C,9.22390755,1.55316183
OCC(O)C(O)C(O)C(CO)=O,CC(C)C(O)=O,-0.84369942,-0.19882669
OCC(O)C(O)C(O)C(CO)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.19998136,0.53156189
OCC(O)C(O)C(O)C(CO)=O,OOC(C)(C)C(CC1)CCC1C,1.10344198,0.30300369
OCC(O)C(O)C(O)C(CO)=O,CCOC(C(O)(C)C)=O,0.38165899,0.11791446
OCC(O)C(O)C(O)C(CO)=O,COC(=O)C(C)=C,1.5591189,0.33049508
OCC(O)C(O)C(O)C(CO)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.80378588,0.82486136
OCC(O)C(O)C(O)C(CO)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.15138164,0.2816675
OCC(O)C(O)C(O)C(CO)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.54893588,0.80065649
OCC(O)C(O)C(O)C(CO)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.80944352,0.41650154
OCC(O)C(O)C(O)C(CO)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.57005637,0.59303047
OCC(O)C(O)C(O)C(CO)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.16216934,0.71382902
OCC(O)C(O)C(O)C(CO)=O,CC(C)CCOC(=O)c1ccccc1O,4.57428385,0.99162533
OCC(O)C(O)C(O)C(CO)=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.1093203,0.89429716
OCC(O)C(O)C(O)C(CO)=O,O=C2c1ccccc1CO2,0.86833593,0.18980637
OCC(O)C(O)C(O)C(CO)=O,OCC(O)C(O)C(O)CO,0.03294092,0.00728298
OCC(O)C(O)C(O)C(CO)=O,CCC(CC)C(O)=O,-0.22543577,-0.0387049
OCC(O)C(O)C(O)C(CO)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.79278359,0.44407034
OCC(O)C(O)C(O)C(CO)=O,COc1cc(C)ccc1C(C)(C)C,6.32237339,1.19188476
OCC(O)C(O)C(O)C(CO)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,7.87023008,1.54911443
OCC(O)C(O)C(O)C(CO)=O,COC(=O)c1ccccc1C,2.85574914,0.63019102
OCC(O)C(O)C(O)C(CO)=O,CC(=O)c1ccc(C)cc1C,1.28986125,0.33904959
OCC(O)C(O)C(O)C(CO)=O,Cc2c1ccccc1ccc2,5.51896365,0.98270643
OCC(O)C(O)C(O)C(CO)=O,O=C2CCCCC2C1CCCCC1,1.77767756,0.44977367
OCC(O)C(O)C(O)C(CO)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.27217332,0.31190042
OCC(O)C(O)C(O)C(CO)=O,CC(C=O)c1ccccc1,2.11769847,0.45448534
OCC(O)C(O)C(O)C(CO)=O,CCC(O)c1ccccc1,1.15428789,0.28989168
OCC(O)C(O)C(O)C(CO)=O,CCOC(=O)c1ccccc1,2.62412027,0.58439708
OCC(O)C(O)C(O)C(CO)=O,CC(OC(C)c2ccccc2)c1ccccc1,3.36682131,0.82695954
OCC(O)C(O)C(O)C(CO)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.14229008,0.70713739
OCC(O)C(O)C(O)C(CO)=O,CCOC(=O)c(cc1)ccc1C,2.65014764,0.60461777
OCC(O)C(O)C(O)C(CO)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-6.60154702,-0.39994725
OCC(O)C(O)C(O)C(CO)=O,O=C(OCCc1ccccc1)c2ccccc2,3.35212382,0.7578005
OCC(O)C(O)C(O)C(CO)=O,CCCc2cc1OCOc1cc2,4.51276874,0.87573429
OCC(O)C(O)C(O)C(CO)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.77055765,0.17355629
OCC(O)C(O)C(O)C(CO)=O,CCCC1CCCCC1=O,0.94274519,0.25698096
OCC(O)C(O)C(O)C(CO)=O,CCOc1ccc(C=CC)cc1O,1.43750104,0.40126084
OCC(O)C(O)C(O)C(CO)=O,CCCC(O)C(CO)CC,1.23144703,0.31400345
OCC(O)C(O)C(O)C(CO)=O,Cc(ccc1C)cc1C,6.27579266,1.1021788
OCC(O)C(O)C(O)C(CO)=O,CCOC(=O)C(OCC)=O,1.19906421,0.25200575
OCC(O)C(O)C(O)C(CO)=O,CC1OC(C(C)OC1=O)=O,0.88035188,0.18597075
OCC(O)C(O)C(O)C(CO)=O,CCCCC(=O)C(C)=O,2.45086268,0.50688374
OCC(O)C(O)C(O)C(CO)=O,C=CCOC(=O)C(C)=C,2.52568416,0.55378642
OCC(O)C(O)C(O)C(CO)=O,C1OC1c2ccccc2,2.56600303,0.52017792
OCC(O)C(O)C(O)C(CO)=O,CCC(C)CC,9.29105283,1.57537536
OCC(O)C(O)C(O)C(CO)=O,CCC(CC)=O,-0.18023346,-0.02041341
OCC(O)C(O)C(O)C(CO)=O,OCC(CO)=O,0.06642753,0.01391332
OCC(O)C(O)C(O)C(CO)=O,COC(=O)C=C,1.20982858,0.23679452
OCC(O)C(O)C(O)C(CO)=O,COC(CO)=O,-0.32909365,-0.07710828
OCC(O)C(O)C(O)C(CO)=O,CC1CCCC1,9.17392378,1.50815128
OCC(O)C(O)C(O)C(CO)=O,CC1CCCO1,-1.30056981,-0.17167224
OCC(O)C(O)C(O)C(CO)=O,O=C1CCCO1,-1.19125841,-0.29740164
OCC(O)C(O)C(O)C(CO)=O,CCCC(C)C(O)=O,-0.23599786,-0.042055
OCC(O)C(O)C(O)C(CO)=O,CCOC(C(C)C)=O,1.54589976,0.35622225
OCC(O)C(O)C(O)C(CO)=O,CCOC(=O)C(C)=C,1.86146714,0.41927594
OCC(O)C(O)C(O)C(CO)=O,CCOC(C(O)C)=O,0.1803718,0.05875189
OCC(O)C(O)C(O)C(CO)=O,CC(C)C(OC(C(C)C)=O)=O,2.51037628,0.53366523
OCC(O)C(O)C(O)C(CO)=O,CC(C)COC(C(C)C)=O,2.27069002,0.53928927
OCC(O)C(O)C(O)C(CO)=O,CC(C)COC(=O)C(C)=C,2.5703495,0.59575172
OCC(O)C(O)C(O)C(CO)=O,CCCCOC(C(C)C)=O,2.31944137,0.54801498
OCC(O)C(O)C(O)C(CO)=O,CCCCOC(=O)C(C)=C,2.46652817,0.57682183
OCC(O)C(O)C(O)C(CO)=O,CCC(CC)C=O,1.55958665,0.349048
OCC(O)C(O)C(O)C(CO)=O,OCC1CCCO1,-1.00735946,-0.21165466
OCC(O)C(O)C(O)C(CO)=O,OCc1occc1,0.13587233,0.03274182
OCC(O)C(O)C(O)C(CO)=O,O=Cc1occc1,0.51495445,0.11498736
OCC(O)C(O)C(O)C(CO)=O,CC(C)(C)c1ccccc1,6.34990877,1.13706061
OCC(O)C(O)C(O)C(CO)=O,OOC(C)(C)c(cc1)ccc1C(C)C,0.85950989,0.22987409
OCC(O)C(O)C(O)C(CO)=O,CC(C)(C)c(cc1)ccc1C,6.66410364,1.22928563
OCC(O)C(O)C(O)C(CO)=O,OC1CCC(CC1)C(C)(C)C,2.15639641,0.53767051
OCC(O)C(O)C(O)C(CO)=O,CC(C)(C)C1CCC(CC1)=O,0.40659977,0.12676552
OCC(O)C(O)C(O)C(CO)=O,CC(C)c1ccccc1,6.2466358,1.09620233
OCC(O)C(O)C(O)C(CO)=O,COC(=O)c(ccc1)cc1C,2.62839301,0.58174365
OCC(O)C(O)C(O)C(CO)=O,OC1CC(CC=C1C)C(C)=C,1.70933147,0.41921762
OCC(O)C(O)C(O)C(CO)=O,CC(C)c1cc(C(C)C)ccc1,6.86350596,1.29642334
OCC(O)C(O)C(O)C(CO)=O,CCCC(CCC)C(O)=O,0.28113112,0.08612236
