SMILES0,SMILES,gamma1,gamma2
OCC(O)C(O)C(O)C(O)C=O,OC(C)C(O)=O,-0.44287116,-0.1077494
OCC(O)C(O)C(O)C(O)C=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.6429709,1.25070957
OCC(O)C(O)C(O)C(O)C=O,OCC(O)C,-0.60707356,-0.14653768
OCC(O)C(O)C(O)C(O)C=O,O=C1CCO1,0.86076316,0.11177517
OCC(O)C(O)C(O)C(O)C=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.54165588,0.34549621
OCC(O)C(O)C(O)C(O)C=O,CCOCC,-1.23014082,-0.11945009
OCC(O)C(O)C(O)C(O)C=O,OCC,-1.03302161,-0.20888829
OCC(O)C(O)C(O)C(O)C=O,CCCCCC=O,0.81850017,0.18256102
OCC(O)C(O)C(O)C(O)C=O,CO,-1.49017044,-0.29348788
OCC(O)C(O)C(O)C(O)C=O,OC(C)C,-0.83950832,-0.16144068
OCC(O)C(O)C(O)C(O)C=O,CC(C)=O,-2.88141308,-0.65610267
OCC(O)C(O)C(O)C(O)C=O,OCCC,-0.27688169,-0.04568496
OCC(O)C(O)C(O)C(O)C=O,OCCCC,0.0105013,0.03183446
OCC(O)C(O)C(O)C(O)C=O,OCCCCC,0.38786394,0.12544606
OCC(O)C(O)C(O)C(O)C=O,CC1OC1,-1.58608741,-0.32516962
OCC(O)C(O)C(O)C(O)C=O,CCC(C)(C)C,11.58822115,1.54416785
OCC(O)C(O)C(O)C(O)C=O,CC(C)(C)C(C)=O,-0.71179923,-0.13124545
OCC(O)C(O)C(O)C(O)C=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.19272993,0.38286277
OCC(O)C(O)C(O)C(O)C=O,COC(C)(C)OC,-1.28840741,-0.2475067
OCC(O)C(O)C(O)C(O)C=O,CCC1(CC)CCCCC1,11.56467027,1.70080394
OCC(O)C(O)C(O)C(O)C=O,CCOC(C)(OCC)OCC,-1.4273588,-0.33095065
OCC(O)C(O)C(O)C(O)C=O,CC(C)CCCC(O)(C)CC,1.08713726,0.32589245
OCC(O)C(O)C(O)C(O)C=O,CCC(C)C,11.69379253,1.49695083
